,Tissue Name,Gene Name,Centrality,Rank
1665,Muscle,AHNAK,1.0,1
562,Muscle,ATP1B1,0.99346107736291,2
362,Muscle,LMNA,0.9903951325987854,3
1232,Muscle,MAFG,0.9900279553200018,4
4444,Pancreas,PLOD3,0.9881201197007998,5
757,Muscle,ASPA,0.9874009758381496,6
2077,Muscle,GPAT4,0.9858886588843504,7
2054,Muscle,UGP2,0.9854129536540949,8
1931,Muscle,OSGIN1,0.9849414043038642,9
150,Muscle,PSMC4,0.9818582666720201,10
595,Muscle,MLIP,0.9799579162485447,11
1692,Muscle,MAGED2,0.9787898433896922,12
5291,Pancreas,IL22RA1,0.9780272290387033,13
1464,Muscle,ZBED4,0.9778401268469742,14
3158,Muscle,CDK5RAP2,0.9776361240627629,15
646,Muscle,AKAP9,0.977135492148082,16
1053,Muscle,USP54,0.9770739087059626,17
6763,Pancreas,ESRP2,0.9758689431861113,18
22,Muscle,FLOT2,0.9741832069885861,19
1765,Muscle,PTP4A3,0.9739710404478775,20
7050,Pancreas,CHRD,0.9736839994601637,21
1912,Muscle,UHRF1BP1L,0.972184662846284,22
4016,Pancreas,RPL36A,0.97190330932644,23
3471,Muscle,CRTC3,0.9718563384843167,24
2147,Muscle,SPATS2L,0.9708775553578994,25
1081,Muscle,UBL7,0.9708106646553585,26
419,Muscle,USP32,0.9705407902076223,27
3648,Muscle,FZD4,0.9700282818312256,28
4261,Pancreas,FAM129A,0.9700082917415398,29
715,Muscle,SFMBT2,0.9699410093062945,30
565,Muscle,RFX1,0.9697462347014683,31
2647,Muscle,COQ8B,0.9697416263919593,32
3365,Muscle,ARVCF,0.9694613937596902,33
661,Muscle,JARID2,0.9690791794807745,34
2235,Muscle,RFESD,0.9690147791811686,35
2593,Muscle,FNBP1,0.9688784511467926,36
2759,Muscle,LUC7L3,0.9687521452946888,37
482,Muscle,RAB11FIP3,0.9686629378699784,38
1272,Muscle,ANKH,0.968551502405413,39
675,Muscle,TMEM135,0.9680080436580654,40
3578,Muscle,MED22,0.9679500356526543,41
2820,Muscle,RFC2,0.9675028153999992,42
1330,Muscle,RPL29,0.9672604013365265,43
383,Muscle,HSPB2,0.9667074092334729,44
1307,Muscle,CERS6,0.9666079529864905,45
7146,Pancreas,SWAP70,0.9662429748829284,46
815,Muscle,ELMSAN1,0.9661193944835029,47
3194,Muscle,CIRBP,0.96599811553514,48
4209,Pancreas,ZFX,0.9658456404364587,49
1605,Muscle,PARP3,0.9656610165984616,50
702,Muscle,YWHAH,0.9656079973968865,51
7339,Pancreas,DAGLA,0.9651381236930577,52
1616,Muscle,SGCB,0.9651308094698434,53
2287,Muscle,MYO5A,0.9649855356960524,54
2881,Muscle,RBSN,0.964927789066192,55
3070,Muscle,TMEM55A,0.9648874682149704,56
3166,Muscle,SPPL2B,0.9648796887515735,57
5954,Pancreas,VGLL3,0.9648662133681365,58
825,Muscle,LRP1,0.9648397819159306,59
1178,Muscle,SCN3B,0.9647081164613778,60
2806,Muscle,TRIOBP,0.9643522284689287,61
2524,Muscle,COL28A1,0.9641402611761035,62
2585,Muscle,RP11-96L14.7,0.9640875687750504,63
3709,Muscle,KCTD11,0.9640305678412832,64
7272,Pancreas,RPL35,0.9639873271084534,65
3493,Muscle,TMEM261,0.9636363501437475,66
1562,Muscle,CACNB1,0.9635850395468342,67
2673,Muscle,SSH1,0.9635263551144113,68
928,Muscle,PADI2,0.9635131051453654,69
927,Muscle,LIX1L,0.9634276385136387,70
1131,Muscle,MAFA,0.9634046350827449,71
3875,Pancreas,FMC1,0.9631370240520843,72
479,Muscle,SH3GLB2,0.9629259179217232,73
2120,Muscle,POLR3B,0.9628346821133464,74
1211,Muscle,FKBP3,0.9627916431603172,75
3134,Muscle,WDPCP,0.9627586450613559,76
3076,Muscle,C14orf1,0.9627339132502841,77
1175,Muscle,MAP4,0.9627133667587072,78
189,Muscle,PPTC7,0.9624746339677849,79
887,Muscle,RPUSD1,0.9624198740631449,80
3753,Muscle,CTSA,0.9622696285155715,81
2268,Muscle,TOR1AIP1,0.9621233836724474,82
5059,Pancreas,RP11-352M15.2,0.9620641494749721,83
6707,Pancreas,CPEB1,0.9619837961527418,84
7076,Pancreas,RPL36,0.9619331439598537,85
2339,Muscle,DYRK1B,0.9618176888159883,86
1628,Muscle,NEDD8,0.9617473956639104,87
694,Muscle,RPAP3,0.9617116801087037,88
6854,Pancreas,C14orf1,0.9617097608060305,89
3455,Muscle,ASB12,0.9617013371307137,90
3341,Muscle,MACROD2,0.9616908336400322,91
311,Muscle,MAF,0.9616631700557637,92
4904,Pancreas,IGKJ4,0.9616204625130194,93
2607,Muscle,LMO7,0.9616034868541571,94
3659,Muscle,HPGD,0.9615110756272163,95
2823,Muscle,NPC2,0.9609417082880034,96
5417,Pancreas,RPL37,0.9608832750189755,97
