,Tissue Name,Gene Name,Centrality,Rank
0,Kidney,COL16A1,1.0,1
1,Kidney,FBLN1,0.9983011274707472,2
2,Kidney,SERPINF1,0.994665301583281,3
3,Kidney,SVEP1,0.9856440760799109,4
4,Kidney,CNN1,0.9734443026748121,5
5,Kidney,CYBRD1,0.9723383061728215,6
6,Kidney,SRPX2,0.9666059468799739,7
7,Kidney,FMOD,0.9588217015921892,8
8,Kidney,PCOLCE,0.9580385666363147,9
9,Kidney,BCL2L2,0.9527547595695713,10
10,Kidney,RP11-274B21.9,0.9505561350203352,11
11,Kidney,C1R,0.9490204960655831,12
12,Kidney,USP19,0.9481860641723193,13
13,Kidney,PLOD3,0.945416743872652,14
14,Kidney,PPP1R14A,0.9452546053622126,15
15,Kidney,COL8A1,0.9445533080454687,16
16,Kidney,SMARCD3,0.9412196808784139,17
17,Kidney,TMEM116,0.9406850915439382,18
18,Kidney,FHL5,0.9402856290568751,19
19,Kidney,NRIP2,0.9395685621821828,20
20,Kidney,TMEM223,0.9379378731601452,21
21,Kidney,B4GAT1,0.9379105420267259,22
22,Kidney,PCYOX1,0.9376669180057841,23
23,Kidney,SPON1,0.9375746777953968,24
24,Kidney,PALLD,0.9371245064338968,25
25,Kidney,GTF2H1,0.9363804906711446,26
26,Kidney,LAMP2,0.9357914525550349,27
27,Kidney,PLCE1,0.9357453856119297,28
28,Kidney,USP5,0.9356376472103292,29
29,Kidney,MYO5B,0.9351626782917721,30
30,Kidney,SAMHD1,0.9347130730168681,31
31,Kidney,ST6GALNAC3,0.934659024358284,32
32,Kidney,UGT1A9,0.9340354113441297,33
33,Kidney,CRNKL1,0.9337727564175208,34
34,Kidney,FKBP11,0.9334217543922315,35
35,Kidney,MIR100HG,0.9328294225406534,36
36,Kidney,CTSK,0.9323169960978652,37
37,Kidney,HUWE1,0.9319707535932518,38
38,Kidney,SYS1,0.9315345978285775,39
39,Kidney,CENPO,0.9313871301501685,40
40,Kidney,ATP6V0D1,0.9308157529432589,41
41,Kidney,TNS1,0.9297560404873362,42
42,Kidney,SHKBP1,0.9292236503748048,43
43,Kidney,IGF1R,0.9288276014263251,44
44,Kidney,RBM3,0.9277500514625509,45
45,Kidney,SLC3A1,0.9276214825525624,46
46,Kidney,GGT5,0.9262841623620233,47
47,Kidney,CMTM7,0.9259552156109536,48
48,Kidney,NCOA6,0.9255735875511049,49
49,Kidney,HAT1,0.9254779691549967,50
50,Kidney,MESDC2,0.9246190472044791,51
51,Kidney,ASXL1,0.9245248242817565,52
52,Kidney,RAB40A,0.9244487431990019,53
53,Kidney,NR6A1,0.9241659831278054,54
54,Kidney,OGDH,0.9239249510758129,55
55,Kidney,CFAP97,0.9238321919707266,56
56,Kidney,ELL,0.923658560280623,57
57,Kidney,ZNF550,0.9233060750894472,58
58,Kidney,PDLIM2,0.923219399322543,59
59,Kidney,NDUFA9,0.9227819289460821,60
60,Kidney,LINC00839,0.9226325751403398,61
61,Kidney,RGS16,0.9223238152557157,62
62,Kidney,ASPSCR1,0.9218508631860247,63
63,Kidney,ADRA2A,0.9218179723413162,64
64,Kidney,SPATA18,0.9211032722662661,65
65,Kidney,PES1,0.9204675474910771,66
66,Kidney,USP2,0.9203804693777027,67
67,Kidney,VAMP5,0.9198913958065593,68
68,Kidney,PLA2G4A,0.9195996495417866,69
69,Kidney,CDK13,0.9195285262444111,70
70,Kidney,LYSMD4,0.9192840325559506,71
71,Kidney,XYLT2,0.9192510041216718,72
72,Kidney,GLB1,0.9188495000301354,73
73,Kidney,MLLT6,0.9188477330958492,74
74,Kidney,ATG16L2,0.9187793170280143,75
75,Kidney,TADA2B,0.9185812041334026,76
76,Kidney,ASB1,0.918578026013073,77
77,Kidney,RP9P,0.9185698725385267,78
78,Kidney,RBMS3,0.9183943326541806,79
79,Kidney,ADAP1,0.9181674239859728,80
80,Kidney,SLC25A25-AS1,0.9178967711470185,81
81,Kidney,STAT5B,0.9177456232533898,82
82,Kidney,HTT,0.9173105280629457,83
83,Kidney,POU5F1,0.9169935893942253,84
84,Kidney,TXLNA,0.9168841308041407,85
85,Kidney,TACC1,0.9167799214116723,86
86,Kidney,SPIDR,0.9166561161558415,87
87,Kidney,NOP2,0.9164029006247669,88
88,Kidney,CRTC3,0.9148329188430441,89
89,Kidney,FH,0.9146490167541121,90
90,Kidney,LRRC2,0.9145391481233274,91
91,Kidney,RP11-159D12.2,0.9138949264336343,92
92,Kidney,DDX54,0.9136744746963545,93
93,Kidney,SMARCA1,0.9135066426607652,94
94,Kidney,RP11-324I22.4,0.9134840817997957,95
95,Kidney,DSTN,0.9134281820559518,96
96,Kidney,RNF13,0.9133948555684366,97
97,Kidney,NDUFS3,0.913347536781153,98
98,Kidney,PSAP,0.9131304053348518,99
99,Kidney,LMTK2,0.9129830323561071,100
100,Kidney,GRB2,0.9129707315913894,101
101,Kidney,HSPA1A,0.9129506043466441,102
102,Kidney,VLDLR,0.912922015599701,103
103,Kidney,MSRB3,0.9127358864270948,104
104,Kidney,NCDN,0.9126857881955769,105
105,Kidney,ATP5F1,0.9117473071876977,106
106,Kidney,NADK2,0.9117246263056562,107
107,Kidney,ZDHHC8,0.911485509764242,108
108,Kidney,NANS,0.9113200054056773,109
109,Kidney,CRIP3,0.9113196228304248,110
110,Kidney,RP11-182L21.6,0.9111173255911335,111
111,Kidney,PYCR2,0.9110764813915915,112
112,Kidney,PROSER3,0.9106531762908054,113
113,Kidney,RBM10,0.9100016259664107,114
114,Kidney,LAPTM4A,0.9099546722241756,115
115,Kidney,BRF1,0.909135186650154,116
116,Kidney,TARS2,0.9089209030902565,117
117,Kidney,RP5-1112D6.7,0.9085369229896901,118
118,Kidney,TSR2,0.9084136370194442,119
