,Tissue Name,Gene Name,Centrality,Rank
0,Muscle,ATP1B1,1.0,1
1,Muscle,AHNAK,0.995191691704549,2
2,Muscle,ASPA,0.9927859548864345,3
3,Muscle,CRTC3,0.9888955518559622,4
4,Muscle,RFC2,0.9863931738361074,5
5,Muscle,TBC1D4,0.9837866147194387,6
6,Muscle,UGP2,0.9832398886925535,7
7,Muscle,GTF3C1,0.9825402178321334,8
8,Muscle,ARHGEF10L,0.9820573883052401,9
9,Muscle,CIRBP,0.9818110687941529,10
10,Muscle,XPO1,0.9817848644205064,11
11,Muscle,AKT2,0.9816976109496781,12
12,Muscle,GGA2,0.98092286147691,13
13,Muscle,OSGIN1,0.9803421903507813,14
14,Muscle,HACD1,0.9802969825994712,15
15,Muscle,SYNC,0.9790147231005756,16
16,Muscle,COQ8B,0.9788853559044184,17
17,Muscle,RFESD,0.9783326345623076,18
18,Muscle,TMEM135,0.9782330580773875,19
19,Muscle,VPS13B,0.9780996716224712,20
20,Muscle,RPLP2,0.9775323097452062,21
21,Muscle,SSH1,0.9773519367762293,22
22,Muscle,DYRK1B,0.9771922674184785,23
23,Muscle,BCOR,0.9771473823231431,24
24,Muscle,MLIP,0.9770694043013527,25
25,Muscle,DENND2C,0.9770118731334542,26
26,Muscle,FLOT2,0.9768886775375673,27
27,Muscle,ZNF771,0.9768069842377493,28
28,Muscle,ST3GAL5,0.976360038953043,29
29,Muscle,TUBB2A,0.9763395356441781,30
30,Muscle,PTP4A3,0.9760447556963782,31
31,Muscle,SPPL2B,0.9757402963368513,32
32,Muscle,GLI1,0.9756273954852734,33
33,Muscle,G3BP2,0.9754888716521433,34
34,Muscle,RPL30,0.9754858456110985,35
35,Muscle,LIX1L,0.9753253335400697,36
36,Muscle,SFMBT2,0.9752982338767606,37
37,Muscle,PRKAA2,0.9751363351472669,38
38,Muscle,ELMSAN1,0.9750040874423359,39
39,Muscle,UBL7,0.9749952218695171,40
40,Muscle,DDR1,0.9749615740413256,41
41,Muscle,ANXA11,0.9747306052212571,42
42,Muscle,OGT,0.9743529746997773,43
43,Muscle,SCN3B,0.9743482315813812,44
44,Muscle,CDK5RAP2,0.9741608160107944,45
45,Muscle,KCTD11,0.9741506964335541,46
46,Muscle,NOG,0.9741233651369425,47
47,Muscle,CNST,0.9737673013872375,48
48,Muscle,PACS1,0.973726189030807,49
49,Muscle,TPPP2,0.9734968378547919,50
50,Muscle,USP32,0.9733387427359701,51
51,Muscle,DCN,0.9731171242834364,52
52,Muscle,ZDHHC23,0.9728575825075586,53
53,Muscle,SGCB,0.9727248832330823,54
54,Muscle,AKAP9,0.972548298574342,55
55,Muscle,GPAT4,0.9724429467689533,56
56,Muscle,JPH1,0.9724216551840412,57
57,Muscle,PDS5B,0.9723397795538534,58
58,Muscle,WHSC1,0.9718112728513334,59
59,Muscle,RPRD2,0.9716074850919619,60
60,Muscle,BCAT2,0.9714829145136726,61
61,Muscle,PCBD2,0.9714021476429016,62
62,Muscle,LMNA,0.9713039966772926,63
63,Muscle,IGFBP6,0.9712476452520357,64
64,Muscle,NDUFV2-AS1,0.9709564822168015,65
65,Muscle,MAGED2,0.9708632609929759,66
66,Muscle,FAM65B,0.970756111928117,67
67,Muscle,DLGAP4,0.9706818267331618,68
68,Muscle,DST,0.9706610779838207,69
69,Muscle,RBSN,0.970531288991057,70
70,Muscle,LUC7L3,0.9705153091239019,71
71,Muscle,LRP1,0.9703016536791496,72
72,Muscle,MAFG,0.9702393129281213,73
73,Muscle,SERPINB6,0.9702268761768108,74
74,Muscle,TMEM55A,0.9700908572566799,75
75,Muscle,ABCC9,0.9699461175166675,76
76,Muscle,FZD4,0.9698324246050948,77
77,Muscle,BAG2,0.9695767575256143,78
78,Muscle,RCAN2,0.9694849103658321,79
79,Muscle,ZNF517,0.9692455146776636,80
80,Muscle,PWAR6,0.9691678241408537,81
81,Muscle,ASCC2,0.9690967367721143,82
82,Muscle,UHRF1BP1L,0.9690437221943934,83
83,Muscle,TOR1AIP1,0.9689828795141188,84
84,Muscle,FKBP3,0.9689724188809673,85
85,Muscle,CERS6,0.96878351709496,86
86,Muscle,TNKS1BP1,0.96871304729958,87
87,Muscle,CHMP5,0.9686845942460721,88
88,Muscle,EPG5,0.9686705479566932,89
89,Muscle,UST,0.9686237003538319,90
90,Muscle,CACNB1,0.9686130495482963,91
91,Muscle,MAP4,0.9685655739077725,92
92,Muscle,ZFP41,0.9678861015621457,93
93,Muscle,TUBGCP6,0.9675843625833307,94
94,Muscle,MAP1LC3C,0.9675187891926561,95
95,Muscle,TEAD3,0.9674763436645983,96
96,Muscle,MMS19,0.9673394418221364,97
97,Muscle,ZNF432,0.9670511467858034,98
98,Muscle,ERBB2,0.9667143752432218,99
99,Muscle,SLC7A2,0.9666395619580409,100
100,Muscle,GPR37,0.9665987204641706,101
101,Muscle,AAMP,0.9665503036308936,102
102,Muscle,LSM5,0.9664202084526878,103
103,Muscle,SH2B3,0.9663981014555572,104
104,Muscle,HR,0.966384232414079,105
105,Muscle,WIPF3,0.9663662378198082,106
106,Muscle,MARCH9,0.9663272090013912,107
107,Muscle,UBE2V2,0.9663112514628547,108
108,Muscle,SNHG14,0.9662979915967373,109
109,Muscle,RAB11FIP3,0.9662937920308663,110
110,Muscle,SPOUT1,0.966125552282992,111
111,Muscle,KCNQ1OT1,0.9660741559617702,112
112,Muscle,SRSF7,0.9659746881064821,113
113,Muscle,ADGRE5,0.9659413249808879,114
114,Muscle,ASB12,0.9659259447769022,115
115,Muscle,ZNF542P,0.965914069178929,116
116,Muscle,MYO9A,0.9658553970292756,117
117,Muscle,NDUFB9,0.9658232754510115,118
118,Muscle,ANGPTL2,0.96579004315011,119
119,Muscle,CFH,0.9657879141645901,120
120,Muscle,PIK3IP1,0.9657244477318204,121
121,Muscle,ANK3,0.9657084388662087,122
122,Muscle,CTDSPL2,0.9656746266539608,123
123,Muscle,RPS29,0.9656184547902972,124
124,Muscle,DBI,0.9655729666579077,125
125,Muscle,APOL4,0.965566090170809,126
126,Muscle,ARRDC3,0.965542549654371,127
127,Muscle,REV1,0.9655100043677998,128
128,Muscle,IGSF11,0.965500707798467,129
129,Muscle,S100A6,0.9654769177045676,130
130,Muscle,MYCBP2,0.9653694222261173,131
131,Muscle,ADPRHL1,0.9653258024451401,132
132,Muscle,MAF,0.965288868240674,133
133,Muscle,HPGD,0.9652703593756009,134
134,Muscle,CLSTN1,0.96525039733139,135
135,Muscle,KIAA1456,0.9652285983451481,136
136,Muscle,ZNF383,0.9652272960599424,137
137,Muscle,CPM,0.9651527487708591,138
138,Muscle,UQCRB,0.9651453977603788,139
139,Muscle,NUDT8,0.9651327926264064,140
140,Muscle,CHPF2,0.9650844345213434,141
141,Muscle,COL4A4,0.9650488775114224,142
142,Muscle,MED11,0.9649945242906197,143
143,Muscle,MCM2,0.9649721043302832,144
144,Muscle,RUSC2,0.9648939687494552,145
145,Muscle,CLDN1,0.9648616275457822,146
146,Muscle,LMOD3,0.964844357205423,147
147,Muscle,ZNF234,0.9648278686717228,148
148,Muscle,SPRYD7,0.9648156820927017,149
149,Muscle,ANKH,0.9646543468554778,150
150,Muscle,ABCA5,0.9644294208478907,151
151,Muscle,HPCAL1,0.9644179992106386,152
152,Muscle,ZNF510,0.9643932684479761,153
153,Muscle,STAC3,0.9643042753962927,154
154,Muscle,FREM2,0.9642604711666659,155
155,Muscle,TRO,0.9642405680406119,156
156,Muscle,TOMM40L,0.964223221276182,157
157,Muscle,KLF11,0.9638558691142037,158
158,Muscle,RPL7A,0.9636996915509203,159
159,Muscle,TARDBP,0.963573524873861,160
160,Muscle,MYO1C,0.963572841767388,161
161,Muscle,OTUB1,0.9635379588588688,162
162,Muscle,SLC16A1,0.9634882798215444,163
163,Muscle,ZER1,0.963451975015084,164
164,Muscle,RHBDF1,0.9634515875570391,165
165,Muscle,SCFD2,0.9634310643392174,166
166,Muscle,ARSG,0.9633790745221991,167
167,Muscle,ARHGEF17,0.9633624715534024,168
168,Muscle,C11orf49,0.9633329698160991,169
169,Muscle,CXCL14,0.9633203675139983,170
170,Muscle,HSPG2,0.9632929421491281,171
171,Muscle,CAMK2D,0.9632531813259566,172
172,Muscle,ST13,0.9632496132459583,173
173,Muscle,ZNF587B,0.9632365527070565,174
174,Muscle,MRPL24,0.9632237080371603,175
175,Muscle,NAPA,0.9632154610863841,176
176,Muscle,ENTPD4,0.9632103713991162,177
177,Muscle,RCHY1,0.9629572396288822,178
178,Muscle,ANXA7,0.9629023558930345,179
179,Muscle,ZNF747,0.9628937311397191,180
180,Muscle,CAT,0.962883359600082,181
181,Muscle,MDM4,0.9628107616162658,182
182,Muscle,MECP2,0.9627293889063755,183
183,Muscle,OTUD7A,0.9626893564658571,184
184,Muscle,SMAD9,0.9625035982083973,185
185,Muscle,MRPL40,0.9624390196525089,186
186,Muscle,MYOZ1,0.9624280006777935,187
187,Muscle,CDK17,0.9622136403725099,188
188,Muscle,NCOR2,0.9621581408825642,189
189,Muscle,METTL17,0.9620114744492955,190
190,Muscle,PMP22,0.9619592690162169,191
191,Muscle,INPP5J,0.9619300167554606,192
192,Muscle,MED22,0.9619146422514425,193
193,Muscle,TAPBP,0.961800313176417,194
194,Muscle,HSDL1,0.9617606850147196,195
195,Muscle,MAPK14,0.9616723469367953,196
196,Muscle,MACROD2,0.961647773966234,197
197,Muscle,RFX1,0.9615742166273566,198
198,Muscle,ASPH,0.9615403469259672,199
199,Muscle,PIAS2,0.9615164305541553,200
200,Muscle,LGR4,0.9615163683641192,201
201,Muscle,MAP4K4,0.9614840236761805,202
202,Muscle,SNRPN,0.9612305570854466,203
203,Muscle,LIN9,0.9612201085771771,204
204,Muscle,XKR8,0.9611801649941617,205
205,Muscle,AKIP1,0.9611059879498817,206
206,Muscle,ASF1B,0.9610994536819273,207
207,Muscle,ZNF772,0.9610594122102242,208
208,Muscle,ATXN7L3,0.9610211535834112,209
209,Muscle,IER3,0.9609806038203118,210
210,Muscle,ENKD1,0.9609793215316879,211
211,Muscle,RPS12,0.9609671267018774,212
212,Muscle,PPTC7,0.9609350198627236,213
213,Muscle,SLC29A2,0.9608361269387329,214
214,Muscle,WDPCP,0.9608359961866805,215
215,Muscle,CLDN4,0.9608251926864241,216
216,Muscle,SUGP2,0.9608206139370575,217
217,Muscle,TNS4,0.9606285857867609,218
218,Muscle,DDA1,0.960474191944992,219
219,Muscle,MRPS6,0.9603859099470947,220
220,Muscle,FTL,0.9603419737676574,221
221,Muscle,JARID2,0.9602676557354907,222
222,Muscle,PRKCQ,0.9602231813631079,223
223,Muscle,PPARA,0.9601791507432055,224
224,Muscle,SFXN1,0.9601640564706214,225
225,Muscle,PPFIBP1,0.960163630553153,226
226,Muscle,PARP3,0.9600204104105581,227
227,Muscle,FNBP1L,0.9600007569181866,228
228,Muscle,COG7,0.9599826952331681,229
229,Muscle,RPL29,0.9599505960054198,230
230,Muscle,ZNF615,0.9599503825598892,231
231,Muscle,CDC42BPB,0.959948127395091,232
232,Muscle,RBM14,0.9599415856197808,233
233,Muscle,SH3GLB2,0.9598831995262298,234
234,Muscle,MAPT,0.9598707947763399,235
235,Muscle,EME2,0.9598411866707386,236
236,Muscle,CTA-221G9.12,0.9598161370141862,237
237,Muscle,ULK3,0.9597471752252311,238
238,Muscle,YWHAH,0.95971830773039,239
239,Muscle,CSNK1G2,0.9596891693863122,240
240,Muscle,ITSN1,0.9596497792509416,241
241,Muscle,HAT1,0.959647092150481,242
242,Muscle,MAFA,0.9596463477043747,243
243,Muscle,CALCRL,0.959616602697559,244
244,Muscle,COL16A1,0.959542077070672,245
245,Muscle,MYO5A,0.9594764465005,246
246,Muscle,TRIO,0.9594738962033423,247
247,Muscle,FNBP1,0.959430856928872,248
248,Muscle,TUBB,0.9594074362557973,249
249,Muscle,CTSA,0.959310374244644,250
250,Muscle,ZNF570,0.9592579335545471,251
251,Muscle,HDAC6,0.9592572882854515,252
252,Muscle,ZBED4,0.9592149035880835,253
253,Muscle,PPARGC1A,0.9592137245652951,254
254,Muscle,EMD,0.9591824955188529,255
255,Muscle,RAB8B,0.9591686089624759,256
256,Muscle,PFKFB2,0.9591024986082587,257
257,Muscle,PDE7A,0.9590755666870197,258
258,Muscle,PLPP1,0.9590431730822255,259
259,Muscle,FSD1L,0.9590402004127927,260
260,Muscle,SMC4,0.9590112961818361,261
261,Muscle,ST3GAL1,0.9589645766141466,262
262,Muscle,S100A10,0.9589150496644115,263
263,Muscle,DPP3,0.9588978960999602,264
264,Muscle,TIMP3,0.9588686673836617,265
265,Muscle,H2AFX,0.9587944587716681,266
266,Muscle,KLHL29,0.9587607341241855,267
267,Muscle,A2ML1,0.9587266109269797,268
268,Muscle,ARID1A,0.9586982749109997,269
269,Muscle,ARHGEF11,0.9586627340038464,270
270,Muscle,EFR3A,0.9586233653372795,271
271,Muscle,KCNC1,0.9585641587336706,272
272,Muscle,MFSD11,0.9585117779517227,273
273,Muscle,OGFRL1,0.9583950177470579,274
274,Muscle,RP11-96D1.8,0.9583941887319,275
275,Muscle,SF3B1,0.958383192442335,276
276,Muscle,CCDC34,0.9583794702237599,277
277,Muscle,RASSF4,0.9583693702018977,278
278,Muscle,HABP4,0.9583303938171472,279
279,Muscle,PID1,0.9582630376769439,280
280,Muscle,ANKRD2,0.9582559608784428,281
281,Muscle,PBXIP1,0.9581772090204697,282
282,Muscle,KIAA1109,0.9581416792569043,283
283,Muscle,HID1,0.9581333393651347,284
284,Muscle,PRKD3,0.95812966966117,285
285,Muscle,HLF,0.9581181090097377,286
286,Muscle,MTCO2P2,0.9580468155712735,287
287,Muscle,L3MBTL2,0.9580464334061952,288
288,Muscle,ALDH3A2,0.9579929410587753,289
289,Muscle,KDM2A,0.957900768856576,290
290,Muscle,ABHD18,0.9578978918101482,291
291,Muscle,TPD52L1,0.9578462395108943,292
292,Muscle,BLCAP,0.957818151354582,293
293,Muscle,CEP85,0.9578142611923895,294
294,Muscle,VIT,0.9577744634206884,295
295,Muscle,MYL3,0.9577598862671727,296
296,Muscle,NUPR1,0.9577463328430726,297
297,Muscle,SMG6,0.9577409561928231,298
298,Muscle,PPARD,0.9576955237559058,299
299,Muscle,EEF2K,0.9576801094068816,300
300,Muscle,TP53I3,0.9576350288003475,301
301,Muscle,MYH14,0.9576071579091414,302
302,Muscle,SH3BP5-AS1,0.9575736859461513,303
303,Muscle,AARS2,0.9575494952166569,304
304,Muscle,KIF5C,0.9575241616480844,305
305,Muscle,RBM33,0.9574653285678065,306
306,Muscle,FXYD5,0.9574534576396315,307
307,Muscle,ATPAF2,0.9574066270120613,308
308,Muscle,HN1L,0.957401780248526,309
309,Muscle,DUS2,0.957394341818979,310
310,Muscle,MRVI1,0.957377400222582,311
311,Muscle,PSME1,0.9573202256386163,312
312,Muscle,USP54,0.9572832458230283,313
313,Muscle,OPTN,0.9572635665803481,314
314,Muscle,RNF115,0.957200546885523,315
315,Muscle,MRPL17,0.9571785951526453,316
316,Muscle,PRDX5,0.9571708032225867,317
317,Muscle,CRLF1,0.9571666843022935,318
318,Muscle,ITGB6,0.957050745705811,319
319,Muscle,RPL32,0.957048005655715,320
320,Muscle,RHBDD1,0.9570168745120079,321
321,Muscle,BTBD3,0.9569952276021836,322
322,Muscle,ZNF703,0.9569616418333017,323
323,Muscle,AP1B1,0.9569532269124216,324
324,Muscle,MTURN,0.9569357023627109,325
325,Muscle,C6orf136,0.9568931495965038,326
326,Muscle,ARVCF,0.9568916948779631,327
327,Muscle,ADH5,0.9568604000342794,328
328,Muscle,STRIP1,0.9568574612165782,329
329,Muscle,VGLL4,0.9568347205455596,330
330,Muscle,LPIN1,0.9568174699050233,331
331,Muscle,COL13A1,0.9568008230693752,332
332,Muscle,STRIP2,0.9567974823310319,333
333,Muscle,FAM96B,0.956771024492507,334
334,Muscle,NDRG2,0.9567602201053349,335
335,Muscle,IRF2BP2,0.9567509979604101,336
336,Muscle,MARK1,0.956731858593169,337
337,Muscle,RP5-1139B12.4,0.9566810783907206,338
338,Muscle,PSMC4,0.9565801828039925,339
339,Muscle,FRMD6,0.9565563561224929,340
340,Muscle,ARL2,0.9565468908862783,341
341,Muscle,TRIM16L,0.9564640379725085,342
342,Muscle,TMEM261,0.9564261612743296,343
343,Muscle,MOSPD1,0.9563181114367306,344
344,Muscle,GADD45G,0.9562939217885646,345
345,Muscle,SLC2A4,0.9562387005173715,346
346,Muscle,PKM,0.9562149461281229,347
347,Muscle,KRT15,0.9561938450002058,348
348,Muscle,CD24,0.9561865576107328,349
349,Muscle,CUL7,0.9561722979470385,350
350,Muscle,RXRG,0.9561528858144979,351
351,Muscle,RPUSD1,0.9561441703341993,352
352,Muscle,RAB15,0.9561435608617053,353
353,Muscle,KCNB1,0.956106497306157,354
354,Muscle,OSBPL1A,0.9560917972533409,355
355,Muscle,ZBTB22,0.956004172165676,356
356,Muscle,LDLRAD4,0.9559975900769991,357
357,Muscle,BACH2,0.955975797958197,358
358,Muscle,RP11-888D10.4,0.9559695953673382,359
359,Muscle,LTA4H,0.9559317415336587,360
360,Muscle,PRKAG2,0.9558573630592084,361
361,Muscle,PDE11A,0.9558352617190127,362
362,Muscle,PADI2,0.9558202158720426,363
363,Muscle,FADS1,0.9557738248862977,364
364,Muscle,NEK7,0.9557509825692745,365
365,Muscle,ARID5A,0.9557210201809913,366
366,Muscle,KIF20A,0.955714888717283,367
367,Muscle,WDR81,0.955693161146503,368
368,Muscle,FUS,0.9556247810474477,369
369,Muscle,CTSL,0.9555949184544282,370
370,Muscle,STON2,0.9555621151990198,371
371,Muscle,NCAPD3,0.9555558151953734,372
372,Muscle,CA12,0.9555557641389578,373
373,Muscle,CAPNS1,0.9555268711430012,374
374,Muscle,PPP1R11,0.9554475143809597,375
375,Muscle,ARMC6,0.955387538711526,376
376,Muscle,UBE2G1,0.9552953992831019,377
377,Muscle,SPTAN1,0.9552926256947795,378
378,Muscle,TMEM47,0.9552918024007864,379
379,Muscle,CDS1,0.9552787584766735,380
380,Muscle,COX5B,0.955256854802087,381
381,Muscle,RPLP0P6,0.9552207267514243,382
382,Muscle,ZNF678,0.9551976533439644,383
383,Muscle,AKR1C3,0.9551928296884736,384
384,Muscle,TCTA,0.9551258479290429,385
385,Muscle,FAM131A,0.9551217783231944,386
386,Muscle,ZNF112,0.9550957808606173,387
387,Muscle,BCL9,0.9550498168341104,388
388,Muscle,CDCA4,0.9550482680935612,389
389,Muscle,LRRC14,0.9550358605397987,390
390,Muscle,DOCK4,0.9550089883086975,391
391,Muscle,HSPB8,0.9550063563854351,392
392,Muscle,OAT,0.9549880827276074,393
393,Muscle,ZNF614,0.9549729271191002,394
394,Muscle,HSPB2,0.9549674015627807,395
395,Muscle,PCGF1,0.9549645814249792,396
396,Muscle,MBNL1,0.9548990427971888,397
397,Muscle,TSPAN15,0.9548909696878785,398
398,Muscle,DHCR24,0.9548774650014492,399
399,Muscle,GRIP1,0.9548226569996063,400
400,Muscle,PYGB,0.9548120642492919,401
401,Muscle,NKG7,0.9547698945694408,402
402,Muscle,DHX32,0.9547471651536052,403
403,Muscle,CCDC18,0.9547362828987798,404
404,Muscle,RBBP7,0.9546934767224617,405
405,Muscle,TRIM47,0.954678247172811,406
406,Muscle,SNHG20,0.9546726513102026,407
407,Muscle,RASA3,0.9546686307289922,408
408,Muscle,TPPP,0.9546657387112634,409
409,Muscle,FIBIN,0.9546115514621495,410
410,Muscle,ATF7IP,0.9545980141540261,411
411,Muscle,ZNF629,0.95459734153037,412
412,Muscle,SEC61A1,0.9545223727015782,413
413,Muscle,DMXL2,0.954506254467461,414
414,Muscle,BAZ2B,0.9544135826909929,415
415,Muscle,GPATCH8,0.954386293154632,416
416,Muscle,MRPL55,0.9543540867413656,417
417,Muscle,MAP2K6,0.9543179262981712,418
418,Muscle,KIF24,0.9542438559972616,419
419,Muscle,SF3B5,0.9541981526168409,420
420,Muscle,WDR1,0.9541689843652706,421
421,Muscle,BCAS3,0.9541166329017987,422
422,Muscle,SPRYD4,0.9541100163228836,423
423,Muscle,KLHL41,0.9540585594839007,424
424,Muscle,VPS18,0.9540556539409996,425
425,Muscle,DSG2,0.9540537926731605,426
426,Muscle,PSKH1,0.9540237647236601,427
427,Muscle,COMTD1,0.9539838072846136,428
428,Muscle,ASB2,0.9539756989193164,429
429,Muscle,ABI2,0.9539523658238912,430
430,Muscle,SNPH,0.9538898658364634,431
431,Muscle,MYL6B,0.9538571588249507,432
432,Muscle,TNK2,0.9538378758728215,433
433,Muscle,RBFOX2,0.9538377606267942,434
434,Muscle,DNAJC30,0.9538356883010202,435
435,Muscle,RPS15A,0.9538342181908896,436
436,Muscle,RP11-736K20.5,0.9538019501349588,437
437,Muscle,FAM166B,0.9538005549681625,438
438,Muscle,FCHSD2,0.9537867318622514,439
439,Muscle,IL18,0.9537350799739122,440
440,Muscle,PCM1,0.9537315991242139,441
441,Muscle,PKNOX1,0.9537287287875451,442
442,Muscle,MSTN,0.9537145159358048,443
443,Muscle,STIL,0.9536910590538301,444
444,Muscle,POLR3B,0.9536855001012431,445
445,Muscle,RPL13,0.9536845706782505,446
446,Muscle,TMEM201,0.953631446060337,447
447,Muscle,NEDD8,0.9536312947672342,448
448,Muscle,SCML2,0.9536253607031943,449
449,Muscle,GRN,0.9536232917096066,450
450,Muscle,TXN2,0.9536033885519419,451
451,Muscle,C18orf21,0.9535904207096806,452
452,Muscle,EHD1,0.9535727690387142,453
453,Muscle,MORF4L2,0.9535414482267216,454
454,Muscle,KRT8,0.9535390808763229,455
455,Muscle,MCM6,0.9535251469832975,456
