,Tissue Name,Gene Name,Centrality,Rank
0,Kidney,COL16A1,1.0,1
1,Kidney,SERPINF1,0.9993149494841708,2
2,Kidney,SVEP1,0.9888097562940686,3
3,Kidney,SRPX2,0.9749021977560326,4
4,Kidney,TNS3,0.9652625504334378,5
5,Kidney,FMOD,0.9645763382873866,6
6,Kidney,STEAP4,0.9637521516555966,7
7,Kidney,USP19,0.9630000708114326,8
8,Kidney,BCL2L2,0.9628571111770482,9
9,Kidney,PLOD3,0.9571077776998218,10
10,Kidney,C1R,0.9570104562666374,11
11,Kidney,PPP1R14A,0.9563328250635849,12
12,Kidney,GTF2H1,0.952451219464581,13
13,Kidney,USP5,0.9521409199314759,14
14,Kidney,SMARCD3,0.9521285357478438,15
15,Kidney,COL8A1,0.9515561142771879,16
16,Kidney,RP11-274B21.9,0.9499843549120578,17
17,Kidney,CRNKL1,0.9481528564227485,18
18,Kidney,TMEM116,0.9473862347911924,19
19,Kidney,PLCE1,0.9466510374141581,20
20,Kidney,RBM3,0.9454442746223635,21
21,Kidney,TMEM223,0.9444731395296443,22
22,Kidney,NRIP2,0.9444122902300689,23
23,Kidney,B4GAT1,0.9432072104797395,24
24,Kidney,ATP6V0D1,0.9427817035111348,25
25,Kidney,SYS1,0.9419226829840486,26
26,Kidney,PALLD,0.941776847601424,27
27,Kidney,CMTM7,0.94174246040122,28
28,Kidney,SPON1,0.9411575343685197,29
29,Kidney,PCYOX1,0.9408565480381879,30
30,Kidney,FH,0.9396947429780499,31
31,Kidney,NDUFA9,0.9388887464773782,32
32,Kidney,SHKBP1,0.9384348420296382,33
33,Kidney,HAT1,0.9384304001969894,34
34,Kidney,FHL5,0.9380963533719512,35
35,Kidney,UGT1A9,0.9374331779473627,36
36,Kidney,IGF1R,0.9371712843647526,37
37,Kidney,ST6GALNAC3,0.9370617847858311,38
38,Kidney,SAMHD1,0.9370357912922822,39
39,Kidney,TNS1,0.9369644302415499,40
40,Kidney,SLC3A1,0.9367001247604201,41
41,Kidney,ASXL1,0.9357476936588686,42
42,Kidney,MESDC2,0.9355672619751803,43
43,Kidney,CTSK,0.9354417826817507,44
44,Kidney,MYO5B,0.9353283701453012,45
45,Kidney,LAMP2,0.9346945112562538,46
46,Kidney,HUWE1,0.9345498246644537,47
47,Kidney,RBMS3,0.9344265045367554,48
48,Kidney,CENPO,0.9344162357288586,49
49,Kidney,ZNF550,0.934275585236087,50
50,Kidney,RGS16,0.9339973412241929,51
51,Kidney,PES1,0.9325277704500996,52
52,Kidney,SPATA18,0.9317438432349083,53
53,Kidney,PDLIM2,0.9317211929188821,54
54,Kidney,OGDH,0.9313842923437178,55
55,Kidney,GGT5,0.9313462095140747,56
56,Kidney,ADRA2A,0.9311624314466552,57
57,Kidney,RAB40A,0.9311464249043868,58
58,Kidney,TXLNA,0.9300997332683759,59
59,Kidney,LINC00839,0.9295778896331884,60
60,Kidney,ASPSCR1,0.9295772144092344,61
61,Kidney,NDUFS3,0.9295303717907587,62
62,Kidney,SLC25A25-AS1,0.9293042475997435,63
63,Kidney,CFAP97,0.9293024239932184,64
64,Kidney,ELL,0.9288130253106355,65
65,Kidney,ASB1,0.9287749254219042,66
66,Kidney,CDK13,0.9281962535361944,67
67,Kidney,VLDLR,0.9279872620537924,68
68,Kidney,STAT5B,0.9271905346313678,69
69,Kidney,CRTC3,0.9266202367707057,70
70,Kidney,LRRC2,0.9264349571035839,71
71,Kidney,DDX54,0.9263204996128723,72
72,Kidney,SEPT4,0.926312033137115,73
73,Kidney,SPIDR,0.9256094828280763,74
74,Kidney,HSPA1A,0.9255985270759509,75
75,Kidney,RP11-159D12.2,0.9255125707513181,76
76,Kidney,MLLT6,0.9249969279086715,77
77,Kidney,PYCR2,0.9249938162626375,78
78,Kidney,TIMM50,0.9247478058150949,79
79,Kidney,NCDN,0.9239901229896604,80
80,Kidney,GRB2,0.9239121853308859,81
