,Tissue Name,Gene Name,Centrality,Rank
0,Kidney,COL16A1,1.0,1
1,Kidney,SERPINF1,0.9970763667909669,2
2,Kidney,SVEP1,0.9820340708854527,3
3,Kidney,SRPX2,0.977031125871568,4
4,Kidney,CYBRD1,0.9764884841839945,5
5,Kidney,CNN1,0.9670308142253422,6
6,Kidney,FMOD,0.959949746764753,7
7,Kidney,BCL2L2,0.9568965519278112,8
8,Kidney,STEAP4,0.9567103384776434,9
9,Kidney,USP19,0.9559805449783012,10
10,Kidney,C1R,0.9552031316846703,11
11,Kidney,PLCE1,0.9547635065980185,12
12,Kidney,RP11-274B21.9,0.9539971789701376,13
13,Kidney,FKBP11,0.9494434383433729,14
14,Kidney,NRIP2,0.9476155600244675,15
15,Kidney,GTF2H1,0.9468164385871757,16
16,Kidney,COL8A1,0.9462320359325235,17
17,Kidney,PPP1R14A,0.945902530057414,18
18,Kidney,PLOD3,0.9447965667111544,19
19,Kidney,USP5,0.943699078485367,20
20,Kidney,ATP6V0D1,0.9435826911901044,21
21,Kidney,SPON1,0.9431275630332626,22
22,Kidney,SMARCD3,0.9420901133308693,23
23,Kidney,SYS1,0.9417146450443078,24
24,Kidney,CRNKL1,0.9411149088415971,25
25,Kidney,TMEM116,0.9386477690141202,26
26,Kidney,SLC3A1,0.9385757214487688,27
27,Kidney,UGT1A9,0.9385725722346513,28
28,Kidney,MIR100HG,0.9383583212937863,29
29,Kidney,PDLIM2,0.9382420913675837,30
30,Kidney,MYO5B,0.9378830183916936,31
31,Kidney,ZNF106,0.9377477094495384,32
32,Kidney,ST6GALNAC3,0.9377419041769882,33
33,Kidney,B4GAT1,0.9370617690088294,34
34,Kidney,PALLD,0.9368090875830287,35
35,Kidney,HAT1,0.9367615013395346,36
36,Kidney,GGT5,0.9367475675040934,37
37,Kidney,IGF1R,0.9366638467863332,38
38,Kidney,SHKBP1,0.9348247220410759,39
39,Kidney,TNS1,0.9345781894026913,40
40,Kidney,RGS16,0.9344130029550927,41
41,Kidney,EMC3,0.9343069444859586,42
42,Kidney,RBM3,0.9337318281078656,43
43,Kidney,LAMP2,0.9333219709251981,44
44,Kidney,RAB40A,0.9326754388631866,45
45,Kidney,SAMHD1,0.9326498994508566,46
46,Kidney,NDUFA9,0.932381874192925,47
47,Kidney,CMTM7,0.9317607105855339,48
48,Kidney,FH,0.9314142644718286,49
49,Kidney,LINC00839,0.931082774271042,50
50,Kidney,FHL5,0.9309785754891431,51
51,Kidney,HUWE1,0.9307803564584484,52
52,Kidney,SLC25A25-AS1,0.9307692457118647,53
53,Kidney,SPATA18,0.930599144098088,54
54,Kidney,RBMS3,0.9304536949242,55
55,Kidney,NADK2,0.930179779571663,56
56,Kidney,VAMP5,0.9301722902454164,57
57,Kidney,PCYOX1,0.9299972711461385,58
58,Kidney,ELL,0.929962882352068,59
59,Kidney,ZNF550,0.9292243174086837,60
60,Kidney,RP11-159D12.2,0.9289696832080367,61
