,Tissue Name,Gene Name,Centrality,Rank
0,Kidney,COL16A1,1.0,1
1,Kidney,FBLN1,0.9922115649338096,2
2,Kidney,SERPINF1,0.9883111943612458,3
3,Kidney,SVEP1,0.9761913085453667,4
4,Kidney,SRPX2,0.9754043542916467,5
5,Kidney,CNN1,0.9734059807134585,6
6,Kidney,FMOD,0.9611134181590532,7
7,Kidney,STEAP4,0.9544384885277384,8
8,Kidney,USP19,0.952096865572373,9
9,Kidney,BCL2L2,0.9516208180941127,10
10,Kidney,PPP1R14A,0.950832475467516,11
11,Kidney,C1R,0.9458082173044394,12
12,Kidney,FKBP11,0.9439668908134594,13
13,Kidney,USP5,0.9439444502864558,14
14,Kidney,RP11-274B21.9,0.9431223698980634,15
15,Kidney,SPON1,0.9423292637202483,16
16,Kidney,COL8A1,0.940367443265029,17
17,Kidney,PLCE1,0.9399732116154088,18
18,Kidney,NRIP2,0.9399122122387631,19
19,Kidney,ATP6V0D1,0.9394634421106403,20
20,Kidney,SMARCD3,0.939441043489126,21
21,Kidney,GTF2H1,0.9379547463615066,22
22,Kidney,B4GAT1,0.9374539569805013,23
23,Kidney,PLOD3,0.9372289988491145,24
24,Kidney,MYO5B,0.9368576015301411,25
25,Kidney,PALLD,0.9366205205978836,26
26,Kidney,LAMP2,0.935789437477985,27
27,Kidney,IGF1R,0.9351473721347661,28
28,Kidney,FHL5,0.9349215057455423,29
29,Kidney,SLC3A1,0.9347112413501519,30
30,Kidney,ZNF106,0.9344044817009285,31
31,Kidney,HUWE1,0.9341905854338094,32
32,Kidney,SAMHD1,0.9332204399427175,33
33,Kidney,SHKBP1,0.9331496368894541,34
34,Kidney,PCYOX1,0.9331288282948283,35
35,Kidney,UGT1A9,0.9330709661485432,36
36,Kidney,CMTM7,0.9330422381238015,37
37,Kidney,TMEM116,0.9329130262317208,38
38,Kidney,TNS1,0.9324891182093816,39
39,Kidney,ST6GALNAC3,0.9318198968460629,40
40,Kidney,MESDC2,0.9313685456338721,41
41,Kidney,LINC00839,0.9304179043333607,42
42,Kidney,SYS1,0.9289187521719175,43
43,Kidney,CTSK,0.9283331219563458,44
44,Kidney,FH,0.9280312512695456,45
45,Kidney,RBM3,0.9278711673795046,46
46,Kidney,RGS16,0.9278320262925405,47
47,Kidney,ASXL1,0.9269778594878251,48
48,Kidney,RAB40A,0.9269393462467831,49
49,Kidney,CENPO,0.9269210880325892,50
50,Kidney,EMC3,0.9264250841267111,51
51,Kidney,HAT1,0.926420271944572,52
52,Kidney,SPATA18,0.9257504484270478,53
53,Kidney,GGT5,0.9257494813922278,54
54,Kidney,SPIDR,0.924403899122999,55
55,Kidney,PDLIM2,0.9242029517150429,56
56,Kidney,PES1,0.9235765201690631,57
57,Kidney,NR6A1,0.9229894729142596,58
58,Kidney,NCOA6,0.9221253757936154,59
59,Kidney,ELL,0.9220671215409467,60
60,Kidney,VAMP5,0.9218565234387063,61
61,Kidney,LRRC2,0.9218081616277828,62
62,Kidney,OGDH,0.9217136694483585,63
63,Kidney,LYSMD4,0.9217127957905075,64
64,Kidney,ADRA2A,0.9216814558136666,65
65,Kidney,DDX54,0.9215314301139407,66
66,Kidney,ZNF550,0.9214841615039143,67
67,Kidney,CFAP97,0.9214267091095542,68
68,Kidney,NADK2,0.9213933831189468,69
69,Kidney,PLA2G4A,0.9210341533981453,70
70,Kidney,GLB1,0.9209973562815773,71
71,Kidney,MLLT6,0.9201799199719127,72
72,Kidney,RBM10,0.9201693188335239,73
73,Kidney,NDUFS3,0.919472222700902,74
74,Kidney,RBMS3,0.9190354285600628,75
75,Kidney,USP2,0.9189662860280472,76
76,Kidney,SLC25A25-AS1,0.9186935224703457,77
77,Kidney,TXLNA,0.9185236676433034,78
78,Kidney,RP11-159D12.2,0.9181961396144385,79
79,Kidney,LAPTM4A,0.9181717234395262,80
80,Kidney,ASB1,0.9181520091286297,81
81,Kidney,NOP2,0.9174380639611803,82
82,Kidney,SMARCA1,0.9173481367456643,83
83,Kidney,XYLT2,0.9172956968450957,84
84,Kidney,NANS,0.9171053805768207,85
85,Kidney,PRDM11,0.9167024945593781,86
86,Kidney,ATG16L2,0.9166018864626413,87
87,Kidney,TADA2B,0.9164712375714057,88
88,Kidney,PROSER3,0.9164605066275514,89
89,Kidney,NCDN,0.9162982538274942,90
90,Kidney,RP9P,0.9162563025824939,91
91,Kidney,ASPSCR1,0.9157488347154562,92
92,Kidney,HTT,0.9154821866614162,93
93,Kidney,GRB2,0.9153334103536989,94
94,Kidney,LMTK2,0.9151465701364786,95
95,Kidney,CDK13,0.9150225316796472,96
96,Kidney,RNF13,0.9148715144139206,97
97,Kidney,SEPT4,0.9148408237712016,98
98,Kidney,PYCR2,0.9145384113098836,99
99,Kidney,STAT5B,0.9144452576655658,100
100,Kidney,CRTC3,0.914203475171503,101
101,Kidney,TIMM50,0.9137316174407152,102
102,Kidney,RP11-324I22.4,0.913544742500512,103
103,Kidney,RP5-1112D6.7,0.9135309021814982,104
104,Kidney,VLDLR,0.913386484271834,105
105,Kidney,RGP1,0.912480575477728,106
106,Kidney,CRIP3,0.9118134279724442,107
107,Kidney,ATP5F1,0.9114841457084608,108
108,Kidney,ADAP1,0.9114212471655725,109
109,Kidney,RP11-182L21.6,0.911123562169591,110
110,Kidney,RFX1,0.9110824376470097,111
111,Kidney,GM2A,0.911067651981339,112
112,Kidney,EGLN3,0.9103984663589814,113
113,Kidney,CPSF7,0.9101853873780517,114
114,Kidney,VILL,0.9100872466799204,115
115,Kidney,FAM168B,0.9097737487720676,116
116,Kidney,ARHGEF26-AS1,0.9096857289909911,117
117,Kidney,TARS2,0.9096237709642178,118
118,Kidney,HSPA1A,0.909595095778818,119
119,Kidney,DSTN,0.9095922773849922,120
120,Kidney,SLC25A37,0.9095340895790452,121
121,Kidney,AFM,0.9089044879305475,122
122,Kidney,MKL2,0.908739464812321,123
123,Kidney,RAB8A,0.9086265701229609,124
124,Kidney,AP5M1,0.9085435286603838,125
125,Kidney,RP11-304L19.11,0.9083540218095563,126
126,Kidney,PKDCC,0.90783900499351,127
127,Kidney,PSAP,0.9074208504911846,128
128,Kidney,SNX21,0.9073649029868474,129
129,Kidney,PCMT1,0.9065186685372351,130
130,Kidney,CPE,0.9064757502148204,131
131,Kidney,PASK,0.9062726983108107,132
132,Kidney,BRF1,0.9062589503998179,133
133,Kidney,BATF3,0.9058513379223098,134
134,Kidney,RP11-1017G21.5,0.9056582739140255,135
135,Kidney,MPC1,0.9055328838074224,136
136,Kidney,ST7,0.9050400707475342,137
137,Kidney,PTPRO,0.9049228201686216,138
138,Kidney,CCDC127,0.9047401663847192,139
139,Kidney,ZDHHC8,0.9037134555157843,140
140,Kidney,PPP5C,0.9036356685055041,141
141,Kidney,C1QL1,0.9034442880551058,142
142,Kidney,GDE1,0.9030817443100517,143
143,Kidney,MSRB3,0.9029270470967704,144
144,Kidney,ACVR2A,0.9026309484866676,145
145,Kidney,TRAPPC1,0.9026142669668441,146
146,Kidney,FKBP10,0.9026038840446665,147
147,Kidney,FPGS,0.9024903750553439,148
148,Kidney,MFAP1,0.902254927331633,149
149,Kidney,NEURL1B,0.9020711460279188,150
150,Kidney,VDAC1,0.9019270585775829,151
151,Kidney,ATXN1,0.9019232902835138,152
152,Kidney,GMDS,0.9017738340663037,153
153,Kidney,SRM,0.9006250095786289,154
154,Kidney,BEST1,0.9001545465000087,155
155,Kidney,YAF2,0.9001414001685824,156
156,Kidney,BAG6,0.9001227492297686,157
157,Kidney,GALK2,0.9000672210697187,158
158,Kidney,MFSD5,0.8999440340653974,159
159,Kidney,DNAJC19,0.8997637193980857,160
160,Kidney,RRAS,0.8996398100641962,161
161,Kidney,PTPRQ,0.8993317589747925,162
162,Kidney,NF2,0.8992237406013824,163
163,Kidney,SLTM,0.8991424554726821,164
164,Kidney,RP11-64B16.2,0.8990166827968671,165
165,Kidney,KIF23,0.8989615109994996,166
166,Kidney,TAF7,0.898898575025365,167
167,Kidney,MRVI1,0.8986080423999777,168
168,Kidney,TMEM102,0.89841545582385,169
169,Kidney,GAN,0.8983302933868985,170
170,Kidney,DRAM2,0.898277345310563,171
171,Kidney,REEP5,0.8979739631534329,172
172,Kidney,UNC13D,0.8979338260410625,173
173,Kidney,ANKLE2,0.8977873532998758,174
174,Kidney,CHCHD6,0.8977652388879808,175
175,Kidney,EID1,0.8977239521874609,176
176,Kidney,WDR12,0.8976049564401565,177
177,Kidney,TNFAIP2,0.897558909900398,178
178,Kidney,PARD3B,0.8975158684568539,179
179,Kidney,BBIP1,0.8974072847707604,180
180,Kidney,SYPL1,0.8970685413804458,181
181,Kidney,ODF2L,0.8968847866258691,182
182,Kidney,RNF20,0.8968322093666875,183
183,Kidney,WDR81,0.8967664949694577,184
184,Kidney,TUG1,0.8966089334653462,185
185,Kidney,CHRM3-AS2,0.8965354851184657,186
186,Kidney,RPS6KB1,0.8962735591253596,187
187,Kidney,PDPK1,0.8960807561686,188
188,Kidney,UNC93B1,0.8957251307685719,189
189,Kidney,MAP3K1,0.8956498363318597,190
190,Kidney,NID1,0.8955233651799481,191
191,Kidney,NET1,0.8954161649826139,192
192,Kidney,AKAP13,0.8945637593348414,193
193,Kidney,DPM2,0.8944897752254266,194
194,Kidney,TBCB,0.8943621196893213,195
195,Kidney,HIVEP1,0.8940537459227841,196
196,Kidney,GRWD1,0.8939821767589144,197
197,Kidney,MLLT1,0.8939223717163314,198
198,Kidney,SNRPB,0.8936893058591053,199
199,Kidney,ELOF1,0.8936119587512787,200
200,Kidney,CTCF,0.8934632936594138,201
201,Kidney,FAM43B,0.8932151845443054,202
202,Kidney,RP11-734K21.5,0.8930450339213766,203
203,Kidney,RUVBL1,0.8929610800260975,204
204,Kidney,PTEN,0.8928669948738795,205
205,Kidney,DOLK,0.8927098293768891,206
206,Kidney,CTD-2553L13.9,0.8925841448387849,207
207,Kidney,FBXO4,0.8925604297535275,208
208,Kidney,ZNF324B,0.8924898850308429,209
209,Kidney,EZR,0.8923603645751805,210
210,Kidney,EPB41L5,0.8922280868131369,211
211,Kidney,TCIRG1,0.8921669303415856,212
212,Kidney,TYRO3,0.891976652558671,213
213,Kidney,KPNA1,0.8918544702609192,214
214,Kidney,PLN,0.8915593040935841,215
215,Kidney,CTD-3064M3.7,0.8914584993463311,216
216,Kidney,TEAD4,0.891416001542193,217
217,Kidney,SIAE,0.8913510844003045,218
218,Kidney,VAMP2,0.8913158510236651,219
219,Kidney,FAF2,0.8912474657010462,220
220,Kidney,RP11-23D24.2,0.8912430626700514,221
221,Kidney,ADGRE2,0.8910452117694128,222
222,Kidney,TBC1D2B,0.8908970420188853,223
223,Kidney,RP11-283I3.2,0.8907160137205059,224
224,Kidney,MXRA8,0.8906787035566035,225
225,Kidney,HPF1,0.8903794775225649,226
226,Kidney,PLAGL1,0.8903612928046483,227
227,Kidney,MFSD9,0.8897630085892889,228
228,Kidney,FKBP8,0.8897320679689724,229
229,Kidney,THAP5,0.8896836767091603,230
230,Kidney,RAB3D,0.8896043733699112,231
231,Kidney,TECPR1,0.8895609118371152,232
232,Kidney,PSMC2,0.8895026290956467,233
233,Kidney,TUBA4A,0.8894578125122019,234
234,Kidney,RP11-254A24.2,0.8893937875868518,235
235,Kidney,FAM89A,0.8893876171276859,236
236,Kidney,EXOSC10,0.8893196786656848,237
237,Kidney,NAALADL1,0.8891736756956305,238
238,Kidney,TRAFD1,0.8890668236893944,239
239,Kidney,CCDC92,0.8890550605501367,240
240,Kidney,CDH6,0.889041130350204,241
241,Kidney,PET100,0.888941961943062,242
242,Kidney,DNAJC5,0.888939937546084,243
243,Kidney,CYP4X1,0.8886479207472935,244
244,Kidney,EPDR1,0.8885190473267219,245
245,Kidney,PLEKHB1,0.8884584718229505,246
246,Kidney,SOD3,0.8883823883858513,247
247,Kidney,CENPBD1P1,0.8882658979871136,248
248,Kidney,TSNARE1,0.8881918870808796,249
249,Kidney,RP11-324O2.3,0.8881435932075781,250
250,Kidney,NUDCD1,0.8878522455128897,251
251,Kidney,PSMC3IP,0.8877564424852635,252
252,Kidney,NAA60,0.8876252484824374,253
253,Kidney,VSIG8,0.8875500980961326,254
