Tissue Name,Gene Name,Centrality,Rank
Breast,DDR1,1.0,1
Breast,AGPS,0.9984,2
Breast,BTN3A3,0.9842,3
Breast,CYP4F12,0.9835,4
Breast,CDAN1,0.9767,5
Breast,TSSK3,0.9739,6
Breast,ZNF324B,0.9736,7
Breast,TPCN1,0.9719,8
Breast,ZNF446,0.9713,9
Breast,ZNF3,0.9708,10
Breast,PAXIP1,0.9695,11
Breast,SUPT5H,0.968,12
Breast,RP11-464F9.20,0.9673,13
Breast,LRIG1,0.9663,14
Breast,CYSLTR1,0.965,15
Breast,DLEU2,0.9644,16
Breast,SUCNR1,0.9638,17
Breast,CCDC178,0.9636,18
Breast,TOM1L1,0.9629,19
Breast,KMT2B,0.9626,20
Breast,L3MBTL1,0.9612,21
Breast,IGIP,0.9605,22
Breast,CLIC5,0.9576,23
Breast,RASGRF2,0.9573,24
Breast,SMPD4,0.9562,25
Breast,PRKCZ,0.9552,26
Breast,RBBP4,0.9552,27
Breast,RCBTB2,0.9547,28
Breast,PHF12,0.9539,29
Breast,RP11-368J21.3,0.9521,30
Breast,XAF1,0.9518,31
Breast,ENPEP,0.9516,32
Breast,PLEKHG3,0.9515,33
Breast,ZNF204P,0.9514,34
Breast,ADAP2,0.9514,35
Breast,QPCTL,0.9481,36
Breast,WARS,0.9478,37
Breast,TCF15,0.9477,38
Breast,ARPC2,0.9447,39
Breast,ECM1,0.9447,40
Breast,NCL,0.9414,41
Breast,HGS,0.9409,42
Breast,RP11-733O18.1,0.9397,43
Breast,RP11-473M20.9,0.9397,44
Breast,SPATA5L1,0.9396,45
Breast,EHMT1,0.9394,46
Breast,PIDD1,0.9392,47
Breast,CHERP,0.938,48
Breast,IRF6,0.9377,49
Breast,PATZ1,0.9374,50
Breast,CD36,0.9366,51
Breast,C14orf159,0.9363,52
Breast,KDM4B,0.9363,53
Breast,PARP14,0.9362,54
Breast,TAF13,0.9358,55
Breast,DCBLD1,0.9342,56
Breast,GOLGA2P5,0.934,57
Breast,ZNF554,0.9327,58
Breast,ZER1,0.9324,59
Breast,TRIM69,0.9319,60
Breast,CPQ,0.9315,61
Breast,ESRP2,0.9305,62
Breast,RP11-1094M14.5,0.9303,63
Breast,RP11-347C12.1,0.9295,64
Breast,RP11-236L14.2,0.9294,65
Breast,C17orf96,0.9292,66
Breast,KDM1A,0.9291,67
Breast,RP11-181E10.3,0.9288,68
Breast,KIAA1522,0.9282,69
Breast,SNORA26,0.928,70
Breast,ZNF764,0.9277,71
Breast,ATP8A1,0.927,72
Breast,SAP25,0.9269,73
Breast,DPY19L2,0.9268,74
Breast,FAR2,0.9268,75
Breast,RP11-686D22.4,0.9264,76
Breast,CCND2,0.9262,77
Breast,RP11-588K22.2,0.926,78
Breast,PGM5P4-AS1,0.9256,79
Breast,ANK3,0.9253,80
Breast,MAP3K9,0.9252,81
Breast,GTF3C2,0.9252,82
Breast,RP11-167P11.2,0.9246,83
Breast,EDC4,0.9244,84
Breast,SLFN11,0.9244,85
Breast,ZNF776,0.9243,86
Breast,TRDC,0.9243,87
Breast,DDX60,0.9238,88
Breast,DSP,0.9238,89
Breast,RP11-694I15.7,0.9238,90
Breast,IFIT1,0.9234,91
Breast,SPDEF,0.923,92
Breast,RP11-327J17.9,0.9225,93
Breast,AC104654.2,0.9221,94
Breast,GAS8,0.9213,95
Breast,CDRT4,0.9212,96
Breast,ZFP14,0.9212,97
Breast,DDX54,0.921,98
Breast,RP11-876N24.3,0.9209,99
Breast,KDELR3,0.9207,100
Breast,RP11-66N24.3,0.9203,101
Breast,ADAM23,0.9203,102
Breast,PELP1,0.92,103
Breast,CTD-2619J13.14,0.92,104
Breast,PCDHGB5,0.9189,105
Breast,SMIM10L2A,0.9187,106
Breast,RP5-1159O4.1,0.9186,107
Breast,ACVR2B-AS1,0.9184,108
Breast,SKOR1,0.9178,109
Breast,SMAD7,0.9175,110
Breast,KCNJ14,0.9174,111
Breast,LDB1,0.9171,112
Breast,FABP5,0.9171,113
Breast,PSMB9,0.9169,114
Breast,AC005077.14,0.9168,115
Breast,AC025811.3,0.9166,116
Breast,NOP14,0.9165,117
Breast,TLR3,0.9164,118
Breast,BAIAP2,0.9163,119
Breast,DDX24,0.9163,120
Breast,SAMD9,0.9159,121
Breast,ZNF142,0.9157,122
Breast,GPR143,0.9153,123
Breast,CNPY4,0.9153,124
Breast,C18orf54,0.9152,125
Breast,AP3S1,0.9151,126
Breast,RBM41,0.915,127
Breast,SLC16A5,0.9141,128
Breast,SH3BGRL3,0.9141,129
Breast,HSD17B13,0.914,130
Breast,GET4,0.9138,131
Breast,TRIM11,0.9134,132
Breast,PRRC2B,0.9132,133
Breast,SHROOM3,0.9131,134
Breast,ETS1,0.9131,135
Breast,PARP12,0.9129,136
Breast,GPN2,0.9126,137
Breast,TAP2,0.9125,138
Breast,S100A10,0.9123,139
Breast,BTNL9,0.912,140
Breast,MAPKAPK5,0.912,141
Breast,CCDC189,0.9119,142
Breast,C19orf71,0.9118,143
Breast,HIVEP1,0.9118,144
Breast,AP1S2,0.9113,145
Breast,RP11-496I9.1,0.9112,146
Breast,TMC7,0.9104,147
Breast,APOBEC3G,0.9103,148
Breast,TNFSF13B,0.9103,149
Breast,EIF2S2,0.9103,150
Breast,SAMD9L,0.91,151
Breast,DHX37,0.91,152
Breast,ZFPM2,0.91,153
Breast,RP11-449P15.2,0.9095,154
Breast,RALA,0.9095,155
Breast,CTD-2591A1.1,0.9095,156
Breast,KDM5B,0.9091,157
Breast,SSH3,0.9089,158
Breast,EIF3D,0.9087,159
Breast,MTHFSD,0.9087,160
Breast,RP11-61L23.2,0.9087,161
Breast,RAD18,0.9084,162
Breast,TCAF2,0.9082,163
Breast,DCST2,0.908,164
Breast,ASPA,0.9078,165
Breast,PRR15L,0.9078,166
Breast,CUL9,0.9077,167
Breast,ZNF19,0.9076,168
Breast,ANKRD29,0.9075,169
Breast,EFL1,0.9069,170
Breast,AC005592.1,0.9069,171
Breast,TMEM101,0.9066,172
Breast,PTDSS1,0.9065,173
Breast,ZNF606,0.9065,174
Breast,CXCR2P1,0.9064,175
Breast,PRPF8,0.9063,176
Breast,RP11-203J24.8,0.9063,177
