,Tissue Name,Gene Name,Centrality,Rank
1870,Adipose,ZNF521,1.0,1
1172,Adipose,DOCK11,0.9891034623493322,2
109,Adipose,BDKRB1,0.9882691720179569,3
1118,Adipose,GIT1,0.9869126927640756,4
3669,Adipose,PPP2R2A,0.9866775031793795,5
3543,Adipose,CLTC,0.9866298145913271,6
1593,Adipose,MYO5B,0.9865379124193772,7
1615,Adipose,PLEKHH3,0.9861893403474165,8
3531,Adipose,CSNK1G1,0.9835407271303865,9
1979,Adipose,CDK6,0.9827083671466798,10
438,Adipose,CDC42EP3,0.9826284519228895,11
1739,Adipose,AKIRIN2,0.9825684276699193,12
2729,Adipose,ADAMTSL3,0.9822378983385015,13
2299,Adipose,GPRASP2,0.9819053347985965,14
1199,Adipose,CDC23,0.9815807564094003,15
1317,Adipose,UQCR11,0.981377958817947,16
5270,Adrenal,LRRC59,0.9813524517521824,17
1381,Adipose,C19orf43,0.9806359660087589,18
3639,Adipose,NME2,0.9802101349142444,19
800,Adipose,DSC2,0.97869821105125,20
2456,Adipose,HSF4,0.9780873371216701,21
1819,Adipose,CLTA,0.9778197270812484,22
1900,Adipose,NCBP2,0.9776922713851962,23
205,Adipose,LIF,0.977377696016547,24
775,Adipose,SLC31A1,0.9763639525872339,25
79,Adipose,HOXA4,0.9759350782174355,26
585,Adipose,LINC00910,0.975696443827344,27
2315,Adipose,ATP10A,0.9756009207612156,28
2524,Adipose,RP11-524F11.1,0.9753803800917902,29
424,Adipose,PHC2,0.9746868957428578,30
2164,Adipose,CDCA7L,0.9743981665180171,31
2316,Adipose,UBE2D3,0.9740438660740213,32
3124,Adipose,RDH14,0.9732091727434666,33
1025,Adipose,RAB36,0.9731199161429511,34
984,Adipose,PRSS12,0.9729419822058338,35
2664,Adipose,ACAP2,0.9724998619400518,36
2993,Adipose,YBX3,0.9724043763410821,37
1664,Adipose,KLF16,0.9721948603820678,38
462,Adipose,FCHSD2,0.9719486451081673,39
1347,Adipose,NMUR1,0.9714203916831927,40
254,Adipose,CRADD,0.9711134771515013,41
1863,Adipose,CTC-428H11.2,0.9709615693775663,42
3771,Adipose,RP11-106M3.3,0.970234094151047,43
3241,Adipose,CCDC71L,0.9701381568716668,44
3282,Adipose,PFN1,0.9697644308649882,45
3186,Adipose,SLC35C1,0.9693625965795865,46
1321,Adipose,IL11RA,0.9691499413390672,47
664,Adipose,FILIP1,0.9691024155487609,48
835,Adipose,SAFB,0.9684162376606138,49
363,Adipose,SCPEP1,0.968318776972383,50
2988,Adipose,PDGFB,0.968205525584533,51
2888,Adipose,PAK3,0.9679836716858149,52
1035,Adipose,ZBTB4,0.9676796575311817,53
2943,Adipose,TCEB2,0.967633997852867,54
1291,Adipose,KIAA0895L,0.9674958416941088,55
3228,Adipose,KAT2A,0.9670656164864808,56
1404,Adipose,SOCS4,0.9669246973368532,57
2574,Adipose,STARD9,0.9668736365044197,58
371,Adipose,RPS19,0.9667549647905695,59
3530,Adipose,C1orf204,0.9666624163660792,60
2415,Adipose,RP11-466H18.1,0.9666313289640954,61
1125,Adipose,STK17A,0.9665319514562881,62
3104,Adipose,TBC1D20,0.9664445356255077,63
2216,Adipose,BCL2A1,0.96644244215657,64
1028,Adipose,HNRNPH2,0.9664409040881489,65
1143,Adipose,MED9,0.9660751587262241,66
564,Adipose,RP11-187C18.3,0.9660495008407122,67
132,Adipose,PCGF6,0.9657230315693228,68
1123,Adipose,CCS,0.9655888751497541,69
830,Adipose,ZNF594,0.9652273980979631,70
1093,Adipose,COX7CP1,0.9649627385494941,71
2358,Adipose,PRDM1,0.9648731124868177,72
3573,Adipose,PRR13,0.9648360708481009,73
3180,Adipose,TCEAL8,0.9644197468020269,74
396,Adipose,MEX3D,0.9642490929378614,75
3619,Adipose,SNRNP70,0.9640916446786745,76
2317,Adipose,PLEKHA8,0.9640719857522252,77
116,Adipose,HBP1,0.9638741012256891,78
2833,Adipose,TP53I13,0.9637095739708662,79
3270,Adipose,SECTM1,0.963367163997905,80
900,Adipose,ADAM20P1,0.9632241805612036,81
2980,Adipose,CRAMP1,0.9629957555413574,82
3611,Adipose,LBH,0.9629105550708342,83
985,Adipose,C20orf24,0.9628768505638425,84
2055,Adipose,SLAMF1,0.9628024577597779,85
415,Adipose,TNFSF13,0.9627721574814261,86
7289,Adrenal,SMIM3,0.9624367223530288,87
1,Adipose,RERG,0.9622025823349182,88
3498,Adipose,BSDC1,0.9621129689092642,89
68,Adipose,OPTN,0.9620398304504822,90
816,Adipose,RP11-977G19.5,0.9619811393182941,91
2693,Adipose,BIRC6,0.9619524556574471,92
2232,Adipose,STX5,0.9618176153667699,93
2836,Adipose,MYNN,0.9618096793207825,94
2528,Adipose,RP4-625H18.2,0.9617959730104928,95
1890,Adipose,TNFRSF12A,0.961784206165628,96
2433,Adipose,C1orf159,0.9615909502269827,97
514,Adipose,CARD6,0.9614395818288413,98
1179,Adipose,MRPL41,0.9612913755527969,99
2066,Adipose,RXRB,0.9610809300135226,100
2105,Adipose,BX470102.3,0.9610100032841283,101
2835,Adipose,NPR3,0.9609930313435306,102
3082,Adipose,SLC45A3,0.9609870379889656,103
3566,Adipose,KLHL22,0.9609209217462975,104
1431,Adipose,EFS,0.9608763975315415,105
2027,Adipose,WARS2-IT1,0.96084759957621,106
3262,Adipose,ADAM19,0.9607473083480539,107
2150,Adipose,DNAJC4,0.9606682391218898,108
1880,Adipose,GREB1,0.9605101747087771,109
2590,Adipose,PTGDR,0.9604606090117227,110
439,Adipose,PAQR3,0.9604476815638417,111
1290,Adipose,MEGF10,0.960398463354464,112
3418,Adipose,KLHDC3,0.9602647283098497,113
4129,Adrenal,STX3,0.9600206362590471,114
2493,Adipose,PIGW,0.9600034690302269,115
784,Adipose,ATP1B2,0.9597611031102516,116
3170,Adipose,NEIL1,0.9595809404891709,117
2385,Adipose,HES7,0.9595407228681202,118
276,Adipose,KIAA0196-AS1,0.959373847396372,119
1969,Adipose,CLEC4E,0.9593318234958408,120
3023,Adipose,MKX,0.9592288917896266,121
1244,Adipose,TIMM13,0.9591280343240626,122
5705,Adrenal,NIT1,0.959101273711425,123
3517,Adipose,DUSP3,0.9590423422081611,124
1817,Adipose,AEN,0.9588531546828993,125
3808,Adipose,LNPEP,0.9587906103181536,126
2763,Adipose,PCBP1,0.9587741072039796,127
1854,Adipose,ATG16L2,0.9587063724046874,128
2242,Adipose,ZNF358,0.9585545768906876,129
1255,Adipose,GLCCI1,0.9585524377010589,130
2199,Adipose,MAP2K4,0.9585183500122985,131
2093,Adipose,ITGA11,0.9581556732829738,132
2350,Adipose,HCFC1R1,0.9580872282954328,133
73,Adipose,RASL12,0.9580608486718578,134
3761,Adipose,MAN1A1,0.9579769548432462,135
5667,Adrenal,ATG4B,0.9578946334154651,136
3774,Adipose,AC022819.3,0.957825866226826,137
1958,Adipose,PCDHB8,0.9578079820805178,138
