,Tissue Name,Gene Name,Centrality,Rank
0,Adipose,LRRC59,1.0,1
1,Adipose,FSTL1,0.9993374342235165,2
2,Adipose,ZNF771,0.9957749294861351,3
3,Adipose,ORC2,0.9945818481871935,4
4,Adipose,SRSF1,0.9887604686063892,5
5,Adipose,CEBPD,0.9870782521743481,6
6,Adipose,CELF6,0.9845825030842551,7
7,Adipose,TMEM160,0.9814491489771995,8
8,Adipose,KDELR2,0.9811746650391362,9
9,Adipose,APOLD1,0.9800567387592486,10
10,Adipose,AMPD2,0.9794948777236403,11
11,Adipose,RBM17,0.9782886849896293,12
12,Adipose,BACE1,0.9781875292239031,13
13,Adipose,AP1G1,0.9750140079109405,14
14,Adipose,TPGS1,0.97414474604724,15
15,Adipose,HNRNPU,0.9731666290031397,16
16,Adipose,COPG1,0.9721326337960629,17
17,Adipose,GRASP,0.969885361542399,18
18,Adipose,CHD3,0.969700050943679,19
19,Adipose,PDIA3,0.9686843523547545,20
20,Adipose,TIFA,0.9682816919243015,21
21,Adipose,TMUB1,0.9679991888106813,22
22,Adipose,MYADM,0.9679986411679717,23
23,Adipose,PPP2CA,0.9677384969588169,24
24,Adipose,LUC7L,0.9660754927536047,25
25,Adipose,AGO4,0.9656650710156698,26
26,Adipose,GSE1,0.9656585595988242,27
27,Adipose,PTAR1,0.9647674929321499,28
28,Adipose,ATP6AP1,0.9640905072076803,29
29,Adipose,DUSP6,0.9619931761918906,30
30,Adipose,CASKIN2,0.9610663122176765,31
31,Adipose,KLF9,0.960868400441401,32
32,Adipose,TMEM198B,0.9586168560436682,33
33,Adipose,HECW2,0.9585840238803333,34
34,Adipose,PFKFB3,0.9565582078785363,35
35,Adipose,C5AR2,0.9559252433071338,36
36,Adipose,PIK3R3,0.9556704943978537,37
37,Adipose,RUVBL1,0.9551498735536603,38
38,Adipose,HELZ2,0.955066399107359,39
39,Adipose,CFL1,0.9548393524482012,40
40,Adipose,KLF16,0.9544083972415908,41
41,Adipose,HOXB4,0.9539529326431085,42
42,Adipose,SEC13,0.9530303561741995,43
43,Adipose,MYDGF,0.9527240506494111,44
44,Adipose,RNF144A,0.952361545040776,45
45,Adipose,APLP2,0.9523269930291601,46
46,Adipose,INF2,0.9519821675132144,47
47,Adipose,NAA50,0.9518103973524045,48
48,Adipose,NEDD9,0.9507162892574293,49
49,Adipose,TRIM25,0.9503648693847674,50
50,Adipose,GLUL,0.9498007967633384,51
51,Adipose,SSR3,0.9493414566829053,52
52,Adipose,FBRSL1,0.949092278294118,53
53,Adipose,KLHL9,0.9488297129938281,54
54,Adipose,RILP,0.9482575925482749,55
55,Adipose,ITGAX,0.9479825757694342,56
56,Adipose,MAP4,0.9476823217074953,57
57,Adipose,HADHB,0.9473809395034256,58
58,Adipose,SMARCC2,0.9468105575586488,59
59,Adipose,TBL1XR1,0.946740879880054,60
60,Adipose,CDKN1A,0.9464451294656668,61
61,Adipose,B2M,0.9462349132240698,62
