,Tissue Name,Gene Name,Centrality,Rank
0,Breast,CCND3,1.0,1
1,Breast,SETD7,0.9784306482244941,2
2,Breast,RUNX1,0.9757468461187375,3
3,Breast,ATAT1,0.9671110226177261,4
4,Breast,CLINT1,0.9664904968821528,5
5,Breast,PSMA6,0.9662396608384416,6
6,Breast,ACAA2,0.9660002981215668,7
7,Breast,PCMT1,0.9638398099676793,8
8,Breast,DUT,0.9611457586691463,9
9,Breast,CDKN1B,0.9602853248738794,10
10,Breast,PUM2,0.9579542949960741,11
11,Breast,TMBIM1,0.9574594507183006,12
12,Breast,CYC1,0.9574371945091518,13
13,Breast,INPP5J,0.9549817315772217,14
14,Breast,TPGS1,0.9533616492337966,15
15,Breast,BCL2L2,0.952334226410363,16
16,Breast,COPB2,0.9520463377375175,17
17,Breast,SARS,0.9511101920492496,18
18,Breast,FBXL3,0.9510203467157411,19
19,Breast,ERGIC1,0.9504332843051858,20
20,Breast,SLC39A6,0.9496873849085563,21
21,Breast,RHOQ,0.9492314262679499,22
22,Breast,SLA,0.949183024451524,23
23,Breast,ARHGAP23,0.9489366933941906,24
24,Breast,ANKZF1,0.9482719697838247,25
25,Breast,YAF2,0.9476948446651672,26
26,Breast,SYTL1,0.9476926199608718,27
27,Breast,FAM222A,0.9469243206617669,28
28,Breast,NDST1,0.9469028812213771,29
29,Breast,CCNL1,0.9464508723881196,30
30,Breast,LMO7,0.9458713404592317,31
31,Breast,HNRNPU,0.945473996018812,32
32,Breast,SYT11,0.9454435090582272,33
33,Breast,TTC17,0.9454129392067974,34
34,Breast,FERMT2,0.9437990017573107,35
35,Breast,POLDIP2,0.9437956606241229,36
36,Breast,EPHB3,0.9435973649120353,37
37,Breast,ARFGEF3,0.9434513330317317,38
38,Breast,EFCAB14,0.943268256485441,39
39,Breast,RAMP2,0.943158628290659,40
40,Breast,SERPINA1,0.9430812486581972,41
41,Breast,CUX1,0.9425499109961882,42
42,Breast,GJC3,0.9423335551996418,43
43,Breast,C15orf61,0.9422812316290752,44
44,Breast,CORO1C,0.9422296271327775,45
45,Breast,SF1,0.9419620114363859,46
46,Breast,C19orf43,0.9411419705536185,47
47,Breast,PGR,0.9409259031588164,48
48,Breast,RPL34,0.9406859685662194,49
49,Breast,CCNT2,0.9405820746206061,50
50,Breast,HSD11B2,0.9405122064562619,51
51,Breast,SLC2A3,0.9402636179411297,52
52,Breast,PRKCZ,0.9401170453285943,53
53,Breast,TFE3,0.9400244396211503,54
