,Tissue Name,Gene Name,Centrality,Rank
6780,Muscle,AHNAK,1.0,1
7001,Muscle,ATP1B1,0.9932410451784487,2
4047,Muscle,LMNA,0.9901064813667338,3
5640,Muscle,MAFG,0.9898004294242438,4
1615,Pancreas,PLOD3,0.9880949228278353,5
7313,Muscle,ASPA,0.9874205657436423,6
4764,Muscle,UGP2,0.9852308806277141,7
4755,Muscle,GPAT4,0.9852011742433708,8
3865,Muscle,OSGIN1,0.9845418911882945,9
5921,Muscle,PSMC4,0.981716677041785,10
3892,Muscle,MLIP,0.9796150163285161,11
6314,Muscle,MAGED2,0.9786981037759035,12
3570,Pancreas,IL22RA1,0.9777016066867567,13
4396,Muscle,ZBED4,0.9772722787873798,14
6742,Muscle,CDK5RAP2,0.9770003432445707,15
3806,Muscle,USP54,0.9768694053257644,16
4291,Muscle,AKAP9,0.9765506673208119,17
213,Pancreas,ESRP2,0.97572772558728,18
2269,Pancreas,CHRD,0.9740599766838002,19
5842,Muscle,FLOT2,0.9738105875498907,20
6039,Muscle,PTP4A3,0.973460585029966,21
4042,Muscle,UHRF1BP1L,0.9723040275414674,22
6521,Muscle,CRTC3,0.9715451166161264,23
3265,Pancreas,RPL36A,0.9713316547239426,24
7144,Muscle,UBL7,0.9710276433353006,25
6697,Muscle,SPATS2L,0.9704697670744314,26
1978,Pancreas,FAM129A,0.9702473034135225,27
4171,Muscle,USP32,0.970042207932584,28
4634,Muscle,COQ8B,0.9697569894045354,29
6476,Muscle,FZD4,0.9697183412894442,30
4674,Muscle,RFX1,0.9696071461914599,31
6310,Muscle,SFMBT2,0.969548913908361,32
5682,Muscle,ARVCF,0.969523869566503,33
5062,Muscle,JARID2,0.9688246961262917,34
4213,Muscle,RFESD,0.9687480244382856,35
4395,Muscle,ANKH,0.9686917251209651,36
4378,Muscle,LUC7L3,0.968531475469976,37
4767,Muscle,RAB11FIP3,0.9682193277154045,38
3891,Muscle,FNBP1,0.9682012598428814,39
7168,Muscle,MED22,0.9674288803429618,40
7137,Muscle,TMEM135,0.967297085091726,41
4628,Muscle,HSPB2,0.9668303312198361,42
5001,Muscle,RFC2,0.9668118156852111,43
5045,Muscle,RPL29,0.9667773371742643,44
6850,Muscle,CERS6,0.9664886490127765,45
1712,Pancreas,SWAP70,0.9660364825051605,46
5291,Muscle,CIRBP,0.9658105464525556,47
202,Pancreas,ZFX,0.9658081065422615,48
6236,Muscle,ELMSAN1,0.9658014024114459,49
6401,Muscle,PARP3,0.9656649993280461,50
7338,Muscle,YWHAH,0.9655508542728254,51
3008,Pancreas,VGLL3,0.9650748816393314,52
2282,Pancreas,DAGLA,0.9650200412673497,53
5331,Muscle,RBSN,0.964820577900067,54
4825,Muscle,TMEM55A,0.9646687082670834,55
7430,Muscle,SPPL2B,0.9646242955087404,56
7497,Muscle,SGCB,0.9644795747768917,57
6965,Muscle,LRP1,0.9642664888749402,58
5476,Muscle,MYO5A,0.9641956298484603,59
4028,Muscle,SCN3B,0.9641280267513566,60
6067,Muscle,KCTD11,0.9641049290699669,61
5626,Muscle,TRIOBP,0.96399694192891,62
5581,Muscle,COL28A1,0.9639631906187694,63
3506,Pancreas,RPL35,0.963643924492432,64
4293,Muscle,CACNB1,0.9634186951232796,65
5777,Muscle,RP11-96L14.7,0.9633820108954622,66
5872,Muscle,TMEM261,0.9633166955350575,67
5775,Muscle,PADI2,0.9632877776887324,68
774,Pancreas,FMC1,0.9632663811763793,69
4529,Muscle,MAFA,0.9631347964387847,70
4313,Muscle,C14orf1,0.9629497033533124,71
4086,Muscle,LIX1L,0.9629045705946002,72
4679,Muscle,SSH1,0.96288506675243,73
7073,Muscle,SH3GLB2,0.9627142608303956,74
4069,Muscle,FKBP3,0.9627061609462157,75
5354,Muscle,WDPCP,0.9625363502301716,76
5572,Muscle,MAP4,0.9624579563829088,77
6794,Muscle,RPUSD1,0.9623180619086522,78
4336,Muscle,PPTC7,0.9622736123164818,79
5751,Muscle,POLR3B,0.9621716010654405,80
2511,Pancreas,CPEB1,0.962064798024564,81
1994,Pancreas,RP11-352M15.2,0.96182551961232,82
4330,Muscle,NEDD8,0.9617474642355377,83
6330,Muscle,MAF,0.9617430114217147,84
4656,Muscle,CTSA,0.961717208084582,85
4805,Muscle,MACROD2,0.9617098774992137,86
4226,Muscle,RPAP3,0.9616477773276999,87
786,Pancreas,RPL36,0.9615611173601584,88
4257,Muscle,TOR1AIP1,0.961545287990391,89
535,Pancreas,C14orf1,0.9614579617342119,90
7442,Muscle,DYRK1B,0.9614211250193841,91
6426,Muscle,NPC2,0.9612568371600219,92
3508,Pancreas,IGKJ4,0.9611837202387716,93
5766,Muscle,HPGD,0.9610212361601542,94
6824,Muscle,ASB12,0.9609056053316357,95
5119,Muscle,UST,0.9608225871334178,96
6155,Muscle,TPPP2,0.9606177781036662,97
2609,Pancreas,RPL37,0.9605239520101049,98
5932,Muscle,LMO7,0.9604852999704085,99
5507,Muscle,HPCAL1,0.9603794263684217,100
2305,Pancreas,RPL19,0.9602933327193245,101
5349,Muscle,CFH,0.9602888386965753,102
3394,Pancreas,ORAI2,0.9601131495387507,103
1001,Pancreas,CMB9-22P13.1,0.9600574764198344,104
4823,Muscle,PFKFB2,0.9597460022030235,105
1776,Pancreas,SPIN1,0.9597446582202249,106
3923,Muscle,DCN,0.9596844067215226,107
7300,Muscle,HID1,0.9596048636765555,108
4924,Muscle,FREM2,0.9595469694652474,109
2417,Pancreas,CRYAB,0.9594738393751574,110
1614,Pancreas,KANK2,0.959451108241357,111
5658,Muscle,TPD52L1,0.9593702482261313,112
6180,Muscle,ABT1,0.9593472998243922,113
4745,Muscle,RPS12,0.9593209381613319,114
5423,Muscle,ANGPTL2,0.9592757350306693,115
5866,Muscle,TNKS1BP1,0.9591856113201773,116
4397,Muscle,G3BP2,0.9591114326941089,117
7382,Muscle,NUPR1,0.959057091145809,118
1703,Pancreas,KIRREL,0.9588748922205442,119
2931,Pancreas,STRA13,0.9588168301719576,120
7034,Muscle,HACD1,0.9586893482040122,121
7417,Muscle,PRKAA2,0.9585959024047804,122
1759,Pancreas,S100A6,0.9585911236358596,123
1972,Pancreas,PHLPP2,0.9585790656464035,124
4579,Muscle,NEK9,0.9584711973270635,125
7000,Muscle,ZCCHC3,0.958426574398308,126
5416,Muscle,TUBB2A,0.9584082060517671,127
5101,Muscle,MYOC,0.9583445537490176,128
3844,Muscle,ST13,0.9583132034033736,129
6485,Muscle,KLHL29,0.9582547138197168,130
622,Pancreas,TMEM160,0.9582414049956572,131
1240,Pancreas,RPS5,0.9581146815347215,132
4468,Muscle,EMD,0.95804074615543,133
7021,Muscle,TSPAN15,0.9579474362840377,134
4878,Muscle,ZDHHC23,0.957825669973009,135
4754,Muscle,SERPINB6,0.9577168956284521,136
4484,Muscle,SNHG14,0.9577024008875784,137
7312,Muscle,BCAT2,0.9576764865646034,138
6878,Muscle,ARHGEF11,0.957620934584827,139
7339,Muscle,OBFC1,0.9576113126061221,140
1558,Pancreas,H1FX,0.9576015266060585,141
3704,Pancreas,TLE1,0.9575421861932406,142
5178,Muscle,TDRKH,0.9575219236125736,143
2618,Pancreas,FBLIM1,0.9574810295694998,144
4147,Muscle,CALCRL,0.9574297153693393,145
6342,Muscle,ZER1,0.9572977852694385,146
5344,Muscle,ZNF134,0.9572790890170527,147
4223,Muscle,PMP22,0.9572757903980434,148
4168,Muscle,ZNF189,0.9571925071928196,149
4855,Muscle,NT5DC2,0.9571904276920593,150
7505,Muscle,ZNF517,0.9571244621884551,151
4360,Muscle,ANXA7,0.9571047517958339,152
5614,Muscle,RPLP2,0.9570036534833333,153
180,Pancreas,THAP6,0.956964606295151,154
4474,Muscle,RPE,0.9569620418830005,155
5961,Muscle,CHMP5,0.9569511780678865,156
5749,Muscle,FAM127C,0.9567625351252214,157
4289,Muscle,MRVI1,0.9567367939809348,158
407,Pancreas,ALS2CL,0.9566655639439549,159
1677,Pancreas,PTK7,0.9565276555736604,160
6989,Muscle,ADGRE5,0.9565119602002465,161
253,Pancreas,AARS2,0.9564532401533659,162
4966,Muscle,VPS13C,0.956395667883405,163
3006,Pancreas,PBXIP1,0.9563410542163508,164
5472,Muscle,PKNOX2,0.9563169129686582,165
291,Pancreas,FKBP3,0.956307301621572,166
255,Pancreas,RDH11,0.9562538497099913,167
4906,Muscle,ST14,0.956246426229885,168
3592,Pancreas,RPL11,0.9562017638007928,169
337,Pancreas,TIMP1,0.9561528579402504,170
5795,Muscle,TRIM16L,0.9561216879474775,171
7147,Muscle,ZFP41,0.9560672759568903,172
6005,Muscle,NAPA,0.9559514901244743,173
7133,Muscle,FAM219B,0.955949904660937,174
2186,Pancreas,VPS13B,0.9558717181444127,175
343,Pancreas,RPS29,0.9558687448432478,176
6814,Muscle,DDR1,0.95572620394448,177
5780,Muscle,STK36,0.9556042391447935,178
3396,Pancreas,FLNA,0.9556030591048778,179
4842,Muscle,ABCC9,0.9555873632339336,180
3655,Pancreas,BICC1,0.9555595082288774,181
5610,Muscle,DUS2,0.9555408747790823,182
367,Pancreas,ENKD1,0.9554564913297793,183
5035,Muscle,ACAD9,0.9554354166478661,184
4881,Muscle,TUBB,0.9554313619964495,185
1742,Pancreas,UFM1,0.9553583683294317,186
6161,Muscle,RPL30,0.9552560968661417,187
4011,Muscle,SPATA2L,0.9550984012111177,188
4794,Muscle,ZNF587B,0.955043252347344,189
5131,Muscle,SUGP2,0.9548793939190648,190
5721,Muscle,BACH2,0.9547490586910963,191
6604,Muscle,SRSF7,0.9547103050763578,192
5417,Muscle,CD24,0.9547099578881706,193
7145,Muscle,BCOR,0.9546431712114296,194
7319,Muscle,MSMO1,0.9546296326254023,195
3817,Muscle,MTCO1P12,0.9544994829112511,196
5748,Muscle,DNAJC30,0.9544570890216831,197
4694,Muscle,BAG2,0.9543906855647578,198
6083,Muscle,RPL19,0.9543894052533931,199
4372,Muscle,MRPS6,0.9543677274938442,200
4520,Muscle,MECP2,0.9543661939059749,201
6436,Muscle,SPINT2,0.9543659004406732,202
7003,Muscle,MAP2K6,0.9543170411683434,203
4490,Muscle,TPPP,0.9542991162840587,204
3005,Pancreas,PNISR,0.954280240566161,205
264,Pancreas,UHRF1BP1L,0.9542735431677623,206
2730,Pancreas,GMDS,0.9542472414644676,207
5043,Muscle,UBE2V2,0.9542012999491681,208
6128,Muscle,COMTD1,0.9541764183666092,209
1674,Pancreas,ATP6V0D1,0.9541333899812633,210
5965,Muscle,LSM5,0.9541311147847296,211
3223,Pancreas,ATP1B1,0.9541186854363132,212
6260,Muscle,GPR37,0.9538891467806062,213
2023,Pancreas,RAB31,0.9536398101931142,214
7079,Muscle,STRIP1,0.95362122376612,215
4760,Muscle,FAM131A,0.9535779220373609,216
6194,Muscle,RCSD1,0.95355973782319,217
5774,Muscle,MRAS,0.9535105847980424,218
5790,Muscle,CLSTN1,0.9534852702707528,219
6734,Muscle,PDE7A,0.9534453528561014,220
7297,Muscle,RPL32,0.9534443909982767,221
7444,Muscle,ITSN1,0.9533990665168477,222
6584,Muscle,PCBD2,0.9533721612354527,223
5529,Muscle,EEF2K,0.9533336080348258,224
6174,Muscle,VGLL4,0.9533142419435666,225
5693,Muscle,ASPH,0.9532694110475199,226
1769,Pancreas,TAF15,0.9531923952232384,227
5415,Muscle,PWAR5,0.9531392225259036,228
6827,Muscle,SNRPN,0.9530864379009907,229
6580,Muscle,EPG5,0.9530229499809557,230
7427,Muscle,ARRDC3,0.952826372618163,231
5729,Muscle,OTUD7A,0.9527699607368847,232
4849,Muscle,HN1L,0.9525828266361418,233
6270,Muscle,REV1,0.9525654161856665,234
7178,Muscle,ADH5,0.9525175588526109,235
3616,Pancreas,CCNB1,0.9524836526215248,236
4910,Muscle,PKDCC,0.9524824223771382,237
7184,Muscle,RP11-679B19.1,0.95232697675149,238
544,Pancreas,DYRK2,0.9523201498360917,239
4232,Muscle,NRP2,0.95227546147502,240
5483,Muscle,TTBK2,0.9522224759852697,241
2565,Pancreas,TMEM230,0.9521940401118876,242
6344,Muscle,RBPJ,0.9521722830285319,243
6635,Muscle,KIAA1456,0.9521461290942773,244
3519,Pancreas,RPL32,0.9520950894220934,245
1066,Pancreas,YAP1,0.9520623681365732,246
1298,Pancreas,RPL31,0.95204707323843,247
7044,Muscle,ZNF234,0.9520087860476611,248
4779,Muscle,CMB9-22P13.1,0.9519775922035821,249
3938,Muscle,KCNB1,0.951964523241158,250
6411,Muscle,NES,0.951907264220807,251
2037,Pancreas,SLC20A1,0.9518652334579457,252
7288,Muscle,TMEM184B,0.9518252642437571,253
4570,Muscle,YWHAZ,0.9518144161463439,254
1308,Pancreas,COLEC11,0.9517131617930366,255
4808,Muscle,SCFD2,0.9517079654174,256
7450,Muscle,NDUFB9,0.951615022964246,257
5599,Muscle,KIF5C,0.9515932909944885,258
585,Pancreas,MDM2,0.9515748476205546,259
5867,Muscle,PDDC1,0.9514609160516235,260
3474,Pancreas,HDAC5,0.951324656694311,261
6972,Muscle,ARHGAP42,0.9513211292117456,262
6057,Muscle,RP11-400K9.4,0.9512328295093446,263
6966,Muscle,SLC16A1,0.9512284108097626,264
7088,Muscle,FNIP2,0.9511447387237777,265
4200,Muscle,JPH1,0.9510904025333136,266
5533,Muscle,TRIO,0.9510683570645565,267
4837,Muscle,ST3GAL5,0.9510085012292988,268
4466,Muscle,PFDN4,0.9509699401716436,269
3173,Pancreas,COL1A1,0.9508464721847188,270
354,Pancreas,COQ4,0.9508438999818202,271
5315,Muscle,DEF8,0.9508431323801804,272
21,Pancreas,OPLAH,0.9507688490615386,273
5588,Muscle,AKT2,0.9507651970855651,274
5711,Muscle,LTA4H,0.9506532617892385,275
4418,Muscle,ARHGEF10L,0.950650497831178,276
5003,Muscle,CSNK1G2,0.9506266067894491,277
764,Pancreas,TCF7,0.950612668790903,278
7334,Muscle,PDPN,0.9505326740598216,279
4498,Muscle,CFL2,0.9504824823198356,280
4923,Muscle,ARHGAP23,0.9504630759395782,281
6894,Muscle,ASCC2,0.9504209471618007,282
5690,Muscle,MAP4K4,0.9501786851689988,283
5098,Muscle,KRT8,0.9500839517579782,284
853,Pancreas,NFKB2,0.95007749656711,285
6921,Muscle,DDA1,0.9500770936360375,286
4414,Muscle,RCAN2,0.9500760770724689,287
6606,Muscle,MTCO1P40,0.9500616892162698,288
5935,Muscle,MYOZ1,0.9500565918569649,289
6255,Muscle,TNNC1,0.950031841914292,290
2881,Pancreas,MYO1E,0.950020273220775,291
4332,Muscle,RHBDF1,0.9499427569362566,292
919,Pancreas,TACSTD2,0.9498618944145206,293
2780,Pancreas,METTL23,0.9498170268642708,294
383,Pancreas,MCAM,0.9498081358036705,295
2601,Pancreas,ELOVL2,0.9497873465195215,296
7188,Muscle,ZNF510,0.9496998403010197,297
3561,Pancreas,OBFC1,0.9496772543466807,298
5312,Muscle,CNTFR,0.9496031378781373,299
6615,Muscle,MTND4LP30,0.9495752785375611,300
6122,Muscle,UQCRB,0.9495652762002265,301
6808,Muscle,RUNX1T1,0.9495620897073339,302
5270,Muscle,DENND2C,0.9495324953418053,303
1145,Pancreas,ARHGAP23,0.9494842652991898,304
6892,Muscle,SEPT8,0.9494798144683952,305
6848,Muscle,IL17RC,0.9494536871820068,306
