,Tissue Name,Gene Name,Centrality,Rank
3131,Adiposesub,TEX2,1.0,1
3784,Adiposesub,JAGN1,0.9994680531223368,2
2777,Adiposesub,PRDX6,0.9961198119564796,3
5315,Adiposevis,POGZ,0.988175555553546,4
5879,Adiposevis,GGCT,0.9860451576938857,5
5052,Adiposevis,PPIF,0.9813668974815807,6
3253,Adiposesub,RASL10B,0.9785114760522903,7
4715,Adiposevis,TUBA1C,0.9764016147537669,8
5982,Adiposevis,PSMA6,0.976146351447881,9
2430,Adiposesub,RP1-193H18.3,0.975384984611335,10
2199,Adiposesub,PTCH2,0.9734795796913632,11
6744,Adiposevis,FURIN,0.9720960993128782,12
7408,Adiposevis,IL1R2,0.9715862284489629,13
1209,Adiposesub,TRIM45,0.9697001413658678,14
6385,Adiposevis,PSMD8,0.9665556893993971,15
6782,Adiposevis,BBS9,0.9660691514519086,16
2586,Adiposesub,PSMD8,0.965085468768123,17
4432,Adiposevis,CTD-2263F21.1,0.9624993043718924,18
633,Adiposesub,CTD-2263F21.1,0.9613843859331352,19
6208,Adiposevis,PRRT2,0.9603984225250506,20
4009,Adiposevis,GRINA,0.9579787256171772,21
6879,Adiposevis,TUBB6,0.9568895070737069,22
1528,Adiposesub,CAPN5,0.9532650549864865,23
3463,Adiposesub,GCDH,0.9523025868013932,24
2409,Adiposesub,PRRT2,0.9514977783075738,25
6229,Adiposevis,RP1-193H18.3,0.9505680087094384,26
768,Adiposesub,GPX3,0.950131082388642,27
3061,Adiposesub,SYTL2,0.9496720037223466,28
1331,Adiposesub,ST3GAL1,0.9494316437709501,29
7179,Adiposevis,ORMDL2,0.948165588545361,30
1937,Adiposesub,DCXR,0.9480265383861762,31
777,Adiposesub,STK39,0.9467126221109776,32
2083,Adiposesub,GALNT16,0.946240052108993,33
1405,Adiposesub,BCAP31,0.9458153976291456,34
1300,Adiposesub,EIF4EBP1,0.9454640933178124,35
6566,Adiposevis,VDAC1,0.9442981603196381,36
7431,Adiposevis,NSDHL,0.9440339604748769,37
5360,Adiposevis,ILF2,0.9435313238254768,38
417,Adiposesub,CTD-3035K23.7,0.9431318031026226,39
6576,Adiposevis,PRDX6,0.9426643817487388,40
90,Adiposesub,ATP1B2,0.9422602931888943,41
2747,Adiposesub,PRRX1,0.9418927359169172,42
5008,Adiposevis,TRIM45,0.9412272636910719,43
6120,Adiposevis,SEPHS2,0.9404290430419352,44
7537,Adiposevis,TNFRSF25,0.9391726321932895,45
5135,Adiposevis,COPA,0.9371964119088361,46
4596,Adiposevis,CHIC1,0.9352946783079933,47
4520,Adiposevis,IL17RD,0.9352724026301861,48
3811,Adiposevis,ANKRD6,0.9349649819013897,49
4199,Adiposevis,EIF5A,0.9342978897080996,50
6636,Adiposevis,PPM1G,0.9340777572980009,51
5838,Adiposevis,MCEMP1,0.9337201758776092,52
2080,Adiposesub,GGCT,0.9336961179369737,53
7102,Adiposevis,MSRB1,0.9335995992612949,54
5130,Adiposevis,ST3GAL1,0.933170940418704,55
3305,Adiposesub,CTD-2525P14.5,0.9321149968801078,56
6193,Adiposevis,TTPAL,0.9316079115407533,57
7583,Adiposevis,JAGN1,0.9301234581492223,58
6040,Adiposevis,CLP1,0.9285309373517163,59
6254,Adiposevis,PGD,0.92828692090404,60
5361,Adiposevis,KIAA1328,0.9281669378633398,61
1829,Adiposesub,TEX41,0.9258334137159268,62
5562,Adiposevis,ZNF519,0.924382267196849,63
5070,Adiposevis,TTLL12,0.9235031280644382,64
4589,Adiposevis,AZIN2,0.9230018002394265,65
7477,Adiposevis,TUBB4B,0.921727473981265,66
7425,Adiposevis,C20orf24,0.9202983590087339,67
1475,Adiposesub,ABHD5,0.9174219696230664,68
7121,Adiposevis,CSTF2T,0.9173983428937361,69
2812,Adiposesub,SYN2,0.9172023393655099,70
5716,Adiposevis,ELOVL1,0.916955176872909,71
1289,Adiposesub,CRLS1,0.9169356985958997,72
2705,Adiposesub,TSPAN11,0.9163699887991913,73
3387,Adiposesub,SLC25A18,0.9157523394491061,74
6076,Adiposevis,FPR2,0.9155023205128799,75
6458,Adiposevis,PSMA7,0.9138885638008911,76
5439,Adiposevis,DPY19L1P1,0.9131980303682602,77
4171,Adiposevis,ZNF506,0.9127755911143959,78
790,Adiposesub,AZIN2,0.9126082595510041,79
536,Adiposesub,NR2F2-AS1,0.9122035912259598,80
6400,Adiposevis,ENO1,0.9121410314378223,81
4244,Adiposevis,RP11-356B19.11,0.9111812244625555,82
3632,Adiposesub,NSDHL,0.910888109559548,83
4368,Adiposevis,LRRC75B,0.9101912442648149,84
5296,Adiposevis,SURF4,0.9097924990627455,85
4144,Adiposevis,XRN2,0.9095528048103828,86
5494,Adiposevis,ABI2,0.9082498766100277,87
4567,Adiposevis,GPX3,0.9077938576599051,88
3204,Adiposesub,RPS6KA2,0.9075822795527844,89
865,Adiposesub,TCEA3,0.9074458045743259,90
7104,Adiposevis,CTD-2525P14.5,0.9068323563382518,91
5724,Adiposevis,PLCB1,0.9068296564694347,92
7244,Adiposevis,CAP1,0.906103185519808,93
4664,Adiposevis,TCEA3,0.9057151068455148,94
6130,Adiposevis,HKR1,0.905347828467878,95
338,Adiposesub,JUN,0.9050516341752103,96
5078,Adiposevis,ZNF767P,0.9044109139544222,97
6381,Adiposevis,TALDO1,0.904299965568768,98
3752,Adiposesub,C1orf43,0.903199835859745,99
5073,Adiposevis,MT1E,0.9026427899210594,100
5458,Adiposevis,WDR77,0.9026150057695735,101
121,Adiposesub,TMEM120A,0.9020463801060448,102
2354,Adiposesub,ASIC1,0.9019512772319336,103
3889,Adiposevis,ATP1B2,0.9017210148568965,104
2945,Adiposesub,FURIN,0.8999478592839256,105
1290,Adiposesub,ABCD1,0.8998865896632728,106
5240,Adiposevis,SLC1A3,0.8993272982290954,107
210,Adiposesub,GRINA,0.8982912000737997,108
5144,Adiposevis,MIEF1,0.8978685006076225,109
7035,Adiposevis,RP11-788M5.4,0.8974094919149961,110
4639,Adiposevis,MRPS17,0.897351929035609,111
6398,Adiposevis,HCN3,0.8969260172445331,112
954,Adiposesub,PLPPR4,0.8968069255329542,113
7572,Adiposevis,TIMM17A,0.8963338242256599,114
2455,Adiposesub,PGD,0.8961651700118337,115
5027,Adiposevis,FBXL2,0.8960211261816451,116
526,Adiposesub,MAN1C1,0.8955298284000269,117
7168,Adiposevis,SRPRA,0.8947208307597696,118
5463,Adiposevis,NDUFS2,0.8945828299090663,119
7205,Adiposevis,GCLM,0.8941350485601454,120
1101,Adiposesub,RUSC1,0.8938999784170657,121
4466,Adiposevis,S100A9,0.8938754054387769,122
1087,Adiposesub,CXCL12,0.892521951631366,123
2460,Adiposesub,ZDHHC18,0.8919236127138827,124
6775,Adiposevis,CYS1,0.8918866195227625,125
12,Adiposesub,ANKRD6,0.8918858117014977,126
6270,Adiposevis,ACBD4,0.8917786646771713,127
1271,Adiposesub,TTLL12,0.8906291845453527,128
161,Adiposesub,MLX,0.8906070351252352,129
4458,Adiposevis,C19orf44,0.8903882461648664,130
3987,Adiposevis,ATP1B3,0.8896513871319042,131
1917,Adiposesub,ELOVL1,0.8895187216231656,132
3284,Adiposesub,GBP1,0.8894469108705723,133
6175,Adiposevis,ZNF133,0.8891547215102465,134
6247,Adiposevis,RP11-111M22.4,0.8885352983844151,135
2976,Adiposesub,CYS1,0.8877258232291605,136
2806,Adiposesub,CRIP1,0.8876952829241447,137
6449,Adiposevis,SULT1B1,0.8874660316759929,138
2491,Adiposesub,DYRK2,0.8870184941008898,139
169,Adiposesub,OLFML2B,0.8868633632871582,140
721,Adiposesub,IL17RD,0.8867437134614881,141
1386,Adiposesub,NPR1,0.8864338327349273,142
6353,Adiposevis,CCT3,0.886324924712221,143
3814,Adiposevis,CROCCP3,0.8862454155342855,144
962,Adiposesub,CC2D1B,0.8860543710041395,145
7383,Adiposevis,DNAJC5,0.8859395092837392,146
429,Adiposesub,FAM134B,0.8852934930415953,147
3129,Adiposesub,ARNTL,0.885151916466507,148
7141,Adiposevis,ZNF83,0.8849125174409532,149
3791,Adiposesub,SLC31A2,0.8848641978377215,150
5535,Adiposevis,CTD-2536I1.2,0.8845171915928096,151
7132,Adiposevis,SNX8,0.8844260948335316,152
6286,Adiposevis,TOMM40L,0.8843420484123234,153
5030,Adiposevis,MRPL15,0.8836234991600163,154
6622,Adiposevis,NIP7,0.8833819364085017,155
7396,Adiposevis,CIAPIN1,0.8831436498045736,156
6356,Adiposevis,AP001258.4,0.8831096065417414,157
7052,Adiposevis,RASL10B,0.8825446901204825,158
4335,Adiposevis,NR2F2-AS1,0.8820994458255301,159
7503,Adiposevis,PISD,0.8819647485855434,160
2762,Adiposesub,UBALD2,0.881091517238062,161
3361,Adiposesub,SCARA3,0.8809950394993542,162
1793,Adiposesub,DBH-AS1,0.880935074077519,163
7353,Adiposevis,CCSER1,0.8807174933428944,164
4423,Adiposevis,ATP2A2,0.8805575978780826,165
3735,Adiposesub,ST8SIA1,0.8801124988226832,166
7413,Adiposevis,RAB28P5,0.8800687145689137,167
4192,Adiposevis,ZNF404,0.8794783177329889,168
5374,Adiposevis,CEACAM4,0.8793734698828851,169
4599,Adiposevis,UTP11,0.8793212062850955,170
5089,Adiposevis,ABCD1,0.8792652945926173,171
5882,Adiposevis,GALNT16,0.8791006139790886,172
254,Adiposesub,ETV7,0.8790737397373778,173
4498,Adiposevis,NARS,0.8787969068771556,174
6908,Adiposevis,ST20-AS1,0.8786602824009937,175
4741,Adiposevis,CLK1,0.8782982992950888,176
7003,Adiposevis,RPS6KA2,0.8782918004109358,177
791,Adiposesub,TBC1D32,0.8782261870143695,178
5700,Adiposevis,CEP78,0.8765379295386674,179
3698,Adiposesub,ADH1B,0.8756980841441775,180
5081,Adiposevis,GLRX3,0.8753772252961456,181
6337,Adiposevis,RP11-1114A5.4,0.8748627064140483,182
3825,Adiposevis,PREX1,0.874653245059618,183
6086,Adiposevis,TLCD1,0.8743063065353596,184
6582,Adiposevis,GMDS-AS1,0.8742886215526755,185
3775,Adiposesub,COL1A1,0.8735710608459166,186
614,Adiposesub,FAM188B,0.8733210958088025,187
1872,Adiposesub,FGF14,0.8730827849474108,188
5482,Adiposevis,AAMP,0.8727179056491742,189
7534,Adiposevis,ST8SIA1,0.8725099356011219,190
1572,Adiposesub,RP11-504P24.3,0.8724519475891305,191
2315,Adiposesub,CISD3,0.8722632652522677,192
7588,Adiposevis,PHB,0.8722244184469177,193
3715,Adiposesub,LINC01197,0.8720137110575426,194
