,Tissue Name,Gene Name,Centrality,Rank
0,Kidney,COL16A1,1.0,1
1,Kidney,SERPINF1,0.9868556491636169,2
2,Kidney,SVEP1,0.9826693698290718,3
3,Kidney,CNN1,0.972663279760072,4
4,Kidney,CYBRD1,0.9713424010464111,5
5,Kidney,SRPX2,0.9680806696904654,6
6,Kidney,FMOD,0.9566851012998725,7
7,Kidney,PLCE1,0.9449216976767273,8
8,Kidney,PPP1R14A,0.944528300714135,9
9,Kidney,C1R,0.9442459848608863,10
10,Kidney,RP11-274B21.9,0.9439320230458886,11
11,Kidney,USP19,0.9433103873202032,12
12,Kidney,FKBP11,0.9430461505687675,13
13,Kidney,COL8A1,0.9426710591439375,14
14,Kidney,BCL2L2,0.9421467422352483,15
15,Kidney,B4GAT1,0.941826969928936,16
16,Kidney,SPON1,0.9404392680048739,17
17,Kidney,NRIP2,0.9387459680207731,18
18,Kidney,PLOD3,0.9361979651746702,19
19,Kidney,SAMHD1,0.9359972635551028,20
20,Kidney,PALLD,0.9358550857587908,21
21,Kidney,TMEM116,0.9355134848534564,22
22,Kidney,TMEM223,0.9343770145057783,23
23,Kidney,SMARCD3,0.9337006238890814,24
24,Kidney,SHKBP1,0.933548853384102,25
25,Kidney,USP5,0.9333718195683385,26
26,Kidney,PCYOX1,0.9326621888750718,27
27,Kidney,ST6GALNAC3,0.9323384890448595,28
28,Kidney,GTF2H1,0.9321457852287895,29
29,Kidney,MYO5B,0.9317366975421076,30
30,Kidney,UGT1A9,0.9316501247539811,31
31,Kidney,FHL5,0.930986450421162,32
32,Kidney,IGF1R,0.9303666944257619,33
33,Kidney,ASXL1,0.928749610093061,34
34,Kidney,LINC00839,0.9273031468618989,35
35,Kidney,HUWE1,0.9268417971597898,36
36,Kidney,LAMP2,0.9264834069318717,37
37,Kidney,LYSMD4,0.9264546498878441,38
38,Kidney,PDLIM2,0.9254914872236032,39
39,Kidney,HAT1,0.9251872217638412,40
40,Kidney,CMTM7,0.9251367391384192,41
41,Kidney,CENPO,0.9251040094114282,42
42,Kidney,ZNF550,0.9244280343016533,43
43,Kidney,ATP6V0D1,0.9242089467681598,44
44,Kidney,RAB40A,0.9238729081442485,45
45,Kidney,GGT5,0.9236690960516551,46
46,Kidney,RBM3,0.9236640600474599,47
47,Kidney,SLC3A1,0.9236064374138027,48
48,Kidney,SYS1,0.9235810570909573,49
49,Kidney,TNS1,0.9234017168977859,50
50,Kidney,RBMS3,0.9228996666022349,51
51,Kidney,LRRC2,0.9228604162143219,52
52,Kidney,ELL,0.9218659299348199,53
53,Kidney,MESDC2,0.9208520799174125,54
54,Kidney,NDUFA9,0.9201765223889321,55
55,Kidney,MLLT6,0.9198512827583494,56
56,Kidney,PLA2G4A,0.9192905953363533,57
57,Kidney,CTSK,0.9190091619699378,58
58,Kidney,SLC25A25-AS1,0.9187967637382453,59
59,Kidney,USP2,0.9187555974295082,60
60,Kidney,TADA2B,0.91867594807736,61
61,Kidney,FH,0.9186493891647203,62
62,Kidney,ADRA2A,0.9182426199355433,63
63,Kidney,RGS16,0.91799974710595,64
64,Kidney,CDK13,0.9176910916932453,65
65,Kidney,TXLNA,0.9175754846198008,66
66,Kidney,OGDH,0.9174888129951754,67
