,Tissue Name,Gene Name,Centrality,Rank
0,Muscle,STAC3,1.0,1
1,Muscle,COQ8B,0.9984318504747413,2
2,Muscle,TMEM255B,0.9950974935153001,3
3,Muscle,ZNF771,0.9942446432647933,4
4,Muscle,IRF2BPL,0.9940467972585447,5
5,Muscle,TMEM184A,0.9937491733611269,6
6,Muscle,RFESD,0.9935060775760075,7
7,Muscle,MACROD1,0.9926460802895776,8
8,Muscle,BACH2,0.9921973236444661,9
9,Muscle,FSD1L,0.991843622078999,10
10,Muscle,MRPL24,0.9916161144105881,11
11,Muscle,ARHGEF26,0.9912575365835088,12
12,Muscle,AP5S1,0.9904970119567821,13
13,Muscle,ENTPD4,0.9901087838354964,14
14,Muscle,LMBRD1,0.9897647982811713,15
15,Muscle,BCOR,0.9896058079392973,16
16,Muscle,NEIL2,0.9888881007024992,17
17,Muscle,MON2,0.9884889965503257,18
18,Muscle,SNX33,0.98835597951378,19
19,Muscle,AMOT,0.9883282259050729,20
20,Muscle,ZNF554,0.9881148558781587,21
21,Muscle,LDB1,0.9880657872272331,22
22,Muscle,TAOK1,0.9879489877080352,23
23,Muscle,POPDC2,0.9874389969200065,24
24,Muscle,C5orf56,0.9871331303136411,25
25,Muscle,GPS1,0.9868884574149259,26
26,Muscle,MAP2K3,0.9868432076532326,27
27,Muscle,TRIAP1,0.9867649703878651,28
28,Muscle,KBTBD6,0.9867544924760642,29
29,Muscle,MAP7D1,0.9866405708177731,30
30,Muscle,IGHG4,0.9863098909966234,31
31,Muscle,CHMP5,0.9862856202746025,32
32,Muscle,ATP2B1,0.9862637265517636,33
33,Muscle,VGLL4,0.9861214896776915,34
34,Muscle,PIM1,0.9858666731606601,35
35,Muscle,GSTO1,0.9857620034854977,36
36,Muscle,DGCR2,0.9856511674041216,37
37,Muscle,SUPT6H,0.98562992543026,38
38,Muscle,SPRYD4,0.9855662876550169,39
39,Muscle,CHPF2,0.9854087604608464,40
40,Muscle,KIAA1456,0.9853476876130516,41
41,Muscle,KIFC3,0.9851936900904836,42
42,Muscle,INAFM1,0.985139230258031,43
43,Muscle,HPGD,0.9851204068099799,44
44,Muscle,DMAP1,0.9850761972687703,45
45,Muscle,CHD5,0.9850659179529009,46
46,Muscle,RBM5,0.9850472776004936,47
47,Muscle,PNMT,0.9850085137817819,48
48,Muscle,ORC3,0.9848624050571069,49
49,Muscle,TM2D2,0.9848011444672419,50
50,Muscle,PIK3CB,0.9847965107589626,51
51,Muscle,LRRC66,0.9844465511827535,52
52,Muscle,DAZAP1,0.9843767004322372,53
53,Muscle,NLRC4,0.9842737290949362,54
54,Muscle,KRT10,0.9842325887996431,55
55,Muscle,UNC13D,0.9839724849546536,56
56,Muscle,RAB9B,0.9839459350975365,57
57,Muscle,OSBPL1A,0.9838866394165918,58
