,Tissue Name,Gene Name,Centrality,Rank
0,Heart,JUNB,1.0,1
1,Heart,NIN,0.9943214419409836,2
2,Heart,LYVE1,0.9932914858530318,3
3,Heart,FOLR2,0.9851918088638755,4
4,Heart,KIF13B,0.985033599854458,5
5,Heart,COL5A3,0.976017640957671,6
6,Heart,ARMCX1,0.9709624700365315,7
7,Heart,ARNTL,0.9706236104266851,8
8,Heart,OAS2,0.9692651780412916,9
9,Heart,SLC25A20,0.9662668751079196,10
10,Heart,TERF2IP,0.9624944736032847,11
11,Heart,AHNAK,0.9606713856205785,12
12,Heart,ITGA3,0.9595851235626123,13
13,Heart,AIFM2,0.9591535126070376,14
14,Heart,ZNF211,0.9587433786945687,15
15,Heart,ADAMTS1,0.9585790263796582,16
16,Heart,TCEAL3,0.9581401700493427,17
17,Heart,SSB,0.9567768621368592,18
18,Heart,EIF4G3,0.9564988506458336,19
19,Heart,DUSP7,0.9562560304281452,20
20,Heart,SSBP4,0.9561948744983907,21
21,Heart,CSF1R,0.9559844961042889,22
22,Heart,SLC25A30,0.9553903682052134,23
23,Heart,SLC39A1,0.9538689467281993,24
24,Heart,CLDN5,0.9538502474960702,25
25,Heart,SEC61B,0.9521960681557005,26
26,Heart,HIC1,0.950706584313242,27
27,Heart,MAGED2,0.9501581139630333,28
28,Heart,FZD4,0.9490486997663299,29
29,Heart,FLOT2,0.9487983856377491,30
30,Heart,ADSSL1,0.9487260181568479,31
31,Heart,SLC25A5,0.948426056709249,32
32,Heart,MGAM,0.9467173342154369,33
33,Heart,FAM63B,0.9465427020231824,34
34,Heart,DUSP1,0.9456309708239969,35
35,Heart,CTSL,0.9455570903521713,36
36,Heart,BCL9L,0.9449616014458385,37
37,Heart,CIART,0.9448829200385798,38
38,Heart,HSDL2,0.9447436957437222,39
39,Heart,ATP1B3,0.9446523905891024,40
40,Heart,TRIM22,0.9441861656623942,41
41,Heart,VKORC1L1,0.9440799439871143,42
42,Heart,KCNJ8,0.9435859152101176,43
43,Heart,DLGAP4,0.9426596443774333,44
44,Heart,FGFR1,0.9426544251600621,45
45,Heart,ACSL1,0.9424969898943434,46
46,Heart,ALS2,0.9424059588374292,47
47,Heart,SPNS2,0.9412967011688442,48
48,Heart,TATDN2,0.9408723430223216,49
49,Heart,ZFAND5,0.9404853591684348,50
50,Heart,RNF170,0.9397593479555527,51
51,Heart,DNAJC3,0.9397233114701373,52
52,Heart,LAMP1,0.9395610043526922,53
53,Heart,CREM,0.9395310419306938,54
54,Heart,USP46,0.9393607167253192,55
55,Heart,ZNF331,0.9382870818765413,56
56,Heart,TRIM44,0.9379941849096479,57
57,Heart,PER3,0.9372750680006021,58
58,Heart,SEC61A1,0.9371677680868375,59
59,Heart,MS4A6A,0.9370858119947971,60
60,Heart,CBX7,0.9368646107552282,61
61,Heart,LRFN4,0.9364552702809286,62
62,Heart,TMEM47,0.9364401777702223,63
63,Heart,CALM3,0.9364285602025032,64
64,Heart,LHX6,0.9363792044458797,65
65,Heart,GFPT2,0.9363509340983298,66
66,Heart,PCSK5,0.9361562747468097,67
67,Heart,MYLIP,0.936061904754486,68
68,Heart,PI4KB,0.9360598134413683,69
69,Heart,EGR1,0.935987551633027,70
70,Heart,PREX1,0.9358864962407447,71
71,Heart,EIF4A3,0.9356694801496502,72
72,Heart,AKAP8L,0.9356488347523436,73
73,Heart,SEL1L,0.9356287653317176,74
74,Heart,ARID1B,0.9355881741272221,75
75,Heart,FLNA,0.9353884410541035,76
76,Heart,AOC3,0.9349723998741152,77
77,Heart,ATP6AP2,0.9349046171744647,78
78,Heart,FOXP4,0.9347441822157534,79
79,Heart,SNAI1,0.9346839431921782,80
80,Heart,CHRNE,0.9342144779613173,81
81,Heart,PHF19,0.9341951190506451,82
82,Heart,NXPH3,0.9341545054263564,83
83,Heart,HBP1,0.9338730499238568,84
84,Heart,CARD10,0.9337730301812963,85
85,Heart,SLC11A2,0.9337214091277088,86
86,Heart,BBX,0.9335576886170959,87
87,Heart,EPHX1,0.9334667150872619,88
88,Heart,G6PD,0.9331214135961757,89
89,Heart,YPEL5,0.9329769519239917,90
90,Heart,CDK9,0.9328624120132425,91
91,Heart,TRAK2,0.9327374612065832,92
92,Heart,PFN1,0.9327170636485103,93
93,Heart,AARS,0.9326779644811655,94
94,Heart,CEBPB,0.9323559341442617,95
95,Heart,WISP2,0.9321694895877098,96
96,Heart,LATS2,0.9321196644346358,97
97,Heart,TSKU,0.9318838076655459,98
98,Heart,TMEM43,0.9316532572560675,99
99,Heart,ZBTB47,0.931592388884288,100
100,Heart,COPB1,0.9305843183064962,101
101,Heart,HNRNPK,0.9305084353232406,102
102,Heart,TTC7A,0.9302407071319575,103
103,Heart,PABPN1,0.9295854136069104,104
104,Heart,AMPD2,0.9295178306623973,105
105,Heart,BMPR2,0.9292876276308809,106
106,Heart,AFF1,0.9291946318960957,107
107,Heart,ADGRB2,0.9284526261593192,108
108,Heart,ADAP2,0.9282885341839815,109
109,Heart,LPIN1,0.9281216307675317,110
110,Heart,DNASE2,0.92800957299274,111
111,Heart,GATAD2A,0.9279703134926433,112
112,Heart,PCIF1,0.927594756843877,113
113,Heart,PPL,0.9275215580553442,114
114,Heart,FOS,0.9270505049023838,115
115,Heart,DPP9,0.9267758608410823,116
116,Heart,TPI1,0.9264333804841371,117
117,Heart,SET,0.9264029918545358,118
118,Heart,MUS81,0.9262262581508716,119
119,Heart,IGIP,0.9260614259633707,120
120,Heart,TMEM167B,0.9258125334494359,121
121,Heart,GTPBP1,0.9256169090559702,122
122,Heart,EIF4EBP1,0.925309880372995,123
123,Heart,TMEM259,0.9252809739113356,124
124,Heart,AUTS2,0.9251642964529867,125
125,Heart,UBAP1,0.9250167486238395,126
126,Heart,ZNF207,0.9248226082731255,127
127,Heart,ACVR1B,0.9247963793970961,128
128,Heart,ENOX2,0.9245375857821819,129
129,Heart,MARK4,0.9244370308319425,130
130,Heart,IFI44,0.9241532894018014,131
131,Heart,FAT4,0.9236309032672684,132
132,Heart,ORC3,0.9232692851940995,133
133,Heart,DAPK3,0.9232284306180378,134
134,Heart,TOMM20,0.9231955077631118,135
135,Heart,OTUD4,0.9230928174778369,136
136,Heart,RARRES1,0.9228290864536278,137
137,Heart,TSHZ1,0.9226833278270753,138
138,Heart,RNF139,0.922577287182783,139
139,Heart,HADHA,0.9222016380663971,140
140,Heart,EFEMP2,0.921914847889358,141
141,Heart,EP300,0.92177291773165,142
142,Heart,BIRC2,0.9217672742317264,143
143,Heart,NCL,0.9217196509832598,144
144,Heart,ZFPL1,0.9217037323551281,145
145,Heart,C1orf132,0.9216828871825944,146
146,Heart,UFL1,0.9215845440389652,147
147,Heart,SH3BP2,0.9214078305396007,148
148,Heart,EGR2,0.9211548487072085,149
149,Heart,CORO7,0.9211116152368648,150
150,Heart,BCL3,0.9211073576522355,151
151,Heart,ARPC1B,0.9210614290045191,152
152,Heart,ARPC4,0.9210540924688364,153
153,Heart,P4HB,0.9209427859744013,154
154,Heart,FXYD6,0.9207325524056852,155
155,Heart,PTRF,0.9207216564646579,156
156,Heart,FADS3,0.9204843217785544,157
157,Heart,THAP12,0.9203123763291012,158
158,Heart,GMPPA,0.9201981272521608,159
159,Heart,PPM1F,0.920087780391199,160
160,Heart,MANF,0.919886646212401,161
161,Heart,KLHL26,0.9197487514173435,162
162,Heart,TATDN3,0.9196194535804962,163
163,Heart,ACSL5,0.9195604649540422,164
164,Heart,GUCY1B3,0.9192275355109722,165
165,Heart,LONRF3,0.9192091987186453,166
166,Heart,NOTCH2,0.9191544585869517,167
167,Heart,TAB2,0.9188633900291205,168
168,Heart,DRAP1,0.918675893942391,169
169,Heart,PPP1CB,0.9186300650548426,170
170,Heart,DNAJB6,0.9184944250363601,171
171,Heart,RETSAT,0.918315417603899,172
172,Heart,TNKS,0.918195390882974,173
173,Heart,NBR1,0.918098720322786,174
174,Heart,EMILIN1,0.9178852008552619,175
175,Heart,ENDOD1,0.9178067179098084,176
176,Heart,CPEB3,0.9177948228963433,177
177,Heart,SHCBP1,0.9177279969749835,178
178,Heart,SIN3A,0.9176856062533884,179
179,Heart,PRMT1,0.9176144040398682,180
180,Heart,MBOAT2,0.9175878944962159,181
181,Heart,EIF3J,0.9175648099845242,182
182,Heart,SIK2,0.9173937107560932,183
183,Heart,CAPN3,0.91733378873372,184
184,Heart,CACNA1H,0.9170259421142043,185
185,Heart,ZMAT2,0.9169868574471006,186
186,Heart,CYP2J2,0.916718337421162,187
187,Heart,STAT3,0.916683719380772,188
188,Heart,KHSRP,0.9166287805669455,189
189,Heart,NAB1,0.9165604148825712,190
190,Heart,NOTCH1,0.9163921282213573,191
191,Heart,ISLR,0.9161459434358957,192
192,Heart,POMT1,0.9161424142752079,193
193,Heart,CD164,0.9160482462415672,194
194,Heart,H2AFZ,0.9160335747198334,195
195,Heart,WDR1,0.9158971512863626,196
196,Heart,SLC8B1,0.9158520067232729,197
197,Heart,DIS3L2,0.9158255162130994,198
198,Heart,VSIG4,0.9158015385275118,199
199,Heart,BCL2L11,0.9155966455485359,200
200,Heart,NASP,0.9155005335610361,201
201,Heart,CYFIP1,0.9153882501155939,202
202,Heart,UTP3,0.9153068752567513,203
203,Heart,WWP1,0.9152921305365705,204
204,Heart,SATB1,0.9152870355837589,205
205,Heart,ZMYND11,0.9151555694387165,206
206,Heart,LINC00982,0.9150431354776337,207
207,Heart,UBQLN1,0.914785885380544,208
208,Heart,FPR1,0.9147583295104564,209
209,Heart,NR2F2,0.9145733116439767,210
210,Heart,SNX7,0.9145372232490563,211
211,Heart,SETD7,0.9144562720728865,212
212,Heart,VMP1,0.9144430838988604,213
213,Heart,HDLBP,0.9143159362101764,214
214,Heart,YIPF5,0.9143041816446853,215
215,Heart,ZNF33A,0.9141404076671907,216
216,Heart,ST3GAL1,0.913979327177216,217
217,Heart,FAM46C,0.9136957865007361,218
218,Heart,YY1AP1,0.9136619755111488,219
219,Heart,ARAF,0.9134393408577867,220
220,Heart,MAOA,0.913271647269308,221
221,Heart,COBLL1,0.9132384591825443,222
222,Heart,MMP23B,0.9131519401092236,223
223,Heart,PLEKHA7,0.9131295030299735,224
224,Heart,RXRA,0.9125104729568306,225
225,Heart,ADAR,0.9124732492700534,226
226,Heart,TGIF2,0.9123384226595483,227
227,Heart,C1QTNF7,0.9121583101747146,228
228,Heart,GS1-358P8.4,0.9120907517400758,229
229,Heart,SLC35E1,0.912085221494239,230
230,Heart,SH3BGRL3,0.9120482751657969,231
231,Heart,IL6ST,0.9120475122863706,232
232,Heart,C6orf1,0.9120286254116209,233
233,Heart,CFLAR,0.9120260531105246,234
234,Heart,DUSP5,0.9119372613066541,235
235,Heart,DHX15,0.9119270370565966,236
236,Heart,VSNL1,0.9118360982175708,237
237,Heart,ASIP,0.911787067826365,238
238,Heart,ATAT1,0.9116861402405504,239
239,Heart,ANKRD10,0.9116426775070248,240
240,Heart,TTBK2,0.9113183635311266,241
241,Heart,ADORA3,0.911251089020739,242
242,Heart,BLOC1S6,0.9109172708299069,243
243,Heart,GABPA,0.9109134079225862,244
244,Heart,ARFGAP1,0.9109021617466418,245
245,Heart,REST,0.9108654765556641,246
246,Heart,BTF3L4,0.9108413485810406,247
247,Heart,DCUN1D3,0.9106299347129557,248
248,Heart,FUT1,0.9103274159106809,249
249,Heart,PCOLCE,0.910183473003938,250
250,Heart,CTD-3035K23.3,0.910166590805929,251
251,Heart,AFF4,0.9100401142289373,252
252,Heart,STRADB,0.9100192404302903,253
253,Heart,PHF12,0.9100153872229334,254
254,Heart,ZNF281,0.9099659915551316,255
255,Heart,ALG9,0.9099478784000311,256
256,Heart,MYO9B,0.909880102554237,257
257,Heart,AC116366.6,0.9098244434439433,258
258,Heart,SLC27A1,0.9095600529500626,259
259,Heart,UBE4B,0.9094214291453977,260
260,Heart,ROCK1,0.9093790506384255,261
261,Heart,DERL1,0.9092265459312514,262
262,Heart,CYTH3,0.9091759536193995,263
263,Heart,DENND4B,0.9088485106008073,264
264,Heart,ARHGEF2,0.9087941249052833,265
265,Heart,PRKAB2,0.9085266232745928,266
266,Heart,MBD4,0.9084903287029044,267
267,Heart,OXNAD1,0.9084030809751621,268
268,Heart,ACBD3,0.90837904475907,269
269,Heart,KRBA1,0.9083513839807082,270
270,Heart,TMED2,0.9083483920114755,271
271,Heart,PTPN23,0.9083432463785917,272
272,Heart,FAM131C,0.9083269575894273,273
273,Heart,LONRF1,0.9083219712336561,274
274,Heart,SUSD6,0.9081856011393574,275
275,Heart,NADK,0.9080222893669487,276
276,Heart,HIVEP1,0.9080062138921187,277
277,Heart,CHD9,0.9079283008305238,278
278,Heart,KCTD10,0.9076337906261102,279
279,Heart,C5orf24,0.9075994672306781,280
280,Heart,RIPK1,0.907461250102942,281
281,Heart,PTPRZ1,0.9072883333900336,282
282,Heart,PPIA,0.9072315523984545,283
283,Heart,SMARCE1,0.9071860403565294,284
284,Heart,NTRK1,0.9071741418985143,285
285,Heart,TRAFD1,0.9071375045632707,286
286,Heart,ITGAE,0.9071098278098866,287
287,Heart,DNMBP,0.9070818667553792,288
288,Heart,YWHAE,0.9069973390591697,289
289,Heart,ZBTB6,0.9068730388381787,290
290,Heart,MGP,0.9066917433831798,291
291,Heart,RAB32,0.9065888182209313,292
292,Heart,PTGS2,0.9065507674161258,293
293,Heart,TTC21B,0.9065169810689528,294
294,Heart,KLF11,0.9062940715095729,295
295,Heart,SMARCA5,0.9061356643450243,296
296,Heart,SKI,0.906049123974637,297
297,Heart,NMB,0.9058883762316395,298
298,Heart,NR1D2,0.9057882949566288,299
299,Heart,AC093609.1,0.9057665181387852,300
300,Heart,HNRNPUL2,0.905538702265169,301
301,Heart,RNF144A,0.9054207254317613,302
302,Heart,NATD1,0.905420439776834,303
303,Heart,UBE2V1,0.9053811480560092,304
304,Heart,EDIL3,0.9053499964504861,305
305,Heart,LINC-PINT,0.9053253743481483,306
306,Heart,ZSCAN18,0.9053147021450015,307
307,Heart,WDR26,0.9052222961092201,308
308,Heart,ERLIN2,0.9052078988727428,309
309,Heart,URB1,0.9050244486739706,310
310,Heart,SEC24C,0.904914365318981,311
311,Heart,MAP3K3,0.9048869484784041,312
312,Heart,SPTLC2,0.9048491894639332,313
313,Heart,MYD88,0.9048066306842277,314
314,Heart,GOLGA3,0.9045937415358754,315
315,Heart,SCN9A,0.9045401446480064,316
316,Heart,TFRC,0.9045018136213907,317
317,Heart,ASH1L,0.9044895872367266,318
318,Heart,CTD-2547G23.4,0.9043358408726159,319
319,Heart,DGUOK,0.9042959704464323,320
320,Heart,CKS1B,0.9042396705136155,321
321,Heart,CARHSP1,0.9042170562567564,322
322,Heart,LAIR1,0.9040496164987023,323
323,Heart,THRA,0.9039957758468897,324
324,Heart,ZNF43,0.903923501939979,325
325,Heart,ZNF776,0.9039132890814221,326
326,Heart,TMOD2,0.9037716462684338,327
327,Heart,NCSTN,0.9037641601853351,328
328,Heart,TMED5,0.903715322068197,329
329,Heart,FCN1,0.9036472074018959,330
330,Heart,PTPN1,0.9034779111465913,331
331,Heart,ATRX,0.9034639746284622,332
