,Tissue Name,Gene Name,Centrality,Rank
0,Kidney,COL16A1,1.0,1
1,Kidney,SERPINF1,0.993590081107953,2
2,Kidney,SVEP1,0.9799695626761062,3
3,Kidney,CYBRD1,0.9677012208300414,4
4,Kidney,SRPX2,0.9651099949358876,5
5,Kidney,FMOD,0.9592875122607286,6
6,Kidney,STEAP4,0.9573908130375518,7
7,Kidney,PCOLCE,0.9573635555064075,8
8,Kidney,BCL2L2,0.9517009126398898,9
9,Kidney,RP11-274B21.9,0.9494577174960634,10
10,Kidney,PPP1R14A,0.9492012623199175,11
11,Kidney,C1R,0.9483489030860874,12
12,Kidney,USP19,0.947785335244724,13
13,Kidney,COL8A1,0.9476817455635151,14
14,Kidney,B4GAT1,0.9471287240737073,15
15,Kidney,NRIP2,0.9445918483718404,16
16,Kidney,SPON1,0.943488788394944,17
17,Kidney,FHL5,0.9417718996082953,18
18,Kidney,FKBP11,0.9408341684659172,19
19,Kidney,PLCE1,0.9405265037106326,20
20,Kidney,PLOD3,0.9399620865654665,21
21,Kidney,USP5,0.939867147364975,22
22,Kidney,SAMHD1,0.9397831882840891,23
23,Kidney,SMARCD3,0.9378112761752179,24
24,Kidney,TMEM116,0.9372310849111483,25
25,Kidney,PALLD,0.9371359789646582,26
26,Kidney,GTF2H1,0.9368580767548689,27
27,Kidney,SYS1,0.9365868192263699,28
28,Kidney,CRNKL1,0.9363528709368271,29
29,Kidney,LYSMD4,0.9349770501702596,30
30,Kidney,HUWE1,0.9345909224059605,31
31,Kidney,SHKBP1,0.9343989262747833,32
32,Kidney,TMEM223,0.9341571719806547,33
33,Kidney,RBM3,0.9332344595327353,34
34,Kidney,IGF1R,0.9328938738400655,35
35,Kidney,HAT1,0.9328425445667894,36
36,Kidney,PCYOX1,0.9328239060383046,37
37,Kidney,GGT5,0.9318463379608306,38
38,Kidney,CFAP97,0.9317718663365838,39
39,Kidney,MYO5B,0.9317486259190507,40
40,Kidney,ST6GALNAC3,0.9312992696524723,41
41,Kidney,RAB40A,0.9305716093530361,42
42,Kidney,TNS1,0.9299522557932033,43
43,Kidney,LAMP2,0.9296544777219622,44
44,Kidney,SPATA18,0.9295014843024422,45
45,Kidney,ASXL1,0.9289415271799097,46
46,Kidney,ATP6V0D1,0.9286021107601447,47
47,Kidney,TADA2B,0.9279023194085196,48
48,Kidney,LINC00839,0.9277868696496056,49
49,Kidney,CENPO,0.9276734546951965,50
50,Kidney,PES1,0.9270680564873118,51
51,Kidney,RGS16,0.9269478179242314,52
52,Kidney,LRRC2,0.9267630411891984,53
53,Kidney,STAT5B,0.9264075742851349,54
54,Kidney,MESDC2,0.9261162064057239,55
55,Kidney,SLC25A25-AS1,0.9258723896390925,56
56,Kidney,ZNF550,0.9255052959462314,57
57,Kidney,SLC3A1,0.9247084047633201,58
58,Kidney,SPIDR,0.9246006560092994,59
59,Kidney,CTSK,0.9242684350167548,60
60,Kidney,CMTM7,0.9237147453547291,61
61,Kidney,PLA2G4A,0.923693732870007,62
62,Kidney,ATG16L2,0.9234818020603208,63
63,Kidney,CDK13,0.9227366777112546,64
64,Kidney,PDLIM2,0.9221180733380555,65
65,Kidney,MLLT6,0.922023705157479,66
66,Kidney,ASB1,0.9214135425910047,67
67,Kidney,OGDH,0.9209381415690482,68
68,Kidney,TXLNA,0.9208723851111918,69
69,Kidney,VAMP5,0.9202787375989241,70
70,Kidney,ADRA2A,0.9201187442023852,71
71,Kidney,RP11-159D12.2,0.9193400720439312,72
72,Kidney,HTT,0.9188308966349873,73
73,Kidney,DDX54,0.9183692132057402,74
74,Kidney,NDUFS3,0.9182700982189618,75
75,Kidney,USP2,0.9182383144369973,76
76,Kidney,LMTK2,0.9181781875009883,77
77,Kidney,XYLT2,0.9180586868600666,78
78,Kidney,RP9P,0.9179675952922695,79
79,Kidney,LAPTM4A,0.9179177550788911,80
80,Kidney,ELL,0.9179000793007558,81
81,Kidney,ASPSCR1,0.9177522235928066,82
82,Kidney,BRF1,0.9177331930121571,83
83,Kidney,PIP5KL1,0.9172068429740321,84
84,Kidney,FH,0.9169892499493494,85
85,Kidney,NADK2,0.9167526569554665,86
86,Kidney,RBMS3,0.9162097346410153,87
87,Kidney,HSPA1A,0.9160061909711315,88
88,Kidney,RBM10,0.9152633766039326,89
89,Kidney,ADAP1,0.9151688531757195,90
90,Kidney,DSTN,0.9147988185363448,91
91,Kidney,NANS,0.9146637798011855,92
92,Kidney,VLDLR,0.914458087366963,93
93,Kidney,GLB1,0.9142802274762817,94
94,Kidney,RNF13,0.9141506660810322,95
95,Kidney,FPGS,0.9138392496634192,96
96,Kidney,MSRB3,0.9137640698587791,97
97,Kidney,PROSER3,0.913547546052083,98
98,Kidney,CRIP3,0.9131859356344071,99
99,Kidney,ZDHHC8,0.913169705494994,100
100,Kidney,NOP2,0.9129653483530318,101
101,Kidney,RP11-182L21.6,0.9126688793144043,102
102,Kidney,ZSCAN18,0.9115585383921482,103
103,Kidney,BATF3,0.911349314417088,104
104,Kidney,GMDS,0.9112921959858395,105
105,Kidney,RP5-1112D6.7,0.911281812608434,106
106,Kidney,GRB2,0.9107096756713308,107
107,Kidney,TUG1,0.9106235202599166,108
108,Kidney,EGLN3,0.9105927725049893,109
109,Kidney,MFAP1,0.9101095018877181,110
110,Kidney,PSAP,0.9099423302567455,111
111,Kidney,FKBP10,0.909818325736861,112
112,Kidney,CPE,0.9096831377526545,113
113,Kidney,FAM168B,0.9094287485684454,114
114,Kidney,VILL,0.9091632238292032,115
115,Kidney,RP11-324I22.4,0.9091162079914867,116
116,Kidney,PCMT1,0.9088741962626662,117
117,Kidney,TACC1,0.908836988392338,118
118,Kidney,ACVR2A,0.9085020851681205,119
119,Kidney,GM2A,0.908491065189101,120
120,Kidney,TMEM102,0.9084891217097962,121
121,Kidney,RP11-304L19.11,0.9083692382247148,122
122,Kidney,SRM,0.9082823262801348,123
123,Kidney,ARHGEF26-AS1,0.9081896844327068,124
124,Kidney,RFX1,0.9077535804430917,125
125,Kidney,NEURL1B,0.9077439136751152,126
126,Kidney,PKDCC,0.9076503054614772,127
127,Kidney,MKL2,0.9076116131214319,128
128,Kidney,RGP1,0.9076020142472884,129
129,Kidney,CPSF7,0.9074995612555615,130
