,Tissue Name,Gene Name,Centrality,Rank
0,Adipose,FSTL1,1.0,1
1,Adipose,LRRC59,0.9994548212350797,2
2,Adipose,ORC2,0.9973790996934441,3
3,Adipose,ZNF771,0.9960849077968043,4
4,Adipose,SRSF1,0.9912365829279643,5
5,Adipose,CEBPD,0.9898912977528647,6
6,Adipose,CELF6,0.9876226437842295,7
7,Adipose,TMEM160,0.9839798807777773,8
8,Adipose,APOLD1,0.9829210191366896,9
9,Adipose,KDELR2,0.9811928303702978,10
10,Adipose,AMPD2,0.9805846941903819,11
11,Adipose,RBM17,0.9792460707824626,12
12,Adipose,BACE1,0.9775411730728351,13
13,Adipose,AP1G1,0.977523350566327,14
14,Adipose,TPGS1,0.9751195745615356,15
15,Adipose,HNRNPU,0.9737341164398295,16
16,Adipose,GRASP,0.9727353340608531,17
17,Adipose,MYADM,0.9717578857652257,18
18,Adipose,CHD3,0.9710072604491923,19
19,Adipose,PDIA3,0.970725682718342,20
20,Adipose,COPG1,0.969722523394837,21
21,Adipose,TIFA,0.9696874412607879,22
22,Adipose,LUC7L,0.9691234106304975,23
23,Adipose,PPP2CA,0.9689867805850423,24
24,Adipose,PTAR1,0.9682478068519923,25
25,Adipose,TMUB1,0.9677514855531284,26
26,Adipose,DUSP6,0.9663270679333602,27
27,Adipose,GSE1,0.9661431132357136,28
28,Adipose,ATP6AP1,0.9652152928077979,29
29,Adipose,AGO4,0.9647056825919166,30
30,Adipose,CASKIN2,0.9647055922318257,31
31,Adipose,TMEM198B,0.9613285116103647,32
32,Adipose,KLF9,0.9607157896120025,33
33,Adipose,RUVBL1,0.9605605639266143,34
34,Adipose,HECW2,0.960141749722426,35
35,Adipose,PIK3R3,0.9583768598760379,36
36,Adipose,PFKFB3,0.9580015145856271,37
37,Adipose,C5AR2,0.957759726177182,38
38,Adipose,RNF144A,0.9561057233217456,39
39,Adipose,HOXB4,0.9560884858426505,40
40,Adipose,KLF16,0.9555820146391335,41
41,Adipose,HELZ2,0.9545001194701622,42
42,Adipose,CFL1,0.9544534633873344,43
43,Adipose,APLP2,0.9541344148550689,44
44,Adipose,NEDD9,0.9538686443622398,45
45,Adipose,NAA50,0.9529166118076107,46
46,Adipose,MYDGF,0.9528485899302157,47
47,Adipose,FBRSL1,0.9524199680889515,48
48,Adipose,TRIM25,0.9512544335384202,49
49,Adipose,INF2,0.9509919898512332,50
50,Adipose,HADHB,0.9505114919413584,51
51,Adipose,GLUL,0.950395024151318,52
52,Adipose,TBL1XR1,0.950366985778939,53
53,Adipose,KLHL9,0.9502175798486933,54
54,Adipose,SSR3,0.9498493128294758,55
55,Adipose,CDKN1A,0.9497578812283339,56
56,Adipose,OLFML3,0.9497449627997506,57
57,Adipose,HNRNPM,0.949718229803853,58
58,Adipose,SMARCC2,0.9493095098951281,59
59,Adipose,RILP,0.9490626484077009,60
60,Adipose,MAP4,0.9487129113607637,61
61,Adipose,ITGAX,0.9484692461637223,62
62,Adipose,UNKL,0.9483913196989857,63
63,Adipose,DDX21,0.9483150740632867,64
64,Adipose,SRGAP2,0.9478005004280153,65
65,Adipose,ZNF638,0.9470805292134964,66
66,Adipose,SZT2,0.947066906482339,67
67,Adipose,ZNF740,0.9465276797582636,68
68,Adipose,DNAJA2,0.9461160472203262,69
69,Adipose,CAP1,0.9460257419444131,70
70,Adipose,RAD23A,0.9457104333782995,71
71,Adipose,INPPL1,0.9455958492524289,72
72,Adipose,PVR,0.9451919454083997,73
73,Adipose,PTEN,0.9450547117169148,74
74,Adipose,SEPT8,0.9447045784763893,75
75,Adipose,SLTM,0.9445258320309778,76
76,Adipose,PDLIM5,0.9445069306447073,77
77,Adipose,ARHGAP33,0.9443079042918316,78
78,Adipose,TCOF1,0.9442595777684388,79
79,Adipose,ZSWIM6,0.9435193842393516,80
80,Adipose,ZNF141,0.9434584698714799,81
81,Adipose,ALKBH2,0.9433873062500483,82
82,Adipose,COPZ1,0.9432368140109069,83
83,Adipose,TPP1,0.9431771581241376,84
84,Adipose,AAMP,0.9431452179377232,85
85,Adipose,KANK3,0.9428770371344344,86
86,Adipose,USP2,0.9426279083901818,87
87,Adipose,S1PR1,0.9425580045904121,88
88,Adipose,CCL14,0.942380617438051,89
89,Adipose,SEMA5A,0.9423372982500126,90
90,Adipose,DEK,0.942259040571507,91
91,Adipose,AIF1L,0.9422559463605356,92
92,Adipose,ITPRIPL2,0.9417782617898082,93
93,Adipose,RHOBTB3,0.9417673484024617,94
94,Adipose,CCDC71L,0.9417423389467786,95
95,Adipose,CCT5,0.9415667586328336,96
96,Adipose,ABCE1,0.9412824865885671,97
97,Adipose,PCF11,0.9412158911965998,98
98,Adipose,ARPC5L,0.9410563516451126,99
99,Adipose,DDR1,0.9405396538554058,100
100,Adipose,RBM14,0.9404714748229992,101
101,Adipose,JUP,0.9404688332860767,102
102,Adipose,ATP6AP2,0.9403169233248372,103
103,Adipose,ANKRD9,0.940110630772476,104
104,Adipose,ACSS3,0.9400806616490438,105
105,Adipose,KLC2,0.940072348179294,106
106,Adipose,CDH11,0.9398611988175477,107
107,Adipose,PCGF5,0.9398046055845107,108
108,Adipose,SFRP2,0.9394563738702951,109
109,Adipose,TP53INP2,0.9393529431608626,110
110,Adipose,ATP6V0A1,0.9391261935779616,111
111,Adipose,GOPC,0.9390556137949276,112
112,Adipose,LGALS8,0.9388202525783899,113
113,Adipose,FKBP5,0.938625799936868,114
114,Adipose,FAM214A,0.9382351277620088,115
115,Adipose,CCDC149,0.9378092320316271,116
116,Adipose,LYPLA1,0.9377961137013671,117
117,Adipose,CREB3L1,0.9377284521173833,118
118,Adipose,TCF3,0.9377051256502353,119
119,Adipose,AGAP1,0.9371626459385335,120
120,Adipose,MPV17,0.937158888624173,121
121,Adipose,ZBTB2,0.9370714031128917,122
122,Adipose,TMEM55A,0.9370493118191069,123
123,Adipose,ACTG1,0.937029909038363,124
124,Adipose,PARP2,0.9370112741523088,125
125,Adipose,HEBP1,0.9368598665696649,126
126,Adipose,HACD3,0.9367477383952275,127
127,Adipose,CLEC14A,0.936653277686546,128
128,Adipose,PRRC2A,0.9366274979150526,129
129,Adipose,RAD21,0.9362683295231284,130
130,Adipose,GGNBP2,0.9362586871062474,131
131,Adipose,OLFM1,0.9355508802704103,132
132,Adipose,GMPS,0.9354856225443573,133
133,Adipose,PDE4A,0.9353792565510846,134
134,Adipose,FBN1,0.9351690506833064,135
135,Adipose,TRA2A,0.9350511341753507,136
136,Adipose,OAS1,0.9349705525052688,137
137,Adipose,ODF3B,0.9347192665622713,138
138,Adipose,CCDC47,0.9346908935964565,139
139,Adipose,ANG,0.9346774628852691,140
140,Adipose,LMO2,0.9346455379546419,141
141,Adipose,GSPT1,0.934623080566664,142
142,Adipose,PPP1R18,0.9346205183141649,143
143,Adipose,ELF2,0.9344634616041629,144
144,Adipose,CAPN2,0.9340450521651593,145
145,Adipose,ZNF398,0.9339626303986122,146
146,Adipose,PIM3,0.9337626046676868,147
147,Adipose,NR2F1,0.933743412764487,148
148,Adipose,SLC25A42,0.9335706076465372,149
149,Adipose,TAX1BP1,0.9334171286536133,150
150,Adipose,MIR34A,0.9333961417419656,151
151,Adipose,GAB1,0.9329545906137442,152
152,Adipose,ARRB2,0.9329227609522578,153
153,Adipose,SEMA6A,0.9326001096360816,154
154,Adipose,MCF2L,0.9325272216882268,155
155,Adipose,DNMT3A,0.9324154300382432,156
156,Adipose,XRCC5,0.9323145506249313,157
157,Adipose,VAMP1,0.9322968624189677,158
158,Adipose,RP11-449J21.3,0.932123578349096,159
159,Adipose,RHOJ,0.9320828651067276,160
160,Adipose,ABCC10,0.9317134220121434,161
161,Adipose,WHSC1,0.9316509762787839,162
162,Adipose,STXBP1,0.9316072853414487,163
163,Adipose,CDK1,0.9315148890937014,164
164,Adipose,MGLL,0.9313157613446121,165
165,Adipose,CCNL2,0.9312287314544377,166
166,Adipose,CALD1,0.9311802782262912,167
167,Adipose,NOS3,0.9308063097138575,168
168,Adipose,UBE2E1,0.930603258845346,169
169,Adipose,GOLGA3,0.9304783231233189,170
170,Adipose,PPP2R5B,0.9303762134856696,171
171,Adipose,MFSD12,0.9303534299635171,172
172,Adipose,C10orf10,0.9303368014003865,173
173,Adipose,SLC26A11,0.9302902068880609,174
174,Adipose,TEF,0.9302758823393534,175
