,Tissue Name,Gene Name,Centrality,Rank
0,Muscle,ARHGEF37,1.0,1
1,Muscle,TTBK2,0.9999345119528869,2
2,Muscle,POU5F1,0.9999209297240598,3
3,Muscle,MAP2K6,0.9998692207418315,4
4,Muscle,ST6GALNAC3,0.9998227124591976,5
5,Muscle,LBH,0.9998057081983505,6
6,Muscle,SCMH1,0.9997976424921122,7
7,Muscle,CSTF2T,0.9997927375332252,8
8,Muscle,TMEM177,0.9997289199492825,9
9,Muscle,STAG3L4,0.9996820084201286,10
10,Muscle,NKRF,0.9996100070039738,11
11,Muscle,GSTM2,0.999583879124064,12
12,Muscle,FLVCR2,0.9995283405344506,13
13,Muscle,FBXO16,0.9994910723400467,14
14,Muscle,EIF4E,0.999490642061202,15
15,Muscle,TM7SF3,0.9994614392541901,16
16,Muscle,CTA-253N17.1,0.9994567143654569,17
17,Muscle,C1RL,0.999454898999459,18
18,Muscle,SEPSECS-AS1,0.9994233195738742,19
19,Muscle,TCEAL4,0.9994194805247344,20
20,Muscle,AL133243.2,0.9993969551108811,21
21,Muscle,DHDDS,0.9993264040627549,22
22,Muscle,HELLS,0.9993235946635506,23
23,Muscle,LSM8,0.9992931263300876,24
24,Muscle,NLN,0.9992642778935535,25
25,Muscle,SMARCAD1,0.999233779978965,26
26,Muscle,MAP4K3,0.9992330253745902,27
27,Muscle,ATP6V1E2,0.9991999284923935,28
28,Muscle,ANKRD39,0.9991760399269611,29
29,Muscle,RSRP1,0.9991600549150026,30
30,Muscle,AC053503.4,0.9991381710927474,31
31,Muscle,RP11-583F2.2,0.9991376089628963,32
32,Muscle,LRP6,0.9991326917926072,33
33,Muscle,GGT1,0.9991085202790183,34
34,Muscle,TNFRSF10B,0.9990995462933597,35
35,Muscle,BAG3,0.9990949179287013,36
36,Muscle,CPEB3,0.9990904609775784,37
37,Muscle,HYKK,0.9990891972389085,38
38,Muscle,INO80,0.9990813826487938,39
39,Muscle,HCST,0.9990591958050216,40
40,Muscle,POC1B,0.9990549747004763,41
41,Muscle,MCF2L-AS1,0.9990534380130768,42
42,Muscle,BHMT2,0.9990516735370738,43
43,Muscle,NPIPB3,0.9990480439389945,44
44,Muscle,THNSL2,0.9990242223622402,45
45,Muscle,CLIC6,0.9990098992101409,46
46,Muscle,CSNK1E,0.9990094605422699,47
47,Muscle,CCDC22,0.9989908455138561,48
48,Muscle,ZNF496,0.9989123388408014,49
49,Muscle,GDPD1,0.9989061731893505,50
50,Muscle,RASSF1,0.998899168837268,51
51,Muscle,RP11-667M19.9,0.9988872646826779,52
52,Muscle,RHOC,0.9988765139710267,53
53,Muscle,ASB8,0.9988667053186232,54
54,Muscle,ZNF174,0.9988374085384616,55
55,Muscle,FGF12,0.9988362418384483,56
56,Muscle,SEC16B,0.9988159570651152,57
57,Muscle,RDH13,0.998811185095289,58
58,Muscle,ADARB1,0.9988040135173719,59
59,Muscle,ZNF512B,0.9987948276674515,60
60,Muscle,CTNND1,0.9987373460198673,61
61,Muscle,ITIH4,0.9986743496066505,62
62,Muscle,LRIF1,0.9986529971771291,63
63,Muscle,RP11-802E16.3,0.998637478942254,64
64,Muscle,GAS1,0.9986041293800489,65
65,Muscle,ZBTB11,0.9985762788062211,66
66,Muscle,FCHSD1,0.9985687448899061,67
67,Muscle,RP11-513M16.8,0.9985592758352426,68
68,Muscle,JARID2,0.9985205537511985,69
69,Muscle,RPS7,0.9985147282049002,70
70,Muscle,PARP12,0.9984985705947762,71
71,Muscle,RP11-21B21.4,0.9984729911238197,72
72,Muscle,SLC15A4,0.9984706805720759,73
73,Muscle,GNPDA1,0.9984621595420465,74
74,Muscle,KRT80,0.9984609628341025,75
75,Muscle,ODF3B,0.9984435367687595,76
76,Muscle,C6orf136,0.9984368858305361,77
77,Muscle,AP1S1,0.9984361825529194,78
78,Muscle,C17orf67,0.9984352320946225,79
79,Muscle,SULT1A4,0.9983936973901061,80
80,Muscle,PAPPA,0.9983924136027215,81
81,Muscle,FKBP10,0.9983916450328266,82
82,Muscle,RAG1,0.9983870082760091,83
83,Muscle,AC007383.3,0.998379153206821,84
84,Muscle,ZNF134,0.9983550193199403,85
85,Muscle,RP11-274B21.3,0.9983465584524526,86
86,Muscle,HR,0.9983418757841749,87
87,Muscle,SNRPN,0.9983409184670898,88
88,Muscle,COL18A1,0.9983128672655244,89
89,Muscle,C12orf49,0.9983125533432654,90
90,Muscle,TMEM88,0.9983095419015033,91
91,Muscle,PDZK1IP1,0.9983056665693892,92
92,Muscle,PLOD2,0.9982775876816452,93
93,Muscle,PWAR5,0.9982638126832336,94
94,Muscle,NCAPD2,0.9982531200933461,95
95,Muscle,DPP9-AS1,0.9982501348856043,96
96,Muscle,PTX3,0.9982446988275288,97
97,Muscle,TMEM184A,0.9982403138240272,98
98,Muscle,HOMEZ,0.9982141084407995,99
99,Muscle,PRPSAP1,0.9981986614933999,100
100,Muscle,SLFN5,0.9981945109590356,101
101,Muscle,ISPD,0.998171153433784,102
102,Muscle,RHOT2,0.9981609416856484,103
103,Muscle,IAH1,0.9981458979469079,104
104,Muscle,WDR48,0.9981381333097089,105
105,Muscle,TMEM136,0.998100763511662,106
106,Muscle,ARPP19,0.9980859254344739,107
107,Muscle,RP13-1032I1.7,0.9980329057776058,108
108,Muscle,SMPD3,0.99795426537864,109
109,Muscle,MRPL35,0.9978722118824881,110
110,Muscle,SERPINB8,0.9978551009591073,111
111,Muscle,CYP3A4,0.9978269346010512,112
112,Muscle,DNMT3B,0.9977732068910942,113
113,Muscle,STAG3L2,0.9977712941268582,114
114,Muscle,PRKAB2,0.9977695053007185,115
115,Muscle,PEX11A,0.9977521118068701,116
116,Muscle,COL6A3,0.9977502831666075,117
117,Muscle,RP11-252A24.3,0.9977394206165298,118
118,Muscle,AC142472.6,0.9977130061533637,119
119,Muscle,PAN2,0.9977112508986961,120
120,Muscle,CREG1,0.997709592612079,121
121,Muscle,APTR,0.9976998438524013,122
122,Muscle,MTHFD1,0.9976968698656303,123
123,Muscle,AP1G2,0.9976881145114378,124
124,Muscle,ZNF273,0.9976693070049835,125
125,Muscle,EHD1,0.9976662432527381,126
126,Muscle,AP001432.14,0.9976616291354926,127
127,Muscle,CTB-50L17.10,0.9976493401600252,128
128,Muscle,SEMA4G,0.9976479194461024,129
129,Muscle,HMGN3-AS1,0.9976053175855913,130
130,Muscle,MSN,0.9975987051726366,131
131,Muscle,ZBTB8A,0.997588883613122,132
132,Muscle,AGT,0.9975573547340055,133
133,Muscle,RASA4B,0.9975536309655927,134
134,Muscle,PMPCA,0.9975070771412572,135
135,Muscle,CCR7,0.9974881650796108,136
136,Muscle,PARD6G-AS1,0.9974815349855879,137
137,Muscle,ZC3H15,0.997465132807199,138
138,Muscle,C21orf33,0.9974572916659926,139
139,Muscle,USP30,0.9974349497097792,140
140,Muscle,ZNF749,0.9974006918523332,141
141,Muscle,RP11-191G24.1,0.997344491924411,142
142,Muscle,GJB3,0.9972975269811548,143
143,Muscle,RP11-77H9.2,0.9972875635759065,144
144,Muscle,HACL1,0.9972340324138486,145
145,Muscle,KCTD21-AS1,0.9972324671975301,146
146,Muscle,CYP11A1,0.9972285235317111,147
147,Muscle,SRSF11,0.9972195683340805,148
148,Muscle,ATP8A1,0.9972141091461653,149
149,Muscle,USP3-AS1,0.9972079493119642,150
150,Muscle,RIDA,0.9972077544379009,151
151,Muscle,GOLGA6L5P,0.9972022957332547,152
152,Muscle,NDUFA7,0.9971895655154067,153
153,Muscle,TMED4,0.9971608003544853,154
154,Muscle,RP11-810P12.7,0.9971584416197842,155
155,Muscle,NOL9,0.9971533698218656,156
156,Muscle,EPAS1,0.9971303322076683,157
157,Muscle,UCN,0.9971203234829769,158
158,Muscle,DLD,0.9971121984933805,159
159,Muscle,SNX17,0.9971066279629052,160
160,Muscle,PPP1R18,0.9970883329291023,161
161,Muscle,C19orf60,0.9970488485187207,162
162,Muscle,C4orf46,0.9970112468081574,163
163,Muscle,THTPA,0.9970033883184836,164
164,Muscle,OTUD5,0.996983585484419,165
165,Muscle,TMEM199,0.9969386631753759,166
166,Muscle,TRIAP1,0.9969247622292551,167
167,Muscle,IQGAP2,0.9969227617613704,168
168,Muscle,ACRC,0.9969126861110038,169
169,Muscle,CLDN4,0.9968806211613166,170
170,Muscle,DPF3,0.9968745384444538,171
171,Muscle,SESTD1,0.9968288655024917,172
172,Muscle,CD68,0.9968280762126996,173
173,Muscle,ARL4C,0.9967566031765541,174
174,Muscle,SRGN,0.9967395026635262,175
175,Muscle,KIAA0895,0.996729325602398,176
176,Muscle,CREBZF,0.9967238024480609,177
177,Muscle,ZNF416,0.9967153224540978,178
178,Muscle,DLEU1,0.9966644796520184,179
179,Muscle,BTD,0.9966625744508045,180
180,Muscle,ARL6IP1,0.9966287228593388,181
181,Muscle,PCDHGA11,0.9965530241767613,182
182,Muscle,ZNF362,0.9965491338612134,183
183,Muscle,SNX6,0.9965380716431415,184
