,Tissue Name,Gene Name,Centrality,Rank
0,Thyroid,RABL6,1.0,1
1,Thyroid,RPL5,0.9989683062406481,2
2,Thyroid,SPTAN1,0.9969970835649794,3
3,Thyroid,RPS12,0.9865472874947807,4
4,Thyroid,ABLIM1,0.9847080991345237,5
5,Thyroid,TNN,0.9827146797324408,6
6,Thyroid,RPL17,0.981145108174992,7
7,Thyroid,LTBP4,0.9801020833243794,8
8,Thyroid,F2RL3,0.9789784800131278,9
9,Thyroid,RPL26,0.9779414642333387,10
10,Thyroid,RP4-555D20.1,0.97695405302116,11
11,Thyroid,KANK3,0.9763689583871552,12
12,Thyroid,ARHGEF15,0.9751822386264634,13
13,Thyroid,EEF1A1,0.97481106125933,14
14,Thyroid,KLHL21,0.9709339813443509,15
15,Thyroid,RASL12,0.9701329652730022,16
16,Thyroid,RPL21,0.967273628501341,17
17,Thyroid,MSRB3,0.9651606364856415,18
18,Thyroid,SLC38A2,0.9636495004579506,19
19,Thyroid,SLC27A3,0.9634082146349299,20
20,Thyroid,PTPN21,0.9631729240637961,21
21,Thyroid,RPL22,0.9623012367704111,22
22,Thyroid,NR1D1,0.9616525156211908,23
23,Thyroid,FGF7,0.9616394988642126,24
24,Thyroid,PFKFB2,0.9613903265730125,25
25,Thyroid,TPT1,0.9612835607158915,26
26,Thyroid,CLIC3,0.9611502736861293,27
27,Thyroid,ACTA2,0.9607575234007943,28
28,Thyroid,LATS2,0.9596149480146879,29
29,Thyroid,SDPR,0.9585579008149131,30
30,Thyroid,FAM127A,0.958452505564293,31
31,Thyroid,ATXN7L3,0.9570357918628933,32
32,Thyroid,ALKBH7,0.9542085586100871,33
33,Thyroid,CACYBP,0.9526911287777597,34
34,Thyroid,SEPT11,0.9523576094944106,35
35,Thyroid,MANF,0.9518801389347273,36
36,Thyroid,UBTD1,0.9504206301461837,37
37,Thyroid,SLC44A1,0.9500570932060772,38
38,Thyroid,PHKA1,0.9497071755177801,39
39,Thyroid,FAM198B,0.948632820518504,40
40,Thyroid,RSPO3,0.9480273491054351,41
41,Thyroid,GON4L,0.9477794039305623,42
42,Thyroid,PCDH7,0.947238830743986,43
43,Thyroid,TBX1,0.9470388207117774,44
44,Thyroid,SDF2L1,0.9464544133158855,45
45,Thyroid,RPL27A,0.9456129579620612,46
