,Tissue Name,Gene Name,Centrality,Rank
0,Adrenal,SPRY4,1.0,1
1,Adrenal,HNRNPH1,0.9866239497816948,2
2,Adrenal,GNS,0.9848027875630585,3
3,Adrenal,SERBP1,0.9697175767181068,4
4,Adrenal,LRRC59,0.9696430275508462,5
5,Adrenal,SEC11C,0.9605614079050601,6
6,Adrenal,ABCC5,0.9593577660178835,7
7,Adrenal,ARF6,0.958372133968461,8
8,Adrenal,SYT12,0.9581687048629566,9
9,Adrenal,KDELR2,0.9580722883766906,10
10,Adrenal,TMEM167A,0.957801535001582,11
11,Adrenal,MCF2L2,0.9573978609968515,12
12,Adrenal,CBX5,0.9573970255942443,13
13,Adrenal,TOR1AIP1,0.9549589630582634,14
14,Adrenal,MICU1,0.9529133535042518,15
15,Adrenal,ZC3H18,0.9519626924762918,16
16,Adrenal,ROBO1,0.9507984448326863,17
17,Adrenal,RRAGD,0.9506885880651458,18
18,Adrenal,NIPBL,0.9506381071394631,19
19,Adrenal,SLK,0.9497971823321287,20
20,Adrenal,CSF1R,0.9492062833182559,21
21,Adrenal,SMARCA4,0.9490633840391467,22
22,Adrenal,GABBR1,0.948583809717167,23
23,Adrenal,SSR3,0.9474820713427196,24
24,Adrenal,HSP90B1,0.9470462438559055,25
25,Adrenal,AMIGO2,0.9468916532836007,26
26,Adrenal,TUT1,0.9453085953190111,27
27,Adrenal,TP53INP1,0.9439917170128272,28
28,Adrenal,NDUFS2,0.943365623490019,29
29,Adrenal,CCDC12,0.9431965120852625,30
30,Adrenal,MFSD14B,0.9429801153018411,31
31,Adrenal,GGCT,0.942516700965587,32
32,Adrenal,EIF4G2,0.9420310375730557,33
33,Adrenal,ACY1,0.9407273674306019,34
34,Adrenal,BTK,0.9399269791178668,35
35,Adrenal,SEC61A1,0.9393211482220752,36
36,Adrenal,ZNF26,0.9392667101390151,37
37,Adrenal,TUBG1,0.9390175168398635,38
38,Adrenal,DIAPH1,0.9388258271746188,39
39,Adrenal,AMHR2,0.9387596370432524,40
40,Adrenal,MYCBP2,0.9386029057196037,41
41,Adrenal,TTC8,0.9368038491079219,42
42,Adrenal,SRPRB,0.936419956910764,43
43,Adrenal,SLC26A11,0.9362117439068373,44
44,Adrenal,COBLL1,0.9355983784676327,45
45,Adrenal,FAM50A,0.9355286717533385,46
46,Adrenal,WDFY3-AS2,0.9348295002478555,47
47,Adrenal,PUM1,0.9345547349213731,48
48,Adrenal,FAM63B,0.9345230857165439,49
49,Adrenal,CTIF,0.9344591235496454,50
50,Adrenal,SRSF11,0.9331104105075424,51
51,Adrenal,TRA2B,0.9325866491776135,52
52,Adrenal,EPS8,0.931825886236847,53
53,Adrenal,MTMR1,0.9317350857362858,54
54,Adrenal,EIF5,0.9316499636271227,55
55,Adrenal,SIDT2,0.9313371533116507,56
56,Adrenal,HAT1,0.9308873550319265,57
57,Adrenal,SAFB,0.9308390474880669,58
58,Adrenal,TMEM234,0.9307741435982052,59
59,Adrenal,SYNCRIP,0.9307148659492804,60
60,Adrenal,WDR45,0.9301002680678814,61
61,Adrenal,ZNF133,0.9298343507311352,62
62,Adrenal,HMBOX1,0.9297836645860756,63
63,Adrenal,DCAF6,0.9291093177413323,64
64,Adrenal,TBC1D15,0.9289097765816894,65
65,Adrenal,SNX8,0.9286997974910198,66
66,Adrenal,SLC35F6,0.9285416417696982,67
67,Adrenal,BOLA3,0.9275090891376294,68
68,Adrenal,ISYNA1,0.9272363509240298,69
69,Adrenal,MKRN1,0.9267542198902536,70
70,Adrenal,TRIM8,0.9266017808439054,71
71,Adrenal,STRADB,0.9264952635234606,72
72,Adrenal,SARAF,0.9260484679840656,73
73,Adrenal,BHLHE41,0.9260195119602378,74
74,Adrenal,RNASET2,0.9260160556518575,75
75,Adrenal,GLT8D1,0.9260109560234454,76
76,Adrenal,RCC2,0.9252018788631319,77
77,Adrenal,KLHL18,0.925119362591083,78
78,Adrenal,TMED2,0.9250360414592678,79
79,Adrenal,DCN,0.9245115685248874,80
80,Adrenal,FAM162A,0.9242528338855179,81
81,Adrenal,CD2BP2,0.9242526111144068,82
82,Adrenal,TM9SF3,0.923774352600634,83
