,Tissue Name,Gene Name,Centrality,Rank
0,Adipose,GSPT1,1.0,1
1,Adipose,GTPBP4,0.9841695744476847,2
2,Adipose,LRRC59,0.9811969874450179,3
3,Adipose,POR,0.9786371432868424,4
4,Adipose,PPIF,0.9764590884400152,5
5,Adipose,ZSCAN26,0.9760882686674326,6
6,Adipose,EIF3A,0.9758585112645152,7
7,Adipose,DMTF1,0.9729614415048494,8
8,Adipose,CCDC47,0.9728428310277719,9
9,Adipose,ARPC5L,0.9699759472910513,10
10,Adipose,RAN,0.9696717857285355,11
11,Adipose,AGFG1,0.9621783590090529,12
12,Adipose,PSMC1,0.9617225450417161,13
13,Adipose,GDPD3,0.9611901378194717,14
14,Adipose,MFN2,0.9561926275157695,15
15,Adipose,ZNF418,0.9551833629032942,16
16,Adipose,DTX3,0.9537215451533606,17
17,Adipose,RNASEH1,0.9527280113133699,18
18,Adipose,GGCT,0.9493101855154492,19
19,Adipose,ZFP62,0.9484005522029162,20
20,Adipose,NIPA2,0.9481349221917258,21
21,Adipose,ZNF836,0.9472743532084241,22
22,Adipose,HMOX2,0.9463007671358583,23
23,Adipose,ZNF182,0.9439062191546749,24
24,Adipose,GPATCH4,0.9433768498986542,25
25,Adipose,TRMT10B,0.9432490313108833,26
26,Adipose,DDX21,0.9431353224714648,27
27,Adipose,PCMTD2,0.9426022111218619,28
28,Adipose,TSR1,0.9422219543156022,29
29,Adipose,CCT5,0.9419305721721583,30
30,Adipose,HCN3,0.9415239112881765,31
31,Adipose,WDR43,0.9407410219278598,32
32,Adipose,ST3GAL1,0.9402186362994095,33
33,Adipose,LRRC37B,0.9401600778877892,34
34,Adipose,MEOX2,0.9390168548354594,35
35,Adipose,GRINA,0.9368419480895331,36
36,Adipose,SLC25A5,0.9366907237122687,37
37,Adipose,TTC14,0.9354988365431245,38
38,Adipose,HOXB3,0.9354450163854483,39
39,Adipose,COPA,0.934334593881397,40
40,Adipose,H2AFY,0.933534618178551,41
41,Adipose,FBXO44,0.9332071345186247,42
42,Adipose,AC025165.8,0.9331764733984741,43
43,Adipose,UBN2,0.9329520772343731,44
44,Adipose,NAMPT,0.9308325353148919,45
45,Adipose,KIAA0753,0.9308231336938421,46
46,Adipose,NAA50,0.9300367075166556,47
47,Adipose,ZNF133,0.9297643024727068,48
48,Adipose,EIF3J-AS1,0.9246927932358263,49
49,Adipose,ZNF767P,0.9244448175026454,50
50,Adipose,C19orf44,0.9233950924392026,51
51,Adipose,RP11-392O17.2,0.9227321732770314,52
52,Adipose,RP3-508I15.9,0.9224079453473514,53
53,Adipose,CAP1,0.9221144271702587,54
54,Adipose,RP11-44F14.6,0.9220412388539345,55
55,Adipose,CTD-2006H14.2,0.919584005020048,56
56,Adipose,PSMA7,0.9193142530198359,57
57,Adipose,C1QBP,0.9190574337651257,58
58,Adipose,APOBEC3D,0.9182388055356707,59
59,Adipose,TARS,0.9176633620161653,60
60,Adipose,LRG1,0.9171607858374273,61
61,Adipose,ZNF862,0.915471167115304,62
62,Adipose,ZNF506,0.9146836991773392,63
63,Adipose,FOXK2,0.9139602776133804,64
64,Adipose,CFL1,0.9139566141600919,65
65,Adipose,GUSBP4,0.9132032166135834,66
66,Adipose,HCCS,0.9125873383782706,67
67,Adipose,TRAPPC2,0.9119510564277731,68
68,Adipose,CCDC191,0.9112873390817468,69
69,Adipose,STAT3,0.9111623848320571,70
70,Adipose,ARHGAP33,0.9103540538575755,71
71,Adipose,SEC16A,0.9099214406524566,72
72,Adipose,MMP19,0.9099001350623026,73
73,Adipose,TRIB1,0.9095654177058927,74
74,Adipose,RP11-356B19.11,0.9075281751781059,75
75,Adipose,ZC2HC1A,0.9069511481137005,76
76,Adipose,RP11-455F5.6,0.9069232740986987,77
77,Adipose,BTN2A3P,0.9064960103748603,78
78,Adipose,NOP56,0.9064694607762482,79
79,Adipose,AMZ2P1,0.9044360293080157,80
80,Adipose,AKT1,0.9040640398555198,81
81,Adipose,RASSF9,0.9029760437416496,82
82,Adipose,PMM2,0.9028942650094168,83
83,Adipose,ZNF404,0.9021557904213128,84
84,Adipose,CDRT4,0.9010679669866694,85
85,Adipose,NAA20,0.9001915806890318,86
86,Adipose,NDUFS2,0.8997046316177196,87
87,Adipose,GAB1,0.8991784891996883,88
88,Adipose,ZDHHC5,0.8976557419053579,89
89,Adipose,BBS9,0.8963337011189004,90
90,Adipose,WDR27,0.8960121453667507,91
91,Adipose,KIAA1328,0.8951650593400935,92
92,Adipose,EIF3I,0.8950805646658792,93
93,Adipose,NEIL1,0.8945093353497425,94
94,Adipose,SNRPB,0.8934541985663174,95
95,Adipose,AC108488.4,0.893409893177056,96
96,Adipose,INTS6-AS1,0.8924295651970304,97
97,Adipose,GATAD1,0.89143596230174,98
98,Adipose,DCP1B,0.891182577127895,99
99,Adipose,AAMP,0.8909806913024103,100
100,Adipose,ZNF90,0.8901500478445157,101
101,Adipose,ZC3H12A,0.8897262404409835,102
102,Adipose,ZNF415,0.8894630469407874,103
103,Adipose,UFD1L,0.8861963603215506,104
