,Tissue Name,Gene Name,Centrality,Rank
0,Kidney,COL16A1,1.0,1
1,Kidney,SERPINF1,0.9938959956425159,2
2,Kidney,SVEP1,0.9869975826364011,3
3,Kidney,CYBRD1,0.9794017392981819,4
4,Kidney,SRPX2,0.9714046682950893,5
5,Kidney,USP19,0.9662668996149564,6
6,Kidney,FMOD,0.9582570241388048,7
7,Kidney,COL8A1,0.9551745258181271,8
8,Kidney,RP11-274B21.9,0.9546032264154833,9
9,Kidney,C1R,0.95445021516986,10
10,Kidney,PPP1R14A,0.9544479756481579,11
11,Kidney,NRIP2,0.9544051265364181,12
12,Kidney,BCL2L2,0.9519955393226889,13
13,Kidney,B4GAT1,0.9512915908083259,14
14,Kidney,SPON1,0.9512196955705833,15
15,Kidney,GTF2H1,0.9511711666046605,16
16,Kidney,PLCE1,0.9497039378573615,17
17,Kidney,IGF1R,0.948252124448229,18
18,Kidney,USP5,0.9479759881898501,19
19,Kidney,PLOD3,0.9476561318538894,20
20,Kidney,TMEM223,0.945151155256919,21
21,Kidney,SHKBP1,0.9446646006248235,22
22,Kidney,SYS1,0.9436388039191206,23
23,Kidney,SMARCD3,0.9433171534812493,24
24,Kidney,MYO5B,0.9430608494926415,25
25,Kidney,TMEM116,0.9425695063641968,26
26,Kidney,HAT1,0.942455533870539,27
27,Kidney,FHL5,0.9422720167890418,28
28,Kidney,CRNKL1,0.9420803332275476,29
29,Kidney,PALLD,0.9413945729404207,30
30,Kidney,SAMHD1,0.9412659019587349,31
31,Kidney,PCYOX1,0.9412070436108019,32
32,Kidney,RBM3,0.9411547192795092,33
33,Kidney,CMTM7,0.9409263260548254,34
34,Kidney,HUWE1,0.9406708851121055,35
35,Kidney,ST6GALNAC3,0.9404012095189063,36
36,Kidney,LAMP2,0.9369234288076307,37
37,Kidney,ZNF106,0.9363688532393206,38
38,Kidney,CENPO,0.9363174527306614,39
39,Kidney,ASXL1,0.9354854101970342,40
40,Kidney,UGT1A9,0.9352649172262486,41
41,Kidney,XYLT2,0.9348084573531508,42
42,Kidney,EMC3,0.9343017467024981,43
43,Kidney,LINC00839,0.9338339259487389,44
44,Kidney,FH,0.9337476565260678,45
45,Kidney,ATP6V0D1,0.9335066766910709,46
46,Kidney,ZNF550,0.933458121191075,47
47,Kidney,NDUFA9,0.9332025464454311,48
48,Kidney,VLDLR,0.932982128074047,49
49,Kidney,CTSK,0.9326996326465546,50
50,Kidney,TNS1,0.9325151552540362,51
51,Kidney,CDK13,0.9325044267032359,52
52,Kidney,MESDC2,0.9324410104935589,53
