,Tissue Name,Gene Name,Centrality,Rank
0,Muscle,ATP1B1,1.0,1
1,Muscle,AHNAK,0.9951916917045498,2
2,Muscle,ASPA,0.9927859548864354,3
3,Muscle,CRTC3,0.9888955518559636,4
4,Muscle,RFC2,0.9863931738361084,5
5,Muscle,TBC1D4,0.9837866147194398,6
6,Muscle,UGP2,0.9832398886925532,7
7,Muscle,GTF3C1,0.9825402178321329,8
8,Muscle,ARHGEF10L,0.9820573883052408,9
9,Muscle,CIRBP,0.9818110687941526,10
10,Muscle,XPO1,0.9817848644205058,11
11,Muscle,AKT2,0.9816976109496779,12
12,Muscle,GGA2,0.9809228614769095,13
13,Muscle,OSGIN1,0.980342190350782,14
14,Muscle,HACD1,0.980296982599471,15
15,Muscle,SYNC,0.9790147231005754,16
16,Muscle,COQ8B,0.9788853559044187,17
17,Muscle,RFESD,0.9783326345623081,18
18,Muscle,TMEM135,0.9782330580773876,19
19,Muscle,VPS13B,0.9780996716224715,20
20,Muscle,RPLP2,0.9775323097452074,21
21,Muscle,SSH1,0.9773519367762292,22
22,Muscle,DYRK1B,0.9771922674184786,23
23,Muscle,BCOR,0.9771473823231438,24
24,Muscle,MLIP,0.9770694043013535,25
25,Muscle,DENND2C,0.9770118731334538,26
26,Muscle,FLOT2,0.9768886775375673,27
27,Muscle,ZNF771,0.9768069842377497,28
28,Muscle,ST3GAL5,0.9763600389530438,29
29,Muscle,TUBB2A,0.9763395356441781,30
30,Muscle,PTP4A3,0.9760447556963788,31
31,Muscle,SPPL2B,0.9757402963368517,32
32,Muscle,GLI1,0.9756273954852744,33
33,Muscle,G3BP2,0.9754888716521435,34
34,Muscle,RPL30,0.9754858456110987,35
35,Muscle,LIX1L,0.9753253335400698,36
36,Muscle,SFMBT2,0.9752982338767616,37
37,Muscle,PRKAA2,0.975136335147267,38
38,Muscle,ELMSAN1,0.9750040874423366,39
39,Muscle,UBL7,0.9749952218695175,40
40,Muscle,DDR1,0.9749615740413258,41
41,Muscle,ANXA11,0.9747306052212572,42
42,Muscle,OGT,0.9743529746997781,43
43,Muscle,SCN3B,0.9743482315813818,44
44,Muscle,CDK5RAP2,0.9741608160107944,45
45,Muscle,KCTD11,0.9741506964335538,46
