,Tissue Name,Gene Name,Centrality,Rank
0,Kartik,ODF3B,1.0,1
1,Kartik,NUP62,0.9994195918822675,2
2,Kartik,RRP12,0.9978347415850355,3
3,Kartik,RPS6KA4,0.9969596090198881,4
4,Kartik,CCDC86,0.989987965448547,5
5,Kartik,NOL6,0.9881520460404816,6
6,Kartik,PPRC1,0.9873486099030576,7
7,Kartik,UMPS,0.9865066199253012,8
8,Kartik,LETM1,0.9832140176941824,9
9,Kartik,BDH2,0.9817856657285903,10
10,Kartik,BRCA2,0.980303251716149,11
11,Kartik,LSG1,0.9789079740708756,12
12,Kartik,MARS2,0.9777873385343645,13
13,Kartik,KPNA1,0.9761748804431779,14
14,Kartik,GABARAPL1,0.9749587274400933,15
15,Kartik,IFT140,0.9749465159886685,16
16,Kartik,DHX29,0.9746528337978685,17
17,Kartik,PRIM2,0.9737731406507166,18
18,Kartik,HOXC4,0.9694396240444643,19
19,Kartik,SPACA9,0.9691639850360156,20
20,Kartik,RP11-736K20.4,0.9682978944118634,21
21,Kartik,TMEM201,0.9682516714826996,22
22,Kartik,CTCF,0.9678990348495089,23
23,Kartik,DNTTIP2,0.9670893642540704,24
24,Kartik,PCSK4,0.9661517092799443,25
25,Kartik,MMP11,0.9654000177374737,26
26,Kartik,DDX55,0.9641352054262982,27
27,Kartik,CAPN15,0.9636682190343865,28
28,Kartik,APEX2,0.9633570541255471,29
29,Kartik,DCLRE1A,0.9607317133835658,30
30,Kartik,NDUFAF4,0.9606514082591964,31
31,Kartik,DHX37,0.9573478107971384,32
32,Kartik,SH3BGRL,0.9558035065549639,33
33,Kartik,FANK1,0.9549489045567583,34
34,Kartik,WIPI1,0.95421441730623,35
35,Kartik,SLC25A23,0.9540263339246865,36
36,Kartik,TCEB3,0.9526098135680899,37
37,Kartik,TIMM8A,0.9521426140801248,38
38,Kartik,GLTSCR2,0.9515797511031909,39
39,Kartik,KIAA1614,0.9511545849012762,40
40,Kartik,ARHGDIA,0.9504685432137031,41
41,Kartik,CCDC170,0.9502660034224134,42
42,Kartik,ASCC2,0.9491995857960676,43
43,Kartik,CHMP7,0.9481404974465368,44
44,Kartik,PELP1,0.9480366617253533,45
45,Kartik,LARP1,0.9478385013731666,46
46,Kartik,RP11-631N16.2,0.947733921745065,47
47,Kartik,ZNF358,0.9465957826793532,48
48,Kartik,MRPL27,0.9460911707138207,49
49,Kartik,HHLA3,0.9456751801354825,50
50,Kartik,METTL13,0.9435303671430483,51
51,Kartik,TATDN2,0.9432057081439322,52
52,Kartik,ZC3H6,0.9427776021805172,53
53,Kartik,HK1,0.9427173485816762,54
54,Kartik,ARIH2,0.9425853841462425,55
55,Kartik,SLC25A19,0.942075158341995,56
56,Kartik,WAPL,0.9410690014296526,57
57,Kartik,ATG16L1,0.9410267615483079,58
58,Kartik,SSX2IP,0.9405308459264412,59
59,Kartik,CANT1,0.9400514807813098,60
60,Kartik,ALDH3B1,0.9397987558139561,61
61,Kartik,AK8,0.9391824490304862,62
62,Kartik,DDX27,0.9386195817753205,63
63,Kartik,GEMIN6,0.9377237195810685,64
64,Kartik,TRMT61A,0.9375314724264009,65
65,Kartik,CLP1,0.9374871089688616,66
66,Kartik,UBIAD1,0.9373706110251332,67
67,Kartik,ARL4A,0.9372390430342684,68
68,Kartik,WDR89,0.9367733011991033,69
69,Kartik,NLGN2,0.9359471697175441,70
70,Kartik,MMP25-AS1,0.9338536712583677,71
71,Kartik,MON1A,0.9338333140321141,72
72,Kartik,CCDC102A,0.9337315660318215,73
73,Kartik,SMIM10L2B,0.9335008674430465,74
74,Kartik,NFYA,0.9327235554084762,75
75,Kartik,DHX34,0.9319005571785414,76
76,Kartik,PTRH2,0.9316751969193292,77
77,Kartik,RBM15,0.9314297754786179,78
78,Kartik,SLC27A4,0.9311253743490261,79
79,Kartik,KRI1,0.9309775485332883,80
80,Kartik,TMEM91,0.9309415997361555,81
81,Kartik,LAPTM4A,0.9305946945297636,82
82,Kartik,TPT1,0.9299438407178044,83
83,Kartik,OGFOD1,0.9294214368382865,84
84,Kartik,INHA,0.9279604187563592,85
85,Kartik,CHERP,0.9275887783761303,86
86,Kartik,MIB2,0.9275351302628221,87
87,Kartik,ABAT,0.9270723170916131,88
88,Kartik,DROSHA,0.9266763209219093,89
89,Kartik,TMEM209,0.9262193017763164,90
90,Kartik,HEATR1,0.925477942507503,91
91,Kartik,FBXO32,0.9254207111496328,92
92,Kartik,NOP9,0.9247958757930421,93
93,Kartik,SART3,0.9244990271049027,94
94,Kartik,SCML2,0.9241842685168494,95
95,Kartik,LZIC,0.9240505888931962,96
96,Kartik,RP11-214O1.2,0.9235223855713361,97
97,Kartik,CRKL,0.923038753085458,98
98,Kartik,DDX24,0.9227807357415517,99
99,Kartik,BRPF1,0.9226654166796134,100
100,Kartik,NHLRC4,0.9222930223126424,101
101,Kartik,MARS,0.9222887529008658,102
102,Kartik,BNIP3L,0.9222071379699546,103
103,Kartik,ZNF598,0.9212038497738488,104
104,Kartik,OSBPL11,0.921092315958363,105
105,Kartik,EEF1A1,0.9205920441489776,106
106,Kartik,PTK7,0.9196913069696584,107
107,Kartik,THOC1,0.9193338305729021,108
108,Kartik,SMARCA1,0.9189132418965729,109
109,Kartik,ZNF277,0.917696760080441,110
110,Kartik,LMOD1,0.9166904715003786,111
111,Kartik,FAM208B,0.9166396804511813,112
112,Kartik,PALB2,0.915660051958269,113
113,Kartik,MPV17L2,0.9152639916655433,114
114,Kartik,METTL16,0.9151890913428079,115
115,Kartik,SAFB,0.9147783603682593,116
116,Kartik,SALL2,0.914695655739454,117
117,Kartik,ADPRHL2,0.9144545816829311,118
118,Kartik,KANSL1L,0.9141043548016082,119
119,Kartik,EIF4E3,0.9137519488190564,120
120,Kartik,NIPSNAP3B,0.9132459282998746,121
121,Kartik,CCAR1,0.9126599609976561,122
122,Kartik,ZNF599,0.9124395943163643,123
123,Kartik,GEMIN4,0.9121663860129355,124
124,Kartik,RRP8,0.9120668055298417,125
125,Kartik,RP11-30P6.6,0.9114085291857122,126
126,Kartik,SHB,0.9113846042629656,127
127,Kartik,PRSS27,0.9112306965229124,128
128,Kartik,RRNAD1,0.911104025660005,129
129,Kartik,ITGA5,0.9103071364998288,130
130,Kartik,COA7,0.9096951287243048,131
131,Kartik,POLR1A,0.90917154236343,132
132,Kartik,DHX36,0.9089140317524265,133
133,Kartik,MED1,0.9088789369143663,134
134,Kartik,RBM22,0.9087463873739086,135
135,Kartik,RPL3,0.9087428923825523,136
136,Kartik,AC006273.5,0.9076160554684835,137
137,Kartik,SETD1A,0.9075701341758926,138
138,Kartik,NSUN5,0.9075035046895354,139
139,Kartik,NNMT,0.9069761753227031,140
140,Kartik,ITM2B,0.9058401300415201,141
141,Kartik,CDK11B,0.9056997868869759,142
142,Kartik,ZNF720,0.9053815843928948,143
143,Kartik,KBTBD8,0.9052453484061855,144
144,Kartik,SNRNP25,0.9050337321505476,145
145,Kartik,TRAPPC9,0.9050096382853697,146
146,Kartik,PNMAL2,0.904876642822398,147
147,Kartik,WSB1,0.9048067246167253,148
148,Kartik,RPL10,0.9046159759736874,149
149,Kartik,IMP3,0.904272998449667,150
150,Kartik,EIF2B1,0.9036807482339043,151
151,Kartik,L3MBTL2,0.9034931234021113,152
152,Kartik,MYOM1,0.9033295142843002,153
153,Kartik,PRCC,0.9027921365534245,154
154,Kartik,TAF3,0.902700420875207,155
155,Kartik,CDC42EP5,0.9026612995852668,156
156,Kartik,POLD4,0.902417125454945,157
157,Kartik,SBF2-AS1,0.9022530308993298,158
158,Kartik,RSPH3,0.902033459654375,159
159,Kartik,EEF2,0.9019314061103789,160
160,Kartik,EIF4B,0.9017317409096561,161
161,Kartik,AZIN2,0.9012855628903009,162
162,Kartik,CISD1,0.9006594668091643,163
163,Kartik,ULK2,0.9003329104713097,164
164,Kartik,CRTAP,0.900107739765639,165
165,Kartik,GAK,0.8994150145023756,166
166,Kartik,RRAS,0.8992288642574102,167
167,Kartik,RBBP5,0.8991269924706318,168
168,Kartik,PTH1R,0.8981879914633687,169
169,Kartik,GATAD1,0.8981279571785004,170
170,Kartik,DPM2,0.8976971092671696,171
171,Kartik,PRDX5,0.8971909108546661,172
172,Kartik,CIRBP,0.8965107879026126,173
173,Kartik,MRPL46,0.8963934415762462,174
174,Kartik,CHCHD1,0.8963332021292137,175
175,Kartik,PGLS,0.8955088158212826,176
176,Kartik,PAF1,0.8951175575833183,177
177,Kartik,SNHG15,0.8950807092470303,178
178,Kartik,GCNT4,0.8940846914927194,179
179,Kartik,GPX4,0.8931852130545035,180
180,Kartik,PBRM1,0.8928640401222345,181
181,Kartik,GJA1,0.8922110452784233,182
182,Kartik,GLI4,0.8922014664542043,183
183,Kartik,TIMM44,0.8908523468617663,184
184,Kartik,SWAP70,0.889969287830584,185
185,Kartik,WDR86,0.8899318314280271,186
186,Kartik,RPL31,0.8890216836060153,187
187,Kartik,TSPOAP1,0.8878383777731913,188
188,Kartik,RPL22,0.8864499346428985,189
189,Kartik,MRPL49,0.8864244417581805,190
190,Kartik,DDX20,0.8861944346850495,191
191,Kartik,ATR,0.8855750465071942,192
192,Kartik,DCAF6,0.8853134256820074,193
193,Kartik,KLHDC4,0.8847848764330394,194
194,Kartik,GPR137B,0.8847626199726097,195
195,Kartik,RPS8,0.8841388031004606,196
196,Kartik,TTLL1,0.8837205376527771,197
197,Kartik,MGME1,0.8833612892978142,198
198,Kartik,MED24,0.8832054016456513,199
199,Kartik,FASTKD5,0.8822603665501988,200
200,Kartik,TMEM130,0.8822398681436254,201
201,Kartik,CPAMD8,0.8815394916460162,202
202,Kartik,WDR36,0.8814089419018487,203
203,Kartik,H6PD,0.8812631649785801,204
204,Kartik,TP53TG1,0.8807668982163184,205
205,Kartik,CHAMP1,0.8806693135274346,206
206,Kartik,C12orf43,0.880552079883012,207
207,Kartik,SF1,0.8804666468358164,208
208,Kartik,RP11-574K11.24,0.8801744091762317,209
209,Kartik,PMAIP1,0.8798128585531911,210
210,Kartik,TOMM40L,0.8795458678470118,211
211,Kartik,PALM,0.8793525546428336,212
212,Kartik,TCEAL4,0.8793156249462222,213
213,Kartik,C8orf31,0.8785917071357743,214
214,Kartik,NECTIN1,0.878369051395064,215
215,Kartik,POP4,0.8777887096312194,216
216,Kartik,MAST3,0.8770626685008965,217
217,Kartik,OTULIN,0.8770060381457354,218
218,Kartik,PRPF3,0.8765701788418229,219
219,Kartik,TOR1B,0.8764596534388038,220
220,Kartik,ICE1,0.8762233217744428,221
221,Kartik,SURF6,0.8754102912307802,222
222,Kartik,SEC11C,0.8752245380973149,223
223,Kartik,LHPP,0.8746905045048151,224
224,Kartik,RPL7A,0.8745687329546793,225
225,Kartik,REXO4,0.8745199049259657,226
226,Kartik,QARS,0.8733865464288117,227
227,Kartik,FSTL1,0.8733029952906116,228
228,Kartik,CEMIP,0.8731145897895963,229
229,Kartik,CTBP2,0.8716195832087895,230
230,Kartik,PHAX,0.8715923563688776,231
231,Kartik,ABALON,0.8713260456700556,232
232,Kartik,LCOR,0.8712515657384633,233
233,Kartik,ZBTB11,0.8705753222315626,234
234,Kartik,SLC44A2,0.8700666205421411,235
235,Kartik,ZNF777,0.8699369433600213,236
236,Kartik,GPANK1,0.8698792569338533,237
237,Kartik,RPS3A,0.8696582438973228,238
238,Kartik,TMEM70,0.8695491585170047,239
239,Kartik,PDLIM2,0.8693577242350988,240
240,Kartik,NBR1,0.8690098250978036,241
241,Kartik,TMEM59L,0.8689148236945609,242
242,Kartik,DDX28,0.8685959113012093,243
243,Kartik,GOPC,0.8685255937648578,244
244,Kartik,AFDN,0.8685016992305642,245
245,Kartik,FAM160B2,0.8674470682242214,246
246,Kartik,EIF3E,0.8672632824648283,247
247,Kartik,EXOG,0.8667361222370177,248
248,Kartik,MYO15B,0.8659856540883533,249
249,Kartik,DHX8,0.8659775193005255,250
250,Kartik,RP11-426C22.4,0.8659548540345429,251
251,Kartik,FER1L4,0.8655043939946392,252
252,Kartik,MFI2-AS1,0.8651792155947834,253
253,Kartik,SLC2A9,0.8651750382568689,254
254,Kartik,ADAT1,0.8648540525749066,255
255,Kartik,FLII,0.8635222534671597,256
256,Kartik,ARMCX1,0.8633801294264484,257
257,Kartik,GOT1,0.863308989306066,258
258,Kartik,TCEAL9,0.8629765267706612,259
259,Kartik,RP11-1398P2.1,0.862477323867467,260
260,Kartik,FBXO28,0.862334665623699,261
261,Kartik,OTUB1,0.8619594589659035,262
262,Kartik,ZMYND8,0.8619175750407722,263
263,Kartik,PPARA,0.8611980462969452,264
264,Kartik,TMEM80,0.8610817939088207,265
265,Kartik,ADAT3,0.8605457721106834,266
266,Kartik,FEZ1,0.8603365395306276,267
267,Kartik,FTSJ3,0.8603064748822443,268
268,Kartik,PANK4,0.860138798456344,269
269,Kartik,RPL10A,0.8598565009743594,270
270,Kartik,PPP2R1B,0.8597257832955687,271
271,Kartik,FAM149B1,0.8595202496386191,272
272,Kartik,HNRNPCP1,0.8594427970040867,273
273,Kartik,SFR1,0.8585639124475541,274
274,Kartik,HOOK2,0.8582587611235852,275
275,Kartik,TUB,0.8579955202811121,276
276,Kartik,PAOX,0.8576164398528809,277
277,Kartik,C5orf38,0.8575357729889618,278
278,Kartik,FAP,0.8569988003159325,279
279,Kartik,NPHP1,0.8564684934759129,280
280,Kartik,C10orf54,0.8556150789988742,281
281,Kartik,ETV5,0.855239262330769,282
282,Kartik,MTO1,0.855225049863577,283
283,Kartik,ING3,0.8550230167634082,284
284,Kartik,BRAT1,0.8538478268041249,285
285,Kartik,ST13,0.8538188042003736,286
286,Kartik,DSTN,0.853646527804128,287
287,Kartik,ALKBH1,0.8533160205402064,288
288,Kartik,USP24,0.8528403004748059,289
289,Kartik,AP1G2,0.8523090705074022,290
290,Kartik,ZNF296,0.8515437739762538,291
291,Kartik,HIRA,0.8514333120024393,292
292,Kartik,MICALL1,0.8513163316900852,293
293,Kartik,CTC-459F4.3,0.8508247560113459,294
294,Kartik,KAT7,0.8508040051279053,295
295,Kartik,RPL30,0.85068999779881,296
296,Kartik,HIP1R,0.8504319431723122,297
297,Kartik,DENND4B,0.8503962030954452,298
298,Kartik,TMED1,0.8500914068616245,299
299,Kartik,SLC52A2,0.8500415733489353,300
300,Kartik,MBNL2,0.8494493058303438,301
301,Kartik,FAM122B,0.8493257374673581,302
302,Kartik,HMOX2,0.8488609323149413,303
303,Kartik,MYO1D,0.848802177564672,304
304,Kartik,C16orf62,0.8477604154056058,305
305,Kartik,ANKRD52,0.8476103970566506,306
306,Kartik,SNHG8,0.8471796675184065,307
307,Kartik,NRSN2-AS1,0.8471790110792708,308
308,Kartik,MARCH4,0.8470464184183688,309
