,Tissue Name,Gene Name,Centrality,Rank
0,Muscle,ATP1B1,1.0,1
1,Muscle,AHNAK,0.9954440273840467,2
2,Muscle,ASPA,0.99301083533549,3
3,Muscle,CRTC3,0.9889313198525795,4
4,Muscle,RFC2,0.9863319885128629,5
5,Muscle,TBC1D4,0.9838802487577422,6
6,Muscle,UGP2,0.9833969092304053,7
7,Muscle,GTF3C1,0.9826792811132463,8
8,Muscle,ARHGEF10L,0.9822962853134068,9
9,Muscle,XPO1,0.982076782942533,10
10,Muscle,CIRBP,0.9820745123231869,11
11,Muscle,AKT2,0.9817515387111729,12
12,Muscle,GGA2,0.9809426146615595,13
13,Muscle,OSGIN1,0.9807175196426543,14
14,Muscle,HACD1,0.9802601404734448,15
15,Muscle,SYNC,0.979421991276512,16
16,Muscle,COQ8B,0.9792131551509266,17
17,Muscle,RFESD,0.9783787318560719,18
18,Muscle,VPS13B,0.9782746705690311,19
19,Muscle,TMEM135,0.9780822477391018,20
20,Muscle,BCOR,0.9774350181504435,21
21,Muscle,RPLP2,0.9773588182227264,22
22,Muscle,DYRK1B,0.9773041089566888,23
23,Muscle,SSH1,0.9772801512994921,24
24,Muscle,MLIP,0.9772397562747026,25
25,Muscle,DENND2C,0.9769873633390405,26
26,Muscle,FLOT2,0.9768348479644126,27
27,Muscle,ZNF771,0.9768325518075373,28
28,Muscle,TUBB2A,0.9761431763768744,29
29,Muscle,PRKAA2,0.9760887028020205,30
30,Muscle,ST3GAL5,0.9759853933651237,31
31,Muscle,SPPL2B,0.9759594438186817,32
32,Muscle,PTP4A3,0.9757556304679034,33
33,Muscle,G3BP2,0.9757257586710288,34
34,Muscle,GLI1,0.9755177246393162,35
35,Muscle,RPL30,0.9754915973256343,36
36,Muscle,LIX1L,0.9752850077219128,37
37,Muscle,UBL7,0.9752047951840837,38
38,Muscle,ELMSAN1,0.9751452889623041,39
39,Muscle,SFMBT2,0.9750911998132672,40
40,Muscle,DDR1,0.9749841907543872,41
41,Muscle,OGT,0.9749423243640354,42
42,Muscle,ANXA11,0.9748428246110133,43
43,Muscle,KCTD11,0.9744109045322068,44
44,Muscle,TPPP2,0.9743487263558198,45
45,Muscle,NOG,0.9743365871147511,46
46,Muscle,SCN3B,0.9743348938463292,47
47,Muscle,CDK5RAP2,0.9740748220209472,48
48,Muscle,PACS1,0.973943708112037,49
49,Muscle,CNST,0.97378884466487,50
50,Muscle,USP32,0.9737374014130692,51
51,Muscle,ZDHHC23,0.9734048966323476,52
52,Muscle,DCN,0.973252008675873,53
53,Muscle,PDS5B,0.9727377987019731,54
54,Muscle,SGCB,0.9726401623402663,55
55,Muscle,AKAP9,0.9724738714180232,56
56,Muscle,JPH1,0.972445097619383,57
57,Muscle,GPAT4,0.9721935658606122,58
58,Muscle,WHSC1,0.972119746428665,59
59,Muscle,RPRD2,0.9718512877249837,60
60,Muscle,IGFBP6,0.9718469800165267,61
61,Muscle,BCAT2,0.9717364768791453,62
62,Muscle,PCBD2,0.9717242794176166,63
63,Muscle,NDUFV2-AS1,0.9713728590489663,64
64,Muscle,LMNA,0.9712361034371967,65
65,Muscle,MAGED2,0.9711410101331392,66
66,Muscle,DST,0.9710932595673542,67
67,Muscle,FAM65B,0.9710836135697777,68
68,Muscle,DLGAP4,0.9707080013706326,69
69,Muscle,SERPINB6,0.9706526149388722,70
70,Muscle,RBSN,0.9706009815087188,71
71,Muscle,LUC7L3,0.9705482695770845,72
72,Muscle,LRP1,0.9703934843100672,73
73,Muscle,MAFG,0.9702525049539045,74
74,Muscle,TMEM55A,0.9702241757900338,75
75,Muscle,FZD4,0.9701340886926926,76
76,Muscle,ABCC9,0.970012226188837,77
77,Muscle,BAG2,0.9696493286774742,78
78,Muscle,PWAR6,0.9692997683573975,79
79,Muscle,FKBP3,0.9692956371784124,80
80,Muscle,UHRF1BP1L,0.9692705199362956,81
81,Muscle,ZNF517,0.9692304892758316,82
82,Muscle,RCAN2,0.969195831377726,83
83,Muscle,CHMP5,0.9690987017340169,84
84,Muscle,UST,0.9689844024407825,85
85,Muscle,EPG5,0.9689811442578716,86
86,Muscle,CERS6,0.9688841805297675,87
87,Muscle,TNKS1BP1,0.9688601605158889,88
88,Muscle,TOR1AIP1,0.9688249392452297,89
89,Muscle,ASCC2,0.9688104764349461,90
90,Muscle,MAP4,0.9686040119952767,91
91,Muscle,CACNB1,0.9684132153148134,92
92,Muscle,ZFP41,0.9679945440029547,93
93,Muscle,TUBGCP6,0.9678092000655348,94
94,Muscle,TEAD3,0.9675924111837679,95
95,Muscle,MAP1LC3C,0.9674413760103088,96
96,Muscle,MMS19,0.9674032340772333,97
97,Muscle,ZNF432,0.9673979355710446,98
98,Muscle,SLC7A2,0.9667406080035804,99
99,Muscle,ERBB2,0.9667304057400532,100
100,Muscle,GPR37,0.9667231295378977,101
101,Muscle,LSM5,0.9666473761963528,102
102,Muscle,SH2B3,0.9666224466146798,103
103,Muscle,WIPF3,0.9665505157806912,104
104,Muscle,UBE2V2,0.9665424127398476,105
105,Muscle,AAMP,0.9665388818463035,106
106,Muscle,SNHG14,0.966532469063446,107
107,Muscle,ZNF542P,0.9665035517873432,108
108,Muscle,ADGRE5,0.9663437028246143,109
109,Muscle,HR,0.9663129546490592,110
110,Muscle,RAB11FIP3,0.9662777928380444,111
111,Muscle,KCNQ1OT1,0.9662625099142332,112
112,Muscle,MARCH9,0.9662388238493536,113
113,Muscle,CFH,0.9661598563240972,114
114,Muscle,NDUFB9,0.9661218861013057,115
115,Muscle,SPOUT1,0.9660857599821274,116
116,Muscle,APOL4,0.9660297508040172,117
117,Muscle,S100A6,0.965945773251933,118
118,Muscle,MYO9A,0.9659107672926542,119
119,Muscle,SRSF7,0.9658408412098588,120
120,Muscle,ANGPTL2,0.9657968502614238,121
121,Muscle,ASB12,0.9657815945822745,122
122,Muscle,ZNF383,0.9656978628578593,123
123,Muscle,CTDSPL2,0.9656683252142443,124
124,Muscle,DBI,0.9656615949569838,125
125,Muscle,IGSF11,0.9656380957922303,126
126,Muscle,UQCRB,0.9656227759912741,127
127,Muscle,CLSTN1,0.965616508869189,128
128,Muscle,ANK3,0.9656078286458668,129
129,Muscle,RPS29,0.9655929923681734,130
130,Muscle,MYCBP2,0.9655309144842947,131
131,Muscle,NUDT8,0.9654926456866636,132
132,Muscle,ARRDC3,0.9654846081623532,133
133,Muscle,MAF,0.9654823939091771,134
134,Muscle,ADPRHL1,0.9653645536458237,135
135,Muscle,REV1,0.9653331921933722,136
136,Muscle,KIAA1456,0.9653303608134778,137
137,Muscle,HPGD,0.9653097762438827,138
138,Muscle,PIK3IP1,0.9652739258295533,139
139,Muscle,CHPF2,0.9652668570884725,140
140,Muscle,ZNF234,0.9652402083528643,141
141,Muscle,CPM,0.9652391438119085,142
142,Muscle,MED11,0.965175790826289,143
143,Muscle,ANKH,0.9651068933062736,144
144,Muscle,MCM2,0.9650647687199956,145
145,Muscle,SPRYD7,0.9650013048531909,146
146,Muscle,RUSC2,0.9649986180434257,147
147,Muscle,LMOD3,0.9649415885556392,148
148,Muscle,COL4A4,0.9649193927898698,149
149,Muscle,CLDN1,0.9649151886660431,150
150,Muscle,TRO,0.9647867281922299,151
151,Muscle,TOMM40L,0.9646626071502609,152
152,Muscle,HPCAL1,0.9646580932043232,153
153,Muscle,STAC3,0.9645566894698261,154
154,Muscle,ZNF510,0.9645082471179958,155
155,Muscle,ABCA5,0.9644626801478795,156
156,Muscle,SCFD2,0.9640147617981071,157
157,Muscle,FREM2,0.9639951485861774,158
158,Muscle,ST13,0.9639559621745677,159
159,Muscle,ZER1,0.9638046177931744,160
160,Muscle,CAMK2D,0.9637862366713811,161
161,Muscle,KLF11,0.9637522706371277,162
162,Muscle,HSPG2,0.9636316902006957,163
163,Muscle,RPL7A,0.9636288533362276,164
164,Muscle,SLC16A1,0.9635839531127831,165
165,Muscle,OTUB1,0.9635607457703986,166
166,Muscle,RHBDF1,0.9635068993474288,167
167,Muscle,ARSG,0.9635056102051915,168
168,Muscle,ANXA7,0.9634589811902774,169
169,Muscle,CXCL14,0.9634302088464347,170
170,Muscle,MYO1C,0.9634139705792899,171
171,Muscle,ARHGEF17,0.9633693981569196,172
172,Muscle,C11orf49,0.9633606259871214,173
173,Muscle,ZNF587B,0.9633537220661216,174
174,Muscle,MRPL24,0.9633516346640391,175
175,Muscle,ENTPD4,0.9633501893552385,176
176,Muscle,ZNF747,0.9633411181037248,177
177,Muscle,NAPA,0.9632913707277283,178
178,Muscle,RCHY1,0.9631699044938087,179
179,Muscle,CAT,0.9630302508885983,180
180,Muscle,TARDBP,0.9628900713427031,181
181,Muscle,OTUD7A,0.9628715447227981,182
182,Muscle,MDM4,0.9628019626934151,183
183,Muscle,MYOZ1,0.9627794292805124,184
184,Muscle,CDK17,0.9627428456050331,185
185,Muscle,MRPL40,0.9627053211174783,186
186,Muscle,MECP2,0.9625209543570153,187
