,Tissue Name,Gene Name,Centrality,Rank
2047,Muscle,AHNAK,1.0,1
7971,Pancreas,EMILIN1,0.998439280846989,2
520,Muscle,DAG1,0.9944330948870768,3
353,Muscle,KHDRBS1,0.9941989670154764,4
433,Muscle,ULK1,0.9931387663459385,5
5208,Muscle,MLIP,0.9919207428849243,6
6434,Muscle,MAFG,0.991169060180012,7
11632,Pancreas,MXD4,0.9906829331187368,8
4368,Muscle,AKAP9,0.990488333267666,9
2130,Muscle,PSMC4,0.9900684919671382,10
6908,Muscle,HMGB2,0.9898858317558531,11
3548,Muscle,ATP1B1,0.9892120465899632,12
10657,Pancreas,PLOD3,0.9890793779356656,13
2969,Muscle,TTC7B,0.9890728296764073,14
4815,Muscle,ASPA,0.9868886545748182,15
2096,Muscle,SEPT9,0.9866796451926244,16
5340,Muscle,GPAT4,0.9865207892953634,17
1647,Muscle,MAP2K3,0.986253579373034,18
12425,Pancreas,RPL6,0.9852640006677049,19
7889,Pancreas,GLTSCR2,0.9844592987817161,20
2696,Muscle,LMNA,0.9839610705221775,21
6342,Muscle,NDUFS3,0.98380498608685,22
329,Muscle,AMOTL2,0.9835774036631522,23
13843,Pancreas,C1orf132,0.9832476527306387,24
3778,Muscle,SPATA2,0.9832389405271776,25
53,Muscle,RFX1,0.9827591264974583,26
5155,Muscle,UBA3,0.9824799735874894,27
6788,Muscle,ZNF672,0.9822460622108683,28
1678,Muscle,MINK1,0.9816577151000719,29
4760,Muscle,NUPR1,0.9811595930314705,30
6153,Muscle,DCAF15,0.9801847541648974,31
5509,Muscle,OSGIN1,0.9793127712842367,32
6883,Muscle,CDK5RAP2,0.9792871115327839,33
7928,Pancreas,CHRD,0.9791092097314825,34
1474,Muscle,RFESD,0.9790978549747085,35
2354,Muscle,RAB11FIP3,0.9788850791058583,36
6505,Muscle,ZNF226,0.9785916134788579,37
9912,Pancreas,NACA,0.9778093963421491,38
1982,Muscle,CERS6,0.9777845767584302,39
6532,Muscle,SNX3,0.9777661629953526,40
232,Muscle,UGP2,0.9777154082698046,41
9127,Pancreas,SWAP70,0.9767407902538022,42
8826,Pancreas,IL22RA1,0.9767393418524808,43
4458,Muscle,PSMD4,0.9764748388432934,44
1412,Muscle,PRSS8,0.9763777035160907,45
3151,Muscle,RPL13A,0.9763594092746112,46
4580,Muscle,CALM1,0.9756763017669839,47
5743,Muscle,PCNT,0.9755694442755127,48
13361,Pancreas,ESRP2,0.9755214237063483,49
5985,Muscle,GCLM,0.9752936752344105,50
8815,Pancreas,PPP1R1B,0.9751180369268783,51
1583,Muscle,ANKH,0.9746178508025671,52
6537,Muscle,HELZ,0.974386341475575,53
