,Tissue Name,Gene Name,Centrality,Rank
485,Adrenal,MSMO1,1.0,1
1489,Adrenal,RAB4B,0.9923927779059273,2
2344,Adrenal,RBMS1P1,0.9921784412265341,3
1059,Adrenal,AC016582.2,0.9872784795034492,4
1447,Adrenal,TCIRG1,0.9834302067973588,5
213,Adrenal,DDA1,0.9819707364569735,6
2147,Adrenal,STARD3,0.9809719566963319,7
2467,Adrenal,GLTSCR1L,0.9800087505002133,8
2820,Adrenal,GDF15,0.9799635321262234,9
356,Adrenal,CCDC189,0.9773456303466742,10
3050,Adrenal,AP001626.2,0.97677701410444,11
1048,Adrenal,HOXA9,0.9751572705113033,12
1512,Adrenal,PLEKHJ1,0.9744357503377608,13
502,Adrenal,CDC16,0.9738665438063959,14
111,Adrenal,PBX3,0.972390901766305,15
1595,Adrenal,STK38L,0.9719626832008369,16
748,Adrenal,INO80E,0.9717104961211775,17
2410,Adrenal,EFCAB14,0.9712579630536089,18
2091,Adrenal,SNORA63,0.97021069240332,19
2719,Adrenal,MT1XP1,0.9698424479413048,20
1818,Adrenal,DERL3,0.9688592208989364,21
150,Adrenal,SIN3A,0.9675798186544171,22
3771,Adrenal,C14orf1,0.9675189272739546,23
1605,Adrenal,ROCK1,0.9671898271466993,24
841,Adrenal,LINC00887,0.9668581748209866,25
468,Adrenal,SQLE,0.9660974347115352,26
1658,Adrenal,HSD11B1,0.9651522138430353,27
692,Adrenal,E2F4,0.9648755872749829,28
2557,Adrenal,FSTL1,0.9644122236182763,29
3655,Adrenal,PHKG2,0.964238049280833,30
521,Adrenal,FAM65B,0.9641526059374108,31
1353,Adrenal,RP11-726G1.1,0.9640503720015104,32
2780,Adrenal,NR3C2,0.9633359774757191,33
3402,Adrenal,EME2,0.9631777923308813,34
1931,Adrenal,ABCB8,0.9631648071106595,35
3717,Adrenal,ALDH1L2,0.9622877489197309,36
2911,Adrenal,NR2F6,0.9621059687828768,37
481,Adrenal,SUN2,0.9620174579233829,38
596,Adrenal,SLC50A1,0.9617488243320409,39
3222,Adrenal,HMGA1,0.9615358762267835,40
