,Tissue Name,Gene Name,Centrality,Rank
0,Kidney,COL16A1,1.0,1
1,Kidney,SERPINF1,0.9899082851627153,2
2,Kidney,SVEP1,0.9856320892469155,3
3,Kidney,SRPX2,0.9726720071178135,4
4,Kidney,CNN1,0.9712324110771219,5
5,Kidney,PCOLCE,0.9681207673446055,6
6,Kidney,BCL2L2,0.9594838526013868,7
7,Kidney,PLCE1,0.9593282598983895,8
8,Kidney,FMOD,0.9568529349138504,9
9,Kidney,USP19,0.95433996378227,10
10,Kidney,SMARCD3,0.9541451078036615,11
11,Kidney,USP5,0.9515063382475959,12
12,Kidney,PLOD3,0.9513126541982377,13
13,Kidney,GTF2H1,0.950324293484155,14
14,Kidney,FKBP11,0.9496642041175094,15
15,Kidney,PPP1R14A,0.9485089478488979,16
16,Kidney,NRIP2,0.9482888865275795,17
17,Kidney,TMEM223,0.9481708550386183,18
18,Kidney,RP11-274B21.9,0.9469294506827581,19
19,Kidney,COL8A1,0.9466496566273538,20
20,Kidney,C1R,0.9455608433112384,21
21,Kidney,ST6GALNAC3,0.9450538344852089,22
22,Kidney,ATP6V0D1,0.944429969555517,23
23,Kidney,TMEM116,0.9442639324609404,24
24,Kidney,MYO5B,0.9410181528544436,25
25,Kidney,SPON1,0.9408368608059201,26
26,Kidney,IGF1R,0.9404945840649291,27
27,Kidney,SHKBP1,0.9400052275091226,28
28,Kidney,B4GAT1,0.9395973879669036,29
29,Kidney,RBM3,0.9390791922917502,30
30,Kidney,UGT1A9,0.9388533519492999,31
31,Kidney,PCYOX1,0.9383773931516228,32
32,Kidney,TNS1,0.9377955647589535,33
33,Kidney,PDLIM2,0.9376360996125521,34
34,Kidney,SLC3A1,0.9368588509669726,35
35,Kidney,PALLD,0.9365406511645369,36
36,Kidney,SAMHD1,0.9358772073844907,37
37,Kidney,CMTM7,0.9356382350351099,38
38,Kidney,HAT1,0.9353864614662006,39
39,Kidney,FHL5,0.9353098645611061,40
40,Kidney,MIR100HG,0.9352747184739594,41
41,Kidney,LAMP2,0.9346735757336866,42
42,Kidney,RBMS3,0.9340724518126104,43
43,Kidney,CENPO,0.9319734794840334,44
44,Kidney,RGS16,0.9319477104560703,45
45,Kidney,SYS1,0.9318446864694884,46
46,Kidney,MESDC2,0.9318243100389068,47
