,Tissue Name,Gene Name,Centrality,Rank
0,Kidney,COL16A1,1.0,1
1,Kidney,FBLN1,0.9963342454017006,2
2,Kidney,SERPINF1,0.9919659466435437,3
3,Kidney,SVEP1,0.9826786213026789,4
4,Kidney,CNN1,0.9711434572348091,5
5,Kidney,SRPX2,0.9664437575060212,6
6,Kidney,FMOD,0.9590757970960266,7
7,Kidney,STEAP4,0.9567702617606201,8
8,Kidney,C1R,0.9534504661944131,9
9,Kidney,BCL2L2,0.9523083085175676,10
10,Kidney,USP19,0.9505387493192607,11
11,Kidney,RP11-274B21.9,0.9464592816115819,12
12,Kidney,PLCE1,0.9449530800662221,13
13,Kidney,PLOD3,0.9443236618063773,14
14,Kidney,NRIP2,0.9438129821659225,15
15,Kidney,USP5,0.9424595161259329,16
16,Kidney,COL8A1,0.9416257879009967,17
17,Kidney,SPON1,0.9397092537690657,18
18,Kidney,SMARCD3,0.9395540679875396,19
19,Kidney,PPP1R14A,0.9395422553190381,20
20,Kidney,GTF2H1,0.9392737915990413,21
21,Kidney,B4GAT1,0.9372360352426247,22
22,Kidney,FHL5,0.9371886570620787,23
23,Kidney,ST6GALNAC3,0.9362121978342378,24
24,Kidney,PCYOX1,0.9346768207277776,25
25,Kidney,UGT1A9,0.9338716701183358,26
26,Kidney,LAMP2,0.9336852564273117,27
27,Kidney,RBM3,0.933525575318294,28
28,Kidney,ASXL1,0.9334680582767019,29
29,Kidney,TMEM116,0.9329552379809548,30
30,Kidney,SYS1,0.9320817486467171,31
31,Kidney,IGF1R,0.9304838474444368,32
32,Kidney,SHKBP1,0.9298364181806248,33
33,Kidney,SLC3A1,0.9296218912970924,34
34,Kidney,PALLD,0.9295406910875885,35
35,Kidney,HAT1,0.9294126315802722,36
36,Kidney,ATP6V0D1,0.9291672899971399,37
37,Kidney,HUWE1,0.9282714491841629,38
38,Kidney,CMTM7,0.9282231249469409,39
39,Kidney,MYO5B,0.9279776464106886,40
40,Kidney,FH,0.9275397964638179,41
41,Kidney,ZNF106,0.927440776178154,42
42,Kidney,CENPO,0.9273892346554551,43
43,Kidney,SAMHD1,0.9268342976596876,44
44,Kidney,CTSK,0.9259654079174132,45
45,Kidney,PES1,0.9250500466424381,46
46,Kidney,RAB40A,0.9232745756515164,47
47,Kidney,RGS16,0.923216808962271,48
48,Kidney,EMC3,0.9229717643097493,49
49,Kidney,PDLIM2,0.9229431037664364,50
50,Kidney,ADRA2A,0.9224859961027762,51
51,Kidney,GGT5,0.9220734841067677,52
52,Kidney,CFAP97,0.9218840315677392,53
53,Kidney,TADA2B,0.9214283887088295,54
54,Kidney,NCOA6,0.9209918873239092,55
55,Kidney,ELL,0.9206662607973297,56
56,Kidney,SPATA18,0.9206217586671378,57
57,Kidney,LINC00839,0.9204895275695861,58
58,Kidney,MESDC2,0.9202377230277645,59
59,Kidney,LYSMD4,0.9201463749418103,60
60,Kidney,MLLT6,0.9199469071219596,61
61,Kidney,TNS1,0.9194655911481165,62
62,Kidney,OGDH,0.9187776105216935,63
63,Kidney,POU5F1,0.91847327692517,64
64,Kidney,PLA2G4A,0.9179232053524327,65
65,Kidney,LRRC2,0.9177036502605911,66
66,Kidney,SLC25A25-AS1,0.9172935925160672,67
67,Kidney,TXLNA,0.9172721791243993,68
68,Kidney,ZNF550,0.9169101676722697,69
69,Kidney,VLDLR,0.9166508887799366,70
70,Kidney,ATP5F1,0.9164252247718592,71
71,Kidney,SPIDR,0.916402019992602,72
72,Kidney,RP11-159D12.2,0.9163417456337958,73
73,Kidney,VAMP5,0.9162114768894288,74
74,Kidney,STAT5B,0.9161707975507417,75
75,Kidney,ATG16L2,0.91556939668584,76
76,Kidney,RP9P,0.9154696840019265,77
77,Kidney,RNF13,0.9152917132165073,78
78,Kidney,GLB1,0.9152029906640657,79
79,Kidney,USP2,0.9151406322197013,80
80,Kidney,ASPSCR1,0.9150826140705423,81
81,Kidney,RBMS3,0.9150319123919874,82
82,Kidney,XYLT2,0.9150284073803128,83
83,Kidney,PYCR2,0.9148871594641822,84
84,Kidney,NADK2,0.9144340947753924,85
85,Kidney,CDK13,0.9138027941385392,86
86,Kidney,ZDHHC8,0.9137572552301718,87
87,Kidney,RBM10,0.9130607518433651,88
88,Kidney,NDUFS3,0.91283041461622,89
89,Kidney,SEPT4,0.9124365338012242,90
90,Kidney,HSPA1A,0.9122575924923305,91
91,Kidney,ASB1,0.9117874614698938,92
92,Kidney,NOP2,0.9117529417659299,93
93,Kidney,CPE,0.9117067429777175,94
94,Kidney,DDX54,0.911167048120384,95
95,Kidney,DSTN,0.9111156602745163,96
96,Kidney,GRB2,0.9108319785881253,97
97,Kidney,LMTK2,0.9104569766261377,98
98,Kidney,RP5-1112D6.7,0.9104505094417767,99
99,Kidney,HTT,0.9103386308867857,100
100,Kidney,BRF1,0.9103297760262737,101
101,Kidney,MSRB3,0.9097892743898197,102
102,Kidney,CRTC3,0.9097154795295381,103
103,Kidney,TACC1,0.9093241373648374,104
104,Kidney,PTPRO,0.9092516977703599,105
105,Kidney,MFAP1,0.9089507275443789,106
106,Kidney,LAPTM4A,0.9088410756562286,107
107,Kidney,TUG1,0.908805748292052,108
108,Kidney,RP11-182L21.6,0.9079891898942124,109
109,Kidney,FKBP10,0.9079378083860652,110
110,Kidney,ACVR2A,0.9076095996511162,111
111,Kidney,BATF3,0.9070829475673052,112
112,Kidney,LINC01420,0.9066702295557169,113
113,Kidney,ADAP1,0.9062692090719083,114
114,Kidney,NANS,0.9059913737215453,115
115,Kidney,GMDS,0.9056058618770968,116
116,Kidney,GM2A,0.9052880098507001,117
117,Kidney,NCDN,0.9052557890160756,118
118,Kidney,TARS2,0.905094688693546,119
119,Kidney,VILL,0.9050039636339171,120
120,Kidney,PPP5C,0.9048259074006793,121
121,Kidney,PSAP,0.9047860022404298,122
122,Kidney,RAB8A,0.904415872734168,123
123,Kidney,MKL2,0.9043308955979061,124
124,Kidney,NCLN,0.9040875652420178,125
125,Kidney,MRVI1,0.9040578145777709,126
126,Kidney,ARHGEF26-AS1,0.903934220786037,127
127,Kidney,FBXO4,0.903703365083852,128
128,Kidney,ERLIN1,0.903514877256997,129
129,Kidney,FPGS,0.9033658742611754,130
130,Kidney,RP11-304L19.11,0.9031458198000887,131
131,Kidney,YAF2,0.9027231159383636,132
132,Kidney,RGP1,0.9025499481484409,133
133,Kidney,SLC25A22,0.9020246336048212,134
134,Kidney,NEURL1B,0.9011734955224833,135
135,Kidney,MFSD5,0.9011598828330275,136
136,Kidney,RP11-324I22.4,0.9009773964949098,137
137,Kidney,CRIP3,0.9009427818093224,138
138,Kidney,SRM,0.9008694207129713,139
