,Tissue Name,Gene Name,Centrality,Rank
7145,Kidney,PTPN1,1.0,1
6940,Kidney,SERPINA3,0.9914865487740123,2
7562,Kidney,MFSD2A,0.9907497548477912,3
4475,Kidney,SLC39A1,0.982509984535652,4
2634,Liver,PLP2,0.9812633765575272,5
5083,Kidney,LRP10,0.9808543427219757,6
6925,Kidney,A4GALT,0.9781438235680664,7
5621,Kidney,PUM3,0.9766755788356973,8
7433,Kidney,SOX9,0.9753870229193088,9
4541,Kidney,GALNT2,0.972310531323514,10
5572,Kidney,FAM169B,0.9707456521408813,11
5508,Kidney,KIAA0930,0.9672390138563298,12
2258,Liver,RAB26,0.9662463253147052,13
5276,Kidney,TTC39A,0.9658242463224885,14
4979,Kidney,IGFLR1,0.9658169819588606,15
4606,Kidney,CNOT11,0.9658060412487992,16
3410,Liver,HCN3,0.9657334864268715,17
1508,Liver,ZGPAT,0.9644332526484768,18
335,Liver,HSD17B14,0.9639509739967279,19
1748,Liver,CHRDL2,0.9629121184034821,20
746,Liver,ABCC6P2,0.962133909208503,21
2278,Liver,SLC38A1,0.9620318571071959,22
3400,Liver,GBP7,0.9618775644975902,23
2482,Liver,CYP4F12,0.9605897420709025,24
2331,Liver,LIME1,0.9603414354728629,25
236,Liver,SLC6A1,0.9602947570367241,26
4701,Kidney,SLC35F6,0.9596653951322587,27
1062,Liver,ACOX2,0.9596350392904311,28
663,Liver,UPB1,0.9583023776684149,29
4192,Kidney,TEAD4,0.9572798795469692,30
5603,Kidney,MON1B,0.9561448009171122,31
1491,Liver,ELFN1,0.9560105650831242,32
580,Liver,CAPN5,0.9559684477182215,33
2821,Liver,MREG,0.9558860148788585,34
514,Liver,BCHE,0.9549368646719275,35
390,Liver,RP11-119D9.1,0.9544666054146266,36
46,Liver,SULT1E1,0.954052878376153,37
2968,Liver,SLC2A4RG,0.9540022526795944,38
5143,Kidney,AFAP1L2,0.9537366387993134,39
380,Liver,RAPH1,0.953521071984783,40
129,Liver,ADH1C,0.9532879863092389,41
784,Liver,ASPA,0.9523309094027174,42
4252,Kidney,FAXDC2,0.9519331889722962,43
3232,Liver,SVOP,0.9516093964695946,44
2226,Liver,GCK,0.9515127052066904,45
5927,Kidney,FLOT2,0.9511457628509847,46
574,Liver,DCXR,0.9503146975377631,47
3083,Liver,TLCD2,0.9501071220250491,48
648,Liver,ATP2B4,0.9498587725475583,49
469,Liver,ASRGL1,0.9494451161956998,50
1708,Liver,DHRS13,0.9494136695999477,51
573,Liver,CMBL,0.9472908426525833,52
451,Liver,AGBL2,0.9469354139565989,53
6228,Kidney,RP11-253E3.3,0.9465480603769069,54
2847,Liver,FNDC4,0.9465277728785543,55
6721,Kidney,LTBR,0.946491787823144,56
3336,Liver,SORD,0.9463290712040586,57
2182,Liver,ADH4,0.9454203121798995,58
1901,Liver,RP11-867G23.8,0.9445838104029336,59
1408,Liver,CAT,0.9436689800629077,60
5715,Kidney,DBP,0.9435766935881105,61
4869,Kidney,FLOT1,0.943089413036151,62
4642,Kidney,CHADL,0.9426926935206409,63
645,Liver,CA14,0.9420625598353962,64
693,Liver,DRD1,0.9417962048092136,65
3531,Liver,JAKMIP2,0.9397416378177755,66
56,Liver,MPND,0.9395396046068166,67
685,Liver,LBP,0.9394924372910562,68
2118,Liver,RP11-793J2.1,0.9392060056301869,69
1895,Liver,LIMK2,0.9391773908469654,70
1169,Liver,RAC3,0.9390546584380143,71
726,Liver,SCG5,0.9390541043895132,72
738,Liver,TRO,0.9390511121058035,73
7362,Kidney,C17orf62,0.9388192726396833,74
3887,Kidney,CYP4F11,0.9385756683890065,75
1903,Liver,CTD-2012K14.8,0.938391875021409,76
374,Liver,GPAM,0.9381371438887788,77
4510,Kidney,RNF213,0.9380923282946507,78
1419,Liver,MSN,0.9380251533855131,79
1061,Liver,FLOT1,0.9379025001312699,80
3433,Liver,OXER1,0.9375771427626509,81
356,Liver,SLC39A5,0.9374362560038243,82
3272,Liver,CCDC150,0.9369703975292464,83
6528,Kidney,RP11-293M10.6,0.9367590287937481,84
5200,Kidney,TMBIM1,0.9367142390045817,85
3806,Liver,USP30,0.9365726629787342,86
2054,Liver,ODF2,0.9364692802548897,87
2081,Liver,THRSP,0.9361864133213291,88
2785,Liver,TMPRSS6,0.9356935086525036,89
2233,Liver,TNFSF10,0.9356122686064644,90
23,Liver,ST6GALNAC4,0.935161517934035,91
7370,Kidney,SHC1,0.9349860593210815,92
2430,Liver,MGAT5,0.9349804076847051,93
1907,Liver,DBP,0.9345835830488874,94
384,Liver,TEAD4,0.9345699862487046,95
1321,Liver,FTCD,0.9344165102360673,96
5144,Kidney,TRIM38,0.9341404634382535,97
3393,Liver,HSD17B13,0.9340347152415044,98
1733,Liver,CARMIL3,0.9339256453162714,99
3195,Liver,TGM2,0.9339143145004499,100
768,Liver,GRHPR,0.9337658585512839,101
3730,Liver,TGFBR3L,0.9333735134880672,102
7448,Kidney,SLC34A2,0.933308420741044,103
2175,Liver,PECR,0.9329125622928724,104
3562,Liver,SHC1,0.9328516861190872,105
2910,Liver,AMACR,0.9325721680364821,106
3132,Liver,SERPINA3,0.9320702128024886,107
834,Liver,CHADL,0.9313929791905953,108
103,Liver,SLC5A6,0.931349701329874,109
2811,Liver,HAAO,0.931250802768215,110
3592,Liver,SEC14L2,0.9311846048352007,111
718,Liver,GSTA7P,0.9307385585602189,112
3078,Liver,NT5DC1,0.9307179605425235,113
3062,Liver,CDHR3,0.9304895809195712,114
2790,Liver,DHRS1,0.9304729247393565,115
6631,Kidney,GCNT3,0.9304292037763222,116
3770,Liver,C12orf49,0.9304076997082457,117
1329,Liver,PFKFB1,0.9303976069526111,118
2804,Liver,RAP1GAP,0.9301323357189225,119
3649,Liver,FOLH1,0.9300846379435403,120
3337,Liver,PTPN1,0.9296746480568466,121
5313,Kidney,TSPAN1,0.9296049778140772,122
3140,Liver,ATG2A,0.9294457611937195,123
207,Liver,TMEM42,0.9289195936824527,124
1275,Liver,LRP10,0.9280493130991592,125
5703,Kidney,LIMK2,0.9275751608201468,126
2922,Liver,TMEM184B,0.9272542729465326,127
5127,Kidney,GPAT4,0.9266483967790529,128
5673,Kidney,UNC5CL,0.9265368198185309,129
460,Liver,KCNN2,0.9265114670412489,130
3752,Liver,LINC01625,0.9262952332740517,131
631,Liver,TPPP2,0.9261970025223775,132
710,Liver,CFAP57,0.9261198364478676,133
2768,Liver,EPB41L5,0.9259247925930206,134
3782,Liver,SLC38A11,0.9259146727503889,135
2506,Liver,SEC31B,0.9257436914460158,136
3534,Liver,SH3BGRL3,0.9253457579853814,137
1760,Liver,NOL4,0.9250988127840806,138
1174,Liver,ABHD1,0.9249631851826698,139
1132,Liver,TMEM87B,0.9245523867568921,140
816,Liver,LENG9,0.9242532768777179,141
255,Liver,MPDZ,0.9239287695802322,142
585,Liver,EXT2,0.9238176120832717,143
997,Liver,MTND5P1,0.9232149466116609,144
2771,Liver,DLG2,0.92312555311761,145
3476,Liver,CXCL16,0.9231119996438367,146
7079,Kidney,NR1H4,0.9231062730002892,147
7317,Kidney,GTF2E1,0.9228704680883635,148
1481,Liver,RAB20,0.9223509952546123,149
483,Liver,LPAL2,0.9222465513654766,150
145,Liver,IFITM2,0.9221654412752794,151
2138,Liver,TTC36,0.9221650114912792,152
937,Liver,SLC47A1,0.921873200773739,153
5993,Kidney,HS3ST1,0.9218190736484947,154
4543,Kidney,SP1,0.9210272758477119,155
144,Liver,XPNPEP1,0.9208403173028628,156
5454,Kidney,CCDC96,0.9207847611677094,157
5789,Kidney,FGA,0.9207361620926073,158
1766,Liver,SCN1B,0.9205051020227895,159
1157,Liver,AMT,0.9202604857845459,160
5057,Kidney,GPX2,0.9188476643119816,161
4025,Kidney,PRTFDC1,0.9187908169811373,162
7560,Kidney,LINC01625,0.9184163197635127,163
7003,Kidney,TGM2,0.9178059426843687,164
7060,Kidney,TULP3,0.917564145021913,165
1996,Liver,RP4-583P15.16,0.9175318312781623,166
1688,Liver,AC013463.2,0.9174716334864566,167
5000,Kidney,MCEMP1,0.9174433733112088,168
7343,Kidney,CYP21A2,0.9173474152505883,169
1915,Liver,GAS2,0.9169858472668125,170
3498,Liver,CREB3L3,0.9165559079600489,171
1791,Liver,IFIT1,0.9157537306395851,172
809,Liver,ABCA10,0.9157198566287872,173
2509,Liver,IL15RA,0.9156593705063194,174
917,Liver,ASB9,0.915309834481717,175
946,Liver,GSTA2,0.9150030599025325,176
3072,Liver,GATM,0.9149346648533379,177
1536,Liver,SOCS1,0.9146169971804383,178
2828,Liver,PTGFRN,0.9144808684222556,179
2667,Liver,ATXN7L1,0.9143643390263037,180
6344,Kidney,SH2D5,0.9142306577009006,181
235,Liver,FMO3,0.9139333952494261,182
2608,Liver,PLEKHA5,0.9136649197539605,183
3039,Liver,CRP,0.913316922909647,184
3458,Liver,CPD,0.9125247299067623,185
3329,Liver,AK1,0.9121934311186526,186
1029,Liver,SH3RF2,0.9119064890104505,187
2848,Liver,DHDDS,0.9118674788159438,188
6048,Kidney,SLC35C1,0.9118149271957199,189
292,Liver,GCA,0.9115779519610056,190
2119,Liver,FLOT2,0.91131667914502,191
2793,Liver,POGZ,0.9112943969746794,192
3641,Liver,IQCH-AS1,0.9109527901679698,193
2668,Liver,LRFN4,0.9104192529365361,194
51,Liver,GMDS,0.910027324586696,195
4808,Kidney,RP11-64B16.2,0.9099340579460545,196
3602,Liver,ABHD15,0.9097878072156829,197
6877,Kidney,FAM20A,0.9096573987414999,198
1477,Liver,TADA1,0.9094822215950944,199
1605,Liver,RHBG,0.9094381510453157,200
2654,Liver,VPS37D,0.9090188879902488,201
6891,Kidney,TLCD2,0.9089741220817208,202
5595,Kidney,CCDC74B,0.9088873700954274,203
675,Liver,FAM151A,0.9085874554966323,204
2924,Liver,CCND3,0.9084500495604158,205
2188,Liver,GEN1,0.9083541459654115,206
1715,Liver,TP53TG1,0.9081946295915769,207
6331,Kidney,DUSP23,0.908073176608636,208
4804,Kidney,S100A11,0.9073643287098039,209
2021,Liver,PCK2,0.9073126010333662,210
1135,Liver,C2orf82,0.9071695342652275,211
4247,Kidney,TMEM214,0.9070542112673841,212
39,Liver,TEAD2,0.906253654104049,213
1741,Liver,GPX3,0.9060859632358711,214
2240,Liver,SLC35C1,0.9060135560707364,215
1815,Liver,PACS1,0.9057416417471804,216
2511,Liver,CFAP221,0.9053508325938925,217
7294,Kidney,GAS2L3,0.9050363655213466,218
2458,Liver,CFL1,0.9048787563262752,219
2586,Liver,ZMYND15,0.9048094226163098,220
2333,Liver,TBC1D30,0.9047613711930867,221
2450,Liver,OSTM1,0.9047462022198919,222
2186,Liver,NIT2,0.9043552061163457,223
2599,Liver,CYP4X1,0.9038224077776986,224
3399,Liver,ZNF776,0.9033507467802211,225
2713,Liver,RNF43,0.9033127233545334,226
2944,Liver,GLYCTK,0.9032402864751401,227
1955,Liver,RP11-363E7.4,0.9032355070438289,228
6803,Kidney,NREP,0.9032188836999178,229
871,Liver,MARC1,0.9028798847639958,230
2978,Liver,CYP2D8P,0.9024563888145994,231
7302,Kidney,POLB,0.9024330496902617,232
1981,Liver,FGA,0.9019326939162297,233
2508,Liver,NHSL1,0.9014944746039804,234
3657,Liver,TUBE1,0.9012807374016669,235
2884,Liver,TMEM127,0.9011633929349617,236
2786,Liver,PIM3,0.9011247785015735,237
1035,Liver,RP5-834N19.1,0.9010879647280623,238
1691,Liver,EIF5A2,0.9010542129449312,239
3536,Liver,KLHL25,0.90096439691508,240
1571,Liver,ALOX5,0.9007287667477274,241
61,Liver,LINC01503,0.900728466133655,242
1315,Liver,MAPK4,0.9006705715152932,243
2264,Liver,ASPDH,0.9005639163118331,244
2366,Liver,SNED1,0.9004079886769926,245
1806,Liver,ECT2,0.9002641756053684,246
20,Liver,LRRC73,0.9000227114002178,247
3196,Liver,SKAP1,0.8999219756872198,248
1233,Liver,RP1-152L7.5,0.899447160204409,249
4509,Kidney,DENND4A,0.8992875504623872,250
3467,Liver,SULT1A2,0.8989755510920459,251
7094,Kidney,S100A9,0.8988493201434667,252
2609,Liver,ADORA2A-AS1,0.8988064698372397,253
733,Liver,GALNT2,0.8987037824602446,254
3763,Liver,ACSF2,0.8984237336170691,255
1764,Liver,FAM169B,0.898327208732662,256
291,Liver,ARHGAP32,0.8980148827255334,257
1941,Liver,TMEM198B,0.8976707581235294,258
4653,Kidney,HACD4,0.8973396310714962,259
3953,Kidney,IFITM2,0.8968623726366212,260
2350,Liver,KLHL29,0.896776853049938,261
313,Liver,HTRA1,0.8967385195572078,262
537,Liver,ENOX2,0.896680024680603,263
2515,Liver,RECQL,0.8964311197271868,264
894,Liver,RP4-539M6.21,0.8958170247844162,265
1265,Liver,GCAT,0.8955289107227161,266
3744,Liver,IRS1,0.8952807857895532,267
3574,Liver,L3MBTL4,0.8951624844296103,268
229,Liver,TMEM169,0.8951539117629861,269
3964,Kidney,RP11-420L9.5,0.8951007486054741,270
1591,Liver,APEX2,0.8949996235544343,271
999,Liver,SEMA6B,0.8949292501599171,272
1091,Liver,RP1-193H18.2,0.8948936268878713,273
7271,Kidney,ANO1,0.8947178805005002,274
5874,Kidney,BMP1,0.8941735648541256,275
73,Liver,HLA-E,0.8941287594578708,276
2453,Liver,AF064858.8,0.8938060828118994,277
4227,Kidney,MYOM1,0.8937698167023786,278
893,Liver,SLC35F6,0.8936416167871354,279
627,Liver,HOMER2,0.8924608172277098,280
2992,Liver,CD24,0.8923111757594453,281
2820,Liver,RP11-462L8.1,0.8916062915984536,282
3882,Kidney,C16orf74,0.8913021494883053,283
3157,Liver,GSK3B,0.8910289457978056,284
720,Liver,ZNF563,0.8910233911608268,285
1468,Liver,TTC39A,0.8907243311179032,286
3165,Liver,CTC-490E21.11,0.8905753227028758,287
6459,Kidney,COL4A5,0.8905187510576913,288
49,Liver,C3orf80,0.8900115751610027,289
3231,Liver,TTR,0.8899007912354923,290
1404,Liver,RP11-573D15.8,0.8898077378110508,291
704,Liver,DMGDH,0.8895888090044909,292
2819,Liver,RTN4,0.8894486623764851,293
7522,Kidney,ACTR8,0.889367842367034,294
3363,Liver,ENTPD4,0.8892122534908982,295
3297,Liver,TIMP1,0.8885688778064852,296
3374,Liver,FBXL4,0.888368259575479,297
3716,Liver,PALMD,0.8883291397153162,298
5432,Kidney,ZFYVE27,0.8883021794142362,299
3052,Liver,PKM,0.8879253663796346,300
2915,Liver,SYNE2,0.8879081762953236,301
3735,Liver,SCAI,0.8877984663128732,302
4219,Kidney,BTBD7,0.8875580204489479,303
575,Liver,ZKSCAN1,0.8871097103164713,304
