,Tissue Name,Gene Name,Centrality,Rank
4812,liver,PLCG2,1.0,1
6430,liver,LINCR-0001,0.9975250904226366,2
5371,liver,DAP,0.9908390686839912,3
5901,liver,MRPL49,0.9877474598119573,4
7553,liver,ERI3,0.9794189513000994,5
6920,liver,ST6GALNAC6,0.9783217664196786,6
5900,liver,PIN1,0.9781924886353289,7
7143,liver,RASSF7,0.9774212658284244,8
3925,liver,CLNS1A,0.9760525151785329,9
6666,liver,PRSS36,0.9740105587346153,10
6218,liver,POLD4,0.973699461570269,11
4468,liver,EEF1D,0.9735495661889655,12
3839,liver,LAMTOR1,0.9733976102712921,13
6105,liver,RP5-981O7.2,0.9720920960997057,14
6569,liver,CHPF,0.9710010680308997,15
4277,liver,BMP1,0.9706407317367728,16
5976,liver,KDELR1,0.9704462485121524,17
5149,liver,DDA1,0.9687031056863762,18
5204,liver,WDR13,0.9686877970391732,19
7419,liver,HTRA1,0.9683113957230137,20
4851,liver,CTD-2012K14.6,0.9680305374329395,21
5762,liver,WDR45,0.9673588114574991,22
4771,liver,INTS10,0.9667093431222655,23
7453,liver,IFITM3,0.9666602826931714,24
4315,liver,CDC25B,0.9666415375818631,25
4954,liver,PNKP,0.965797073303938,26
4559,liver,PPTC7,0.9656432189879004,27
5658,liver,POLR2I,0.9656395029158648,28
3940,liver,TRIM8,0.9655619244499924,29
4446,liver,C10orf76,0.9649347145864205,30
3970,liver,SYNGR2,0.964920216294384,31
6135,liver,C17orf62,0.9647916879217976,32
6472,liver,MPDZ,0.9639272859796864,33
6573,liver,ASPA,0.9638301974855872,34
4695,liver,ZNF229,0.9637484274621575,35
6626,liver,SSBP1,0.9626489395789395,36
6223,liver,CRB3,0.9625384288418705,37
6531,liver,TMBIM1,0.961315107886846,38
7598,liver,DSCR3,0.960546176652178,39
4550,liver,MED8,0.9604824942108746,40
7071,liver,EIF1AXP1,0.9604273371927645,41
6609,liver,PDXK,0.9601888900846842,42
4731,liver,LRP10,0.9601671229503571,43
4239,liver,MGAT5,0.9597875064758093,44
4566,liver,CTGF,0.9592681654606646,45
5709,liver,SCARB1,0.9592511196450965,46
5977,liver,PIAS4,0.959013449331432,47
7224,liver,DRG2,0.9587870101020588,48
4416,liver,PDAP1,0.9585560985797135,49
5667,liver,SAYSD1,0.958152272872041,50
6233,liver,LPAL2,0.9577101800156406,51
4472,liver,MPDU1,0.9571067608515951,52
6447,liver,GALNT2,0.9568139993304319,53
7011,liver,STK11,0.9565157535285469,54
4483,liver,MDH2,0.9565081048699824,55
3812,liver,MAN1A1,0.9561262032371235,56
4367,liver,TPST1,0.9560893166409709,57
6520,liver,GSK3B,0.9556040564989171,58
6410,liver,RP11-166B2.1,0.9553080520921752,59
7018,liver,MON1B,0.9552083392334945,60
7061,liver,DHRS13,0.9543357952596121,61
6152,liver,CDHR3,0.9541169672668756,62
4748,liver,PJA2,0.9540197747510079,63
5387,liver,GARNL3,0.9529114416542214,64
4544,liver,TENM1,0.9527938113175027,65
7250,liver,SKAP1,0.9527032654956836,66
5593,liver,MPV17,0.9524721196552174,67
4061,liver,YWHAB,0.9524049686970744,68
3932,liver,ENTPD4,0.9522432059944977,69
7055,liver,SCARF1,0.9522400341673954,70
6155,liver,RNPC3,0.9522328777339866,71
6553,liver,API5,0.9513644415758878,72
4195,liver,NBPF12,0.9512610371034003,73
7411,liver,WWP2,0.9510182662218911,74
4279,liver,MEIS3P1,0.9508758768891619,75
7493,liver,AC013275.2,0.9501829098547362,76
6163,liver,THRSP,0.9500076671481622,77
4020,liver,ACOX2,0.9498681656236734,78
6551,liver,TMED9,0.9498172533725944,79
4883,liver,PEX2,0.9496595580204966,80
4060,liver,GMPPA,0.9493769309081438,81
5449,liver,RANBP3,0.9493642112424437,82
5466,liver,COPE,0.9493269794313177,83
4231,liver,MBD6,0.9492407537526735,84
6923,liver,FLOT1,0.9492316674648925,85
4717,liver,TRNAU1AP,0.9489172864546734,86
6616,liver,SNRPGP10,0.9489012335928464,87
5088,liver,C11orf96,0.9488937879233607,88
5295,liver,LRRN2,0.94886651245571,89
7471,liver,TIPRL,0.9488621535879106,90
6081,liver,AKT1S1,0.9481322539906887,91
7151,liver,SCN11A,0.9481212105524087,92
7327,liver,CTD-2325M2.1,0.94807014614752,93
7571,liver,GRIN3A,0.9479666536636133,94
6190,liver,EVI5L,0.9476211802149569,95
4222,liver,TPRN,0.9475472298468669,96
7445,liver,RAPH1,0.9474826274186746,97
4119,liver,NR4A1,0.9474597807162413,98
5662,liver,YDJC,0.9473348509579864,99
5946,liver,TMEM50A,0.9471662156848704,100
5117,liver,UBE2Q1,0.9467342920480609,101
6436,liver,FIBIN,0.9465952636022131,102
4496,liver,PRSS27,0.9464796224302315,103
4519,liver,LINC00886,0.9463874456271433,104
5947,liver,TEAD2,0.9462000615639624,105
7459,liver,RPL7A,0.9461941347845253,106
4082,liver,SYVN1,0.9461012547435617,107
7326,liver,INTS1,0.9460905680414264,108
6917,liver,SVOP,0.9459032164672798,109
6086,liver,GNA11,0.9458217361017075,110
4663,liver,SPCS2,0.9457477607031812,111
4000,liver,COL5A2,0.9454452431459978,112
3957,liver,TMEM198B,0.9453791049505917,113
6549,liver,SDF4,0.9453602026189106,114
5596,liver,AP4M1,0.9453235628785686,115
6059,liver,IBTK,0.9452481132768009,116
5358,liver,RBX1,0.9451622189299813,117
5215,liver,EDEM1,0.9444201926860945,118
7549,liver,PEG10,0.9442811466708042,119
5969,liver,DUSP23,0.9440517467913505,120
6153,liver,RHBDD2,0.9440235125043114,121
3966,liver,ZBED6CL,0.9433813362908573,122
5973,liver,LINC00844,0.943310519395676,123
5300,liver,ENOX2,0.9432599262147908,124
7616,liver,HDAC6,0.9432154843288931,125
6543,liver,OXR1,0.9429881857300528,126
5953,liver,PTPN21,0.9429278950639686,127
7209,liver,FNDC4,0.9428223356652744,128
6645,liver,EXOC6,0.9426946525716219,129
5869,liver,RABAC1,0.9426280913385868,130
4964,liver,TMEM214,0.9423973566330762,131
