,Tissue Name,Gene Name,Centrality,Rank
0,Kidney,COL16A1,1.0,1
1,Kidney,SERPINF1,0.9938905991936405,2
2,Kidney,SVEP1,0.9841298623269207,3
3,Kidney,SRPX2,0.9789329977431895,4
4,Kidney,BCL2L2,0.9622769771931736,5
5,Kidney,FMOD,0.9616023193451413,6
6,Kidney,RP11-274B21.9,0.9607140673239715,7
7,Kidney,USP19,0.9573605673407514,8
8,Kidney,PPP1R14A,0.9566756131661279,9
9,Kidney,PLCE1,0.9550722894770383,10
10,Kidney,NRIP2,0.9534246810429631,11
11,Kidney,C1R,0.9519650058143624,12
12,Kidney,USP5,0.950357523069446,13
13,Kidney,B4GAT1,0.9481958579493053,14
14,Kidney,SMARCD3,0.9471290633472763,15
15,Kidney,PLOD3,0.9469798051238387,16
16,Kidney,UGT1A9,0.9461734029319667,17
17,Kidney,IGF1R,0.945587943194837,18
18,Kidney,GTF2H1,0.9452421978433493,19
19,Kidney,HUWE1,0.9449971125987325,20
20,Kidney,COL8A1,0.9448882087053772,21
21,Kidney,SHKBP1,0.9433979305583682,22
22,Kidney,ST6GALNAC3,0.943308907163789,23
23,Kidney,SPON1,0.9431795143329552,24
24,Kidney,ATP6V0D1,0.9423343486631666,25
25,Kidney,FHL5,0.9419047829210807,26
26,Kidney,PALLD,0.9407587712544074,27
27,Kidney,SLC3A1,0.9404788165138794,28
28,Kidney,MYO5B,0.9395363081596642,29
29,Kidney,TMEM116,0.9394796249346767,30
30,Kidney,TNS1,0.9394158081868322,31
31,Kidney,SAMHD1,0.938782742573238,32
32,Kidney,PCYOX1,0.9386275627991745,33
33,Kidney,CMTM7,0.938616903884208,34
34,Kidney,RBM3,0.9379370387367875,35
35,Kidney,MESDC2,0.9369511903132155,36
36,Kidney,SLC25A25-AS1,0.9367155824517993,37
37,Kidney,SYS1,0.9365743188865776,38
38,Kidney,ADRA2A,0.9359280758480801,39
39,Kidney,LINC00839,0.9351458986377255,40
40,Kidney,CENPO,0.9349479532266095,41
41,Kidney,HAT1,0.9346684672810522,42
42,Kidney,LAMP2,0.934224478990436,43
43,Kidney,CRNKL1,0.9340869560940197,44
44,Kidney,ZNF106,0.9339233041969925,45
45,Kidney,MLLT6,0.9331280498692066,46
46,Kidney,PDLIM2,0.9329719438629107,47
47,Kidney,ZNF550,0.9325567515872939,48
48,Kidney,TADA2B,0.9324268268384668,49
49,Kidney,GGT5,0.93100167420569,50
50,Kidney,ELL,0.9305251503518829,51
51,Kidney,RP11-159D12.2,0.9302962177230508,52
52,Kidney,CRTC3,0.9299409258336656,53
53,Kidney,CDK13,0.9297499166233809,54
54,Kidney,SPATA18,0.929664241221779,55
55,Kidney,FH,0.9290412646187299,56
56,Kidney,PES1,0.9288039163867917,57
57,Kidney,VLDLR,0.9285165482895987,58
58,Kidney,RBM10,0.9284744928935591,59
59,Kidney,OGDH,0.9277109519437775,60
60,Kidney,CTSK,0.9275691872873548,61
61,Kidney,ATG16L2,0.9273571857121966,62
62,Kidney,CFAP97,0.9272668141845058,63
63,Kidney,STAT5B,0.9271863668748023,64
64,Kidney,ADAP1,0.9271637211571879,65
65,Kidney,RAB40A,0.9271318931847373,66
66,Kidney,RBMS3,0.9270042179744312,67
67,Kidney,SMARCA1,0.9268944669625105,68
68,Kidney,GLB1,0.92671688054136,69
69,Kidney,ASXL1,0.9265413726653625,70
70,Kidney,RNF13,0.926222972296545,71
71,Kidney,GRB2,0.9260262551437377,72
72,Kidney,PYCR2,0.9252837737894412,73
73,Kidney,RP5-1112D6.7,0.9252425756652731,74
74,Kidney,NADK2,0.925194664181102,75
75,Kidney,HSPA1A,0.9250909690999685,76
76,Kidney,SPIDR,0.9249344834663703,77
77,Kidney,VAMP5,0.9248637495227459,78
78,Kidney,PLA2G4A,0.924524169846982,79
79,Kidney,RGS16,0.9242067734456156,80
80,Kidney,ASPSCR1,0.9241432896741764,81
81,Kidney,LRRC2,0.9236734412630283,82
82,Kidney,ASB1,0.9236368399136812,83
