,Tissue Name,Gene Name,Centrality,Rank
6577,liver,PPTC7,1.0,1
5905,liver,COQ8B,0.9952047125947667,2
7120,liver,C3orf80,0.9931635544412942,3
6083,liver,PTRH1,0.9914439181697674,4
5422,liver,SHC1,0.9868302468442441,5
5567,liver,THPO,0.9833086981224941,6
6566,liver,ODF2,0.9809635110507204,7
3903,liver,RP4-665J23.1,0.978662246429961,8
7286,liver,TLCD2,0.975924339088548,9
5558,liver,SLX1A,0.9740172958351654,10
6236,liver,KIAA0586,0.9719701196882464,11
7357,liver,ERI3,0.9719697067906753,12
4792,liver,PNKP,0.9718691410230592,13
5081,liver,FLOT2,0.9713914568194306,14
3891,liver,C1orf162,0.9707421434145188,15
6151,liver,KDELR1,0.9706909508487875,16
5666,liver,INTS1,0.9705886624674989,17
4049,liver,PAM16,0.9704627967661901,18
7157,liver,DSCR3,0.9703774252283742,19
5594,liver,TMEM127,0.9693608486107381,20
5298,liver,DAP,0.9690156388915137,21
5223,liver,TXNDC5,0.9686006980843684,22
5592,liver,SERPINA3,0.9680991369927325,23
7587,liver,ENTPD4,0.9677363349196629,24
5525,liver,SLC39A1,0.967463285858633,25
6028,liver,DDA1,0.9665299363187169,26
4602,liver,LIMK2,0.96629880841927,27
7295,liver,EVI5L,0.965237372411851,28
3913,liver,PTGFRN,0.9651108750719705,29
4826,liver,PDE5A,0.9650862282517132,30
4450,liver,POLR2I,0.9646866667773567,31
6769,liver,LINC01314,0.9644164097503242,32
4752,liver,RWDD2A,0.964262497445137,33
6486,liver,VAC14,0.9639143674468288,34
6876,liver,MON1B,0.9635650038368694,35
5801,liver,TMEM56,0.9630003184625654,36
6837,liver,RPL8,0.9621355508298578,37
4982,liver,TRIM27,0.9617963128266331,38
5676,liver,DHODH,0.9616518489214759,39
4641,liver,RAP1GAP,0.9612998430082512,40
6543,liver,TP53AIP1,0.9607688867357115,41
5714,liver,BLOC1S3,0.9607308313063135,42
3914,liver,C1orf186,0.9607275996075696,43
3897,liver,INPP5E,0.9604455739663728,44
5367,liver,PPP1R27,0.9602945677931178,45
6240,liver,MICU3,0.9599084812868499,46
4607,liver,AC010894.3,0.9597777206173731,47
3958,liver,TRAPPC12,0.9594693344940336,48
5036,liver,MRPL49,0.9589140032865306,49
7444,liver,SDF4,0.9587474173805387,50
5659,liver,ACSM2A,0.958446691294882,51
4249,liver,EXT2,0.9583263679642445,52
5406,liver,ARPC4,0.9580479755104014,53
3944,liver,COPE,0.9579696855381152,54
5759,liver,DHRS13,0.957953955291907,55
4812,liver,TRADD,0.9577940139808802,56
