,Tissue Name,Gene Name,Centrality,Rank
0,Adrenal,SPRY4,1.0,1
1,Adrenal,HNRNPH1,0.9885339410847022,2
2,Adrenal,GNS,0.986250159452901,3
3,Adrenal,SERBP1,0.973966416629555,4
4,Adrenal,ATP6V1H,0.9729579390162693,5
5,Adrenal,LRRC59,0.9653059519512305,6
6,Adrenal,CBX5,0.9634691952966423,7
7,Adrenal,SEC11C,0.9625154080171079,8
8,Adrenal,ABCC5,0.9606028203444802,9
9,Adrenal,SYT12,0.9591886266584877,10
10,Adrenal,TOR1AIP1,0.9588722129660021,11
11,Adrenal,KDELR2,0.958484623496322,12
12,Adrenal,MICU1,0.9579430996818094,13
13,Adrenal,ARF6,0.9569571549043061,14
14,Adrenal,TMEM167A,0.9550914457811425,15
15,Adrenal,MCF2L2,0.9531453008978362,16
16,Adrenal,SLK,0.952634414552792,17
17,Adrenal,ZC3H18,0.9519328151915258,18
18,Adrenal,RRAGD,0.9518522639127595,19
19,Adrenal,CSF1R,0.9512833896438379,20
20,Adrenal,SSR3,0.9511286247950169,21
21,Adrenal,ROBO1,0.9500459706182857,22
22,Adrenal,NIPBL,0.9496503938861299,23
23,Adrenal,AMIGO2,0.9495523021502675,24
24,Adrenal,GGCT,0.9490432690278997,25
25,Adrenal,SMARCA4,0.9489656033082546,26
26,Adrenal,TUT1,0.9482128131485992,27
27,Adrenal,MFSD14B,0.94734416289884,28
28,Adrenal,GABBR1,0.9462459600287016,29
29,Adrenal,TP53INP1,0.946172636877483,30
30,Adrenal,HSP90B1,0.9441609200812179,31
31,Adrenal,ZNF26,0.9441283682841749,32
32,Adrenal,ACY1,0.9432910774367391,33
33,Adrenal,EIF4G2,0.9426687821193555,34
34,Adrenal,NDUFS2,0.9424844152349647,35
35,Adrenal,SEC61A1,0.9421685575918634,36
36,Adrenal,BTK,0.9421634763802882,37
37,Adrenal,AMHR2,0.9406624836113181,38
38,Adrenal,FAM50A,0.9405363244895824,39
39,Adrenal,TUBG1,0.9402647719936175,40
40,Adrenal,SLC26A11,0.9388240108783346,41
41,Adrenal,SRPRB,0.9378233897951446,42
42,Adrenal,SRSF11,0.9378105013970168,43
43,Adrenal,WDFY3-AS2,0.9367709850655399,44
44,Adrenal,MYCBP2,0.9363827262671884,45
45,Adrenal,CTIF,0.9356906472430864,46
46,Adrenal,HMBOX1,0.93481501647104,47
47,Adrenal,COBLL1,0.9346888425232415,48
48,Adrenal,PUM1,0.934654488367173,49
49,Adrenal,FAM63B,0.9345327807550982,50
50,Adrenal,EIF3I,0.9345236774205752,51
51,Adrenal,TTC8,0.9344834372168529,52
52,Adrenal,WDR45,0.934411938672758,53
53,Adrenal,HAT1,0.9341480045507945,54
54,Adrenal,TMEM234,0.9340926658918781,55
55,Adrenal,TRA2B,0.9338929604208033,56
56,Adrenal,SNX8,0.9329231790503194,57
57,Adrenal,TBC1D15,0.9318559496618376,58
58,Adrenal,EPS8,0.9315301024726572,59
59,Adrenal,SYNCRIP,0.9314152460096038,60
60,Adrenal,MTMR1,0.9312879107587715,61
61,Adrenal,SAFB,0.9309875800280748,62
62,Adrenal,DCAF6,0.9304636525191027,63
63,Adrenal,SIDT2,0.9304478785367146,64
64,Adrenal,EIF5,0.9299040310140744,65
65,Adrenal,MKRN1,0.9299018396802746,66
66,Adrenal,ZNF133,0.9285517087189051,67
67,Adrenal,TMED2,0.9283611027541806,68
68,Adrenal,DCN,0.928205377735042,69
69,Adrenal,CD2BP2,0.928080368594772,70
70,Adrenal,KLHL18,0.9278541253176538,71
71,Adrenal,SARAF,0.9276075881171127,72
72,Adrenal,BHLHE41,0.9271985121991251,73
73,Adrenal,ABCD2,0.9266693951474814,74
74,Adrenal,BOLA3,0.9265442901539578,75
75,Adrenal,FAM162A,0.9264370022219509,76
76,Adrenal,RCC2,0.9260317805140854,77
77,Adrenal,ISYNA1,0.9259359657957159,78
78,Adrenal,SCAF4,0.9257303139904918,79
79,Adrenal,RNASET2,0.9252906760280406,80
80,Adrenal,GMPS,0.925104890326511,81
81,Adrenal,GLT8D1,0.924934809578859,82
82,Adrenal,SLC35F6,0.924229930883493,83
83,Adrenal,HMGN5,0.9242245269686243,84
84,Adrenal,STRADB,0.923921045777201,85
85,Adrenal,TM9SF3,0.9238403167714747,86
86,Adrenal,TRIM8,0.9234664635582717,87
87,Adrenal,PPP3CA,0.9232488938942396,88
88,Adrenal,GLRX3,0.9230300937637592,89
89,Adrenal,DDIT3,0.9227541896324486,90
90,Adrenal,ARFIP2,0.9226901757757867,91
91,Adrenal,GNPTG,0.9226567267060646,92
92,Adrenal,PNRC2,0.9224109365949221,93
93,Adrenal,DAZAP2,0.9221285334093106,94
94,Adrenal,NEK9,0.9220456592051378,95
95,Adrenal,ARF1,0.9214548363961378,96
96,Adrenal,CNST,0.9211376630707288,97
97,Adrenal,PCYT2,0.9201503940226233,98
98,Adrenal,PSMC6,0.9198606659962119,99
99,Adrenal,CC2D1A,0.9198373029297242,100
100,Adrenal,UBAP2,0.9197722341110539,101
101,Adrenal,TBXA2R,0.9196788437548955,102
102,Adrenal,BET1L,0.9190562715571815,103
103,Adrenal,POLR2L,0.9190111594703448,104
104,Adrenal,HCFC1R1,0.9189010162473559,105
105,Adrenal,RALGAPA2,0.9187749944638627,106
106,Adrenal,BYSL,0.9187697851578791,107
107,Adrenal,BLOC1S4,0.9186061566838674,108
108,Adrenal,SRPRA,0.9179995885612621,109
109,Adrenal,SH3PXD2B,0.9175748113025675,110
110,Adrenal,PCF11,0.917164100906805,111
111,Adrenal,PSME4,0.9167542741473164,112
112,Adrenal,RMND5A,0.9165900665429508,113
113,Adrenal,FH,0.9162782195891132,114
114,Adrenal,RXRA,0.9162300585934503,115
115,Adrenal,UBB,0.9160727367678623,116
116,Adrenal,ARF5,0.9160388276029167,117
117,Adrenal,AP3D1,0.9156816573078603,118
118,Adrenal,RP11-452L6.5,0.9150658677261476,119
119,Adrenal,NUDCD3,0.9147917064553797,120
120,Adrenal,KCTD17,0.9146248231545651,121
121,Adrenal,ARCN1,0.9145302433641167,122
122,Adrenal,ATP5F1,0.9142763681080541,123
123,Adrenal,OSCP1,0.9142367864678194,124
124,Adrenal,DHX15,0.9141119736833088,125
125,Adrenal,EXOC6,0.9140734832341036,126
126,Adrenal,COL4A1,0.9140514452587379,127
127,Adrenal,AMDHD2,0.9140377021788776,128
128,Adrenal,CCDC58,0.9140257231576074,129
129,Adrenal,PDIA4,0.9139698273462363,130
130,Adrenal,SFXN1,0.9137769902646486,131
131,Adrenal,SERPINB9,0.9137300209868798,132
132,Adrenal,TRIM24,0.9137044258985961,133
133,Adrenal,PTPRC,0.9135332237909504,134
134,Adrenal,GATAD2A,0.9133996395316341,135
135,Adrenal,DDR2,0.9132586397372723,136
136,Adrenal,SYNJ2,0.9130877574018733,137
137,Adrenal,PDXK,0.9127671936824475,138
138,Adrenal,ATP5A1,0.9126696246543616,139
139,Adrenal,ZFAND4,0.91264362367471,140
140,Adrenal,ZSWIM8,0.9125794780725272,141
141,Adrenal,AGO3,0.9125149293017226,142
142,Adrenal,RSBN1,0.9124754757219841,143
143,Adrenal,ZMIZ1-AS1,0.9122112688131002,144
144,Adrenal,TUSC2,0.9121657897414308,145
145,Adrenal,PLEKHO2,0.9121390885775476,146
146,Adrenal,SATB1,0.9120604596274416,147
147,Adrenal,STX12,0.9120301319033599,148
148,Adrenal,MGEA5,0.9118956371215187,149
149,Adrenal,RRAGB,0.9117391808528033,150
150,Adrenal,CDK5RAP2,0.9114039681563528,151
151,Adrenal,CHD2,0.911226058195324,152
152,Adrenal,TAGLN,0.91113202181158,153
153,Adrenal,LSM3,0.910938967845123,154
154,Adrenal,FAM161B,0.9108422716104536,155
155,Adrenal,RELA,0.91078477866462,156
156,Adrenal,STS,0.9106773071543949,157
157,Adrenal,CERS2,0.9105679566676895,158
158,Adrenal,FIBP,0.9104904724317573,159
159,Adrenal,SPATS2L,0.9101815229627241,160
160,Adrenal,KCNH3,0.9099840912546768,161
161,Adrenal,PFN2,0.9099134065005116,162
162,Adrenal,PGBD1,0.9097573709287703,163
163,Adrenal,AC007246.3,0.9095157213730674,164
164,Adrenal,MRPL22,0.9094796186050398,165
165,Adrenal,ZDHHC17,0.9090646578215817,166
166,Adrenal,TMEM209,0.909057323820493,167
167,Adrenal,C3AR1,0.9088955375894626,168
168,Adrenal,STRIP2,0.9088186550047272,169
169,Adrenal,PURA,0.9087161978886792,170
170,Adrenal,RAI2,0.9085521689073598,171
171,Adrenal,RUNDC1,0.9085055726953237,172
172,Adrenal,CYB561A3,0.9084686478882379,173
173,Adrenal,THADA,0.9081389303169873,174
174,Adrenal,CDIPT,0.9081260671699624,175
175,Adrenal,AJUBA,0.9081116115853237,176
176,Adrenal,MRC2,0.9080754242738182,177
177,Adrenal,C1orf216,0.9079456164969065,178
178,Adrenal,POLR2M,0.9075153061277227,179
179,Adrenal,FADD,0.9074762661469232,180
180,Adrenal,MAPK9,0.9073710562172517,181
181,Adrenal,ADAM10,0.9073640269020308,182
182,Adrenal,MEIS1,0.9070472860252432,183
183,Adrenal,ZNF331,0.9069991351113932,184
