,Tissue Name,Gene Name,Centrality,Rank
0,Kidney,COL16A1,1.0,1
1,Kidney,SERPINF1,0.9930630890933237,2
2,Kidney,SVEP1,0.9818833412767244,3
3,Kidney,SRPX2,0.9713727564657825,4
4,Kidney,BCL2L2,0.9650472568211061,5
5,Kidney,STEAP4,0.9642582173331531,6
6,Kidney,RP11-274B21.9,0.9620658157318929,7
7,Kidney,FMOD,0.9615115007440166,8
8,Kidney,USP19,0.9575327654774045,9
9,Kidney,PLOD3,0.9549600937913713,10
10,Kidney,PLCE1,0.9547317443236367,11
11,Kidney,PPP1R14A,0.9512690932092195,12
12,Kidney,C1R,0.9511296513546652,13
13,Kidney,NRIP2,0.9510578574941491,14
14,Kidney,COL8A1,0.9504452653544067,15
15,Kidney,GTF2H1,0.9501947887664209,16
16,Kidney,SMARCD3,0.9498164808728706,17
17,Kidney,USP5,0.9495895611054982,18
18,Kidney,ATP6V0D1,0.9463768920833505,19
19,Kidney,FKBP11,0.9459719825399895,20
20,Kidney,SPON1,0.9452540013476532,21
21,Kidney,LAMP2,0.9438497212785084,22
22,Kidney,SHKBP1,0.9438452360348308,23
23,Kidney,UGT1A9,0.9436370866660047,24
24,Kidney,CRNKL1,0.942865595907555,25
25,Kidney,SLC3A1,0.9417286390610031,26
26,Kidney,B4GAT1,0.9415266174749745,27
27,Kidney,PALLD,0.9413828467935929,28
28,Kidney,PCYOX1,0.9410188819445786,29
29,Kidney,RBM3,0.9407570981456588,30
30,Kidney,TMEM116,0.9406246940239226,31
31,Kidney,MYO5B,0.9389627488073751,32
32,Kidney,CENPO,0.9387283417441753,33
33,Kidney,ST6GALNAC3,0.9383370553394579,34
34,Kidney,SAMHD1,0.9382381851497874,35
35,Kidney,MIR100HG,0.9371460225047762,36
36,Kidney,FHL5,0.9370475703431991,37
37,Kidney,ZNF106,0.937043943520842,38
38,Kidney,PDLIM2,0.9368037729118462,39
39,Kidney,GGT5,0.9364341136151648,40
40,Kidney,SYS1,0.9363762406979409,41
41,Kidney,ASXL1,0.9354274955523856,42
42,Kidney,IGF1R,0.9347898689117478,43
43,Kidney,HUWE1,0.9347343563933522,44
44,Kidney,CMTM7,0.9346885661536766,45
45,Kidney,SPATA18,0.9345225934850266,46
46,Kidney,TNS1,0.9335334443125819,47
47,Kidney,ELL,0.9328483849129502,48
48,Kidney,HAT1,0.9325681345897058,49
49,Kidney,MESDC2,0.9319607978693855,50
50,Kidney,LINC00839,0.931723091018228,51
51,Kidney,CFAP97,0.9312587365705591,52
52,Kidney,CTSK,0.9310435339896332,53
53,Kidney,ADRA2A,0.9309278621014695,54
54,Kidney,SLC25A25-AS1,0.9307196873562237,55
55,Kidney,NR6A1,0.9305131490464047,56
56,Kidney,MLLT6,0.9298492601105414,57
57,Kidney,PES1,0.9297836640878449,58
58,Kidney,OGDH,0.9294938241860503,59
59,Kidney,ZNF550,0.928799093996726,60
60,Kidney,VLDLR,0.9286190152883774,61
61,Kidney,PYCR2,0.9285924073255096,62
62,Kidney,STAT5B,0.9284462765394739,63
63,Kidney,ASB1,0.9272664426234892,64
64,Kidney,ASPSCR1,0.9271314298962079,65
65,Kidney,RAB40A,0.92637859976,66
66,Kidney,RGS16,0.926309888787355,67
67,Kidney,LYSMD4,0.9263045044276761,68
68,Kidney,CDK13,0.9259025079619849,69
69,Kidney,XYLT2,0.9258062822371539,70
70,Kidney,PRDM11,0.9258017472039928,71
71,Kidney,NOP2,0.9254545854254106,72
72,Kidney,TXLNA,0.9250936684455939,73
73,Kidney,HTT,0.9245505889866413,74
74,Kidney,RP11-159D12.2,0.924525887097879,75
75,Kidney,GRB2,0.9241206395382323,76
76,Kidney,LAPTM4A,0.923757356847276,77
77,Kidney,GLB1,0.923468066582875,78
78,Kidney,RP9P,0.923467884743697,79
79,Kidney,ATG16L2,0.923264980087124,80
80,Kidney,HSPA1A,0.9230385739055904,81
81,Kidney,NDUFS3,0.9230130176685482,82
82,Kidney,VAMP5,0.9229523765757497,83
83,Kidney,SMARCA1,0.9228089750113654,84
84,Kidney,USP2,0.9223864545448254,85
85,Kidney,PLA2G4A,0.9222189778009666,86
86,Kidney,FH,0.9217437985167992,87
87,Kidney,TACC1,0.9215785318173906,88
88,Kidney,BRF1,0.9208646543551657,89
89,Kidney,DDX54,0.9203790636599003,90
