,Tissue Name,Gene Name,Centrality,Rank
0,Muscle,ATP1B1,1.0,1
1,Muscle,AHNAK,0.9945669896335152,2
2,Muscle,ASPA,0.9927357373401553,3
3,Muscle,CRTC3,0.9904666320299627,4
4,Muscle,RFC2,0.9853018225790036,5
5,Muscle,TBC1D4,0.9838730603020958,6
6,Muscle,CIRBP,0.9834187174791245,7
7,Muscle,UGP2,0.9833286322927585,8
8,Muscle,GTF3C1,0.9827593543915671,9
9,Muscle,ARHGEF10L,0.9818002437687269,10
10,Muscle,XPO1,0.9817283157239955,11
11,Muscle,GGA2,0.9814849897673895,12
12,Muscle,AKT2,0.9813204960333631,13
13,Muscle,OSGIN1,0.9809186763241778,14
14,Muscle,HACD1,0.9803336156547132,15
15,Muscle,SYNC,0.9793409276492172,16
16,Muscle,COQ8B,0.9786869978510413,17
17,Muscle,VPS13B,0.9784350653267392,18
18,Muscle,RFESD,0.9781012530107159,19
19,Muscle,TMEM135,0.9775758182708321,20
20,Muscle,BCOR,0.9773468421377676,21
21,Muscle,SSH1,0.9772036349662505,22
22,Muscle,DYRK1B,0.9770817094006855,23
23,Muscle,FLOT2,0.9769044403868498,24
24,Muscle,DENND2C,0.9766762508384236,25
25,Muscle,ZNF771,0.9765333828373276,26
26,Muscle,PRKAA2,0.9765187727980301,27
27,Muscle,MLIP,0.9764010089589759,28
28,Muscle,RPLP2,0.9762668193095361,29
29,Muscle,LIX1L,0.9762302851583465,30
30,Muscle,ST3GAL5,0.9759093364861551,31
31,Muscle,PTP4A3,0.9757444359745551,32
32,Muscle,G3BP2,0.9754337548916402,33
33,Muscle,TUBB2A,0.9753068749185678,34
34,Muscle,SPPL2B,0.9751835247003267,35
35,Muscle,SCN3B,0.9751286826413421,36
36,Muscle,SFMBT2,0.9748928810790655,37
37,Muscle,GLI1,0.9748722923489384,38
38,Muscle,OGT,0.9747994387682485,39
39,Muscle,DDR1,0.9745853834994463,40
40,Muscle,CDK5RAP2,0.9745253157697162,41
41,Muscle,ELMSAN1,0.9742898271135011,42
42,Muscle,PACS1,0.974266522805958,43
43,Muscle,KCTD11,0.9741258632328467,44
44,Muscle,TPPP2,0.9740640902818326,45
45,Muscle,ANXA11,0.9739283565806467,46
46,Muscle,NOG,0.9739270476024549,47
47,Muscle,UBL7,0.9738720111873154,48
48,Muscle,ZDHHC23,0.9736656962865918,49
49,Muscle,CNST,0.9736455718728854,50
50,Muscle,RPL30,0.9733465554671723,51
51,Muscle,USP32,0.9732926982327507,52
52,Muscle,DCN,0.9729623752699599,53
53,Muscle,JPH1,0.9725064143187512,54
54,Muscle,PDS5B,0.9724170877669921,55
55,Muscle,SGCB,0.9722454512179194,56
56,Muscle,IGFBP6,0.9721823318487441,57
57,Muscle,WHSC1,0.9719723835746633,58
58,Muscle,RPRD2,0.9719416499671174,59
59,Muscle,LMNA,0.9716462674734171,60
60,Muscle,GPAT4,0.9716197945933416,61
61,Muscle,AKAP9,0.9715111107387131,62
62,Muscle,DLGAP4,0.9714509898619726,63
63,Muscle,MAGED2,0.9711253881419415,64
64,Muscle,BCAT2,0.9710951184921764,65
65,Muscle,NDUFV2-AS1,0.9710303257680488,66
66,Muscle,ABCC9,0.9709563550954992,67
67,Muscle,RBSN,0.9707785819610676,68
68,Muscle,DST,0.9705789140700516,69
69,Muscle,FAM65B,0.9705316571945313,70
70,Muscle,PCBD2,0.9704124754138356,71
71,Muscle,LUC7L3,0.9703742774687375,72
72,Muscle,LRP1,0.9702460953898046,73
73,Muscle,TMEM55A,0.9702213322074186,74
74,Muscle,MAFG,0.9698063708446353,75
75,Muscle,CHMP5,0.9696971869268451,76
76,Muscle,FZD4,0.9696347339766257,77
