,Tissue Name,Gene Name,Centrality,Rank
0,Kidney,COL16A1,1.0,1
1,Kidney,TMEM82,0.9769437488777675,2
2,Kidney,XPR1,0.965461741765069,3
3,Kidney,SRGAP2,0.9582183524833809,4
4,Kidney,SLC45A1,0.9549754692806798,5
5,Kidney,MACF1,0.9526092223542979,6
6,Kidney,WASF2,0.9523528731051918,7
7,Kidney,EMILIN1,0.9485241273444829,8
8,Kidney,FMOD,0.9473163687500183,9
9,Kidney,TMEM63A,0.9466282296419488,10
10,Kidney,RP11-373D23.2,0.9464880063620799,11
11,Kidney,MARK1,0.9446181005218628,12
12,Kidney,KLHL17,0.9445194020494788,13
13,Kidney,TMCO1,0.9425187068650398,14
14,Kidney,DCAF8,0.9416146255596243,15
15,Kidney,PODN,0.9410856550201866,16
16,Kidney,ST6GALNAC3,0.9378946574998054,17
17,Kidney,BCAR3,0.9368585451122982,18
18,Kidney,NES,0.9364048643385124,19
19,Kidney,RPS8,0.9346535040365344,20
20,Kidney,CNN3,0.9333348852036621,21
21,Kidney,IGSF8,0.9320124655597386,22
22,Kidney,CDC14A,0.9314992816904684,23
23,Kidney,NEGR1,0.9307643746544357,24
24,Kidney,HAX1,0.9305242764071959,25
25,Kidney,CENPO,0.929877469884887,26
26,Kidney,SLC30A1,0.9293698605422671,27
27,Kidney,ACAP3,0.929316518843931,28
28,Kidney,CH17-437K3.1,0.9292508842285491,29
29,Kidney,AKR7A2,0.9289000037913163,30
30,Kidney,RPL11,0.9283870359918343,31
31,Kidney,TSSK3,0.9282611973380857,32
32,Kidney,MYCBP,0.9280367678147221,33
33,Kidney,PPP1R12B,0.927959311959986,34
34,Kidney,FH,0.9276529853205709,35
35,Kidney,C1orf132,0.9272087464434262,36
36,Kidney,ERRFI1,0.9267605204333847,37
37,Kidney,LINC01355,0.9261277975540554,38
38,Kidney,TMEM50A,0.9260782118363627,39
39,Kidney,SZT2,0.9260094717045175,40
40,Kidney,LRRC8D,0.9252460821133905,41
41,Kidney,DSTYK,0.9248440154129556,42
42,Kidney,RGS16,0.9247622416088597,43
43,Kidney,BTG2,0.9246728494717603,44
44,Kidney,TNNI1,0.9246034926977318,45
45,Kidney,TXLNA,0.9239686663105462,46
46,Kidney,PTPRC,0.9239555307295969,47
47,Kidney,MPC2,0.9238635914685894,48
48,Kidney,HADHB,0.9236629788960466,49
49,Kidney,CKS1B,0.9233445559888589,50
50,Kidney,PTPRF,0.9230518859648321,51
51,Kidney,PIGR,0.9224370665089835,52
52,Kidney,SDHB,0.922259166696117,53
53,Kidney,FAM89A,0.9216869463107302,54
54,Kidney,SSR2,0.9214126010812373,55
55,Kidney,AGO3,0.9210206923914653,56
56,Kidney,SMYD3,0.9207966477457915,57
57,Kidney,PLA2G4A,0.920790098999965,58
58,Kidney,HP1BP3,0.9202589816821439,59
59,Kidney,HAO2,0.9193874821945435,60
60,Kidney,ARHGEF11,0.9191398884176801,61
61,Kidney,C1orf122,0.9179149302651267,62
62,Kidney,RP11-456P18.2,0.9178442472230476,63
63,Kidney,PRDX6,0.9177348923527868,64
64,Kidney,SHC1,0.9176266948821441,65
65,Kidney,PEAR1,0.917067784702661,66
66,Kidney,DPT,0.9168263559642048,67
67,Kidney,AGMAT,0.9168095811858246,68
68,Kidney,SFPQ,0.9151472716224397,69
69,Kidney,SRSF10,0.9143188021106734,70
70,Kidney,TMED5,0.9136214638772318,71
71,Kidney,TARS2,0.9129409699349433,72
72,Kidney,IBA57,0.9129268094073036,73
73,Kidney,TMEM54,0.9120622834959344,74
74,Kidney,FBLIM1,0.9118282097172564,75
75,Kidney,ARHGAP29,0.9116704842640162,76
76,Kidney,ARF1,0.9115889049625833,77
77,Kidney,C1orf115,0.9114091824845727,78
78,Kidney,TEKT2,0.9112882805293716,79
79,Kidney,BATF3,0.9110421509434081,80
80,Kidney,F11R,0.9104090404511996,81
81,Kidney,RGS1,0.9102580826291308,82
82,Kidney,ZSWIM5,0.9096307454605037,83
83,Kidney,NEXN,0.9093473140945773,84
84,Kidney,MTMR9LP,0.9092557911629813,85
85,Kidney,FAM167B,0.9091829485484209,86
86,Kidney,FCAMR,0.9090111041554391,87
87,Kidney,PIGV,0.9087540500024163,88
88,Kidney,ANKRD35,0.9085183486257304,89
89,Kidney,NDUFS2,0.9080325186389143,90
90,Kidney,DIO1,0.907978353570993,91
91,Kidney,TRNP1,0.9075808025577851,92
92,Kidney,AKR7A3,0.9075621088851766,93
93,Kidney,SLC16A4,0.9071928999444562,94
94,Kidney,PPIH,0.9068429264756065,95
95,Kidney,C1orf53,0.9067065025673434,96
96,Kidney,ITSN2,0.9062533283140398,97
97,Kidney,TGFBR3,0.9058602266455827,98
98,Kidney,RAB13,0.9058077268323022,99
99,Kidney,SNX17,0.905794649379032,100
100,Kidney,EVI5,0.905084680872763,101
