,Tissue Name,Gene Name,Centrality,Rank
3023,Muscle,AHNAK,1.0,1
219,Muscle,ATP1B1,0.9943417618235865,2
44,Muscle,LMNA,0.9892375094332388,3
1649,Muscle,MAFG,0.9888091819836701,4
1639,Muscle,ASPA,0.9882181171054506,5
2365,Muscle,UGP2,0.9855976429688285,6
774,Muscle,GPAT4,0.9851341780940367,7
455,Muscle,OSGIN1,0.9849864865642012,8
734,Muscle,PSMC4,0.9801364497348843,9
2483,Muscle,MLIP,0.9800649420649333,10
2844,Muscle,MAGED2,0.9784684976900235,11
622,Muscle,CDK5RAP2,0.9777077971885152,12
2705,Muscle,AKAP9,0.9771075628644426,13
2186,Muscle,ZBED4,0.9766413363979565,14
742,Muscle,USP54,0.9758129437744725,15
3236,Muscle,FLOT2,0.9747078455939389,16
629,Muscle,PTP4A3,0.974482182506369,17
352,Muscle,CRTC3,0.973572399219838,18
314,Muscle,UHRF1BP1L,0.9722423061035718,19
2110,Muscle,UBL7,0.9714942436359775,20
1890,Muscle,USP32,0.9711080155401027,21
1472,Muscle,COQ8B,0.9708123568864604,22
2655,Muscle,SFMBT2,0.9707165140142117,23
1237,Muscle,FZD4,0.9703550026652314,24
182,Muscle,RFESD,0.9700968573987674,25
3682,Muscle,RFX1,0.9694125384571952,26
1942,Muscle,RFC2,0.9693905932777598,27
3109,Muscle,LUC7L3,0.9692317420595493,28
1643,Muscle,TMEM135,0.9692009157745353,29
2469,Muscle,SPATS2L,0.9689247393172984,30
128,Muscle,RAB11FIP3,0.9688054470027085,31
1188,Muscle,ARVCF,0.9687900734467801,32
2955,Muscle,JARID2,0.9686725980354002,33
2999,Muscle,ANKH,0.9685742674561153,34
2555,Muscle,FNBP1,0.9684370154205131,35
2315,Muscle,MED22,0.9677955312135803,36
3263,Muscle,CIRBP,0.967611450954857,37
1650,Muscle,ELMSAN1,0.9671759711169186,38
1411,Muscle,CERS6,0.9670971019688595,39
62,Muscle,RPL29,0.9670112922214935,40
1065,Muscle,HSPB2,0.9660987741476917,41
1037,Muscle,SPPL2B,0.9660964188313286,42
165,Muscle,SGCB,0.9660849917191462,43
3452,Muscle,SCN3B,0.9658148584910424,44
3700,Muscle,RBSN,0.965730140296084,45
2727,Muscle,TMEM55A,0.9656734628465528,46
840,Muscle,LRP1,0.9656005731655424,47
1923,Muscle,PARP3,0.9655612161992688,48
3190,Muscle,YWHAH,0.9654484707977721,49
3692,Muscle,KCTD11,0.9651833702489298,50
1227,Muscle,SSH1,0.964993699149435,51
94,Muscle,MYO5A,0.9648689565031069,52
3193,Muscle,LIX1L,0.9647178653265607,53
2375,Muscle,CACNB1,0.9643251644778503,54
2456,Muscle,TRIOBP,0.9637268694772969,55
893,Muscle,FKBP3,0.9636222081677486,56
1561,Muscle,MAP4,0.9635438243519755,57
1815,Muscle,MAFA,0.9634552240355504,58
759,Muscle,DYRK1B,0.9634337819047071,59
3297,Muscle,TMEM261,0.9633686093215073,60
599,Muscle,PADI2,0.9631992808243186,61
481,Muscle,TOR1AIP1,0.9630364591872739,62
291,Muscle,SH3GLB2,0.9630058307587446,63
260,Muscle,WDPCP,0.9629389989336804,64
1285,Muscle,RP11-96L14.7,0.9628597559267686,65
2406,Muscle,PPTC7,0.9626929136558697,66
2650,Muscle,POLR3B,0.9624173999868212,67
317,Muscle,ASB12,0.9623811942553394,68
2162,Muscle,CTSA,0.9623788402647652,69
2957,Muscle,MAF,0.9622813896503497,70
3401,Muscle,RPUSD1,0.962239698360779,71
845,Muscle,HPGD,0.9621059708991899,72
1991,Muscle,MACROD2,0.9620025905295122,73
1811,Muscle,COL28A1,0.961980594783529,74
2499,Muscle,UST,0.9617703658502952,75
442,Muscle,TPPP2,0.9617095084364503,76
3282,Muscle,NEDD8,0.9614013301485588,77
787,Muscle,RPAP3,0.9613429549091737,78
3717,Muscle,DCN,0.9613377221587296,79
2187,Muscle,HPCAL1,0.9613084027181155,80
1901,Muscle,HACD1,0.9612345828138671,81
1889,Muscle,C14orf1,0.9612323750980887,82
750,Muscle,CFH,0.9610933454655074,83
3306,Muscle,TUBB2A,0.9609315651115297,84
2229,Muscle,G3BP2,0.960911467819684,85
3524,Muscle,ANGPTL2,0.9606427808105397,86
3681,Muscle,TNKS1BP1,0.960618748081995,87
3194,Muscle,PFKFB2,0.9605864930316285,88
1399,Muscle,FREM2,0.9605349946470598,89
2176,Muscle,HID1,0.9604208331060966,90
2511,Muscle,LMO7,0.9604081129206236,91
2098,Muscle,NPC2,0.9602142007853788,92
437,Muscle,RPS12,0.9601436484342568,93
95,Muscle,PRKAA2,0.9596898181725617,94
3739,Muscle,NUPR1,0.9596185200570847,95
2213,Muscle,TPD52L1,0.9595478594294569,96
792,Muscle,ZDHHC23,0.9593091138517816,97
3553,Muscle,RPLP2,0.9591626745216437,98
86,Muscle,SNHG14,0.9591596010148364,99
826,Muscle,BCAT2,0.9591469447109381,100
2681,Muscle,ABT1,0.9587678241173715,101
65,Muscle,SERPINB6,0.9587579401624333,102
3096,Muscle,ZCCHC3,0.9587186226918228,103
2457,Muscle,ST13,0.9586732211976575,104
2850,Muscle,NEK9,0.9584053843962355,105
3288,Muscle,PMP22,0.9583932170346913,106
2342,Muscle,ARHGEF11,0.9583796980741814,107
1430,Muscle,ZNF517,0.9582756464586192,108
1863,Muscle,EMD,0.9582711832833545,109
653,Muscle,KLHL29,0.9581874780678871,110
2993,Muscle,TSPAN15,0.9580429626075722,111
3532,Muscle,CALCRL,0.9580063076519445,112
1090,Muscle,MYOC,0.9579941925823501,113
2803,Muscle,CHMP5,0.9579236969479514,114
1332,Muscle,ZER1,0.9577961610326714,115
2014,Muscle,RPL30,0.9577122139224677,116
3173,Muscle,DDR1,0.9576331521403746,117
1671,Muscle,TDRKH,0.9576312392277408,118
531,Muscle,NT5DC2,0.957571816043927,119
1670,Muscle,ANXA7,0.9575228069379618,120
2652,Muscle,ZNF134,0.9573815957389005,121
1955,Muscle,ABCC9,0.9573046592789249,122
1350,Muscle,MRVI1,0.957257862738086,123
1076,Muscle,ZFP41,0.9571873816373877,124
2968,Muscle,RPE,0.9571855114375396,125
2267,Muscle,ADGRE5,0.9571077135631552,126
3742,Muscle,NAPA,0.9570615897629627,127
3655,Muscle,OBFC1,0.9570500602488653,128
2112,Muscle,BCOR,0.9569977963986851,129
1320,Muscle,ZNF587B,0.9567963094024898,130
1199,Muscle,TRIM16L,0.9567219675127708,131
2285,Muscle,SRSF7,0.9565801627827641,132
1352,Muscle,FAM127C,0.956513280284187,133
1333,Muscle,ZNF189,0.9564825843740501,134
3597,Muscle,TUBB,0.9564519371483129,135
3729,Muscle,ST14,0.9561497843786774,136
2306,Muscle,BAG2,0.9560799273057626,137
3615,Muscle,MECP2,0.9560739517862389,138
2102,Muscle,DUS2,0.9560457667833379,139
908,Muscle,LSM5,0.9560019100323339,140
325,Muscle,UBE2V2,0.9558276492908016,141
3531,Muscle,VPS13C,0.9557968284184509,142
3108,Muscle,GPR37,0.9557700614246838,143
2140,Muscle,CD24,0.9556966361533108,144
3710,Muscle,SUGP2,0.9556859495856126,145
1151,Muscle,PKNOX2,0.9555700282993348,146
1056,Muscle,STK36,0.955558203029738,147
558,Muscle,ACAD9,0.9555153731947652,148
1309,Muscle,BACH2,0.9553792861070087,149
3490,Muscle,TPPP,0.9551101451588276,150
3393,Muscle,MSMO1,0.9550715702214705,151
2508,Muscle,FAM219B,0.9550537932499755,152
1905,Muscle,PCBD2,0.954978430520253,153
1252,Muscle,CLSTN1,0.954933868565273,154
748,Muscle,EPG5,0.954858928998497,155
3354,Muscle,COMTD1,0.9547539947516378,156
520,Muscle,MRPS6,0.9547348859154053,157
444,Muscle,SNRPN,0.954722507848914,158
1135,Muscle,ARRDC3,0.9546322880844781,159
2692,Muscle,RPL32,0.9545995923965317,160
2061,Muscle,ASPH,0.9545918541845911,161
2154,Muscle,DNAJC30,0.9545789170086874,162
75,Muscle,ITSN1,0.954521839254281,163
1993,Muscle,MAP2K6,0.9544540265420468,164
131,Muscle,RPL19,0.9544154091792606,165
2023,Muscle,PDE7A,0.9544043498414715,166
2215,Muscle,MRAS,0.9543480917869326,167
950,Muscle,SPINT2,0.954325637669481,168
3301,Muscle,FAM131A,0.954317280138555,169
3343,Muscle,MTCO1P12,0.9543029139245179,170
129,Muscle,STRIP1,0.9542207643299129,171
2730,Muscle,REV1,0.9542144083193865,172
2459,Muscle,VGLL4,0.9541609737344903,173
335,Muscle,ST3GAL5,0.9541382181484048,174
3662,Muscle,EEF2K,0.9541279900448013,175
3084,Muscle,AKT2,0.9538694520033779,176
1809,Muscle,HN1L,0.9536951520223597,177
1300,Muscle,PWAR5,0.9536945398138355,178
1364,Muscle,KIAA1456,0.9536732772633925,179
2876,Muscle,ARHGEF10L,0.9536551415367598,180
1706,Muscle,OTUD7A,0.953639073727088,181
289,Muscle,JPH1,0.9535608579688252,182
127,Muscle,SPATA2L,0.9535583213666293,183
3321,Muscle,PKDCC,0.9533609712328236,184
1510,Muscle,ZNF234,0.9533035290737721,185
1517,Muscle,RCSD1,0.9532040766412223,186
2304,Muscle,NDUFB9,0.9532023313259038,187
2164,Muscle,ADH5,0.9530144217283276,188
2057,Muscle,KCNB1,0.9529560886944812,189
932,Muscle,TTBK2,0.9529308533439729,190
1367,Muscle,RBPJ,0.9528689004173175,191
2947,Muscle,SLC16A1,0.9528593181486629,192
1833,Muscle,SCFD2,0.9527631871068586,193
2851,Muscle,KIF5C,0.9527252448522899,194
13,Muscle,ASCC2,0.9527226019051797,195
