,Tissue Name,Gene Name,Centrality,Rank
3056,Muscle,AHNAK,1.0,1
3127,Muscle,ATP1B1,0.9943417618235865,2
549,Muscle,LMNA,0.9892375094332376,3
1724,Muscle,MAFG,0.9888091819836675,4
3400,Muscle,ASPA,0.9882181171054502,5
724,Muscle,UGP2,0.9855976429688267,6
156,Muscle,GPAT4,0.9851341780940365,7
2496,Muscle,OSGIN1,0.9849864865642005,8
60,Muscle,PSMC4,0.9801364497348852,9
1049,Muscle,MLIP,0.9800649420649331,10
2997,Muscle,MAGED2,0.9784684976900223,11
1696,Muscle,CDK5RAP2,0.9777077971885142,12
1282,Muscle,AKAP9,0.9771075628644416,13
2693,Muscle,ZBED4,0.9766413363979559,14
3575,Muscle,USP54,0.9758129437744698,15
1202,Muscle,FLOT2,0.9747078455939381,16
574,Muscle,PTP4A3,0.9744821825063659,17
636,Muscle,CRTC3,0.9735723992198385,18
2679,Muscle,UHRF1BP1L,0.9722423061035709,19
2555,Muscle,UBL7,0.9714942436359746,20
1733,Muscle,USP32,0.9711080155401037,21
524,Muscle,COQ8B,0.9708123568864625,22
2042,Muscle,SFMBT2,0.9707165140142102,23
2429,Muscle,FZD4,0.9703550026652319,24
3100,Muscle,RFESD,0.9700968573987651,25
3462,Muscle,RFX1,0.9694125384571961,26
3667,Muscle,RFC2,0.969390593277757,27
1130,Muscle,LUC7L3,0.9692317420595497,28
1362,Muscle,TMEM135,0.9692009157745336,29
2420,Muscle,SPATS2L,0.968924739317297,30
1718,Muscle,RAB11FIP3,0.9688054470027075,31
1176,Muscle,ARVCF,0.9687900734467813,32
318,Muscle,JARID2,0.9686725980353997,33
1333,Muscle,ANKH,0.968574267456116,34
1100,Muscle,FNBP1,0.9684370154205132,35
2016,Muscle,MED22,0.9677955312135809,36
1913,Muscle,CIRBP,0.9676114509548548,37
3276,Muscle,ELMSAN1,0.9671759711169177,38
3243,Muscle,CERS6,0.967097101968858,39
467,Muscle,RPL29,0.967011292221491,40
2430,Muscle,HSPB2,0.966098774147691,41
915,Muscle,SPPL2B,0.9660964188313297,42
1351,Muscle,SGCB,0.966084991719144,43
399,Muscle,SCN3B,0.9658148584910428,44
2475,Muscle,RBSN,0.9657301402960862,45
58,Muscle,TMEM55A,0.9656734628465508,46
1499,Muscle,LRP1,0.9656005731655407,47
116,Muscle,PARP3,0.965561216199268,48
1844,Muscle,YWHAH,0.9654484707977726,49
2290,Muscle,KCTD11,0.9651833702489284,50
1356,Muscle,SSH1,0.9649936991494336,51
3651,Muscle,MYO5A,0.9648689565031073,52
2926,Muscle,LIX1L,0.9647178653265615,53
120,Muscle,CACNB1,0.9643251644778502,54
1546,Muscle,TRIOBP,0.9637268694772945,55
1541,Muscle,FKBP3,0.9636222081677465,56
1239,Muscle,MAP4,0.9635438243519732,57
241,Muscle,MAFA,0.9634552240355498,58
1196,Muscle,DYRK1B,0.963433781904706,59
752,Muscle,TMEM261,0.9633686093215065,60
3520,Muscle,PADI2,0.9631992808243204,61
2614,Muscle,TOR1AIP1,0.9630364591872722,62
228,Muscle,SH3GLB2,0.9630058307587442,63
2726,Muscle,WDPCP,0.9629389989336815,64
3092,Muscle,RP11-96L14.7,0.9628597559267672,65
2895,Muscle,PPTC7,0.9626929136558688,66
3502,Muscle,POLR3B,0.9624173999868194,67
1642,Muscle,ASB12,0.9623811942553375,68
2226,Muscle,CTSA,0.9623788402647655,69
411,Muscle,MAF,0.962281389650348,70
345,Muscle,RPUSD1,0.96223969836078,71
2656,Muscle,HPGD,0.9621059708991887,72
3764,Muscle,MACROD2,0.9620025905295098,73
3743,Muscle,COL28A1,0.9619805947835287,74
1324,Muscle,UST,0.9617703658502945,75
1984,Muscle,TPPP2,0.9617095084364489,76
1904,Muscle,NEDD8,0.9614013301485592,77
96,Muscle,RPAP3,0.9613429549091724,78
2812,Muscle,DCN,0.9613377221587288,79
1861,Muscle,HPCAL1,0.9613084027181152,80
937,Muscle,HACD1,0.9612345828138673,81
1716,Muscle,C14orf1,0.9612323750980875,82
3761,Muscle,CFH,0.9610933454655064,83
1083,Muscle,TUBB2A,0.9609315651115287,84
955,Muscle,G3BP2,0.9609114678196826,85
1869,Muscle,ANGPTL2,0.9606427808105401,86
2948,Muscle,TNKS1BP1,0.9606187480819954,87
1578,Muscle,PFKFB2,0.9605864930316281,88
833,Muscle,FREM2,0.9605349946470594,89
246,Muscle,HID1,0.9604208331060952,90
3549,Muscle,LMO7,0.9604081129206241,91
2112,Muscle,NPC2,0.9602142007853773,92
2920,Muscle,RPS12,0.9601436484342571,93
2633,Muscle,PRKAA2,0.9596898181725616,94
3225,Muscle,NUPR1,0.9596185200570835,95
140,Muscle,TPD52L1,0.9595478594294549,96
1156,Muscle,ZDHHC23,0.9593091138517795,97
952,Muscle,RPLP2,0.9591626745216442,98
412,Muscle,SNHG14,0.959159601014834,99
1990,Muscle,BCAT2,0.9591469447109389,100
63,Muscle,ABT1,0.958767824117369,101
3143,Muscle,SERPINB6,0.9587579401624348,102
1445,Muscle,ZCCHC3,0.9587186226918246,103
1729,Muscle,ST13,0.9586732211976559,104
584,Muscle,NEK9,0.9584053843962342,105
3754,Muscle,PMP22,0.9583932170346893,106
3486,Muscle,ARHGEF11,0.9583796980741814,107
3530,Muscle,ZNF517,0.9582756464586197,108
1811,Muscle,EMD,0.9582711832833563,109
1530,Muscle,KLHL29,0.9581874780678873,110
481,Muscle,TSPAN15,0.9580429626075708,111
364,Muscle,CALCRL,0.9580063076519438,112
3758,Muscle,MYOC,0.9579941925823514,113
2130,Muscle,CHMP5,0.957923696947951,114
2209,Muscle,ZER1,0.9577961610326708,115
3733,Muscle,RPL30,0.9577122139224677,116
1350,Muscle,DDR1,0.9576331521403718,117
1201,Muscle,TDRKH,0.9576312392277395,118
131,Muscle,NT5DC2,0.957571816043926,119
3391,Muscle,ANXA7,0.9575228069379622,120
497,Muscle,ZNF134,0.9573815957389015,121
396,Muscle,ABCC9,0.9573046592789266,122
3133,Muscle,MRVI1,0.9572578627380849,123
3680,Muscle,ZFP41,0.9571873816373864,124
1345,Muscle,RPE,0.9571855114375392,125
21,Muscle,ADGRE5,0.9571077135631558,126
3508,Muscle,NAPA,0.9570615897629622,127
3708,Muscle,OBFC1,0.9570500602488647,128
2800,Muscle,BCOR,0.956997796398683,129
2297,Muscle,ZNF587B,0.9567963094024904,130
1244,Muscle,TRIM16L,0.95672196751277,131
232,Muscle,SRSF7,0.9565801627827645,132
1852,Muscle,FAM127C,0.9565132802841873,133
3335,Muscle,ZNF189,0.9564825843740483,134
2780,Muscle,TUBB,0.9564519371483134,135
