,Tissue Name,Gene Name,Centrality,Rank
1582,Breast,ADNP-AS1,1.0,1
533,Breast,EVC,0.9989054287958316,2
3271,Breast,AARD,0.9982055458893919,3
2837,Breast,EIF4ENIF1,0.9971424350974499,4
1871,Breast,ZHX3,0.9962020120685352,5
2531,Breast,RP11-158I9.5,0.9942326076117806,6
2011,Breast,PRODH,0.9931878042563321,7
3625,Breast,AC091729.9,0.9921792733127678,8
1571,Breast,CHDH,0.9913213890220057,9
38,Breast,UTP11,0.9911966647261874,10
1961,Breast,AC093616.4,0.9899445311374859,11
837,Breast,CCM2L,0.9898892651744851,12
862,Breast,PLEKHG1,0.9897213425776991,13
3576,Breast,GLI3,0.9892013180045537,14
1607,Breast,EIF4E2,0.9877024458174981,15
406,Breast,GABRG1,0.9867730168136482,16
3165,Breast,SURF2,0.9866782435947999,17
1303,Breast,CALCOCO1,0.9865559266057391,18
708,Breast,SWSAP1,0.9865380445355453,19
361,Breast,RMST,0.9864918965401779,20
3139,Breast,CSF1,0.9863319587441552,21
980,Breast,CA12,0.9863068205505949,22
2616,Breast,CCSAP,0.9862305899039354,23
420,Breast,HGD,0.9862059390115906,24
88,Breast,USP28,0.9860994282822773,25
1214,Breast,CAMP,0.9859497312326798,26
1478,Breast,ANKZF1,0.9855347951373444,27
171,Breast,CECR1,0.9854581898789881,28
2594,Breast,TMEM63A,0.9854361988865603,29
647,Breast,ACAP1,0.9854285821450597,30
3641,Breast,TMX3,0.9853063947406837,31
326,Breast,WEE1,0.9849772799481075,32
3310,Breast,DPYSL3,0.9848170980152391,33
838,Breast,RP11-489D6.2,0.9846862666702628,34
1169,Breast,GAN,0.9846190861405403,35
410,Breast,TNKS,0.9845262156318142,36
3361,Breast,OR7E14P,0.9844759073716082,37
3105,Breast,ACBD6,0.9840612191085414,38
192,Breast,ESRP2,0.9840089722900944,39
3097,Breast,PSMB3,0.9839783993871082,40
1762,Breast,RP1-152L7.5,0.9838361429322109,41
3134,Breast,ZNF236,0.9837224018578625,42
2059,Breast,TRMT1,0.9836567386865603,43
955,Breast,RP11-613D13.8,0.9834729170942571,44
1668,Breast,RP5-940J5.6,0.9834395236305611,45
3436,Breast,CDKL1,0.9830124424607647,46
27,Breast,CDKN1B,0.9828275395185373,47
2713,Breast,HAX1,0.9828172173364367,48
2464,Breast,FAM118B,0.9827114994273483,49
2889,Breast,KCNK1,0.9825896244370981,50
2037,Breast,AC004540.5,0.9821930733811091,51
3129,Breast,SLCO4A1,0.9821195303386097,52
1860,Breast,USO1,0.9821130427099433,53
1708,Breast,MRPS25,0.9818311557366448,54
2469,Breast,TTI2,0.9816724172835425,55
2725,Breast,LINC00982,0.9814463439675393,56
2026,Breast,RPL10,0.9813082026010769,57
3000,Breast,DKK2,0.981027609995895,58
3594,Breast,RP11-91P24.6,0.980694555064067,59
2233,Breast,POLH,0.9806441454716274,60
2262,Breast,SFRP2,0.9801226462260672,61
156,Breast,LINC00961,0.9800803881399714,62
3820,Breast,BDKRB2,0.9800045239781121,63
2774,Breast,TSPAN32,0.9799660048582012,64
3252,Breast,RHOU,0.9799621615923537,65
2292,Breast,CTD-3105H18.4,0.9798897650461968,66
1335,Breast,C5orf30,0.9793244060540285,67
492,Breast,IL20RA,0.9792923484058724,68
2024,Breast,C15orf59,0.9792700676371637,69
1370,Breast,APOBEC3D,0.9790965824793124,70
1998,Breast,SEMA6A-AS1,0.9790906688005968,71
3322,Breast,PLIN1,0.9790270298229304,72
1693,Breast,ZFAND2A,0.9790153832522387,73
525,Breast,RP4-591C20.9,0.9789546065722153,74
42,Breast,C4orf3,0.9789538571048387,75
1720,Breast,C9orf116,0.9788966500075869,76
562,Breast,RP11-517P14.2,0.9787374254544742,77
3429,Breast,DTD1,0.9787120984480296,78
1865,Breast,BUD31,0.9786644119963975,79
1220,Breast,LINC00882,0.9786435512185412,80
830,Breast,KCTD20,0.9785734147753724,81
2480,Breast,PLAC9,0.9785044032783745,82
90,Breast,TTLL4,0.9784062634648314,83
3217,Breast,CCDC188,0.9783930244558473,84
1541,Breast,THOC1,0.9783643730524423,85
1662,Breast,SOX9-AS1,0.9781793345529965,86
127,Breast,SEPHS2,0.9781317105317255,87
134,Breast,LINC01296,0.9780791880326887,88
83,Breast,RPLP0,0.9780675503037864,89
822,Breast,TAF7L,0.9780469711654516,90
2053,Breast,TNKS1BP1,0.9780447453605998,91
2521,Breast,IMPA2,0.9779599619490713,92
2465,Breast,PARP16,0.9776583305389339,93
3774,Breast,HPF1,0.9774761174640083,94
407,Breast,TBCCD1,0.9773665310244172,95
2882,Breast,DPY19L1P1,0.9773504075782672,96
2449,Breast,YPEL5,0.97733287348895,97
1290,Breast,HTATSF1,0.9772881247347125,98
1570,Breast,IMPG1,0.9770218124995583,99
1298,Breast,ANP32B,0.9769611798685639,100
3373,Breast,DPH6-AS1,0.9769092101622913,101
3141,Breast,GALNT11,0.9768957612557642,102
1645,Breast,IMMP2L,0.9767230998198365,103
65,Breast,RP11-165F24.3,0.976714674522315,104
310,Breast,ANKRD42,0.976542488136597,105
3557,Breast,LHFPL1,0.9765230481235097,106
131,Breast,CTD-2331H12.7,0.9765178813988593,107
149,Breast,POMT2,0.9764400274766385,108
3679,Breast,RP11-159D12.8,0.9763087972749147,109
421,Breast,XIST,0.9762976441032024,110
1503,Breast,ARHGEF26,0.9762411005493781,111
176,Breast,MRFAP1L1,0.9762137996400868,112
1000,Breast,TRIM11,0.9761374408959138,113
1722,Breast,MGAT1,0.9760464675881559,114
1279,Breast,DAXX,0.9759787173678055,115
2071,Breast,UAP1L1,0.9759091795981814,116
1389,Breast,SERINC3,0.9758196295018045,117
1160,Breast,SYT17,0.9756417058592696,118
2352,Breast,TP53RK,0.9754940891445875,119
3489,Breast,ECSIT,0.9754404045474847,120
1689,Breast,BOLA3-AS1,0.975204100522617,121
2219,Breast,ARL10,0.9751060963445427,122
3532,Breast,MED27,0.9750558562586181,123
3505,Breast,TTC9C,0.9750196571497265,124
808,Breast,CRAMP1,0.974974229146841,125
1612,Breast,GNPDA2,0.9746701239950588,126
3795,Breast,PQLC3,0.9746583461014218,127
2916,Breast,TPM3,0.97460526378227,128
3066,Breast,EIF2S2,0.9745555492258693,129
3071,Breast,ANXA2,0.9743973483334918,130
1238,Breast,TOP1MT,0.9743084422006737,131
3374,Breast,ADGRA3,0.9742364245528843,132
1196,Breast,TNRC6B,0.9741931503767197,133
3118,Breast,DCLK2,0.9741756921077115,134
2975,Breast,TDG,0.9741386312757475,135
1470,Breast,KMT5C,0.97393674314817,136
1811,Breast,TUBA4A,0.9738077879037753,137
3060,Breast,TNK2,0.9736923823210137,138
