,Tissue Name,Gene Name,Centrality,Rank
0,Kidney,COL16A1,1.0,1
1,Kidney,TMEM82,0.9839644483816621,2
2,Kidney,XPR1,0.9703162105172104,3
3,Kidney,WASF2,0.9626161779941171,4
4,Kidney,SRGAP2,0.9587624008431694,5
5,Kidney,MACF1,0.9557355205055499,6
6,Kidney,SLC45A1,0.9552152294275319,7
7,Kidney,TMEM63A,0.9542527367489185,8
8,Kidney,CAPN2,0.9531432163328051,9
9,Kidney,DCAF8,0.9513780376791673,10
10,Kidney,KLHL17,0.95081036437297,11
11,Kidney,FMOD,0.9497862810495045,12
12,Kidney,MARK1,0.9479500751140021,13
13,Kidney,ST6GALNAC3,0.9447025042917198,14
14,Kidney,NES,0.9432858353590863,15
15,Kidney,PODN,0.9427535104742845,16
16,Kidney,HAX1,0.9425634736514769,17
17,Kidney,TMCO1,0.942248187129186,18
18,Kidney,CNN3,0.9417165337947886,19
19,Kidney,AKR7A2,0.9387200906102185,20
20,Kidney,IGSF8,0.9385643047929005,21
21,Kidney,BCAR3,0.9363790321846447,22
22,Kidney,PTPRF,0.9363565700286259,23
23,Kidney,RPS8,0.9350892342780307,24
24,Kidney,TSSK3,0.9349776599741085,25
25,Kidney,TNNI1,0.9341897004619855,26
26,Kidney,ACAP3,0.9340575229363323,27
27,Kidney,MYCBP,0.9339171165984694,28
28,Kidney,PPP1R12B,0.9329745730582245,29
29,Kidney,CENPO,0.9319876595127261,30
30,Kidney,CDC14A,0.9319826686376727,31
31,Kidney,RPL11,0.9314563856507853,32
32,Kidney,ERRFI1,0.9310185551402969,33
33,Kidney,CH17-437K3.1,0.930786020166732,34
34,Kidney,SHC1,0.9299728311788694,35
35,Kidney,HP1BP3,0.9297721183100631,36
36,Kidney,SLC30A1,0.929681998392217,37
37,Kidney,NEGR1,0.9293173115716066,38
38,Kidney,ARHGEF11,0.9288014495319566,39
39,Kidney,PTPRC,0.9286777627753307,40
40,Kidney,PIGR,0.9282564561705751,41
41,Kidney,SZT2,0.9282437826642653,42
42,Kidney,TXLNA,0.9275882053666288,43
43,Kidney,C1orf132,0.9275164368958527,44
44,Kidney,RP11-456P18.2,0.9272834277903184,45
45,Kidney,LINC01355,0.9267789737809277,46
46,Kidney,C1orf122,0.9256112287654575,47
47,Kidney,AGO3,0.9255648556465921,48
48,Kidney,DSTYK,0.9255582573672197,49
49,Kidney,CKS1B,0.9254229095903151,50
50,Kidney,FAM229A,0.925181946948796,51
51,Kidney,BTG2,0.9248983193433963,52
52,Kidney,RGS16,0.9248598347187257,53
53,Kidney,FH,0.9246156154028222,54
54,Kidney,PEAR1,0.9245890006599624,55
55,Kidney,AGRN,0.9244748361366548,56
56,Kidney,LRRC8D,0.9234318102837773,57
57,Kidney,SMYD3,0.9232714755658896,58
58,Kidney,SRSF10,0.9231596921202403,59
59,Kidney,FAM89A,0.9231294929693639,60
60,Kidney,SDHB,0.9230567388652908,61
61,Kidney,DPT,0.9230320908986369,62
62,Kidney,ARHGAP29,0.9226329468468649,63
63,Kidney,HAO2,0.9224485826332958,64
64,Kidney,TMEM50A,0.9223957247890133,65
65,Kidney,ARF1,0.921834275063542,66
66,Kidney,TARS2,0.9215486399571562,67
67,Kidney,SSR2,0.921529135030025,68
68,Kidney,IBA57,0.9214383725660614,69
69,Kidney,ZSWIM5,0.9211488979055956,70
70,Kidney,PRDX6,0.9211147490555097,71
71,Kidney,PLA2G4A,0.9210266899081411,72
72,Kidney,MPC2,0.9209914515368369,73
73,Kidney,SFPQ,0.9205883806347472,74
74,Kidney,NDUFS2,0.9205564106629726,75
75,Kidney,PEA15,0.9204261014063807,76
76,Kidney,FAM167B,0.9180754597806554,77
77,Kidney,BATF3,0.9179775040979167,78
78,Kidney,TEKT2,0.917857877069484,79
79,Kidney,RAB13,0.9177696246756263,80
80,Kidney,F11R,0.9173980985384711,81
81,Kidney,RP4-635E18.8,0.916992800948775,82
82,Kidney,MFN2,0.9165686459293564,83
83,Kidney,PIGV,0.9164013127724135,84
84,Kidney,TMED5,0.9147762853218235,85
85,Kidney,C1orf115,0.914709231932717,86
86,Kidney,TMEM57,0.9146915760105653,87
87,Kidney,NEXN,0.9133874167888456,88
88,Kidney,KIRREL,0.9133662179954704,89
89,Kidney,SRM,0.9131584138732967,90
90,Kidney,TMEM54,0.9131553437148656,91
91,Kidney,MTMR9LP,0.9129052819476717,92
92,Kidney,TRNP1,0.9126935724851598,93
93,Kidney,ITSN2,0.9123753854329159,94
94,Kidney,AGMAT,0.9122278050249747,95
95,Kidney,ANKRD35,0.9122103757733934,96
96,Kidney,LMOD1,0.9119454278022258,97
97,Kidney,DIO1,0.9118170868616831,98
98,Kidney,RGS1,0.9116610261310426,99
99,Kidney,PPIH,0.9115136263894116,100
100,Kidney,RP11-307C12.12,0.9110461336580973,101
101,Kidney,TMEM88B,0.91093835262526,102
102,Kidney,RP5-1074L1.4,0.9109316674816756,103
103,Kidney,MOV10,0.9108036777195966,104
104,Kidney,C1orf53,0.9106787743902558,105
105,Kidney,FCAMR,0.9103103536962529,106
106,Kidney,RC3H1,0.9102560181395769,107
107,Kidney,PEX11B,0.9101421489751008,108
108,Kidney,TOR1AIP1,0.9099029340384379,109
109,Kidney,DAP3,0.9094209108214593,110
110,Kidney,PIGC,0.9093311289711029,111
111,Kidney,SDC1,0.9087232221295112,112
112,Kidney,SLC41A1,0.9086528290774352,113
113,Kidney,CDC7,0.9086515664541842,114
114,Kidney,HS6ST1P1,0.9085870314488093,115
115,Kidney,TGFBR3,0.9082106152425333,116
116,Kidney,STX12,0.907813435333231,117
117,Kidney,HPCAL1,0.9076232352306315,118
118,Kidney,SLC16A4,0.9070340525266003,119
119,Kidney,MTFR1L,0.9066880712122154,120
120,Kidney,ATP5F1,0.9064228848466973,121
121,Kidney,PRMT6,0.9063072003908051,122
122,Kidney,PSMB2,0.9061778254341382,123
123,Kidney,EVI5,0.9059543792713396,124
124,Kidney,JAK1,0.9059172076041836,125
125,Kidney,S100A4,0.9052189773010914,126
126,Kidney,RP5-1139B12.4,0.9049962392145761,127
127,Kidney,AGTRAP,0.9044268588211558,128
128,Kidney,WDTC1,0.9044174239468944,129
129,Kidney,ILDR2,0.9038796593233432,130
130,Kidney,ADORA1,0.9037727083413313,131
131,Kidney,LINC00467,0.9036651358458138,132
132,Kidney,MTX1,0.9036260624643186,133
133,Kidney,AKR7A3,0.9032624331877269,134
134,Kidney,RSBN1,0.9029167168919854,135
135,Kidney,ODF2L,0.9026229422899934,136
