,Tissue Name,Gene Name,Centrality,Rank
0,Adipose,LRRC59,1.0,1
1,Adipose,ZNF771,0.9999117112201876,2
2,Adipose,FSTL1,0.9994927740959796,3
3,Adipose,ORC2,0.9969881927898399,4
4,Adipose,CEBPD,0.9909877616087039,5
5,Adipose,TMEM160,0.9907383392277737,6
6,Adipose,SRSF1,0.9893452124418173,7
7,Adipose,CELF6,0.9870191418377363,8
8,Adipose,APOLD1,0.9820795726313938,9
9,Adipose,KDELR2,0.9818294296093968,10
10,Adipose,AP1G1,0.9804951829272726,11
11,Adipose,TPGS1,0.9796646211933399,12
12,Adipose,FADD,0.9791055953631356,13
13,Adipose,BACE1,0.9786223579520188,14
14,Adipose,RBM17,0.9782138008629759,15
15,Adipose,AMPD2,0.9780473223661391,16
16,Adipose,HNRNPU,0.9746652229630155,17
17,Adipose,TMUB1,0.9741384433189313,18
18,Adipose,COPG1,0.9720707310399461,19
19,Adipose,TIFA,0.9719940620403934,20
20,Adipose,MYADM,0.9717045434145611,21
21,Adipose,CHD3,0.9714006770319386,22
22,Adipose,GRASP,0.9713743075480793,23
23,Adipose,PDIA3,0.9692691907609421,24
24,Adipose,GSE1,0.9669432006418621,25
25,Adipose,PPP2CA,0.9662376108862979,26
26,Adipose,DUSP6,0.9660713507316419,27
27,Adipose,LUC7L,0.965430963661684,28
28,Adipose,ATP6AP1,0.9645009714581165,29
29,Adipose,AGO4,0.9643560616231256,30
30,Adipose,CASKIN2,0.9643224305249678,31
31,Adipose,PTAR1,0.9642986081901374,32
32,Adipose,KLF9,0.9622935712090862,33
33,Adipose,TMEM198B,0.9602820220663896,34
34,Adipose,HECW2,0.9594962961525375,35
35,Adipose,C5AR2,0.9583971210104512,36
36,Adipose,HELZ2,0.9583197043849646,37
37,Adipose,PFKFB3,0.957313753238769,38
38,Adipose,RNF144A,0.9559594557299571,39
39,Adipose,INF2,0.9559050630930827,40
40,Adipose,HOXB4,0.9556850527271323,41
41,Adipose,RUVBL1,0.9555910530403771,42
42,Adipose,NAA50,0.9554534881638188,43
43,Adipose,PIK3R3,0.9550460549421023,44
44,Adipose,MYDGF,0.9549892976302479,45
45,Adipose,FBRSL1,0.9542777657801365,46
46,Adipose,KLF16,0.9541082637291998,47
47,Adipose,CFL1,0.9540972417649812,48
48,Adipose,NEDD9,0.9537077125691482,49
49,Adipose,SEC13,0.9534463179078984,50
50,Adipose,APLP2,0.9523169999348045,51
51,Adipose,SSR3,0.9517488752929897,52
52,Adipose,RILP,0.9509695626091519,53
53,Adipose,HADHB,0.9506523863239278,54
54,Adipose,TBL1XR1,0.9506378483303111,55
55,Adipose,TRIM25,0.9499677380123858,56
56,Adipose,KLHL9,0.94946261802404,57
57,Adipose,CDKN1A,0.9493785914148699,58
58,Adipose,ITGAX,0.9489738660364184,59
59,Adipose,UNKL,0.9489412686308547,60
60,Adipose,B2M,0.9488081901914605,61
61,Adipose,OLFML3,0.9485069062983602,62
62,Adipose,MAP4,0.9484457534085293,63
63,Adipose,SZT2,0.9482661466572531,64
64,Adipose,HNRNPM,0.9478205527931407,65
65,Adipose,GLUL,0.9477046649631591,66
66,Adipose,RAD23A,0.9476611707553037,67
67,Adipose,COPZ1,0.9476060768317409,68
68,Adipose,SMARCC2,0.947208649420012,69
69,Adipose,DDX21,0.9469738759586698,70
70,Adipose,ARHGAP33,0.9463259886135466,71
71,Adipose,SEPT8,0.9461766280874273,72
72,Adipose,SRGAP2,0.9459548203351222,73
73,Adipose,INPPL1,0.9459111584650562,74
74,Adipose,ZNF740,0.9446459215149497,75
75,Adipose,ZNF638,0.9444144663926134,76
76,Adipose,CAP1,0.9442153896758297,77
77,Adipose,TCOF1,0.9440671770195085,78
78,Adipose,SLTM,0.9438226808884221,79
79,Adipose,KANK3,0.9436128347617044,80
80,Adipose,SEMA5A,0.943299219933984,81
81,Adipose,ZNF141,0.9432468298629904,82
82,Adipose,AAMP,0.9431228935335354,83
83,Adipose,DNAJA2,0.9431151780428615,84
84,Adipose,KLC2,0.9427501985631198,85
85,Adipose,PTEN,0.9426240383217124,86
86,Adipose,AIF1L,0.9425738619297208,87
87,Adipose,ATP6AP2,0.942437874777204,88
88,Adipose,S1PR1,0.9421090083849047,89
89,Adipose,ZSWIM6,0.942074608187078,90
90,Adipose,PDLIM5,0.9419243926507617,91
91,Adipose,ANKRD9,0.9419126499145182,92
92,Adipose,ABCE1,0.9419073300669527,93
93,Adipose,USP2,0.9418689619215678,94
94,Adipose,JUP,0.9417479774222414,95
95,Adipose,DEK,0.9414594916353489,96
96,Adipose,PVR,0.9414592611641167,97
97,Adipose,ITPRIPL2,0.9411508095370448,98
98,Adipose,CCT5,0.9411000793862784,99
99,Adipose,CCL14,0.9410209383517951,100
100,Adipose,PCF11,0.9408849575896587,101
101,Adipose,PCGF5,0.9405227235809615,102
102,Adipose,TPP1,0.9405080233696779,103
103,Adipose,TP53INP2,0.940321111137646,104
104,Adipose,ALKBH2,0.9399887909106771,105
105,Adipose,CCDC71L,0.9399821301186737,106
106,Adipose,ACSS3,0.9399241145717008,107
107,Adipose,RBM14,0.9397884137341849,108
108,Adipose,ZNF444,0.9397584292609192,109
109,Adipose,CDH11,0.9397427049724807,110
110,Adipose,CCDC149,0.9394660652016278,111
111,Adipose,SFRP2,0.939357675069474,112
112,Adipose,GOPC,0.9391860695254839,113
113,Adipose,GGNBP2,0.9388509909061703,114
114,Adipose,TMEM55A,0.9386679448106523,115
115,Adipose,TCF3,0.9383058600437895,116
116,Adipose,ATP6V0A1,0.9382914983597423,117
117,Adipose,RHOBTB3,0.9381405732700588,118
118,Adipose,DDR1,0.9381346677181049,119
119,Adipose,ODF3B,0.9381077769282735,120
120,Adipose,OAS1,0.9380942564772592,121
121,Adipose,AGAP1,0.93808949038822,122
122,Adipose,LYPLA1,0.9376249414451865,123
123,Adipose,MPV17,0.9375395739002873,124
124,Adipose,HACD3,0.937535639432309,125
125,Adipose,LGALS8,0.9370559027769515,126
126,Adipose,FKBP5,0.9370312558273907,127
127,Adipose,RAD21,0.9369747461413521,128
128,Adipose,ARPC5L,0.9369545597568079,129
129,Adipose,FAM214A,0.9369052893217025,130
130,Adipose,FBN1,0.9368641550033341,131
131,Adipose,PARP2,0.936817499276068,132
132,Adipose,NR2F1,0.9365536286346544,133
133,Adipose,CCDC47,0.9364371937481603,134
134,Adipose,CLEC14A,0.936215786228821,135
135,Adipose,ZBTB2,0.9359436389914726,136
136,Adipose,TRA2A,0.9355759009692668,137
137,Adipose,CREB3L1,0.935338442884985,138
138,Adipose,PDE4A,0.9350361240719092,139
139,Adipose,CAPN2,0.9348891390196858,140
140,Adipose,OLFM1,0.9347171059355313,141
141,Adipose,MCF2L,0.9346233654937383,142
142,Adipose,GMPS,0.9346168552593679,143
143,Adipose,SLC25A42,0.9343064510689497,144
144,Adipose,PRRC2A,0.9343008945105494,145
145,Adipose,PPP1R18,0.9339716365391788,146
146,Adipose,ACTG1,0.9339412912617107,147
147,Adipose,ANG,0.9338737159480491,148
148,Adipose,DNMT3A,0.9338350370782302,149
149,Adipose,HEBP1,0.9334791993836346,150
150,Adipose,GOLGA3,0.9332338350829318,151
151,Adipose,ZNF398,0.9332198265657768,152
152,Adipose,MIR34A,0.9332083816398881,153
153,Adipose,STXBP1,0.933142603915765,154
154,Adipose,ELF2,0.9328216594422358,155
155,Adipose,GAB1,0.9328121430118689,156
156,Adipose,SEMA6A,0.9325567254061085,157
157,Adipose,GSPT1,0.93254801162573,158
158,Adipose,ARRB2,0.9325404794269013,159
159,Adipose,LMO2,0.9325205485131935,160
160,Adipose,TAX1BP1,0.9322682693778415,161
161,Adipose,CCNL2,0.9320902677057233,162
162,Adipose,CALD1,0.9318540440686149,163
163,Adipose,RHOJ,0.9316108556458608,164
164,Adipose,WHSC1,0.931585091570306,165
165,Adipose,MFSD12,0.9315158048807148,166
166,Adipose,PPP2R5B,0.9311677758821741,167
167,Adipose,C10orf10,0.9311247822125904,168
168,Adipose,NOS3,0.9310157985623204,169
169,Adipose,XRCC5,0.9308262436730741,170
170,Adipose,MGLL,0.930630461537836,171
171,Adipose,TUBA1B,0.9305899538533466,172
172,Adipose,PIM3,0.9305541171836436,173
173,Adipose,DPY30,0.9304991384063364,174
174,Adipose,ABCC10,0.9303112048192483,175
175,Adipose,RP11-449J21.3,0.9302797678832387,176
176,Adipose,UBE2E1,0.9302578999950112,177
177,Adipose,CORO1C,0.9299935749578435,178
178,Adipose,TEF,0.9299523098609863,179
179,Adipose,ATOX1,0.9297404528654744,180
180,Adipose,CDK1,0.9296831338901199,181
181,Adipose,VAMP1,0.9296782842452866,182
182,Adipose,SLC26A11,0.9291891918100198,183
183,Adipose,LYSMD2,0.929109923651723,184
184,Adipose,TIMELESS,0.928934308535899,185
185,Adipose,PLXND1,0.9288830299308855,186
186,Adipose,TRAF5,0.9287570046963126,187
187,Adipose,TNS2,0.9286448797723803,188
188,Adipose,KLHL20,0.9282152475118328,189
189,Adipose,ARSI,0.9280406335988866,190
190,Adipose,TNFRSF1A,0.9276709038292598,191
191,Adipose,GNB2,0.9276152022354844,192
192,Adipose,ATG4B,0.9275739948771027,193
193,Adipose,B4GALT5,0.9275307372679538,194
194,Adipose,TMED8,0.9273593117012054,195
195,Adipose,RASSF9,0.9270000248541823,196
196,Adipose,FAM214B,0.9269464575498823,197
197,Adipose,PRNP,0.9269352569592247,198
198,Adipose,LONRF1,0.9267641047129918,199
199,Adipose,GPX3,0.9266911093899298,200
200,Adipose,DOK2,0.9266574921631477,201
201,Adipose,SMAD6,0.9263677632797004,202
202,Adipose,GLS,0.9262589120719051,203
203,Adipose,ITGA10,0.9260267445383623,204
204,Adipose,YTHDF3,0.9255483800138169,205
205,Adipose,TACC1,0.9255403665212614,206
206,Adipose,COPA,0.9252374749585911,207
207,Adipose,WDR37,0.925208342068398,208
208,Adipose,IL6ST,0.9248311545616971,209
209,Adipose,CALCOCO2,0.9246933184957054,210
210,Adipose,SRRT,0.9246478329233483,211
211,Adipose,ARL8B,0.9246256479837031,212
212,Adipose,EIF3G,0.9241638008745866,213
213,Adipose,FAM3C,0.9241374739983605,214
214,Adipose,CCDC6,0.924135385308033,215
215,Adipose,ZYX,0.9240809731218638,216
216,Adipose,MSL2,0.9240049274407115,217
217,Adipose,IRS2,0.9239947359175182,218
218,Adipose,DAB2IP,0.9239715884385578,219
219,Adipose,SEPP1,0.923956808181239,220
220,Adipose,TRRAP,0.9237127143615893,221
221,Adipose,GNB4,0.9235385160221226,222
222,Adipose,RP11-420L9.5,0.9235039349339577,223
223,Adipose,UBE2D3,0.9234151004893275,224
224,Adipose,POLB,0.9233445904442227,225
225,Adipose,SLK,0.9233109794311821,226
226,Adipose,GIT1,0.9232615665813415,227
227,Adipose,KIAA0922,0.9232335809581733,228
228,Adipose,CPD,0.9231333275030976,229
229,Adipose,EGR1,0.9230358493507298,230
230,Adipose,PRKAA1,0.9229669120539077,231
231,Adipose,TROAP,0.9229578199072285,232
232,Adipose,KIAA0907,0.922906882940286,233
233,Adipose,DRG1,0.922708016031937,234
234,Adipose,COL5A3,0.9226790862235567,235
235,Adipose,APEX1,0.9226779047523815,236
236,Adipose,SCRG1,0.922589592944882,237
237,Adipose,SELK,0.922499058688157,238
238,Adipose,NAMPT,0.9220324133735841,239
239,Adipose,IFT172,0.9219879705193567,240
240,Adipose,TUB,0.9219533000205636,241
241,Adipose,ZNF449,0.9218757949920988,242
242,Adipose,LIX1L,0.9217368521182878,243
243,Adipose,NCOA7,0.9216899444568251,244
244,Adipose,MEF2A,0.9214741599699141,245
245,Adipose,MFSD10,0.9214725824813271,246
246,Adipose,LRRC41,0.9214651130020698,247
247,Adipose,BMP6,0.9213728418436072,248
248,Adipose,ARHGEF6,0.921289435040671,249
249,Adipose,HHEX,0.9212530690963748,250
250,Adipose,BATF2,0.9212027150129171,251
251,Adipose,ZNF513,0.9210615092890512,252
252,Adipose,FBXL3,0.9210307376660964,253
253,Adipose,NAA20,0.9208290623637664,254
