,Tissue Name,Gene Name,Centrality,Rank
0,Kidney,COL16A1,1.0,1
1,Kidney,SERPINF1,0.9930525795134945,2
2,Kidney,SVEP1,0.9836427604416879,3
3,Kidney,SRPX2,0.9801755643572593,4
4,Kidney,CYBRD1,0.976521914241131,5
5,Kidney,CNN1,0.969773062000942,6
6,Kidney,USP19,0.9651027113640205,7
7,Kidney,FMOD,0.961400100987504,8
8,Kidney,RP11-274B21.9,0.9597977257029662,9
9,Kidney,PCOLCE,0.9595301850606106,10
10,Kidney,NRIP2,0.9557094532086216,11
11,Kidney,PLCE1,0.9550630747862766,12
12,Kidney,USP5,0.9543729649747071,13
13,Kidney,BCL2L2,0.95217897649342,14
14,Kidney,SMARCD3,0.9503430494470141,15
15,Kidney,TMEM116,0.9482626273028757,16
16,Kidney,GTF2H1,0.9478350106057677,17
17,Kidney,COL8A1,0.9460701773737866,18
18,Kidney,B4GAT1,0.9452691490985544,19
19,Kidney,C1R,0.9449278707529394,20
20,Kidney,SPON1,0.9442727790880746,21
21,Kidney,IGF1R,0.9438658232015819,22
22,Kidney,FKBP11,0.9434290504471078,23
23,Kidney,PPP1R14A,0.9426118229997809,24
24,Kidney,PLOD3,0.9423386588290392,25
25,Kidney,SYS1,0.9421397854943961,26
26,Kidney,SHKBP1,0.9407947148252634,27
27,Kidney,ST6GALNAC3,0.9396709929129702,28
28,Kidney,ATP6V0D1,0.9391834861065202,29
29,Kidney,HAT1,0.9385533637328564,30
30,Kidney,SLC3A1,0.9383995298175942,31
31,Kidney,PALLD,0.9381500974706954,32
32,Kidney,FHL5,0.9379656034507217,33
33,Kidney,MYO5B,0.9379025619181895,34
34,Kidney,UGT1A9,0.9376994122993028,35
35,Kidney,CRNKL1,0.9367517013180944,36
36,Kidney,NCOA6,0.9364496035237365,37
37,Kidney,CMTM7,0.9364087276997812,38
38,Kidney,PCYOX1,0.936222874078383,39
39,Kidney,KIF7,0.9359952655728434,40
40,Kidney,RBM3,0.9354877745888716,41
41,Kidney,HUWE1,0.9354294077603327,42
42,Kidney,LAMP2,0.9353952063332733,43
43,Kidney,SLC25A25-AS1,0.9346456860917758,44
44,Kidney,RP11-159D12.2,0.9337473520474254,45
45,Kidney,TADA2B,0.9336351904378338,46
46,Kidney,ADRA2A,0.9336258142081063,47
47,Kidney,SAMHD1,0.9331694476483722,48
48,Kidney,SPATA18,0.9323207091806257,49
49,Kidney,ZNF550,0.9320795419367649,50
50,Kidney,CFAP97,0.9320260469418703,51
51,Kidney,TNS1,0.9311104666083707,52
52,Kidney,CTSK,0.9310044537360699,53
53,Kidney,GGT5,0.9309752125705782,54
54,Kidney,VLDLR,0.9307713682338962,55
55,Kidney,ASXL1,0.9306229133758745,56
56,Kidney,NOP2,0.9302283339672723,57
57,Kidney,MESDC2,0.9301843634121167,58
58,Kidney,PDLIM2,0.9301267966540427,59
59,Kidney,RAB40A,0.9294367297001038,60
60,Kidney,ADAP1,0.9294268325103345,61
61,Kidney,LINC00839,0.9293481053689248,62
62,Kidney,CENPO,0.9291644095624902,63
63,Kidney,CDK13,0.9285967465075693,64
64,Kidney,PES1,0.9284105082878482,65
65,Kidney,TSR2,0.9278010852717684,66
66,Kidney,ASPSCR1,0.9277673804836839,67
67,Kidney,MLLT6,0.9270811954756706,68
68,Kidney,DSTN,0.9266101811809653,69
69,Kidney,ELL,0.9263829821693538,70
70,Kidney,HSPA1A,0.926374654889691,71
71,Kidney,LMTK2,0.9262313721830614,72
72,Kidney,OGDH,0.9259257456696228,73
73,Kidney,RBMS3,0.9257352550397873,74
74,Kidney,PYCR2,0.9257219814568203,75
75,Kidney,GRB2,0.9256977040508987,76
76,Kidney,GLB1,0.9256235957457608,77
77,Kidney,PLA2G4A,0.9255775427932127,78
78,Kidney,ZDHHC8,0.9255133509670439,79
79,Kidney,ASB1,0.9254489914677526,80
80,Kidney,CRTC3,0.9250492228283792,81
81,Kidney,RP5-1112D6.7,0.9247525882921311,82
82,Kidney,XYLT2,0.9246513959897172,83
83,Kidney,TXLNA,0.924114204292358,84
84,Kidney,RNF13,0.9240061869603706,85
85,Kidney,HTT,0.923978152947352,86
86,Kidney,SPIDR,0.9235220039754615,87
87,Kidney,FH,0.9232619326546271,88
88,Kidney,NDUFS3,0.9230559744538568,89
89,Kidney,NANS,0.9226726383383067,90
90,Kidney,FPGS,0.9225691076553799,91
91,Kidney,ATG16L2,0.9223466005494974,92
92,Kidney,RBM10,0.9222268228975339,93
93,Kidney,GMDS,0.9219958296412847,94
94,Kidney,NADK2,0.9219720148432284,95
95,Kidney,USP2,0.921948223651801,96
96,Kidney,MKL2,0.9216514519073643,97
97,Kidney,LAPTM4A,0.921329531900822,98
98,Kidney,RP11-304L19.11,0.9210474204066882,99
99,Kidney,VAMP5,0.9209871812460138,100
100,Kidney,TMEM102,0.9207756443847268,101
101,Kidney,RGS16,0.9199131715318302,102
102,Kidney,BRF1,0.9198318023005051,103
103,Kidney,DDX54,0.9195161108514385,104
104,Kidney,LRRC2,0.9195049509134436,105
105,Kidney,RP9P,0.9188884285383037,106
106,Kidney,STAT5B,0.9188466089229224,107
107,Kidney,TUG1,0.9187973521222026,108
108,Kidney,MSRB3,0.9187862225954094,109
109,Kidney,ODF3B,0.9180996856099137,110
110,Kidney,SEPT4,0.9179886616928303,111
111,Kidney,KIF23,0.9178053104762165,112
112,Kidney,GM2A,0.9177069321486281,113
113,Kidney,CPE,0.917275163160565,114
114,Kidney,VILL,0.9166239717243512,115
115,Kidney,MFSD5,0.9159528848594892,116
116,Kidney,ST7,0.9155216860624857,117
117,Kidney,NEURL1B,0.9154119311408364,118
118,Kidney,PTPRO,0.9153966549786179,119
119,Kidney,FKBP10,0.9153244958077453,120
120,Kidney,MFAP1,0.9151669153316555,121
121,Kidney,C1QL1,0.9151649498568285,122
122,Kidney,PKDCC,0.9149587420195889,123
123,Kidney,PASK,0.9149530520792428,124
124,Kidney,TRAPPC1,0.9148271204886264,125
125,Kidney,RP11-182L21.6,0.9144748569436886,126
126,Kidney,ACVR2A,0.914111865637535,127
127,Kidney,ATXN1,0.9140711926580126,128
128,Kidney,CRIP3,0.9139900302010788,129
129,Kidney,RAB8A,0.9135384782364531,130
130,Kidney,SOD3,0.9130605703204873,131
131,Kidney,FAM168B,0.9130435944432818,132
132,Kidney,NCDN,0.9126792930386327,133
133,Kidney,AP5M1,0.9126143807175401,134
134,Kidney,PSAP,0.9124554213771513,135
135,Kidney,CCDC127,0.9124273069110982,136
136,Kidney,RP11-324I22.4,0.9113431423874232,137
137,Kidney,RGP1,0.9109432664865892,138
138,Kidney,FBXO4,0.9107994912146286,139
139,Kidney,SNX21,0.9106703130491681,140
140,Kidney,RRAS,0.9105546282333089,141
141,Kidney,PTPRQ,0.9105230239056633,142
142,Kidney,LINC01420,0.910304286123343,143
143,Kidney,TARS2,0.9103014051196993,144
144,Kidney,TBCB,0.9100129400010996,145
145,Kidney,RP11-64B16.2,0.9099958071963049,146
146,Kidney,MRVI1,0.9099056127769461,147
147,Kidney,BAG6,0.9098702229801712,148
148,Kidney,GAN,0.9090743361910006,149
149,Kidney,ARHGEF26-AS1,0.9089172618004192,150
150,Kidney,DNAJC19,0.9088445900477917,151
151,Kidney,PCMT1,0.9085527790339164,152
152,Kidney,DPM2,0.9084730588103703,153
153,Kidney,FAF2,0.9080949081162215,154
154,Kidney,VAMP2,0.9079571703493884,155
155,Kidney,TAF7,0.9078422140675352,156
156,Kidney,PARD3B,0.9075072439793652,157
157,Kidney,RUVBL1,0.906894627246518,158
158,Kidney,NID1,0.90687640744305,159
159,Kidney,FKBP8,0.9062728080481408,160
160,Kidney,CXorf23,0.9061496740372302,161
161,Kidney,HPF1,0.9061256875446986,162
162,Kidney,GDE1,0.9061095184146805,163
163,Kidney,RP11-1017G21.5,0.9060494280382307,164
164,Kidney,RFX1,0.9059399105771836,165
165,Kidney,EGLN3,0.9058801669520296,166
166,Kidney,HIVEP1,0.905538508084675,167
167,Kidney,AKAP13,0.9054626978791916,168
168,Kidney,FAM43B,0.9054288839469689,169
169,Kidney,FAM89A,0.905285815604299,170
170,Kidney,TCERG1,0.9050981474179245,171
171,Kidney,REEP5,0.9049840127092816,172
172,Kidney,PPP5C,0.904817311097938,173
173,Kidney,SRM,0.9048114139863281,174
174,Kidney,TEAD4,0.9044477698154628,175
175,Kidney,RP11-324O2.3,0.9043221557733888,176
176,Kidney,MPC1,0.9037912481515511,177
177,Kidney,CHCHD6,0.9032537651290253,178
178,Kidney,SNRPB,0.9031189554055628,179
179,Kidney,SYPL1,0.9031156857777968,180
180,Kidney,SPCS1,0.9031063949410021,181
181,Kidney,PET100,0.9030734518426531,182
182,Kidney,CDC7,0.9030564195435048,183
183,Kidney,SPTLC3,0.902708886651463,184
184,Kidney,UNC93B1,0.9025893759033059,185
185,Kidney,TMEM55B,0.9025758557739322,186
186,Kidney,TNFAIP2,0.9025093855320929,187
187,Kidney,TUBA4A,0.9024963863121308,188
188,Kidney,ODF2L,0.9024663955030007,189
189,Kidney,RPS6KB1,0.9023246818671451,190
190,Kidney,MLLT1,0.9021642703576357,191
191,Kidney,GTF3C3,0.9021572229522579,192
192,Kidney,CUL1,0.9019740379708698,193
193,Kidney,TRAFD1,0.9018631130523224,194
194,Kidney,BBIP1,0.9018617580068576,195
195,Kidney,CTCF,0.9018270869921478,196
196,Kidney,EPDR1,0.901668669575366,197
197,Kidney,RP11-415F23.4,0.9015482295622173,198
198,Kidney,RAB3D,0.901417705684536,199
199,Kidney,VDAC1,0.90139623333289,200
200,Kidney,TRNP1,0.9013257129364235,201
201,Kidney,MFSD9,0.9011287258763249,202
202,Kidney,SLTM,0.9010515639157807,203
203,Kidney,PDPK1,0.9010374810810774,204
204,Kidney,TCEA2,0.9008974033519134,205
205,Kidney,SETD2,0.9008479554141827,206
206,Kidney,ELOF1,0.9008411187434526,207
207,Kidney,MPZL1,0.9006109635354208,208
208,Kidney,YAF2,0.9003699712259923,209
209,Kidney,TYRO3,0.9003597951235162,210
210,Kidney,PLAGL1,0.9002340910726705,211
211,Kidney,TCIRG1,0.9002333719564157,212
212,Kidney,CTD-3064M3.7,0.9001702682739287,213
213,Kidney,DRAM2,0.9000857748903288,214
214,Kidney,CD7,0.8998866262924061,215
215,Kidney,VSIG8,0.8997805147132638,216
216,Kidney,EXOSC10,0.8996914520262266,217
217,Kidney,CHRM3-AS2,0.8996754896144041,218
218,Kidney,SIAH2,0.8994971416756488,219
219,Kidney,FLYWCH2,0.899470337744915,220
220,Kidney,TSNARE1,0.899418449861737,221
221,Kidney,EID1,0.8992556386162369,222
222,Kidney,GNA12,0.8990964477759257,223
223,Kidney,RBM17,0.8989986920547578,224
224,Kidney,RNF208,0.8989147066672946,225
225,Kidney,LGALS1,0.8987229265898203,226
226,Kidney,CCDC92,0.8985370992882634,227
227,Kidney,DNAJC5,0.8985105833473457,228
228,Kidney,PTEN,0.8985000022832524,229
229,Kidney,PDZRN4,0.89849820028795,230
230,Kidney,WDR81,0.8984737435982292,231
231,Kidney,TNFRSF21,0.8984654927829789,232
232,Kidney,EZR,0.8984074056262962,233
233,Kidney,NAALADL1,0.898355851007397,234
234,Kidney,TBC1D2B,0.8982356072274543,235
235,Kidney,RNF20,0.8981225449045558,236
236,Kidney,PLEKHB1,0.898088403783452,237
237,Kidney,CTD-2553L13.9,0.8979698225221926,238
238,Kidney,ZNF324B,0.8978850254769071,239
239,Kidney,GRWD1,0.8976006872223943,240
240,Kidney,THAP5,0.8975875048318885,241
241,Kidney,RP11-23D24.2,0.897244883291675,242
242,Kidney,SIAE,0.8970469750132058,243
243,Kidney,ABCF2,0.8969281844689408,244
244,Kidney,CTD-2528L19.6,0.8968950588974506,245
245,Kidney,PGS1,0.896549973642722,246
246,Kidney,CIC,0.8963552904173613,247
247,Kidney,CDC34,0.8963078423856408,248
248,Kidney,NISCH,0.8963045422239397,249
249,Kidney,RASSF8,0.8962098484631801,250
250,Kidney,KCNH3,0.8962019439399663,251
251,Kidney,PARP9,0.8962017855582262,252
252,Kidney,TTC30A,0.8961155970235183,253
253,Kidney,SEPT7P2,0.8961040241276075,254
254,Kidney,APCDD1,0.8959915201686626,255
255,Kidney,RP11-283I3.2,0.8958876340102272,256
256,Kidney,LARP1B,0.8958622585527678,257
257,Kidney,KPNA1,0.8958062361841613,258
258,Kidney,LAMC1,0.8957839507908548,259
259,Kidney,ARPP19,0.8956725581190742,260
260,Kidney,CCDC12,0.8955843199174109,261
261,Kidney,PSMC2,0.895582967092234,262
262,Kidney,MRPS5,0.8955098865955521,263
263,Kidney,PTDSS1,0.8953545563508677,264
264,Kidney,CEP70,0.8950951182140359,265
265,Kidney,TSGA10,0.8950810066513595,266
266,Kidney,PSMC4,0.8950716705197621,267
267,Kidney,MICAL2,0.8947304647006542,268
268,Kidney,MCM6,0.8943337230711375,269
269,Kidney,DRG2,0.8942797625962439,270
270,Kidney,IFITM3,0.8938479931823186,271
271,Kidney,MYCBP2,0.8937172412041543,272
272,Kidney,OSBP,0.8932365683363319,273
273,Kidney,RP11-355O1.11,0.8932142636953535,274
274,Kidney,TNNT2,0.8931031003655169,275
275,Kidney,PCDHGB6,0.8930856299650306,276
276,Kidney,TBC1D9B,0.8928002689463456,277
277,Kidney,PPIAP29,0.8927384890287022,278
278,Kidney,NDST1,0.8927060500462419,279
279,Kidney,ADGRD1,0.8926239943272484,280
280,Kidney,SHPK,0.8925907543940503,281
281,Kidney,SFMBT2,0.892574782728489,282
282,Kidney,CCAR2,0.8925394969877058,283
283,Kidney,GPHN,0.8923984577348235,284
284,Kidney,S100A10,0.8923814114479178,285
285,Kidney,MYDGF,0.8923796613266498,286
286,Kidney,CENPBD1P1,0.8923636831302313,287
287,Kidney,PLN,0.8923181324371489,288
288,Kidney,STK35,0.8922835961485197,289
289,Kidney,DBH,0.8920583621597417,290
290,Kidney,CCT7,0.8920030041051137,291
291,Kidney,GANC,0.8918230938292973,292
292,Kidney,RNF128,0.891776594853985,293
293,Kidney,MXRA8,0.8916911593166819,294
294,Kidney,TNK1,0.8916024483836854,295
295,Kidney,CTD-3185P2.1,0.8915774774070259,296
296,Kidney,PAICS,0.8914613626361626,297
297,Kidney,PTPN2,0.8913687849395214,298
298,Kidney,RPS6KL1,0.8913624928057274,299
299,Kidney,CXorf57,0.8913303907889982,300
300,Kidney,MORC2,0.8912446626460737,301
301,Kidney,NDUFC2,0.8909915548871161,302
302,Kidney,RAB36,0.890927171481554,303
303,Kidney,NRCAM,0.8908584133024315,304
304,Kidney,SEPT1,0.8907373081672578,305
305,Kidney,WDR12,0.8902914310293877,306
306,Kidney,NUDCD1,0.8901763614554392,307
307,Kidney,RP11-181G12.2,0.8901736107888535,308
308,Kidney,CYP4X1,0.8901159926851522,309
309,Kidney,CEP95,0.8900873168978347,310
310,Kidney,DOLK,0.8900246019394981,311
311,Kidney,CBX3,0.8898027235627181,312
312,Kidney,SCG5,0.8897653993442823,313
313,Kidney,CTD-3035K23.7,0.8897234788632157,314
314,Kidney,UBA5,0.8897022908585792,315
315,Kidney,FAIM2,0.8897013114974904,316
316,Kidney,TRIM28,0.8897002944938694,317
317,Kidney,ITPKC,0.8894887021536558,318
318,Kidney,ZMIZ2,0.889434957093328,319
319,Kidney,RP11-631N16.2,0.8894275652998941,320
320,Kidney,CDH6,0.8893768585630621,321
321,Kidney,SMG1,0.8893150117433339,322
322,Kidney,TMEM209,0.889172518698371,323
323,Kidney,C10orf54,0.8891642573248022,324
324,Kidney,SIGMAR1,0.8889787385944052,325
325,Kidney,CNTNAP3P2,0.8889711710418281,326
326,Kidney,BET1,0.8888666276984666,327
327,Kidney,HCG11,0.8888632510386016,328
328,Kidney,ADGRE2,0.8887989674535359,329
329,Kidney,CCNC,0.8887763054431524,330
330,Kidney,SLC6A6,0.8887648131214214,331
331,Kidney,ARGLU1,0.8886353303530781,332
332,Kidney,PRIM2,0.8885190966448268,333
333,Kidney,MMAA,0.8885128101761937,334
334,Kidney,GPR137,0.8884585890300786,335
335,Kidney,AP4B1,0.8884403816254971,336
336,Kidney,ZNRF2,0.8884051497735208,337
337,Kidney,RAB22A,0.8883060553244816,338
338,Kidney,ADAR,0.8882116851339592,339
339,Kidney,KIAA1161,0.88816731481547,340
340,Kidney,PAK3,0.8880445686383233,341
341,Kidney,RP11-22B23.1,0.887538770572081,342
342,Kidney,EPB41L5,0.8875371917204148,343
343,Kidney,FGFR2,0.8875206348540667,344
344,Kidney,NME4,0.8875194165091406,345
345,Kidney,ENO4,0.8874725150485521,346
