,Tissue Name,Gene Name,Centrality,Rank
0,Adrenal,SPRY4,1.0,1
1,Adrenal,GNS,0.9882589431872666,2
2,Adrenal,HNRNPH1,0.9861308012195555,3
3,Adrenal,ATP6V1H,0.9731009600550093,4
4,Adrenal,SERBP1,0.9728529075412945,5
5,Adrenal,LRRC59,0.9657047593534013,6
6,Adrenal,SEC11C,0.9605834587179793,7
7,Adrenal,MICU1,0.9584782828005762,8
8,Adrenal,ABCC5,0.9580085243102752,9
9,Adrenal,SYT12,0.957786032274049,10
10,Adrenal,CBX5,0.9571503232218586,11
11,Adrenal,TMEM167A,0.9560776924143365,12
12,Adrenal,ARF6,0.9557596212865922,13
13,Adrenal,TOR1AIP1,0.9534593218179467,14
14,Adrenal,ROBO1,0.9523305995023894,15
15,Adrenal,KDELR2,0.9521976556643972,16
16,Adrenal,MCF2L2,0.9518548807804246,17
17,Adrenal,SLK,0.9511117795868134,18
18,Adrenal,CSF1R,0.9506330058036317,19
19,Adrenal,NIPBL,0.9499370463335894,20
20,Adrenal,SSR3,0.9480383093426035,21
21,Adrenal,TUT1,0.9471414353439989,22
22,Adrenal,SMARCA4,0.9468549956714489,23
23,Adrenal,RRAGD,0.946602197405992,24
24,Adrenal,GGCT,0.9463282101829399,25
25,Adrenal,ZC3H18,0.9461914217785101,26
26,Adrenal,AMIGO2,0.9459645696256019,27
27,Adrenal,MFSD14B,0.9453406554278687,28
28,Adrenal,GABBR1,0.942948965503247,29
29,Adrenal,HSP90B1,0.9422822825911082,30
30,Adrenal,ACY1,0.9415396196346748,31
31,Adrenal,BTK,0.9410025123213592,32
32,Adrenal,SEC61A1,0.940381224164863,33
33,Adrenal,EIF4G2,0.9402136767141003,34
34,Adrenal,TP53INP1,0.939870858570539,35
35,Adrenal,NDUFS2,0.9397942692256743,36
36,Adrenal,DIAPH1,0.9396499072770529,37
37,Adrenal,CCDC12,0.9391312024794044,38
38,Adrenal,ZNF26,0.9386337041965218,39
39,Adrenal,AMHR2,0.938333542698169,40
40,Adrenal,SLC26A11,0.9379811646881526,41
41,Adrenal,TUBG1,0.9370228388245544,42
42,Adrenal,FAM50A,0.9363880795088306,43
43,Adrenal,SRPRB,0.9359576647182993,44
44,Adrenal,FAM63B,0.9357385193513081,45
45,Adrenal,PUM1,0.9357081399262058,46
46,Adrenal,MYCBP2,0.9350094967255973,47
47,Adrenal,HAT1,0.9347461425378577,48
48,Adrenal,WDFY3-AS2,0.9338485291682553,49
49,Adrenal,HMBOX1,0.933694412504783,50
50,Adrenal,TRA2B,0.9336211009964169,51
51,Adrenal,TMEM234,0.9333023950598898,52
52,Adrenal,SRSF11,0.9330415784903887,53
53,Adrenal,WDR45,0.9325634949505842,54
54,Adrenal,SAFB,0.9325580037986935,55
55,Adrenal,ZNF133,0.9323162219135437,56
56,Adrenal,CTIF,0.9321475346696974,57
57,Adrenal,TBC1D15,0.9318041698657765,58
58,Adrenal,TTC8,0.9312558744529823,59
59,Adrenal,MTMR1,0.9308701528596742,60
60,Adrenal,SIDT2,0.9304171626872069,61
61,Adrenal,EPS8,0.9287521134767723,62
62,Adrenal,CD2BP2,0.9284003738383843,63
63,Adrenal,DCAF6,0.927538627203365,64
64,Adrenal,BHLHE41,0.9273792386527274,65
65,Adrenal,GLT8D1,0.9268117481908636,66
66,Adrenal,SYNCRIP,0.9265025003348567,67
67,Adrenal,SLC35F6,0.9264459071235581,68
68,Adrenal,RNASET2,0.9255731811236576,69
69,Adrenal,MKRN1,0.9250217836237854,70
70,Adrenal,TMED2,0.924997454456453,71
71,Adrenal,SARAF,0.9246567308885909,72
72,Adrenal,KLHL18,0.9244658436141502,73
73,Adrenal,BOLA3,0.9242654010384991,74
74,Adrenal,RCC2,0.9241074432645775,75
75,Adrenal,EIF5,0.9240216291699284,76
76,Adrenal,DCN,0.9239778956948504,77
77,Adrenal,ARF1,0.9237827395719421,78
78,Adrenal,FAM162A,0.9231403750499024,79
79,Adrenal,SCAF4,0.9227919255716005,80
80,Adrenal,ARFIP2,0.9222806015898664,81
81,Adrenal,PNRC2,0.921993424354525,82
82,Adrenal,NEK9,0.9218341596450533,83
83,Adrenal,HMGN5,0.9217626502623948,84
84,Adrenal,ABCD2,0.9215985501367827,85
85,Adrenal,ISYNA1,0.9212880358285656,86
86,Adrenal,PPP3CA,0.9209375089197831,87
87,Adrenal,TM9SF3,0.9206227709503776,88
88,Adrenal,TRIM8,0.9203360402773114,89
89,Adrenal,STRADB,0.9195702016671535,90
90,Adrenal,DDIT3,0.9195344651191744,91
91,Adrenal,UBAP2,0.9194484356719725,92
92,Adrenal,CNST,0.9194291978252895,93
93,Adrenal,GMPS,0.9186956890204654,94
94,Adrenal,SRPRA,0.9186542078902182,95
95,Adrenal,PCYT2,0.9185066023023012,96
96,Adrenal,DAZAP2,0.9183471607597725,97
97,Adrenal,BYSL,0.9176311053279648,98
98,Adrenal,GNPTG,0.9175538071538396,99
99,Adrenal,BET1L,0.9175137091063896,100
100,Adrenal,CC2D1A,0.9173656625506614,101
101,Adrenal,RALGAPA2,0.9171762758407005,102
102,Adrenal,GLRX3,0.9169942341745244,103
103,Adrenal,BLOC1S4,0.9167582789770803,104
104,Adrenal,HCFC1R1,0.9167185225751144,105
105,Adrenal,RP11-452L6.5,0.916540462111113,106
106,Adrenal,POLR2L,0.9162425499504768,107
107,Adrenal,TBXA2R,0.9152385266145516,108
108,Adrenal,FH,0.9151095167537123,109
109,Adrenal,AP3D1,0.9147880441468742,110
110,Adrenal,ARF5,0.9145322308219377,111
111,Adrenal,PSMC6,0.9144490738117024,112
112,Adrenal,UBB,0.9142160464745615,113
113,Adrenal,PCF11,0.9138614795979996,114
114,Adrenal,RMND5A,0.9137330788513263,115
115,Adrenal,ZSWIM8,0.9136318500582487,116
116,Adrenal,SYNJ2,0.9134015287630705,117
117,Adrenal,ARCN1,0.9131526954220788,118
118,Adrenal,STX12,0.9131502988774377,119
119,Adrenal,DHX15,0.9131115269258089,120
120,Adrenal,SATB1,0.9130744727858975,121
121,Adrenal,MGEA5,0.9130415456230744,122
122,Adrenal,PTPRC,0.9127202784019026,123
123,Adrenal,RSBN1,0.9126894647503973,124
124,Adrenal,ATP5F1,0.9125875665906575,125
125,Adrenal,PSME4,0.9125812791653417,126
126,Adrenal,TUSC2,0.9125638573067851,127
127,Adrenal,RRAGB,0.9124466284260987,128
128,Adrenal,RXRA,0.9123526113161738,129
129,Adrenal,GATAD2A,0.9123166412327792,130
130,Adrenal,NUDCD3,0.9120912332051604,131
131,Adrenal,TRIM24,0.9119494216743765,132
132,Adrenal,COL4A1,0.911910105674229,133
133,Adrenal,ATP5A1,0.9118241446993572,134
134,Adrenal,PDIA4,0.9117987043519445,135
135,Adrenal,OSCP1,0.9117782004308453,136
136,Adrenal,RELA,0.9117488643446275,137
137,Adrenal,CHD2,0.9117391647909983,138
138,Adrenal,KCTD17,0.9117336336803813,139
