,Tissue Name,Gene Name,Centrality,Rank
0,Kidney,FBLN1,1.0,1
1,Kidney,COL16A1,0.9942640276494399,2
2,Kidney,SERPINF1,0.9913087934944849,3
3,Kidney,SVEP1,0.9793454146185435,4
4,Kidney,SRPX2,0.9667865963681664,5
5,Kidney,CNN1,0.964324690909104,6
6,Kidney,USP19,0.9604024094354378,7
7,Kidney,FMOD,0.9569075249510107,8
8,Kidney,PLCE1,0.9550192728888391,9
9,Kidney,BCL2L2,0.9531298424747502,10
10,Kidney,RP11-274B21.9,0.9528564904828102,11
11,Kidney,NRIP2,0.9517907857105589,12
12,Kidney,USP5,0.9491735000854111,13
13,Kidney,PPP1R14A,0.9485503363949676,14
14,Kidney,PLOD3,0.9481721233762158,15
15,Kidney,C1R,0.9446584945236459,16
16,Kidney,B4GAT1,0.9435769041832184,17
17,Kidney,TMEM116,0.9432380633757892,18
18,Kidney,IGF1R,0.9432343855084271,19
19,Kidney,TNS1,0.9406472821046359,20
20,Kidney,SHKBP1,0.9400818233184439,21
21,Kidney,SMARCD3,0.9397230958103998,22
22,Kidney,COL8A1,0.9395294047529158,23
23,Kidney,SLC3A1,0.9391857194929666,24
24,Kidney,SPON1,0.938475414106406,25
25,Kidney,ST6GALNAC3,0.9382214957029791,26
26,Kidney,PCYOX1,0.936706421729362,27
27,Kidney,SYS1,0.9363907294137191,28
28,Kidney,UGT1A9,0.9358658649785931,29
29,Kidney,GTF2H1,0.9355728396651821,30
30,Kidney,PDLIM2,0.9355342868345601,31
31,Kidney,CMTM7,0.9352188664660692,32
32,Kidney,MESDC2,0.9344301198223509,33
33,Kidney,ATP6V0D1,0.9334605135002325,34
34,Kidney,HAT1,0.9332814532124377,35
35,Kidney,CRNKL1,0.9328994736758267,36
36,Kidney,ZNF550,0.9328301079194858,37
37,Kidney,HUWE1,0.9327590367182125,38
38,Kidney,LAMP2,0.9324882288714818,39
39,Kidney,LINC00839,0.9319871654779119,40
40,Kidney,LYSMD4,0.9319118127487831,41
41,Kidney,SAMHD1,0.9318094475432716,42
42,Kidney,PALLD,0.9316266776661665,43
43,Kidney,CENPO,0.9314441785322194,44
44,Kidney,KIF7,0.9304386779676136,45
45,Kidney,FHL5,0.9303478206990482,46
46,Kidney,ADRA2A,0.928628608473366,47
47,Kidney,ASXL1,0.928600639829972,48
48,Kidney,MLLT6,0.9285739975288686,49
49,Kidney,GLB1,0.9285358603366711,50
50,Kidney,MYO5B,0.9281437077849728,51
51,Kidney,EMC3,0.9276573562541843,52
52,Kidney,ASB1,0.9275608138565011,53
53,Kidney,RP11-159D12.2,0.9268156302633264,54
54,Kidney,CTSK,0.9266539003174127,55
55,Kidney,RBM3,0.9261036596682439,56
56,Kidney,STAT5B,0.9259259160959421,57
57,Kidney,SPATA18,0.9253413728095616,58
58,Kidney,CFAP97,0.9250449407461019,59
59,Kidney,FH,0.9248838216016317,60
60,Kidney,CRTC3,0.9246955139350176,61
61,Kidney,VLDLR,0.9241931058120938,62
62,Kidney,ST3GAL1,0.9239509441937029,63
63,Kidney,ADAP1,0.9238701334442088,64
64,Kidney,GRB2,0.9236753804112019,65
65,Kidney,DDX54,0.9232953938193469,66
66,Kidney,ATP5F1,0.9230005265315255,67
67,Kidney,TUG1,0.9229274994191733,68
68,Kidney,TADA2B,0.9227028346454955,69
69,Kidney,CDK13,0.9225456036259412,70
70,Kidney,PYCR2,0.9223113226803851,71
71,Kidney,RAB40A,0.9221591326856997,72
72,Kidney,SLC25A25-AS1,0.9221284800992083,73
73,Kidney,ELL,0.9220717348496883,74
74,Kidney,RBM10,0.9220353696523956,75
75,Kidney,GGT5,0.9214500551357474,76
76,Kidney,PLA2G4A,0.9211508376644533,77
77,Kidney,PES1,0.9210264704970229,78
78,Kidney,ATG16L2,0.9209996725679508,79
79,Kidney,RAB8A,0.9208516954886814,80
80,Kidney,LMTK2,0.9206604218798227,81
81,Kidney,DSTN,0.9206193535062241,82
82,Kidney,NOP2,0.9204770591460929,83
83,Kidney,RP5-1112D6.7,0.920466818838422,84
84,Kidney,NR6A1,0.9201676037853651,85
85,Kidney,NDUFS3,0.9201051119214934,86
86,Kidney,HTT,0.9199125704571236,87
87,Kidney,RGS16,0.9198750029734339,88
88,Kidney,XYLT2,0.9195170091585405,89
89,Kidney,SPIDR,0.919230114052764,90
90,Kidney,OGDH,0.918157412207922,91
91,Kidney,VILL,0.9181386172898879,92
92,Kidney,LRRC2,0.9180829406216134,93
93,Kidney,GM2A,0.9178715811338553,94
94,Kidney,USP2,0.9176845650498217,95
95,Kidney,NADK2,0.9175153893185286,96
96,Kidney,RBMS3,0.9171290207532707,97
97,Kidney,NCDN,0.9167503074052211,98
98,Kidney,RNF13,0.9167263589779409,99
99,Kidney,ZDHHC8,0.9166657385706888,100
