,Tissue Name,Gene Name,Centrality,Rank
0,Intestine,CORO1B,1.0,1
1,Intestine,HCCS,0.9994278779452885,2
2,Intestine,PTGES3,0.9930694301548335,3
3,Intestine,UBE4A,0.9871285940306289,4
4,Intestine,MTTP,0.9826956169792667,5
5,Intestine,PLS1,0.9817093506313769,6
6,Intestine,ATP5A1,0.9780617019849851,7
7,Intestine,TPI1,0.9778914937656106,8
8,Intestine,KLHL9,0.9769899907504086,9
9,Intestine,NAGA,0.9764723866657596,10
10,Intestine,AIFM1,0.975426255905602,11
11,Intestine,ALPI,0.9726120296752412,12
12,Intestine,CMPK1,0.972506298145938,13
13,Intestine,SDHB,0.9717393986723246,14
14,Intestine,SCP2,0.9690975553756994,15
15,Intestine,LIF,0.9675157666111527,16
16,Intestine,ATP6V1B2,0.9659547068750673,17
17,Intestine,RB1,0.9657466887407673,18
18,Intestine,RPS17,0.9652537037549552,19
19,Intestine,CDHR2,0.9624817395563927,20
20,Intestine,CREB3L3,0.9608852540700369,21
21,Intestine,BAG4,0.9594240337755743,22
22,Intestine,ABI3BP,0.9593266080993809,23
23,Intestine,AAK1,0.9581035602870636,24
24,Intestine,MTIF2,0.9556969073312853,25
25,Intestine,OST4,0.9550666874982714,26
26,Intestine,TM4SF20,0.9544060741024786,27
27,Intestine,CHMP2A,0.9535535712868879,28
28,Intestine,XPO1,0.9534860092932239,29
29,Intestine,RILP,0.9532289205767245,30
30,Intestine,MME,0.9529468570014574,31
31,Intestine,KIAA1109,0.9525898828780968,32
32,Intestine,RPL10,0.9523766319259528,33
33,Intestine,RBP2,0.9509059892141627,34
34,Intestine,CTB-60B18.10,0.9505739243124207,35
35,Intestine,RPS5,0.949277982488247,36
36,Intestine,HMGCS1,0.9485086455066629,37
37,Intestine,IDH1,0.9484795650114154,38
38,Intestine,CTTNBP2NL,0.9484568789706876,39
39,Intestine,COX7A2,0.9479401080918863,40
40,Intestine,UQCRC2,0.9477651531868357,41
41,Intestine,TNIP2,0.9477624499612823,42
42,Intestine,RPL24,0.9463371447372062,43
43,Intestine,ATP5O,0.9445007241873604,44
44,Intestine,AP1G1,0.9444706514280472,45
45,Intestine,NEU1,0.943847725554873,46
46,Intestine,ATP6V1A,0.9433280323386862,47
47,Intestine,ZDHHC9,0.9432514794865111,48
48,Intestine,CREB1,0.9431551071471704,49
49,Intestine,DDOST,0.9427009139497351,50
50,Intestine,MZT2B,0.9424596804102269,51
51,Intestine,GSR,0.9417485413493611,52
52,Intestine,USP19,0.9414297571229726,53
53,Intestine,ITPK1,0.9411688071982808,54
54,Intestine,TTYH3,0.9408359951607028,55
55,Intestine,COX11,0.9399927463868609,56
56,Intestine,C8orf82,0.9399784548942255,57
57,Intestine,SAT2,0.9398625400125131,58
58,Intestine,RPL37A,0.9395451886351784,59
59,Intestine,ANPEP,0.9394528314984882,60
60,Intestine,KLF12,0.9392181761142937,61
61,Intestine,TWF2,0.9389662579287092,62
62,Intestine,TRIM26,0.9388363849491347,63
63,Intestine,SH3RF1,0.9383854422113631,64
64,Intestine,ARL5B,0.938355511633831,65
65,Intestine,HMGN3,0.9379546928722997,66
66,Intestine,XPO6,0.9369203007840696,67
67,Intestine,MFSD10,0.9366871537209974,68
68,Intestine,ASS1,0.936253311887452,69
69,Intestine,TMEM120A,0.936050074915268,70
70,Intestine,DMXL2,0.9358204415618046,71
71,Intestine,P3H4,0.9351760758215011,72
72,Intestine,ABHD17A,0.9350468989046471,73
73,Intestine,SLC44A2,0.9348742670668073,74
74,Intestine,SLC1A1,0.9344788861601618,75
75,Intestine,ACE2,0.9344745647718493,76
76,Intestine,GPR153,0.9343915229532739,77
77,Intestine,NDUFA13,0.9341889093632393,78
78,Intestine,JOSD1,0.9337965332283699,79
79,Intestine,ANKRD33B,0.9337684952132047,80
80,Intestine,SLC3A1,0.9335116976474147,81
81,Intestine,SOX12,0.9332836922414967,82
82,Intestine,SOD1,0.9328431147228158,83
83,Intestine,RFK,0.9325571937096004,84
84,Intestine,EIF4EBP3,0.9315031737342501,85
85,Intestine,PTPRK,0.9313883681524688,86
86,Intestine,MEF2C,0.9309158591855883,87
87,Intestine,INPP1,0.9306961986524938,88
88,Intestine,STK26,0.9304851080911871,89
89,Intestine,PPA2,0.930239993300445,90
90,Intestine,ROGDI,0.9300883273069539,91
91,Intestine,SH2B3,0.9300588109949339,92
92,Intestine,SLFN11,0.9300554918027865,93
93,Intestine,PSTPIP1,0.9295458492477779,94
94,Intestine,HNRNPC,0.929281313988875,95
95,Intestine,LDLRAD4,0.9289875009186572,96
96,Intestine,ERGIC3,0.9285742476235543,97
97,Intestine,PTMA,0.9285483518916013,98
98,Intestine,APOB,0.9284889466395768,99
99,Intestine,ATP6AP1,0.9283969695701261,100
100,Intestine,IFIT3,0.9282485821246033,101
101,Intestine,GK,0.9281200902656236,102
102,Intestine,TCF4,0.9281095686500169,103
103,Intestine,SLC25A36,0.9278995221193895,104
104,Intestine,ZNF326,0.9278159834404184,105
105,Intestine,MALL,0.9277972526342337,106
106,Intestine,ATP5J2,0.9277151388554031,107
107,Intestine,RP11-1334A24.6,0.92770925254596,108
108,Intestine,NDRG1,0.9273297491512708,109
109,Intestine,TAF10,0.9273102852779382,110
110,Intestine,SYNGAP1,0.9268551328057213,111
111,Intestine,PPP4R3B,0.9267917131305683,112
112,Intestine,TPP2,0.9261974433072765,113
113,Intestine,NOP9,0.9261847305191001,114
114,Intestine,FNDC10,0.9261690672020625,115
115,Intestine,TRA2A,0.9261580832348916,116
116,Intestine,DTX3L,0.9261307499629505,117
117,Intestine,MEX3C,0.9260261725615655,118
118,Intestine,UAP1L1,0.9257282872981425,119
119,Intestine,CTD-2267D19.1,0.9252931772268602,120
120,Intestine,ANXA2,0.9252064662783648,121
121,Intestine,ANXA2P2,0.925168688545371,122
122,Intestine,ATP5C1,0.9250337354704898,123
123,Intestine,MS4A6A,0.9247930166913241,124
