,Tissue Name,Gene Name,Centrality,Rank
2514,Muscle,OSGIN1,1.0,1
2050,Muscle,ESYT2,0.9862142866462678,2
437,Muscle,RNF114,0.9759381894801334,3
2433,Muscle,FXR1,0.9746823967871022,4
610,Muscle,ESYT1,0.9741458605544723,5
3499,Muscle,CCDC85B,0.9700476997460745,6
279,Muscle,CUX1,0.9654099148622619,7
919,Muscle,CACNG1,0.9651215875956694,8
1142,Muscle,AKT2,0.9647196297124006,9
2265,Muscle,SRPRA,0.9637160977393302,10
3545,Muscle,NCOR2,0.9613126269658947,11
756,Muscle,PSMD14,0.9607492944006524,12
596,Muscle,PGM5,0.9601941989330461,13
1278,Muscle,MLYCD,0.9598600785906533,14
2003,Muscle,LSM10,0.9573607130405023,15
2965,Muscle,ASXL1,0.9571247524338757,16
2444,Muscle,ANGPTL4,0.9555456563230661,17
1927,Muscle,RPS6KL1,0.9516605597546026,18
24,Muscle,ABCC1,0.9504894598781509,19
1945,Muscle,RALY,0.9502268202162013,20
2847,Muscle,TMED5,0.9493812954848597,21
1221,Muscle,C22orf46,0.9488179675085304,22
1383,Muscle,PACS1,0.9486817556147672,23
2183,Muscle,EXOSC7,0.9486584608969111,24
830,Muscle,SNX9,0.9486006295766637,25
456,Muscle,KLHL21,0.9484512925262379,26
1853,Muscle,PSMC3,0.9475769343110891,27
3745,Muscle,MKL2,0.9475050913455173,28
3662,Muscle,HSF1,0.9471671818810389,29
3315,Muscle,PFKFB1,0.9455053028330859,30
719,Muscle,TGFB3,0.9454714787124123,31
78,Muscle,PEX13,0.9451557615064521,32
2070,Muscle,POLDIP2,0.9450028478499385,33
2920,Muscle,PPP1R7,0.9445843753288424,34
2056,Muscle,GGA2,0.9433677568705796,35
3456,Muscle,SSH1,0.9427823362129532,36
3538,Muscle,ZNRF2,0.9422688063786295,37
125,Muscle,DUSP1,0.9419015881521626,38
3877,Muscle,ABCC9,0.94189503793999,39
868,Muscle,TUSC2,0.9414791083272174,40
3529,Muscle,PIAS3,0.9413362681884101,41
3460,Muscle,ABCC5,0.9410991470476889,42
2542,Muscle,WDR13,0.9401245690807063,43
1330,Muscle,CENPB,0.93994227136787,44
2297,Muscle,GDNF,0.9395224346492682,45
839,Muscle,DYNLRB1,0.9389817382925555,46
700,Muscle,PGP,0.9387199762587608,47
435,Muscle,SORBS1,0.938662361081494,48
2930,Muscle,MYL2,0.9386312295198751,49
2007,Muscle,TTLL11,0.9384283864209967,50
2843,Muscle,BCAM,0.9382683159062193,51
2760,Muscle,CLUH,0.9382630293934388,52
975,Muscle,CRIP2,0.9380490013912962,53
2650,Muscle,CSRNP1,0.9379686385278369,54
2082,Muscle,FHL3,0.9378152950847776,55
2144,Muscle,ZC3H12A,0.9371111225882481,56
1391,Muscle,PRKAA2,0.9362319175331943,57
856,Muscle,GTPBP2,0.9357541933946981,58
2276,Muscle,PSMC2,0.9355711103861362,59
1862,Muscle,KREMEN1,0.9355046746310414,60
2192,Muscle,USF3,0.9353360347768568,61
1328,Muscle,PSMD7,0.9353333731975054,62
3471,Muscle,FCGRT,0.9353002523642131,63
1848,Muscle,ELK1,0.935013676110208,64
2112,Muscle,COL4A5,0.934991177666741,65
2239,Muscle,CLK3,0.9344383804515799,66
551,Muscle,COPS2,0.9340422380434691,67
1398,Muscle,RCAN2,0.9339287987756472,68
1662,Muscle,TBC1D4,0.9336776238982346,69
913,Muscle,SGSM2,0.933451239425002,70
3602,Muscle,DTX3L,0.9329128078526652,71
3142,Muscle,WIPF3,0.932136705053567,72
706,Muscle,UBR4,0.9320559111353925,73
2051,Muscle,SMCR8,0.9318405335088684,74
695,Muscle,HNRNPC,0.9317941902190736,75
703,Muscle,NPR3,0.9317823533799265,76
652,Muscle,EPM2AIP1,0.9315014337965936,77
3588,Muscle,FOXJ2,0.9312830576868614,78
149,Muscle,DNAJB5,0.9311345042802113,79
2899,Muscle,EIF3K,0.930859246413779,80
2096,Muscle,NCL,0.9307350616884099,81
3796,Muscle,PACS2,0.9304413103525263,82
