,Tissue Name,Gene Name,Centrality,Rank
0,Kidney,FBLN1,1.0,1
1,Kidney,COL16A1,0.9988732443888932,2
2,Kidney,SERPINF1,0.9936141784196557,3
3,Kidney,SVEP1,0.9833646309518941,4
4,Kidney,CNN1,0.9781717449125341,5
5,Kidney,CYBRD1,0.9760284423963902,6
6,Kidney,SRPX2,0.9707058070560647,7
7,Kidney,PCOLCE,0.963390700819283,8
8,Kidney,FMOD,0.9616457632205136,9
9,Kidney,USP19,0.9594775722522508,10
10,Kidney,RP11-274B21.9,0.950896228728346,11
11,Kidney,BCL2L2,0.9507819515444476,12
12,Kidney,C1R,0.9499809154146337,13
13,Kidney,PPP1R14A,0.9494443601605114,14
14,Kidney,COL8A1,0.9486526046901728,15
15,Kidney,PLOD3,0.9477470242539244,16
16,Kidney,USP5,0.9474043628864204,17
17,Kidney,SPON1,0.9465723413599941,18
18,Kidney,B4GAT1,0.9450678278758801,19
19,Kidney,NRIP2,0.94344101983762,20
20,Kidney,PLCE1,0.9431499720528924,21
21,Kidney,SMARCD3,0.9394646674861933,22
22,Kidney,PALLD,0.9389133699099512,23
23,Kidney,ST6GALNAC3,0.9386041108796231,24
24,Kidney,SAMHD1,0.9380856720575896,25
25,Kidney,EMC3,0.938057069872048,26
26,Kidney,CENPO,0.9377849319833794,27
27,Kidney,TMEM116,0.9376550570670555,28
28,Kidney,GTF2H1,0.9374776050234448,29
29,Kidney,PCYOX1,0.9374717319577412,30
30,Kidney,SYS1,0.9371663061527616,31
31,Kidney,ATP6V0D1,0.9367079322845581,32
32,Kidney,UGT1A9,0.9363234436979079,33
33,Kidney,FHL5,0.9358235346496467,34
34,Kidney,LAMP2,0.9357954601272859,35
35,Kidney,ZNF106,0.9352084023008262,36
36,Kidney,RAB40A,0.934137173418513,37
37,Kidney,SLC3A1,0.9336880131386297,38
38,Kidney,IGF1R,0.9336418270117369,39
39,Kidney,ZNF550,0.9333864531093078,40
40,Kidney,SHKBP1,0.9329104226534624,41
41,Kidney,PES1,0.9308552598546166,42
42,Kidney,RBM3,0.9306348242767832,43
43,Kidney,NDUFA9,0.9301691231160052,44
44,Kidney,MYO5B,0.9301213047786292,45
45,Kidney,RGS16,0.9299891038471081,46
46,Kidney,TNS1,0.9299591595333427,47
47,Kidney,ASXL1,0.9297804803120969,48
48,Kidney,GGT5,0.9292954317683507,49
49,Kidney,LYSMD4,0.9288454753639384,50
50,Kidney,NCOA6,0.9287094853660413,51
51,Kidney,ADRA2A,0.927850219677468,52
52,Kidney,SPATA18,0.9278393601720911,53
53,Kidney,MESDC2,0.9275142005866668,54
54,Kidney,CTSK,0.9274042405007179,55
55,Kidney,PDLIM2,0.9272227033255175,56
56,Kidney,OGDH,0.9262939690232261,57
57,Kidney,ELL,0.9259388559551682,58
58,Kidney,ASB1,0.9259315055348676,59
59,Kidney,XYLT2,0.9250370969723883,60
60,Kidney,SLC25A25-AS1,0.9249271220282127,61
61,Kidney,CMTM7,0.9247610919400887,62
62,Kidney,RP9P,0.924639005225209,63
63,Kidney,CFAP97,0.9243749985047945,64
64,Kidney,HUWE1,0.9241686588390459,65
65,Kidney,HAT1,0.9241390595069642,66
66,Kidney,PLA2G4A,0.9233335057292048,67
67,Kidney,CDK13,0.9227308845976252,68
68,Kidney,FH,0.9220763489181057,69
69,Kidney,PYCR2,0.921932146952942,70
70,Kidney,VAMP5,0.9216005952933823,71
71,Kidney,LINC00839,0.9212436281476125,72
72,Kidney,BRF1,0.9210434919641849,73
73,Kidney,MLLT6,0.9210014964791549,74
74,Kidney,LRRC2,0.9209024852032291,75
