,Tissue Name,Gene Name,Centrality,Rank
32333,Pancreas,AKT2,1.0,1
35208,Pancreas,MTOR,0.9996183747799404,2
37088,Pancreas,PHKA1,0.998986490135504,3
31330,Pancreas,FOXO1,0.9923017358017551,4
33573,Pancreas,PRKAB2,0.9903742916283732,5
34423,Pancreas,ACACB,0.9899556795838922,6
32168,Pancreas,PIK3CD,0.9879511560689768,7
35772,Pancreas,MAP2K1,0.9852362346151962,8
38048,Pancreas,FBP1,0.9842826963575132,9
38756,Pancreas,MAPK8,0.9815444197778047,10
33454,Pancreas,PHKG1,0.9805400419275959,11
37832,Pancreas,SORBS1,0.9784305856824083,12
38827,Pancreas,MAPK10,0.9767787896924212,13
34171,Pancreas,MAPK9,0.9760837028089797,14
32715,Pancreas,SOS2,0.9753754925961133,15
35134,Pancreas,RPTOR,0.9726793851800499,16
33739,Pancreas,PIK3R1,0.9719453944854084,17
34034,Pancreas,GYS2,0.9700853564015447,18
33274,Pancreas,RPS6KB1,0.9685669823638428,19
33491,Pancreas,PPP1R3C,0.9654572419554277,20
34825,Pancreas,AKT1,0.9611550683328183,21
37814,Pancreas,PHKA2,0.9604195525595753,22
31430,Pancreas,HK1,0.9585980800994715,23
36764,Pancreas,PYGL,0.9582165250513246,24
38882,Pancreas,SHC3,0.958193733787021,25
36217,Pancreas,FLOT1,0.9567040216364232,26
33192,Pancreas,CALML6,0.953360645994406,27
35472,Pancreas,RPS6KB2,0.9531659088265814,28
31710,Pancreas,CALML5,0.9528078245207869,29
38972,Pancreas,SOS1,0.9513074070249811,30
37548,Pancreas,INS,0.9506346858641613,31
34005,Pancreas,INPP5D,0.9463945890622197,32
31638,Pancreas,SHC1,0.946319073403356,33
38746,Pancreas,SLC2A4,0.9458416956304488,34
36408,Pancreas,SH2B2,0.9454140266186705,35
31511,Pancreas,PHKB,0.9429852586066744,36
37255,Pancreas,PPP1CB,0.9416492504152216,37
34072,Pancreas,EIF4E,0.9414286931120367,38
32456,Pancreas,PRKAA2,0.9411724957391397,39
31834,Pancreas,PTPN1,0.9411330392058807,40
36804,Pancreas,GSK3B,0.9408373335288543,41
34437,Pancreas,PTPRF,0.939724939068451,42
31868,Pancreas,CRKL,0.9373040493369766,43
37408,Pancreas,HK3,0.9360121801654063,44
36645,Pancreas,MKNK1,0.9350057531417044,45
35959,Pancreas,PPARGC1A,0.9341665897913781,46
35400,Pancreas,PPP1R3B,0.9335496875787118,47
38013,Pancreas,PRKAR1B,0.9334578716381586,48
31588,Pancreas,PIK3R5,0.9329402412061408,49
36113,Pancreas,SOCS2,0.9278811648025371,50
35766,Pancreas,ZCCHC3,0.1274393892714034,51
37849,Pancreas,RPL7AP66,0.12621937782033593,52
38046,Pancreas,CDCA4,0.12598438574113133,53
37600,Pancreas,OPA3,0.12581644607883066,54
38542,Pancreas,MED17,0.12572800027101627,55
35109,Pancreas,GTF2H3,0.1252369460838853,56
36127,Pancreas,KBTBD6,0.1251339793788356,57
37594,Pancreas,TSPAN32,0.1250455168549005,58
38948,Pancreas,TRAF5,0.12472922771161934,59
34522,Pancreas,RPS10,0.1246991561029372,60
33236,Pancreas,GOLIM4,0.1246805205854134,61
37045,Pancreas,RPS11,0.12460341323316662,62
33922,Pancreas,DNAJC25,0.12447308568215013,63
37037,Pancreas,RP13-317D12.3,0.12431631986459513,64
36134,Pancreas,RPL21,0.12424862958320111,65
38097,Pancreas,COPS9,0.1241843710393199,66
36048,Pancreas,CEP89,0.12402801746086796,67
34836,Pancreas,MRFAP1L1,0.12393736658171493,68
37340,Pancreas,RP11-245J9.4,0.12393522575652909,69
34132,Pancreas,SNX16,0.1239094715568241,70
34529,Pancreas,ZNF146,0.12387742361976943,71
34316,Pancreas,ZBTB8A,0.12364181858461633,72
