,Tissue Name,Gene Name,Centrality,Rank
2831,Muscle,AHNAK,1.0,1
10856,Pancreas,EMILIN1,0.9984396646761111,2
2530,Muscle,DAG1,0.994433131254234,3
672,Muscle,KHDRBS1,0.9941991928107549,4
49,Muscle,ULK1,0.9931389042887913,5
7025,Muscle,MLIP,0.99192085494358,6
3960,Muscle,MAFG,0.9911692762432552,7
8600,Pancreas,MXD4,0.9906830818875811,8
4018,Muscle,AKAP9,0.9904884073905692,9
1187,Muscle,PSMC4,0.9900688091384686,10
6704,Muscle,HMGB2,0.9898858826287118,11
5293,Muscle,ATP1B1,0.9892119379307504,12
12554,Pancreas,PLOD3,0.9890794989348929,13
106,Muscle,TTC7B,0.9890728867106385,14
6254,Muscle,ASPA,0.9868885950678512,15
2440,Muscle,SEPT9,0.9866798874357121,16
1138,Muscle,GPAT4,0.9865209183520399,17
4321,Muscle,MAP2K3,0.9862534311856301,18
13179,Pancreas,RPL6,0.9852641783480466,19
12235,Pancreas,GLTSCR2,0.9844594203436633,20
6763,Muscle,LMNA,0.983961273493478,21
2687,Muscle,NDUFS3,0.9838053438836754,22
1206,Muscle,AMOTL2,0.9835773850458194,23
8280,Pancreas,C1orf132,0.9832477422057072,24
5273,Muscle,SPATA2,0.983239194647824,25
5583,Muscle,RFX1,0.9827593615466607,26
3529,Muscle,UBA3,0.9824803485658503,27
2895,Muscle,ZNF672,0.982245982705989,28
257,Muscle,MINK1,0.9816579625511636,29
2342,Muscle,NUPR1,0.9811597803918566,30
6925,Muscle,DCAF15,0.9801850174461527,31
6937,Muscle,OSGIN1,0.9793128091030815,32
1049,Muscle,CDK5RAP2,0.9792872259243725,33
14065,Pancreas,CHRD,0.9791092990297046,34
4252,Muscle,RFESD,0.9790978365685761,35
6689,Muscle,RAB11FIP3,0.978885244020076,36
3190,Muscle,ZNF226,0.9785917141349547,37
7347,Pancreas,NACA,0.9778093864060333,38
2944,Muscle,CERS6,0.9777847390588842,39
2073,Muscle,SNX3,0.9777660873106567,40
3792,Muscle,UGP2,0.9777154662553732,41
9422,Pancreas,SWAP70,0.9767411976777278,42
9981,Pancreas,IL22RA1,0.9767393339745286,43
2388,Muscle,PSMD4,0.976474893224576,44
1599,Muscle,PRSS8,0.9763779234079344,45
