,Tissue Name,Gene Name,Centrality,Rank
0,Adipose,ZNF771,1.0,1
1,Adipose,FSTL1,0.9975697817931273,2
2,Adipose,LRRC59,0.9956839613566741,3
3,Adipose,ORC2,0.9939920279541011,4
4,Adipose,TMEM160,0.989142338361961,5
5,Adipose,SRSF1,0.9875199077349798,6
6,Adipose,CEBPD,0.9860363896552233,7
7,Adipose,CELF6,0.9858889996364979,8
8,Adipose,APOLD1,0.9799871381261148,9
9,Adipose,AMPD2,0.9791564121524614,10
10,Adipose,TPGS1,0.9776799985850266,11
11,Adipose,AP1G1,0.9770901278078673,12
12,Adipose,BACE1,0.9770048454164307,13
13,Adipose,RBM17,0.9767065390728411,14
14,Adipose,KDELR2,0.9762962347343372,15
15,Adipose,FADD,0.9756480809993128,16
16,Adipose,TMUB1,0.9733373502369865,17
17,Adipose,HNRNPU,0.9710540187176043,18
18,Adipose,CHD3,0.9681994698777384,19
19,Adipose,GRASP,0.9674871520694117,20
20,Adipose,MYADM,0.967396922102424,21
21,Adipose,PDIA3,0.9672205563327396,22
22,Adipose,TIFA,0.96683109014191,23
23,Adipose,GSE1,0.9667092338281588,24
24,Adipose,COPG1,0.9658111847447196,25
25,Adipose,PPP2CA,0.9657190073015811,26
26,Adipose,DUSP6,0.9646016227286199,27
27,Adipose,AGO4,0.9645781264693988,28
28,Adipose,LUC7L,0.9632268933315993,29
29,Adipose,PTAR1,0.9619164610257578,30
30,Adipose,CASKIN2,0.9613617676065731,31
31,Adipose,ATP6AP1,0.9599866068695442,32
32,Adipose,KLF9,0.9592462059971095,33
33,Adipose,TMEM198B,0.9577712784457052,34
34,Adipose,HELZ2,0.9570934926535065,35
35,Adipose,HECW2,0.9567897842217163,36
36,Adipose,PFKFB3,0.955462522755221,37
37,Adipose,C5AR2,0.9551772308450796,38
38,Adipose,PIK3R3,0.9550262042690559,39
39,Adipose,RNF144A,0.9539840927416442,40
40,Adipose,HOXB4,0.9530130123084771,41
41,Adipose,CFL1,0.9529578900960163,42
42,Adipose,KLF16,0.952776805130633,43
43,Adipose,INF2,0.9526562744566455,44
44,Adipose,FBRSL1,0.9515569746862127,45
45,Adipose,NEDD9,0.95132919374277,46
