,Tissue Name,Gene Name,Centrality,Rank
5021,Breast,DDR1,1.0,1
5040,Breast,AGPS,0.9983906506361552,2
5685,Breast,BTN3A3,0.9842018204028907,3
7601,Breast,CYP4F12,0.9834944121027336,4
7134,Breast,CDAN1,0.9766643680276224,5
7170,Breast,TSSK3,0.9738781051040416,6
5595,Breast,ZNF324B,0.9736078276288829,7
6922,Breast,TPCN1,0.9719091266583113,8
6877,Breast,ZNF446,0.9712884352788932,9
5973,Breast,ZNF3,0.9708152168127977,10
3872,Breast,PAXIP1,0.9695272821003179,11
7296,Breast,SUPT5H,0.9679626888863008,12
5174,Breast,RP11-464F9.20,0.9672861959576883,13
4703,Breast,LRIG1,0.9663123355657712,14
4036,Breast,CYSLTR1,0.9649909809362615,15
5890,Breast,DLEU2,0.9643792065714518,16
6086,Breast,SUCNR1,0.963831464542162,17
5730,Breast,CCDC178,0.9636234440947855,18
6927,Breast,TOM1L1,0.9628578338359725,19
6778,Breast,KMT2B,0.9626160983142851,20
6841,Breast,L3MBTL1,0.9611865048539106,21
5541,Breast,IGIP,0.9605417889741196,22
7413,Breast,CLIC5,0.9575664563561327,23
4818,Breast,RASGRF2,0.9573022946285757,24
5704,Breast,SMPD4,0.9562496757006369,25
6825,Breast,PRKCZ,0.9552201838845346,26
5187,Breast,RBBP4,0.9552200175179871,27
5043,Breast,RCBTB2,0.9546874508947336,28
4272,Breast,PHF12,0.953880604963267,29
3840,Breast,RP11-368J21.3,0.952094981288528,30
6320,Breast,XAF1,0.951796222720261,31
5515,Breast,ENPEP,0.951647348367419,32
6935,Breast,PLEKHG3,0.9515227264082331,33
6148,Breast,ZNF204P,0.9514450730673863,34
4739,Breast,ADAP2,0.951418460735666,35
5114,Breast,QPCTL,0.948144013430777,36
7103,Breast,WARS,0.9477562280192566,37
5585,Breast,TCF15,0.9477473473112431,38
4577,Breast,ARPC2,0.9447468912844332,39
7380,Breast,ECM1,0.9446608839108696,40
5720,Breast,NCL,0.9413671374551479,41
6519,Breast,HGS,0.9409031305311978,42
5783,Breast,RP11-733O18.1,0.9397171652274592,43
4510,Breast,RP11-473M20.9,0.939692843421199,44
6026,Breast,SPATA5L1,0.9395532339469883,45
7151,Breast,EHMT1,0.9394421271757156,46
7465,Breast,PIDD1,0.9392382918571172,47
5309,Breast,CHERP,0.9379565954841284,48
3900,Breast,IRF6,0.9376591070441239,49
5215,Breast,PATZ1,0.9373678446636238,50
6605,Breast,CD36,0.9365751539591534,51
4633,Breast,C14orf159,0.9363155016373663,52
5479,Breast,KDM4B,0.9362734104679702,53
4580,Breast,PARP14,0.9361508970752814,54
5803,Breast,TAF13,0.9358292618135442,55
4548,Breast,DCBLD1,0.9342493387600738,56
4574,Breast,GOLGA2P5,0.9339553745343045,57
6849,Breast,ZNF554,0.9327381481171207,58
6568,Breast,ZER1,0.9324350011058382,59
4069,Breast,TRIM69,0.9319398348756026,60
6888,Breast,CPQ,0.9314550800853281,61
5158,Breast,ESRP2,0.9305041162485495,62
7355,Breast,RP11-1094M14.5,0.9303064969043381,63
5320,Breast,RP11-347C12.1,0.9294941809498357,64
4618,Breast,RP11-236L14.2,0.9293739664227989,65
6495,Breast,C17orf96,0.9291795945682839,66
7430,Breast,KDM1A,0.9290890597555423,67
4041,Breast,RP11-181E10.3,0.9288242654505736,68
5349,Breast,KIAA1522,0.9281805466837947,69
6295,Breast,SNORA26,0.9280316059759388,70
4552,Breast,ZNF764,0.9276997460161557,71
5700,Breast,ATP8A1,0.9269621099843504,72
4436,Breast,SAP25,0.9269170380930075,73
6458,Breast,DPY19L2,0.9268331230994253,74
6028,Breast,FAR2,0.9267523475147363,75
6768,Breast,RP11-686D22.4,0.9264309097287544,76
3988,Breast,CCND2,0.9261726342374957,77
5598,Breast,RP11-588K22.2,0.9260137629129366,78
4863,Breast,PGM5P4-AS1,0.9256244310541877,79
5030,Breast,ANK3,0.9253142172715004,80
4681,Breast,MAP3K9,0.9252198996830452,81
4839,Breast,GTF3C2,0.9251574146044619,82
7577,Breast,RP11-167P11.2,0.9246013087333493,83
6990,Breast,EDC4,0.9244173758634133,84
7047,Breast,SLFN11,0.9243705487449286,85
5384,Breast,ZNF776,0.9243265578389495,86
5818,Breast,TRDC,0.9242547284768117,87
6487,Breast,DDX60,0.9238463211986202,88
7055,Breast,DSP,0.923795575944604,89
5157,Breast,RP11-694I15.7,0.9237775293614751,90
6570,Breast,IFIT1,0.9233588512563319,91
7348,Breast,SPDEF,0.9230078872022027,92
5017,Breast,RP11-327J17.9,0.9225121089593304,93
4651,Breast,AC104654.2,0.9221221807853657,94
6564,Breast,GAS8,0.9212862946753354,95
4966,Breast,CDRT4,0.9212141072430707,96
5450,Breast,ZFP14,0.9211939278479893,97
4097,Breast,DDX54,0.9209989206242299,98
6040,Breast,RP11-876N24.3,0.920934200182027,99
4280,Breast,KDELR3,0.9207184061928433,100
6923,Breast,RP11-66N24.3,0.9203349444025941,101
7404,Breast,ADAM23,0.9202706413441263,102
6388,Breast,PELP1,0.9200340931884259,103
5171,Breast,CTD-2619J13.14,0.919992477323093,104
4904,Breast,PCDHGB5,0.91885643444597,105
4346,Breast,SMIM10L2A,0.91873045347916,106
5289,Breast,RP5-1159O4.1,0.9185663215262133,107
4978,Breast,ACVR2B-AS1,0.9183742763511524,108
4521,Breast,SKOR1,0.9178233121572159,109
6822,Breast,SMAD7,0.9175426072092469,110
7026,Breast,KCNJ14,0.9174441402422384,111
6563,Breast,LDB1,0.9170707848577095,112
6385,Breast,FABP5,0.9170639272866923,113
4782,Breast,PSMB9,0.9169170882858606,114
7125,Breast,AC005077.14,0.9168240818211274,115
7611,Breast,AC025811.3,0.9165633652282599,116
5830,Breast,NOP14,0.9165068995818093,117
7206,Breast,TLR3,0.9163867314333353,118
6957,Breast,BAIAP2,0.9163300796086258,119
6554,Breast,DDX24,0.9163071828592652,120
6152,Breast,SAMD9,0.9159297389187728,121
5208,Breast,ZNF142,0.915710725629044,122
4508,Breast,GPR143,0.9153135609746217,123
4881,Breast,CNPY4,0.9152661997876613,124
6598,Breast,C18orf54,0.9151599477202769,125
4765,Breast,AP3S1,0.9151185647870198,126
4662,Breast,RBM41,0.9149542152556844,127
5305,Breast,SLC16A5,0.914114160698351,128
4368,Breast,SH3BGRL3,0.9140895449497247,129
6954,Breast,HSD17B13,0.9139846335613394,130
4641,Breast,GET4,0.9137686698489014,131
4252,Breast,TRIM11,0.9134159284710204,132
6512,Breast,PRRC2B,0.9132050478236077,133
3957,Breast,SHROOM3,0.9131488037891837,134
5839,Breast,ETS1,0.9131240571842594,135
3929,Breast,PARP12,0.9129230799280611,136
4408,Breast,GPN2,0.9125913094645159,137
4715,Breast,TAP2,0.9125410149651791,138
6367,Breast,S100A10,0.9122956656228529,139
5919,Breast,BTNL9,0.9120428098504281,140
6209,Breast,MAPKAPK5,0.912001868800635,141
5675,Breast,CCDC189,0.9118813864080336,142
3922,Breast,C19orf71,0.9118461116664568,143
4727,Breast,HIVEP1,0.9117678141870963,144
6316,Breast,AP1S2,0.911260383183483,145
4866,Breast,RP11-496I9.1,0.9111927086567065,146
6371,Breast,TMC7,0.91041628500196,147
4223,Breast,APOBEC3G,0.9103395945746952,148
5083,Breast,TNFSF13B,0.9102729479478046,149
4644,Breast,EIF2S2,0.9102525249981411,150
5286,Breast,SAMD9L,0.9099889971780057,151
4821,Breast,DHX37,0.9099870615015456,152
3940,Breast,ZFPM2,0.9099686003189772,153
5970,Breast,RP11-449P15.2,0.9094783654277837,154
7101,Breast,RALA,0.909460644009175,155
7199,Breast,CTD-2591A1.1,0.909451530614883,156
5348,Breast,KDM5B,0.9090892130060672,157
4191,Breast,SSH3,0.9088696925429285,158
5304,Breast,EIF3D,0.908736274042391,159
5665,Breast,MTHFSD,0.9086988261781199,160
4347,Breast,RP11-61L23.2,0.9086606241754339,161
5137,Breast,RAD18,0.9084413136182609,162
5150,Breast,TCAF2,0.9082067035183006,163
5681,Breast,DCST2,0.9080286160944759,164
5994,Breast,ASPA,0.9078283106715479,165
6634,Breast,PRR15L,0.9078116144907723,166
5996,Breast,CUL9,0.9076539734111485,167
5892,Breast,ZNF19,0.9076161086269162,168
6882,Breast,ANKRD29,0.9074585249885843,169
5249,Breast,EFL1,0.906927805844465,170
7143,Breast,AC005592.1,0.9068861336822598,171
6131,Breast,TMEM101,0.906577108490066,172
3854,Breast,PTDSS1,0.9065028935601438,173
6790,Breast,ZNF606,0.90648116537274,174
6319,Breast,CXCR2P1,0.9063550595637964,175
4294,Breast,PRPF8,0.9063069356745413,176
4868,Breast,RP11-203J24.8,0.9062994858503707,177
5260,Breast,CCDC192,0.9062986332116773,178
4913,Breast,MMP25,0.9062208367646324,179
7122,Breast,STARD3,0.9060865384518461,180
7509,Breast,HSD17B1P1,0.9060064730641453,181
5009,Breast,IGF2BP2,0.9059152293559866,182
4801,Breast,CCDC130,0.9050418362906805,183
5496,Breast,SETD1A,0.9046109943961625,184
7301,Breast,GRIK3,0.9043123138551632,185
5559,Breast,KIF22,0.9040717917699009,186
998,Kidney,ANKRD39,0.9036759876851393,187
6748,Breast,CAPN11,0.903654268494466,188
6445,Breast,KCNJ8,0.903197490450348,189
6629,Breast,NOP9,0.9029867800692304,190
6413,Breast,RP11-81H14.2,0.9029739005552243,191
4241,Breast,RAN,0.902967943219541,192
6061,Breast,ZKSCAN1,0.9028550920571747,193
7010,Breast,NAV1,0.9027949584728195,194
4421,Breast,REEP1,0.9027826662093908,195
5300,Breast,RP11-299G20.2,0.9026954063146609,196
6807,Breast,P4HTM,0.9024741617050778,197
4033,Breast,KIAA1958,0.9024685081916431,198
6693,Breast,MCM7,0.9024090182925186,199
4534,Breast,ZNF577,0.9022977824569551,200
5029,Breast,A2M,0.902230047621093,201
2456,Kidney,RALGPS1,0.9021423635288437,202
6181,Breast,GJC3,0.9020578356898926,203
5909,Breast,IGF1R,0.9018288387707086,204
6784,Breast,RP11-686D22.7,0.9017664613286711,205
3860,Breast,EIF4ENIF1,0.9015654559162298,206
7605,Breast,CCNO,0.9015554803313571,207
6025,Breast,MYBBP1A,0.9015473988444165,208
6177,Breast,PLEKHA2,0.9015143797754912,209
6893,Breast,ARHGAP44,0.9012110356653498,210
7610,Breast,SNAP47,0.9011778309386637,211
4896,Breast,HEPACAM2,0.9010527627734861,212
6363,Breast,CTDP1,0.9009186718891592,213
4578,Breast,ZNF213,0.9007983549143938,214
5269,Breast,WDR74,0.9005681706323385,215
4496,Breast,GPR4,0.900506005834922,216
1472,Kidney,RP11-568K15.1,0.9004941423059527,217
4122,Breast,CTD-2020K17.1,0.9003695402400842,218
4340,Breast,SETDB2,0.900307373733756,219
6348,Breast,CLUHP3,0.8998955531277326,220
5810,Breast,CMTM3,0.8998000290304647,221
4043,Breast,PPP2R3C,0.8997748475206185,222
618,Kidney,MRGBP,0.8997739364926574,223
5082,Breast,FAM83H-AS1,0.8997698426527523,224
6703,Breast,ABAT,0.8997567099734382,225
5802,Breast,FABP4,0.8994234608264641,226
7437,Breast,ZNF530,0.8990558335623886,227
5032,Breast,MILR1,0.8988479076196896,228
6145,Breast,IGFBP7,0.898693489297075,229
4906,Breast,DNAJB13,0.8983454313052667,230
4599,Breast,EXOC3,0.8982991537076029,231
5557,Breast,IFT140,0.8981940360891391,232
5361,Breast,PIP4K2C,0.8979361747516922,233
4804,Breast,DDIT4,0.8979184108060411,234
5330,Breast,LRMP,0.8975435768941769,235
6661,Breast,LY96,0.8975096601000636,236
5235,Breast,EML1,0.897421140373231,237
4642,Breast,RNU4-2,0.897099064671697,238
5466,Breast,TRPV3,0.8968145278112385,239
6115,Breast,CLUH,0.8967527561660691,240
1666,Kidney,ALS2,0.8967405852173717,241
4008,Breast,AC108004.2,0.8962727049887623,242
4473,Breast,TPK1,0.8960905013756814,243
6585,Breast,RP11-2E11.9,0.8957845937320075,244
4653,Breast,SPCS3,0.8955673919439909,245
291,Kidney,MKNK1-AS1,0.8954448772368591,246
7408,Breast,SYT7,0.8953376105514761,247
7092,Breast,SET,0.8953286238459693,248
7568,Breast,KANTR,0.8950251097683684,249
6230,Breast,PLPPR4,0.8949380508950567,250
6470,Breast,TRIM34,0.8947078060304278,251
5315,Breast,CCDC57,0.8946997776785084,252
6581,Breast,UNKL,0.8945696503563986,253
5733,Breast,SCYL3,0.8945437698807313,254
4311,Breast,CTD-2260A17.1,0.8945240143878002,255
6166,Breast,RP11-132A1.4,0.8943679880949295,256
5191,Breast,ZBED9,0.8942789645331012,257
6378,Breast,RP11-297D21.2,0.8942032622009639,258
6274,Breast,HS6ST1,0.8940951619724693,259
6515,Breast,EIF4A1,0.8939096354321663,260
7167,Breast,ANKLE2,0.893640594137338,261
5101,Breast,BSPRY,0.8934277764916396,262
4399,Breast,XXbac-B476C20.9,0.8932055949901805,263
4517,Breast,TRPV2,0.893014563445602,264
5216,Breast,NOB1,0.8929949918656725,265
6575,Breast,RP11-884K10.7,0.8929029962320879,266
7385,Breast,CCAR2,0.8928923249091932,267
5185,Breast,EBF2,0.8927735575540706,268
7068,Breast,RP4-584D14.7,0.8926584545370518,269
5646,Breast,C20orf197,0.8926034918722489,270
4971,Breast,VTCN1,0.8923986439166373,271
4450,Breast,CD99,0.8923782078284339,272
7587,Breast,NOXRED1,0.892375788189682,273
4284,Breast,ZNF345,0.8923293378495307,274
1012,Kidney,SHISA5,0.8921501508654897,275
5429,Breast,BCL9,0.8920957262467084,276
1020,Kidney,RP11-157G21.2,0.8919484693911134,277
4052,Breast,SYTL5,0.8917578281342531,278
5854,Breast,CTB-12O2.1,0.8917306852196892,279
7323,Breast,RP11-359D14.2,0.8917169518240381,280
4738,Breast,HLX,0.8917049887539948,281
5904,Breast,CLASRP,0.8916925800738245,282
2235,Kidney,FTH1P1,0.8916304070829426,283
6337,Breast,DDI2,0.8914499586841882,284
4802,Breast,SLC15A2,0.8914074665673432,285
5780,Breast,GTF2IRD1,0.8913864341004782,286
4306,Breast,PCDH17,0.891342688234962,287
3442,Kidney,SYNJ2BP,0.8913344350186351,288
4519,Breast,RWDD4,0.8911838754005903,289
5440,Breast,MICALCL,0.891081723053187,290
5511,Breast,PDZD8,0.8910704058301254,291
2436,Kidney,RP13-317D12.3,0.8904951098546479,292
