,Tissue Name,Gene Name,Centrality,Rank
0,Kidney,COL16A1,1.0,1
1,Kidney,FBLN1,0.9970260335132327,2
2,Kidney,SERPINF1,0.9939410651099164,3
3,Kidney,SVEP1,0.9885657488567743,4
4,Kidney,SRPX2,0.9727949214160788,5
5,Kidney,CYBRD1,0.9697839372409438,6
6,Kidney,STEAP4,0.9634929906893998,7
7,Kidney,TNS3,0.9622196483407879,8
8,Kidney,FMOD,0.9599146417797693,9
9,Kidney,BCL2L2,0.9580199235932401,10
10,Kidney,USP19,0.9544866167642122,11
11,Kidney,RP11-274B21.9,0.9540010188398741,12
12,Kidney,C1R,0.9531480675956218,13
13,Kidney,NRIP2,0.9523358241734818,14
14,Kidney,FKBP11,0.9515401241920605,15
15,Kidney,PLOD3,0.9501400722536166,16
16,Kidney,PPP1R14A,0.9483996154381479,17
17,Kidney,PLCE1,0.9467296017251221,18
18,Kidney,COL8A1,0.945904233208519,19
19,Kidney,GTF2H1,0.9450516878393288,20
20,Kidney,B4GAT1,0.944677995941091,21
21,Kidney,USP5,0.9438173452705257,22
22,Kidney,SMARCD3,0.9436021509207567,23
23,Kidney,SAMHD1,0.9430598372789536,24
24,Kidney,TMEM116,0.9406705903165069,25
25,Kidney,UGT1A9,0.9396805926725871,26
26,Kidney,LAMP2,0.9394205001383766,27
27,Kidney,ST6GALNAC3,0.939320955569644,28
28,Kidney,FHL5,0.939066643613911,29
29,Kidney,IGF1R,0.938589836951742,30
30,Kidney,SPON1,0.9385133018112577,31
31,Kidney,RBM3,0.9383161204751574,32
32,Kidney,PALLD,0.9379697833264312,33
33,Kidney,ATP6V0D1,0.9371319562531755,34
34,Kidney,SHKBP1,0.9370515275328604,35
35,Kidney,SYS1,0.9356702037571644,36
36,Kidney,PCYOX1,0.9356490618098459,37
37,Kidney,HAT1,0.9346680446719329,38
38,Kidney,CMTM7,0.9338203372459198,39
39,Kidney,SLC3A1,0.9337428029965187,40
40,Kidney,GGT5,0.9336971393622582,41
41,Kidney,RGS16,0.9328731908722294,42
42,Kidney,CENPO,0.9326151379492222,43
43,Kidney,EMC3,0.9324735439092728,44
44,Kidney,TNS1,0.9318904327769151,45
45,Kidney,MYO5B,0.9317680728707536,46
46,Kidney,ASXL1,0.9314450606289633,47
47,Kidney,MESDC2,0.9303069683128447,48
48,Kidney,ELL,0.9302980386422987,49
49,Kidney,OGDH,0.9296808210182592,50
50,Kidney,ADRA2A,0.9292347104216597,51
51,Kidney,LINC00839,0.9290081762497588,52
52,Kidney,PDLIM2,0.9287265371683833,53
53,Kidney,LYSMD4,0.9284564513874682,54
54,Kidney,HUWE1,0.9283764947965296,55
55,Kidney,CDK13,0.9274936610331822,56
56,Kidney,LRRC2,0.9271059246129255,57
57,Kidney,SPATA18,0.9270360625296005,58
58,Kidney,PES1,0.9267823557702941,59
59,Kidney,FH,0.9266063972829459,60
60,Kidney,RBMS3,0.9261483431525129,61
61,Kidney,RAB40A,0.92607113063637,62
62,Kidney,SPIDR,0.9253279563787093,63
63,Kidney,PLA2G4A,0.9252741824126411,64
64,Kidney,ATG16L2,0.92514026647838,65
65,Kidney,XYLT2,0.9250322038992405,66
66,Kidney,ZNF550,0.9249689996735062,67
67,Kidney,CTSK,0.9244934996174305,68
68,Kidney,RP11-159D12.2,0.9238394260585603,69
69,Kidney,CFAP97,0.9235216142327718,70
70,Kidney,VLDLR,0.9226018638747809,71
71,Kidney,TXLNA,0.9225346835839131,72
72,Kidney,LAPTM4A,0.9225235477351944,73
73,Kidney,GLB1,0.9224242705734939,74
74,Kidney,TACC1,0.9221145392174376,75
75,Kidney,TADA2B,0.9220658009229648,76
76,Kidney,RP9P,0.9219906020725928,77
77,Kidney,POU5F1,0.9216663939269467,78
78,Kidney,USP2,0.9213184604285859,79
79,Kidney,ASPSCR1,0.921006819352291,80
80,Kidney,STAT5B,0.9208925415112086,81
81,Kidney,SLC25A25-AS1,0.920420279415681,82
82,Kidney,MLLT6,0.9201643686226306,83
83,Kidney,HTT,0.9199016018862618,84
84,Kidney,CRTC3,0.9198604674773866,85
85,Kidney,LINC01420,0.9193976290976581,86
86,Kidney,HSPA1A,0.9190862231170744,87
87,Kidney,ADAP1,0.9189925869674023,88
88,Kidney,NADK2,0.918760737238948,89
89,Kidney,DDX54,0.9185161186653289,90
90,Kidney,DSTN,0.9181292962843787,91
91,Kidney,VAMP5,0.9179994059013074,92
92,Kidney,ZDHHC8,0.9178038360787847,93
93,Kidney,TIMM50,0.9171702034889865,94
94,Kidney,NDUFS3,0.9169977949058449,95
95,Kidney,PIP5KL1,0.9168735238138117,96
96,Kidney,RNF13,0.9166436008396752,97
97,Kidney,NCDN,0.9165939090634432,98
98,Kidney,PYCR2,0.9162766829979769,99
99,Kidney,ARHGEF26-AS1,0.9162198154645672,100
100,Kidney,ASB1,0.9161720886018891,101
101,Kidney,GRB2,0.9161397755665045,102
102,Kidney,ERLIN1,0.9159350889194644,103
103,Kidney,RP11-182L21.6,0.9148530853968363,104
104,Kidney,TUG1,0.914763927476186,105
105,Kidney,NOP2,0.9146720068931564,106
106,Kidney,ACVR2A,0.9142726461349092,107
107,Kidney,VILL,0.9141737386296389,108
108,Kidney,LMTK2,0.9141131877419563,109
109,Kidney,SLC25A37,0.9136600353610376,110
110,Kidney,GM2A,0.9136280990379215,111
111,Kidney,PSAP,0.9135291853532186,112
112,Kidney,RBM10,0.9127407758908647,113
113,Kidney,MRVI1,0.9126575196289294,114
114,Kidney,NANS,0.912376504605606,115
115,Kidney,BRF1,0.9122991497457947,116
116,Kidney,RP5-1112D6.7,0.9116582194088358,117
117,Kidney,RGP1,0.9116432848837893,118
118,Kidney,FPGS,0.911393425996896,119
119,Kidney,SEPT4,0.911151597739681,120
120,Kidney,MSRB3,0.9111072148920195,121
121,Kidney,CRIP3,0.9109189495393634,122
122,Kidney,TARS2,0.9107044299693592,123
123,Kidney,PCMT1,0.9106502747796198,124
124,Kidney,PPP5C,0.9105943752962911,125
125,Kidney,C1QL1,0.9103103266136303,126
126,Kidney,PKDCC,0.9102983691548268,127
127,Kidney,AP5M1,0.91008117321139,128
128,Kidney,CPSF7,0.9100438687977981,129
129,Kidney,RP11-324I22.4,0.9094991072104839,130
130,Kidney,RAB8A,0.9094699039803337,131
131,Kidney,PTPRO,0.908491087695345,132
132,Kidney,CPE,0.9077374549835026,133
133,Kidney,RFX1,0.9075565721614022,134
134,Kidney,SYPL1,0.9074083375820805,135
135,Kidney,CCDC127,0.9073750992904686,136
136,Kidney,SNX21,0.907223718382316,137
137,Kidney,RPAP3,0.9071524446638504,138
138,Kidney,MKL2,0.907109103172722,139
139,Kidney,TRAPPC1,0.9070684223051708,140
140,Kidney,RP11-64B16.2,0.9068949318654281,141
141,Kidney,PTPRQ,0.9068583431439406,142
142,Kidney,SRM,0.9067434137900131,143
143,Kidney,RP11-304L19.11,0.9062892611510999,144
144,Kidney,PASK,0.9061085184053979,145
145,Kidney,GMDS,0.9059698980447335,146
146,Kidney,RRAS,0.9058639794157011,147
