,Tissue Name,Gene Name,Centrality,Rank
0,Adrenal,SPRY4,1.0,1
1,Adrenal,GNS,0.9895487073845567,2
2,Adrenal,HNRNPH1,0.9888017780733297,3
3,Adrenal,SERBP1,0.974989635776503,4
4,Adrenal,ATP6V1H,0.9702687124688448,5
5,Adrenal,LRRC59,0.9663741583574079,6
6,Adrenal,SEC11C,0.963321709062105,7
7,Adrenal,SYT12,0.9599219042625929,8
8,Adrenal,CBX5,0.9596345925430362,9
9,Adrenal,MCF2L2,0.9586622835469439,10
10,Adrenal,ABCC5,0.9571406583496871,11
11,Adrenal,TOR1AIP1,0.9559537184233909,12
12,Adrenal,KDELR2,0.9553930488091217,13
13,Adrenal,SLK,0.9551699830587015,14
14,Adrenal,ARF6,0.9549123882442442,15
15,Adrenal,CSF1R,0.9540736402536626,16
16,Adrenal,MICU1,0.9531960708735177,17
17,Adrenal,TMEM167A,0.9521254402317744,18
18,Adrenal,SSR3,0.9505087822110085,19
19,Adrenal,ZC3H18,0.9504240823369644,20
20,Adrenal,SMARCA4,0.9499722152540315,21
21,Adrenal,ROBO1,0.9497151816277231,22
22,Adrenal,NIPBL,0.9494271096421081,23
23,Adrenal,RRAGD,0.9492344705941338,24
24,Adrenal,TUT1,0.9484637278493228,25
25,Adrenal,AMIGO2,0.9478996570145423,26
26,Adrenal,HSP90B1,0.9471945859404316,27
27,Adrenal,MFSD14B,0.9469994550830808,28
28,Adrenal,GABBR1,0.945799793797722,29
29,Adrenal,ACY1,0.9454438265308791,30
30,Adrenal,GGCT,0.9445557468658824,31
31,Adrenal,NDUFS2,0.9439592037489487,32
32,Adrenal,TP53INP1,0.9430399064976027,33
33,Adrenal,EIF4G2,0.9428964545299107,34
34,Adrenal,CCDC12,0.9425394151280535,35
35,Adrenal,AMHR2,0.9421706110684626,36
36,Adrenal,BTK,0.9416803129423745,37
37,Adrenal,DIAPH1,0.9415667356280902,38
38,Adrenal,SRPRB,0.9398239982007488,39
39,Adrenal,SEC61A1,0.9391982677842315,40
40,Adrenal,FAM50A,0.9391137009508482,41
41,Adrenal,TMEM234,0.9389063907423252,42
42,Adrenal,FAM63B,0.9383947920491146,43
43,Adrenal,TUBG1,0.9379999449046715,44
44,Adrenal,COBLL1,0.9378292909449222,45
45,Adrenal,ZNF26,0.9378253238327635,46
46,Adrenal,TTC8,0.9365630379616602,47
47,Adrenal,SRSF11,0.9365041070051834,48
48,Adrenal,SLC26A11,0.9360408248446193,49
49,Adrenal,HAT1,0.9360063369864066,50
50,Adrenal,CTIF,0.9358217631933857,51
51,Adrenal,SAFB,0.9353617052448435,52
52,Adrenal,MYCBP2,0.9353613258333892,53
53,Adrenal,PUM1,0.9353152810170176,54
54,Adrenal,MTMR1,0.9349718044082989,55
55,Adrenal,ZNF133,0.934705802433505,56
56,Adrenal,EPS8,0.9344650366348571,57
57,Adrenal,WDFY3-AS2,0.9337768418053096,58
58,Adrenal,TRA2B,0.9325962321655241,59
59,Adrenal,EIF3I,0.9319265536172607,60
60,Adrenal,HMBOX1,0.9316593303451539,61
61,Adrenal,SNX8,0.9312739117241337,62
62,Adrenal,TMED2,0.9309980329371933,63
63,Adrenal,EIF5,0.9306519838781525,64
64,Adrenal,SIDT2,0.9301637391530009,65
65,Adrenal,TBC1D15,0.9300737067219769,66
66,Adrenal,SCAF4,0.9292937878530614,67
67,Adrenal,SYNCRIP,0.9289857877938164,68
68,Adrenal,WDR45,0.9287789100479528,69
69,Adrenal,DCAF6,0.9282747808906767,70
70,Adrenal,CD2BP2,0.9279446709455017,71
71,Adrenal,BHLHE41,0.9276540390746114,72
72,Adrenal,RNASET2,0.9271849852923721,73
73,Adrenal,SARAF,0.9269938062848148,74
74,Adrenal,BOLA3,0.9269158949671276,75
75,Adrenal,RCC2,0.9269081190219156,76
76,Adrenal,KLHL18,0.9263806777152663,77
77,Adrenal,ISYNA1,0.9261986553530803,78
78,Adrenal,PPP3CA,0.9260808299170868,79
79,Adrenal,MKRN1,0.9260329277233365,80
80,Adrenal,GLRX3,0.9258029069080452,81
81,Adrenal,TM9SF3,0.9256854802098786,82
82,Adrenal,ABCD2,0.9245996310082255,83
83,Adrenal,SLC35F6,0.9243101217954109,84
84,Adrenal,STRADB,0.9236589119471963,85
85,Adrenal,ARFIP2,0.9233664479867582,86
86,Adrenal,GMPS,0.9231856807588494,87
87,Adrenal,DCN,0.9228739187779808,88
88,Adrenal,ARF1,0.9227713669364656,89
89,Adrenal,CNST,0.9226760053142082,90
90,Adrenal,NEK9,0.9224525861705575,91
91,Adrenal,FAM162A,0.9220542763743996,92
92,Adrenal,PNRC2,0.9220417807498715,93
93,Adrenal,PCYT2,0.9212158470647406,94
94,Adrenal,GNPTG,0.9211177211269863,95
95,Adrenal,BET1L,0.921000142082417,96
96,Adrenal,DDIT3,0.9209109425735634,97
97,Adrenal,TRIM8,0.920856158753,98
98,Adrenal,GLT8D1,0.9208355544753564,99
99,Adrenal,HMGN5,0.9204801730655263,100
100,Adrenal,CC2D1A,0.9201169280754949,101
101,Adrenal,POLR2L,0.9198980408903473,102
102,Adrenal,HCFC1R1,0.9195334097778752,103
103,Adrenal,TUSC2,0.9195304702175343,104
104,Adrenal,SRPRA,0.9191420606398307,105
105,Adrenal,ARF5,0.9189209200871208,106
106,Adrenal,BLOC1S4,0.9186022957853406,107
107,Adrenal,PSMC6,0.9185261169038412,108
108,Adrenal,TBXA2R,0.9182906705215186,109
109,Adrenal,UBAP2,0.9181288484898041,110
110,Adrenal,RP11-452L6.5,0.9179270540639343,111
111,Adrenal,DAZAP2,0.9177818693433544,112
112,Adrenal,RALGAPA2,0.9177476097855812,113
113,Adrenal,RMND5A,0.9176636024933778,114
114,Adrenal,BYSL,0.9173971188346053,115
115,Adrenal,SH3PXD2B,0.9171992583103662,116
116,Adrenal,PDXK,0.9169205198665015,117
117,Adrenal,SYNJ2,0.9168633362751513,118
118,Adrenal,MGEA5,0.916786409708435,119
119,Adrenal,TRIM24,0.9166382010528391,120
120,Adrenal,DHX15,0.9166112796800606,121
121,Adrenal,PTPRC,0.9162925848411599,122
122,Adrenal,TMX1,0.9159473973576044,123
123,Adrenal,ATP5F1,0.9157717596769903,124
124,Adrenal,PDIA4,0.9154777934918445,125
125,Adrenal,UBB,0.9150837818262954,126
126,Adrenal,RSBN1,0.9150812215278847,127
127,Adrenal,GATAD2A,0.9144291536826924,128
128,Adrenal,FAM161B,0.9143342094541544,129
129,Adrenal,PCF11,0.9142636092488063,130
130,Adrenal,PSME4,0.9142290037429892,131
131,Adrenal,STX12,0.9142147156337159,132
132,Adrenal,RXRA,0.9142097363503524,133
133,Adrenal,AP3D1,0.9139362417854595,134
134,Adrenal,KCTD17,0.9138410769199401,135
135,Adrenal,COL4A1,0.9137755862525216,136
136,Adrenal,RRAGB,0.9137080714550866,137
137,Adrenal,FH,0.9133829380787902,138
138,Adrenal,STS,0.9133157985994639,139
139,Adrenal,ATP5A1,0.9131689040523545,140
140,Adrenal,ZFAND4,0.9130012195473692,141
141,Adrenal,SATB1,0.9129134860291293,142
142,Adrenal,PURA,0.9128855236786239,143
143,Adrenal,SFXN1,0.9126554830174255,144
144,Adrenal,ZSWIM8,0.9125484683282289,145
145,Adrenal,NUDCD3,0.9124812519462367,146
146,Adrenal,SERPINB9,0.9120963175831268,147
147,Adrenal,PLEKHO2,0.912073298566883,148
148,Adrenal,ARCN1,0.9118581872992886,149
149,Adrenal,SPATS2L,0.9117637075222454,150
150,Adrenal,ZDHHC17,0.9116922534249078,151
151,Adrenal,ZMIZ1-AS1,0.9116505405168956,152
152,Adrenal,AMDHD2,0.9116213327689947,153
153,Adrenal,PGBD1,0.9112768717408298,154
154,Adrenal,ATP6V1F,0.91111873420037,155
155,Adrenal,LSM3,0.910929173259055,156
156,Adrenal,FADD,0.910806365720859,157
157,Adrenal,ADAM10,0.9106498131912506,158
158,Adrenal,CHD2,0.9105353660158669,159
159,Adrenal,OSCP1,0.9104869208191878,160
160,Adrenal,RELA,0.9104651654677534,161
161,Adrenal,AGO3,0.9103665777086402,162
162,Adrenal,CYB561A3,0.9102200854075541,163
163,Adrenal,EXOC6,0.9102107801097409,164
164,Adrenal,RUNDC1,0.9101862423447566,165
165,Adrenal,AC007246.3,0.9101499172532911,166
166,Adrenal,MFAP3,0.9100887235412379,167
167,Adrenal,THADA,0.9100111744295704,168
168,Adrenal,TTBK2,0.9098881944328091,169
169,Adrenal,TAGLN,0.9098639972275461,170
170,Adrenal,MAN2A1,0.9098193558355723,171
171,Adrenal,CERS2,0.9098095115418383,172
172,Adrenal,CCDC58,0.9097472021910652,173
173,Adrenal,C3AR1,0.9097166747504579,174
174,Adrenal,DDR2,0.9094137840596739,175
175,Adrenal,MRC2,0.9093434540219235,176
