,Tissue Name,Gene Name,Centrality,Rank
0,Muscle,ATP1B1,1.0,1
1,Muscle,AHNAK,0.9951916913000939,2
2,Muscle,ASPA,0.9927859542878724,3
3,Muscle,CRTC3,0.9888955509451733,4
4,Muscle,RFC2,0.9863931726382253,5
5,Muscle,TBC1D4,0.9837866133680517,6
6,Muscle,UGP2,0.9832398872245038,7
7,Muscle,GTF3C1,0.9825402163510624,8
8,Muscle,ARHGEF10L,0.9820573867967266,9
9,Muscle,CIRBP,0.9818110672201303,10
10,Muscle,XPO1,0.9817848628111537,11
11,Muscle,AKT2,0.9816976094450591,12
12,Muscle,GGA2,0.9809228598227265,13
13,Muscle,OSGIN1,0.9803421887136626,14
14,Muscle,HACD1,0.9802969809268964,15
15,Muscle,SYNC,0.9790147213809947,16
16,Muscle,COQ8B,0.9788853540951653,17
17,Muscle,RFESD,0.97833263269341,18
18,Muscle,TMEM135,0.9782330562498347,19
19,Muscle,VPS13B,0.9780996697575814,20
20,Muscle,RPLP2,0.9775323078627781,21
21,Muscle,SSH1,0.9773519348324321,22
22,Muscle,DYRK1B,0.9771922654782599,23
23,Muscle,BCOR,0.9771473803518905,24
24,Muscle,MLIP,0.9770694023601382,25
25,Muscle,DENND2C,0.9770118711608804,26
26,Muscle,FLOT2,0.9768886755716586,27
27,Muscle,ZNF771,0.9768069822239581,28
28,Muscle,ST3GAL5,0.9763600369951064,29
29,Muscle,TUBB2A,0.9763395336095884,30
30,Muscle,PTP4A3,0.9760447536702513,31
31,Muscle,SPPL2B,0.9757402942460622,32
32,Muscle,GLI1,0.9756273933934052,33
33,Muscle,G3BP2,0.9754888695763632,34
34,Muscle,RPL30,0.9754858435225531,35
35,Muscle,LIX1L,0.975325331481828,36
36,Muscle,SFMBT2,0.9752982318168419,37
37,Muscle,PRKAA2,0.9751363330599658,38
38,Muscle,ELMSAN1,0.975004085372888,39
39,Muscle,UBL7,0.9749952197404247,40
40,Muscle,DDR1,0.9749615719607682,41
41,Muscle,ANXA11,0.9747306030078456,42
42,Muscle,OGT,0.9743529725563647,43
43,Muscle,SCN3B,0.9743482294833392,44
44,Muscle,CDK5RAP2,0.9741608138139258,45
45,Muscle,KCTD11,0.9741506942383706,46
46,Muscle,NOG,0.9741233629458831,47
47,Muscle,CNST,0.9737672991722724,48
48,Muscle,PACS1,0.9737261868372042,49
49,Muscle,TPPP2,0.973496835613358,50
50,Muscle,USP32,0.9733387404644268,51
51,Muscle,DCN,0.9731171219713258,52
52,Muscle,ZDHHC23,0.9728575802162034,53
53,Muscle,SGCB,0.9727248808813073,54
54,Muscle,AKAP9,0.9725482962725158,55
55,Muscle,GPAT4,0.972442944466454,56
56,Muscle,JPH1,0.9724216528262652,57
57,Muscle,PDS5B,0.9723397772005599,58
58,Muscle,WHSC1,0.9718112704667964,59
59,Muscle,RPRD2,0.9716074826698031,60
60,Muscle,BCAT2,0.9714829121018462,61
61,Muscle,PCBD2,0.9714021451934459,62
62,Muscle,LMNA,0.9713039942598926,63
63,Muscle,IGFBP6,0.9712476427629162,64
64,Muscle,NDUFV2-AS1,0.9709564797492247,65
65,Muscle,MAGED2,0.9708632584758196,66
66,Muscle,FAM65B,0.9707561095214291,67
67,Muscle,DLGAP4,0.9706818242559929,68
68,Muscle,DST,0.9706610755642542,69
69,Muscle,RBSN,0.9705312865222842,70
70,Muscle,LUC7L3,0.9705153066608825,71
71,Muscle,LRP1,0.9703016512033658,72
72,Muscle,MAFG,0.9702393104220159,73
73,Muscle,SERPINB6,0.9702268736837484,74
74,Muscle,TMEM55A,0.9700908547069784,75
75,Muscle,ABCC9,0.9699461150148417,76
76,Muscle,FZD4,0.9698324220714474,77
77,Muscle,BAG2,0.969576754887436,78
78,Muscle,RCAN2,0.9694849077804563,79
79,Muscle,ZNF517,0.9692455120671472,80
80,Muscle,PWAR6,0.969167821532586,81
81,Muscle,ASCC2,0.9690967341936095,82
82,Muscle,UHRF1BP1L,0.9690437195586139,83
83,Muscle,TOR1AIP1,0.9689828768890529,84
84,Muscle,FKBP3,0.9689724162274773,85
85,Muscle,CERS6,0.968783514479283,86
86,Muscle,TNKS1BP1,0.9687130446965346,87
87,Muscle,CHMP5,0.9686845916337371,88
88,Muscle,EPG5,0.9686705452705144,89
89,Muscle,UST,0.9686236977374475,90
90,Muscle,CACNB1,0.9686130468864377,91
91,Muscle,MAP4,0.9685655712612137,92
92,Muscle,ZFP41,0.9678860988547413,93
93,Muscle,TUBGCP6,0.9675843598284015,94
94,Muscle,MAP1LC3C,0.9675187864724236,95
95,Muscle,TEAD3,0.9674763408939987,96
96,Muscle,MMS19,0.9673394390118177,97
97,Muscle,ZNF432,0.9670511440002658,98
