,Tissue Name,Gene Name,Centrality,Rank
4136,Pancreas,EMILIN1,1.0,1
3502,Pancreas,MXD4,0.9938711370331973,2
2891,Pancreas,PLOD3,0.992515253742735,3
639,Pancreas,RPL6,0.9884576406670377,4
1144,Pancreas,GLTSCR2,0.9879965597970757,5
1474,Pancreas,C1orf132,0.9870569212485065,6
3296,Pancreas,CHRD,0.9830495822963897,7
964,Pancreas,NACA,0.9823524219992086,8
1529,Pancreas,IL22RA1,0.9813194961923111,9
5854,Pancreas,PPP1R1B,0.9798361864755122,10
3171,Pancreas,ESRP2,0.9797350786533218,11
1813,Pancreas,COL1A2,0.9792106720803501,12
2960,Pancreas,SWAP70,0.9789251430936836,13
218,Pancreas,RHOV,0.9770713745302355,14
2228,Pancreas,ARRB1,0.9755916770979082,15
6060,Pancreas,PIGR,0.9752329978068927,16
6363,Pancreas,ULK1,0.9747486830304222,17
6370,Pancreas,FMC1,0.9745737414551977,18
4787,Pancreas,PPM1F,0.9745034618684884,19
398,Pancreas,CCDC80,0.9744880211325433,20
4212,Pancreas,LSR,0.9742621575392255,21
5509,Pancreas,MOB3C,0.974182481140706,22
1298,Pancreas,MDM2,0.9740972090792624,23
963,Pancreas,RPS16,0.9739547852880582,24
5162,Pancreas,DAGLA,0.9737779388975701,25
1463,Pancreas,TLE1,0.9731410313274984,26
5260,Pancreas,CRYAB,0.9728867099856261,27
3795,Pancreas,RPL38,0.9725494598856582,28
4683,Pancreas,C19orf60,0.9718429029761907,29
6507,Pancreas,STRA13,0.9715546920416015,30
2935,Pancreas,TNFRSF12A,0.9713089594343098,31
3663,Pancreas,NLK,0.9710952014155926,32
883,Pancreas,HHIP-AS1,0.9709100080406126,33
3765,Pancreas,UBTF,0.9706239260481524,34
1979,Pancreas,SLC4A4,0.970149137287029,35
1195,Pancreas,TMEM160,0.9699240480051667,36
3219,Pancreas,S100A11,0.9697157904506,37
2020,Pancreas,RPL35,0.9697129905953151,38
2944,Pancreas,ARHGAP21,0.9696342255760556,39
2289,Pancreas,CCNB1IP1,0.9695383514653766,40
5323,Pancreas,BICC1,0.9694652822879233,41
6851,Pancreas,LMAN1,0.9694476370168306,42
707,Pancreas,ATP1B1,0.9694398109776438,43
5321,Pancreas,SPIN1,0.9694170731787632,44
6465,Pancreas,CDIP1,0.9690030802514715,45
5197,Pancreas,RPL36A,0.9689799880732269,46
5263,Pancreas,CITED4,0.9688461660065917,47
6095,Pancreas,KMT2D,0.9687949624182496,48
1751,Pancreas,VGLL3,0.9685811587543606,49
6308,Pancreas,C14orf1,0.9682064417629134,50
4037,Pancreas,NUTF2,0.9681658157115268,51
3383,Pancreas,ZNF316,0.9681647798911902,52
3334,Pancreas,FBLIM1,0.9677927476109646,53
2384,Pancreas,SNAP23,0.9675782678053143,54
6282,Pancreas,ALS2CL,0.9671459780884589,55
4489,Pancreas,NDST1,0.9670365649694225,56
1194,Pancreas,NIPAL3,0.96697923228462,57
82,Pancreas,ATP6V0D1,0.966425964300003,58
3535,Pancreas,MAPK8IP1,0.9662458207937556,59
3119,Pancreas,CCDC85B,0.9661427252360895,60
292,Pancreas,S100A6,0.966025333746773,61
6524,Pancreas,TP53,0.9660142538540951,62
5319,Pancreas,ARAP1,0.9658858483678575,63
3494,Pancreas,MARCKS,0.965783531756399,64
3162,Pancreas,PSMB1,0.9657100148616796,65
6307,Pancreas,FAM129A,0.9656067813306798,66
5125,Pancreas,RPL37,0.9655522686904191,67
3332,Pancreas,PRR7,0.9655249901437043,68
1532,Pancreas,UFM1,0.9654095142348326,69
1573,Pancreas,PODN,0.9653840982228109,70
4576,Pancreas,EDA2R,0.9653766814768824,71
6712,Pancreas,ZC3H14,0.965205510679087,72
928,Pancreas,HDAC5,0.9651196054553098,73
4220,Pancreas,BCL3,0.965038453271185,74
5472,Pancreas,TIMP1,0.9650168773506179,75
3318,Pancreas,PHLPP2,0.9648787528204302,76
643,Pancreas,PCOLCE,0.9644189157724529,77
6553,Pancreas,PSMB10,0.9643444560401762,78
6948,Pancreas,RNF41,0.9642417919815413,79
3389,Pancreas,ORAI2,0.9641515048014345,80
4663,Pancreas,CPEB1,0.9637211160301938,81
1220,Pancreas,H2AFJ,0.9637034957570177,82
4582,Pancreas,FKBP3,0.9636935862899857,83
971,Pancreas,PPM1K,0.9636844751775113,84
3688,Pancreas,TMX2,0.9636551407707508,85
5725,Pancreas,PNISR,0.9634770102556818,86
3973,Pancreas,DYRK2,0.9634727090885942,87
