,Tissue Name,Gene Name,Centrality,Rank
5760,Muscle,AHNAK,1.0,1
3291,Muscle,DAG1,0.9944228875967396,2
6074,Muscle,KHDRBS1,0.9931056802274114,3
1253,Muscle,ULK1,0.9925543225508724,4
6354,Muscle,MLIP,0.9915684599705294,5
2867,Muscle,AKAP9,0.9904286579800182,6
3745,Muscle,MAFG,0.990262840664593,7
4879,Muscle,ATP1B1,0.9902361180120484,8
1072,Muscle,HMGB2,0.989990988540212,9
2139,Muscle,TTC7B,0.9891455024498601,10
182,Muscle,PSMC4,0.98859132690137,11
1401,Muscle,ASPA,0.9877290016186853,12
3624,Muscle,MAP2K3,0.987607602816791,13
6998,Muscle,GPAT4,0.9862855545704492,14
4243,Muscle,SEPT9,0.9858026771932075,15
1873,Muscle,AMOTL2,0.9843042751645775,16
3558,Muscle,LMNA,0.9834293539884297,17
4297,Muscle,ZNF672,0.983408021735936,18
2062,Muscle,SPATA2,0.9824212147563316,19
1743,Muscle,NDUFS3,0.9823365637164334,20
2411,Muscle,RFX1,0.9820557163573109,21
4465,Muscle,UBA3,0.9809891789446642,22
1614,Muscle,MINK1,0.9809106240048242,23
6897,Muscle,NUPR1,0.9808175051919763,24
6311,Muscle,RFESD,0.9800172678198525,25
6408,Muscle,OSGIN1,0.9799074695254957,26
3697,Muscle,DCAF15,0.9794382663453838,27
2774,Muscle,CDK5RAP2,0.9794292358628264,28
4316,Muscle,SNX3,0.9790724529210996,29
2813,Muscle,ZNF226,0.9787943504379351,30
6835,Muscle,RAB11FIP3,0.9787454562847479,31
2339,Muscle,UGP2,0.9782676764512905,32
667,Muscle,CERS6,0.9776812082711763,33
5395,Muscle,PSMD4,0.9770642673921743,34
6284,Muscle,RPL13A,0.9768542309238567,35
3398,Muscle,PRSS8,0.9760383682756064,36
875,Muscle,CALM1,0.9760265707436869,37
6044,Muscle,PCNT,0.9758138320989174,38
5523,Muscle,GCLM,0.9753868581260021,39
4085,Muscle,HELZ,0.9752348529130339,40
5551,Muscle,ANKH,0.9744763249235108,41
6720,Muscle,GSS,0.9737978773378604,42
2447,Muscle,MAGED2,0.9736163881491392,43
285,Muscle,TOR1AIP1,0.973269547394752,44
371,Muscle,RP11-81A22.4,0.9732045545153801,45
5810,Muscle,KRT14,0.9729245634635016,46
4990,Muscle,LUC7L3,0.9728510208199562,47
2580,Muscle,CRTC3,0.9726903094052829,48
5025,Muscle,FLOT2,0.9726262527890466,49
98,Muscle,PHF3,0.9725918359508351,50
3838,Muscle,DYRK1B,0.9725690200269979,51
4534,Muscle,SCN3B,0.9722084204235333,52
416,Muscle,FNBP1,0.9721902605426314,53
6216,Muscle,NSUN5,0.9720970117168645,54
2932,Muscle,PTP4A3,0.9720699066185379,55
329,Muscle,SPATS2L,0.9716026131511453,56
3372,Muscle,SLIRP,0.9715526123242264,57
34,Muscle,LIX1L,0.9713550342948064,58
5285,Muscle,PABPN1,0.9713223384115451,59
328,Muscle,COQ8B,0.9713051041583198,60
5461,Muscle,ELMSAN1,0.9711736408072542,61
4782,Muscle,CIRBP,0.9710975200988283,62
3340,Muscle,ZDHHC23,0.9708307063691073,63
4474,Muscle,UBL7,0.9707618785048976,64
278,Muscle,PADI2,0.9707276592932971,65
1793,Muscle,USP32,0.970726340514809,66
2538,Muscle,RFC2,0.9704897109135687,67
1667,Muscle,SEMA4B,0.9704580703198237,68
4526,Muscle,WDPCP,0.9703448021116339,69
1896,Muscle,FAM117B,0.9702915442723898,70
6851,Muscle,C14orf1,0.9702730220530285,71
537,Muscle,NEK9,0.9701983710890455,72
170,Muscle,TMEM261,0.970167225055271,73
6432,Muscle,JARID2,0.9700563844515051,74
403,Muscle,ACACA,0.9700402908293488,75
1830,Muscle,ARVCF,0.9700275573935917,76
5934,Muscle,RPL29,0.9699816188753198,77
4140,Muscle,ZBED4,0.9697977138375476,78
6010,Muscle,CTB-50L17.10,0.9697680612033948,79
4110,Muscle,SNAPC5,0.9697070889350764,80
3854,Muscle,SFN,0.9696823561006279,81
5315,Muscle,CPED1,0.9696057296360594,82
3440,Muscle,KCTD11,0.9695179039455406,83
2412,Muscle,COMTD1,0.9694030312957944,84
1356,Muscle,CDKN2D,0.9693623780708248,85
2991,Muscle,PPTC7,0.9692147392578072,86
5152,Muscle,RAB25,0.9689872455599173,87
4391,Muscle,PDLIM3,0.968917963897877,88
1194,Muscle,CITED4,0.9688297716917209,89
6398,Muscle,DSP,0.9687752215013659,90
5418,Muscle,MAP7D1,0.9686082844624938,91
5343,Muscle,AVPR1A,0.9685606897354399,92
5772,Muscle,NT5DC2,0.9683444791097242,93
1462,Muscle,UBA1,0.9682441646018715,94
6676,Muscle,HPGD,0.9682308295249534,95
6498,Muscle,NME9,0.9681772744960783,96
5159,Muscle,FKBP3,0.9681681253844381,97
2197,Muscle,DDR1,0.9681568613811046,98
234,Muscle,CUTC,0.9680693882539461,99
3454,Muscle,ARHGEF11,0.9679550002040355,100
3422,Muscle,PALMD,0.9679167519562502,101
2394,Muscle,MED22,0.9679009419496555,102
4805,Muscle,MAFA,0.9678608025212125,103
1019,Muscle,INTS5,0.9677297605994456,104
3876,Muscle,KIF22,0.9677027779194342,105
5322,Muscle,GNA12,0.9676781891232703,106
6191,Muscle,NR2C1,0.9676339474586457,107
6739,Muscle,UHRF1BP1L,0.9676162899912488,108
4078,Muscle,G3BP2,0.9675597951316365,109
2018,Muscle,ESYT1,0.9675403905074303,110
1265,Muscle,EEF1G,0.9675022196984694,111
4858,Muscle,EIF1B,0.9674923568600754,112
1731,Muscle,TUBB,0.9674546028777021,113
4123,Muscle,MAP4,0.9672030483915903,114
5859,Muscle,MAGI3,0.9672009680180832,115
3280,Muscle,RPUSD1,0.9671974894592457,116
4212,Muscle,ANXA7,0.967082138199733,117
3864,Muscle,DSC3,0.9670480990237191,118
1692,Muscle,ELF3,0.9670182841347055,119
4471,Muscle,HDAC2,0.9669324231828949,120
1690,Muscle,RP11-96L14.7,0.9669035822897164,121
236,Muscle,TRIM16L,0.9667956053769142,122
6892,Muscle,SMG7,0.9667853826642457,123
3127,Muscle,BRD2,0.9667557025774317,124
3542,Muscle,RNF34,0.9667101563945978,125
5988,Muscle,LRRC2,0.9666669208358252,126
4473,Muscle,NEDD8,0.9666629527850713,127
4398,Muscle,UBE2V2,0.966557721441097,128
3786,Muscle,WNK2,0.9665109048951745,129
272,Muscle,SPINT2,0.9664535931476357,130
6106,Muscle,ZER1,0.9664453941421605,131
2267,Muscle,PPP1R12B,0.9664151365702117,132
716,Muscle,PCNP,0.9662437549497654,133
778,Muscle,CALCRL,0.966188573887863,134
1936,Muscle,RPS12,0.9661539113294481,135
3474,Muscle,POLR3B,0.9661258014705386,136
6151,Muscle,KYAT3,0.9660441017825685,137
1802,Muscle,MYOC,0.9659857111698333,138
5202,Muscle,HID1,0.9659605748415916,139
1020,Muscle,RREB1,0.9659160177713164,140
5753,Muscle,AKT2,0.9658113602885021,141
1079,Muscle,TRIOBP,0.96571228051364,142
1715,Muscle,MACROD2,0.9656574137543942,143
1762,Muscle,TMEM135,0.96564633872059,144
2879,Muscle,LMAN1,0.9656130284149542,145
4807,Muscle,CTSA,0.9655446993435715,146
2645,Muscle,TPPP,0.9654294977073977,147
3897,Muscle,FOCAD,0.9651537267491265,148
4642,Muscle,C18orf25,0.9651448001732882,149
4503,Muscle,LRP1,0.9651159882908712,150
2262,Muscle,RP11-342K6.1,0.9650973972187926,151
3867,Muscle,FZD4,0.9650051126907918,152
1207,Muscle,TMEM55A,0.9649692225650789,153
1903,Muscle,RBSN,0.9648864843033663,154
2727,Muscle,MAD2L1BP,0.9648676076091397,155
1155,Muscle,CREB3L2,0.9648541164911317,156
3378,Muscle,MRAS,0.9648503348267807,157
5736,Muscle,PTPN3,0.9648126101512372,158
6781,Muscle,PEMT,0.9647950098893423,159
740,Muscle,PFKFB2,0.9647410151432939,160
1158,Muscle,UBE2E2,0.9647341562467605,161
1942,Muscle,ZNF517,0.9647187406496944,162
2833,Muscle,KLHL29,0.9646922276764818,163
3494,Muscle,FAM53B,0.9646451036826822,164
660,Muscle,AMBRA1,0.9646347786793165,165
1748,Muscle,RP11-159D12.2,0.9645958986431605,166
2893,Muscle,COL28A1,0.9645360769635535,167
4011,Muscle,JDP2,0.964476781170242,168
6530,Muscle,DUS2,0.9644599745048956,169
5848,Muscle,MOB3C,0.9644284207247569,170
1854,Muscle,NRP2,0.964393747164288,171
348,Muscle,ORAOV1,0.9643201899087844,172
5701,Muscle,CFH,0.9641862089419324,173
5943,Muscle,HAT1,0.9641489895143924,174
981,Muscle,TNKS1BP1,0.9641389996636183,175
6522,Muscle,ASB12,0.9641376618611185,176
1532,Muscle,LRRC57,0.9641023029547421,177
288,Muscle,UBE2B,0.9640917167956189,178
1250,Muscle,TMOD1,0.9640860181288728,179
827,Muscle,DCN,0.9640777141093839,180
556,Muscle,ANGPTL2,0.9640571326627358,181
3986,Muscle,TRIM29,0.9640401687246313,182
5173,Muscle,ACAD9,0.9639577911595472,183
1184,Muscle,TNRC6A,0.9638382106733882,184
5990,Muscle,CSNK1E,0.9638078795989583,185
5668,Muscle,TPPP2,0.9637754946101009,186
494,Muscle,RAB40C,0.9637047125066872,187
4407,Muscle,ZNF233,0.9637025897278244,188
850,Muscle,YWHAH,0.9636599912256163,189
2433,Muscle,AP1S2,0.9635381743612577,190
