,Tissue Name,Gene Name,Centrality,Rank
0,Muscle,MAP2K3,1.0,1
1,Muscle,ATP1B1,0.9987976484108435,2
2,Muscle,AHNAK,0.9966185781689074,3
3,Muscle,ASPA,0.994004673811927,4
4,Muscle,CRTC3,0.9935230875952822,5
5,Muscle,ZNF672,0.9934215743633105,6
6,Muscle,P4HA1,0.9931744052533524,7
7,Muscle,CPT1A,0.9928024816791932,8
8,Muscle,AKT2,0.9910922405576582,9
9,Muscle,DAG1,0.9910452933401557,10
10,Muscle,SNX3,0.9906517860812988,11
11,Muscle,AMOTL2,0.9895974433816587,12
12,Muscle,RFC2,0.9879894754485138,13
13,Muscle,HMGB2,0.987894984311384,14
14,Muscle,RP11-159D12.2,0.9877264524228695,15
15,Muscle,RFESD,0.987392743943973,16
16,Muscle,KANTR,0.9873209452132135,17
17,Muscle,TTC7B,0.9867946651768802,18
18,Muscle,XPO1,0.9866740104756647,19
19,Muscle,AKAP9,0.9864080360873763,20
20,Muscle,GGA2,0.9862060093082579,21
21,Muscle,CIRBP,0.9857277631872522,22
22,Muscle,GTF3C1,0.9856795275712317,23
23,Muscle,TRPS1,0.9847897516411219,24
24,Muscle,MLIP,0.9844864361689163,25
25,Muscle,IGFBP6,0.9841896770603238,26
26,Muscle,COQ8B,0.9841553126511905,27
27,Muscle,ESYT1,0.9839088460464365,28
28,Muscle,PACS1,0.9834474475203008,29
29,Muscle,LUC7L3,0.9833625375892422,30
30,Muscle,SCN3B,0.9833082164227973,31
31,Muscle,ULK1,0.9832869868693555,32
32,Muscle,DENND2C,0.9832498950291387,33
33,Muscle,OSGIN1,0.9832484036692716,34
34,Muscle,SEMA4B,0.9832068383345575,35
35,Muscle,HACD1,0.9830191842834997,36
36,Muscle,UBE2B,0.9828462312016818,37
37,Muscle,SYNC,0.9827829055491717,38
38,Muscle,DDR1,0.9825587843873088,39
39,Muscle,LIX1L,0.9825301928354958,40
40,Muscle,RPL21,0.9821698734615476,41
41,Muscle,HELZ,0.9818625429260959,42
42,Muscle,CD44,0.9815579653984134,43
43,Muscle,UGP2,0.9813014538164929,44
44,Muscle,VPS13B,0.9808601812755269,45
45,Muscle,PSMD4,0.9808084504242044,46
46,Muscle,PDS5B,0.980806286862095,47
47,Muscle,PDAP1,0.9806800553736643,48
48,Muscle,GPAT4,0.9806150155773844,49
49,Muscle,UBA1,0.9805191977905837,50
50,Muscle,ARHGEF10L,0.9804563648921899,51
51,Muscle,PABPN1,0.9803051791235845,52
52,Muscle,G3BP2,0.9802257936666304,53
53,Muscle,ACACA,0.9799039837004614,54
54,Muscle,NUDT8,0.9796823206703756,55
55,Muscle,CDKN2D,0.9795801931257199,56
56,Muscle,ST3GAL5,0.9795456458179113,57
57,Muscle,ELMSAN1,0.9795417458240654,58
58,Muscle,RPL13A,0.9794951569277126,59
59,Muscle,RNF34,0.979437632310888,60
60,Muscle,RPRD2,0.9794008017641433,61
61,Muscle,CCDC85B,0.979398036205454,62
62,Muscle,PRKAA2,0.9790719838959813,63
63,Muscle,DYRK1B,0.9790299949296206,64
64,Muscle,HRC,0.9789865667104963,65
65,Muscle,TBC1D4,0.9788916255610589,66
66,Muscle,RPL30,0.9787070792021896,67
67,Muscle,PLA2G4A,0.9786373204123345,68
68,Muscle,PTP4A3,0.9785570483400569,69
69,Muscle,ZNF226,0.9785314772790339,70
70,Muscle,NOG,0.97851870076127,71
71,Muscle,TPPP2,0.9784653524691184,72
72,Muscle,ZNF233,0.9783823671818292,73
73,Muscle,PCNP,0.9783043091109505,74
74,Muscle,STAC3,0.9782158537303817,75
75,Muscle,UBL7,0.9782082516338775,76
76,Muscle,ZNF771,0.9779829689822535,77
77,Muscle,CDK5RAP2,0.9779583603026633,78
78,Muscle,SPPL2B,0.977807439332029,79
79,Muscle,IDS,0.9777743265379352,80
80,Muscle,UBE2V2,0.9777290790068041,81
81,Muscle,KHDRBS1,0.9776510607636758,82
82,Muscle,ASS1,0.9775352913584441,83
83,Muscle,FLOT2,0.9774115007191566,84
84,Muscle,RPLP2,0.9773465225724152,85
85,Muscle,RSF1,0.9773412578477615,86
86,Muscle,CPM,0.9771508097571273,87
87,Muscle,CALM1,0.9771477301146301,88
88,Muscle,OGT,0.9770632154521525,89
89,Muscle,ZDHHC23,0.9770186217651399,90
90,Muscle,PCBD2,0.9769380360579458,91
91,Muscle,TUBB2A,0.9768759033535112,92
92,Muscle,ECH1,0.9768635681607999,93
93,Muscle,LSM5,0.9766824637351886,94
94,Muscle,CNST,0.9766388745880863,95
95,Muscle,DCN,0.9765849193033532,96
96,Muscle,MAP7D1,0.9765433770225236,97
