,Tissue Name,Gene Name,Centrality,Rank
0,Adipose,TCEB3,1.0,1
1,Adipose,PQLC1,0.9865997823656355,2
2,Adipose,GRPEL1,0.9814123231405751,3
3,Adipose,ETF1,0.9782522118943188,4
4,Adipose,ARMC8,0.9732021261695385,5
5,Adipose,TMBIM1,0.9697815349227263,6
6,Adipose,EMC3,0.9689159316975725,7
7,Adipose,SMIM3,0.9594772170508474,8
8,Adipose,TEX2,0.959328365774669,9
9,Adipose,GGCT,0.9502343380817322,10
10,Adipose,UBA7,0.9482776807193687,11
11,Adipose,PSMA7,0.9442273402596932,12
12,Adipose,NREP,0.9427744888031597,13
13,Adipose,GLUL,0.9416424154415789,14
14,Adipose,NAA50,0.9407101175830013,15
15,Adipose,SLC7A6,0.9397791912945561,16
16,Adipose,KLF15,0.9357082276809728,17
17,Adipose,PTCH2,0.9354120093900756,18
18,Adipose,RMDN3,0.9344247715620779,19
19,Adipose,PTPN11,0.9322934656635874,20
20,Adipose,OLFML1,0.9288452536147908,21
21,Adipose,DLG3,0.9277069299808849,22
22,Adipose,ST3GAL1,0.9262317564226246,23
23,Adipose,SEPT5,0.9250497752627672,24
24,Adipose,EIF4EBP2,0.9234158895659152,25
25,Adipose,CTD-2263F21.1,0.9225511312614316,26
26,Adipose,SUN2,0.9196656386493774,27
27,Adipose,ABHD5,0.9167007917457537,28
28,Adipose,POR,0.9154039199718388,29
29,Adipose,HCCS,0.9148560910847654,30
30,Adipose,GLI2,0.9128591554666398,31
31,Adipose,PRTFDC1,0.9121199136860778,32
32,Adipose,VDAC1,0.9106535087906837,33
33,Adipose,CDK16,0.910303828646423,34
34,Adipose,TEX261,0.9098452879961977,35
35,Adipose,EPB41L4B,0.9097428013986741,36
36,Adipose,GPN3,0.9086121058730645,37
37,Adipose,SEMA5B,0.9085407861397097,38
38,Adipose,NOP14,0.908228412354573,39
39,Adipose,MMADHC,0.9068689631595035,40
40,Adipose,PTGER3,0.9042182051585651,41
41,Adipose,GALNT16,0.9028594898607413,42
42,Adipose,ADH1B,0.9026478691387617,43
43,Adipose,SENP2,0.9001756093217254,44
44,Adipose,TMEM192,0.8999139542292075,45
45,Adipose,UBALD2,0.8998891751731061,46
46,Adipose,AMT,0.8996956952535636,47
47,Adipose,FAM199X,0.8976718576623873,48
48,Adipose,FOXO1,0.8885582305249783,49
49,Adipose,RPN1,0.887805040684142,50
50,Adipose,SEPT8,0.8877524410640619,51
51,Adipose,PPIF,0.8866348040134202,52
52,Adipose,DNAJC5,0.8865477429201981,53
53,Adipose,WASF3,0.8831868475381992,54
54,Adipose,MED8,0.8829999661908728,55
55,Adipose,NUDT16,0.8826680388718919,56
56,Adipose,MBOAT1,0.8810805669241898,57
57,Adipose,PRELID3B,0.8795740285697439,58
58,Adipose,EMC6,0.8786001041206286,59
59,Adipose,IL17RD,0.8783845879431565,60
60,Adipose,ACOX1,0.8782233294961893,61
61,Adipose,INSR,0.8772951298660722,62
62,Adipose,SYN2,0.8767391305834099,63
63,Adipose,AP3D1,0.8763248999619306,64
64,Adipose,AC018647.3,0.8762913100998135,65
65,Adipose,NAA20,0.876275933272429,66
66,Adipose,MRPL4,0.8761694451882153,67
67,Adipose,EIF4A1,0.8757079325595284,68
68,Adipose,TSPAN11,0.8756081927966135,69
69,Adipose,SYNGR1,0.8737528080584468,70
70,Adipose,NOP16,0.8734100850934676,71
71,Adipose,LAMTOR1,0.8719616404964313,72
72,Adipose,SEPT6,0.8718433287130406,73
73,Adipose,KLHL13,0.8718387202772458,74
74,Adipose,MYH14,0.869501114120145,75
75,Adipose,ZFP14,0.8687028521211663,76
76,Adipose,CHAC2,0.8652822398107635,77
77,Adipose,ATP6V0E1,0.8644814344906223,78
78,Adipose,CUL1,0.8635252016080751,79
79,Adipose,GDE1,0.8633248497766078,80
80,Adipose,LINC00342,0.8601635072850585,81
81,Adipose,C6orf120,0.8596428542338006,82
82,Adipose,LLPH,0.8590418756846092,83
83,Adipose,ADGRA2,0.8565884769335417,84
84,Adipose,PCK2,0.8557673588682515,85
85,Adipose,PGR,0.8540970428264051,86
86,Adipose,PSMD2,0.8538404028491074,87
87,Adipose,GOLGA4,0.8537215178305968,88
88,Adipose,DZIP1,0.8533051897743414,89
89,Adipose,RP11-96D1.8,0.8532871705642989,90
90,Adipose,COQ8A,0.852867156664053,91
91,Adipose,C12orf49,0.8527819176708136,92
92,Adipose,NDUFS2,0.8523188897632098,93
93,Adipose,RBM15B,0.8518198324522939,94
94,Adipose,ATXN1,0.8509320460561101,95
95,Adipose,ABCF3,0.8498015697185888,96
96,Adipose,PQLC2L,0.8497395200102045,97
97,Adipose,PNO1,0.8496877963400548,98
98,Adipose,ARFGAP2,0.8496372402632875,99
99,Adipose,TBRG4,0.8492557889402228,100
100,Adipose,BDH1,0.8482710791847682,101
101,Adipose,JUN,0.8455994110812132,102
102,Adipose,ZNF521,0.8448482689897824,103
103,Adipose,ATP8B1,0.8434475473283322,104
104,Adipose,HEPH,0.8428854176297295,105
105,Adipose,PAWR,0.8412819338291233,106
106,Adipose,ABCF2,0.8412683294649466,107
107,Adipose,TRPC1,0.8410508997963131,108
108,Adipose,OSBPL10,0.8405954321682401,109
109,Adipose,EDNRB,0.8401172071034606,110
110,Adipose,NANOS1,0.8399271399777224,111
111,Adipose,SCAMP3,0.8399167946405139,112
112,Adipose,APEX1,0.8392763802004782,113
113,Adipose,CENPB,0.8390056042345222,114
114,Adipose,PLK2,0.8387985204051799,115
115,Adipose,RABEP1,0.8379535476125358,116
116,Adipose,RP11-266K4.14,0.8357461735929173,117
117,Adipose,RPLP2,0.8351751347152,118
118,Adipose,LARP4,0.8343725036794878,119
119,Adipose,PCOLCE,0.8338290684761368,120
120,Adipose,RNASEH1,0.8322651291357255,121
121,Adipose,EXOSC4,0.8320045987115398,122
122,Adipose,TVP23C,0.8310571204841091,123
123,Adipose,HACD4,0.8301000356768009,124
124,Adipose,WDR5,0.8283301589096659,125
125,Adipose,AIMP2,0.8282430409817664,126
126,Adipose,H2AFJ,0.8264189191638128,127
127,Adipose,GCN1,0.8263860402516551,128
128,Adipose,TCEA3,0.8258316538758873,129
129,Adipose,MIR99AHG,0.8248319587856375,130
130,Adipose,IDH3A,0.82457060093844,131
131,Adipose,MT1M,0.8245248824642678,132
132,Adipose,CLEC16A,0.8235413519994778,133
133,Adipose,KARS,0.8224404825080381,134
134,Adipose,FAM234A,0.8220830278004091,135
135,Adipose,ADAM33,0.8203963801254756,136
136,Adipose,PGAM5,0.8200633680049682,137
137,Adipose,FGF11,0.8200620097488783,138
138,Adipose,PLOD2,0.819474588246555,139
139,Adipose,TSPOAP1,0.8182205912175105,140
140,Adipose,DHRS3,0.8181566999510749,141
141,Adipose,PYM1,0.8173620279467017,142
142,Adipose,CTH,0.8157012051826409,143
143,Adipose,LPCAT3,0.8150063880691106,144
144,Adipose,GNB4,0.8149696320970115,145
145,Adipose,SLF2,0.8147365317014208,146
146,Adipose,VPS13D,0.814429169285107,147
147,Adipose,RHOJ,0.8113196044070178,148
148,Adipose,NDUFAF2,0.8111756816804919,149
149,Adipose,ZDHHC5,0.8111167976783961,150
150,Adipose,GSTM5,0.8103472047314284,151
151,Adipose,TMEM214,0.810150518103397,152
152,Adipose,SIPA1L1,0.8101334094440152,153
153,Adipose,ARHGEF9,0.8093175864916973,154
154,Adipose,HPS6,0.8092397434061505,155
155,Adipose,ARF1,0.8090600544348137,156
156,Adipose,TTPAL,0.8089082449291716,157
157,Adipose,PRADC1,0.8087562505486801,158
158,Adipose,TOLLIP,0.8071551452097142,159
159,Adipose,C19orf66,0.8067454481256734,160
160,Adipose,PSMD12,0.8066586912296367,161
161,Adipose,LRRC59,0.8060768264326881,162
162,Adipose,LTBP3,0.8058868353349072,163
163,Adipose,SLC25A6,0.8056924456250324,164
164,Adipose,TSG101,0.8053304504008642,165
165,Adipose,RP3-333A15.2,0.8048220755105502,166
166,Adipose,EDEM2,0.8045787430043577,167
167,Adipose,BCCIP,0.8044431076305257,168
