,Tissue Name,Gene Name,Centrality,Rank
1049,Adipose,LRRC59,1.0,1
1316,Adipose,ZNF771,0.9990340682007682,2
1937,Adipose,ORC2,0.9972989087107742,3
235,Adipose,FSTL1,0.9962017405986249,4
92,Adipose,CEBPD,0.9895640980267321,5
257,Adipose,SRSF1,0.9891891010485873,6
1268,Adipose,CELF6,0.9879109708578415,7
773,Adipose,TMEM160,0.9878126434446137,8
1214,Adipose,APOLD1,0.9826911542429189,9
449,Adipose,TPGS1,0.9787512435405711,10
374,Adipose,AP1G1,0.9783086291963707,11
1408,Adipose,BACE1,0.9782682622961644,12
467,Adipose,KDELR2,0.9771010475768652,13
383,Adipose,RBM17,0.9769706790092626,14
17,Adipose,AMPD2,0.9768621492382613,15
1209,Adipose,FADD,0.9754589135489568,16
1672,Adipose,HNRNPU,0.9719382466706873,17
1525,Adipose,MYADM,0.9708052737059856,18
794,Adipose,TMUB1,0.9705348510594084,19
1669,Adipose,TIFA,0.970366403155331,20
196,Adipose,CHD3,0.969725783975635,21
895,Adipose,GRASP,0.9694976431080614,22
535,Adipose,PDIA3,0.9686402758600043,23
1706,Adipose,COPG1,0.9682338016824711,24
894,Adipose,PPP2CA,0.9672209065335453,25
1265,Adipose,LUC7L,0.9666115230104053,26
1317,Adipose,GSE1,0.9662120323970284,27
1989,Adipose,DUSP6,0.9661284145311979,28
1952,Adipose,PTAR1,0.9660469572934214,29
736,Adipose,ATP6AP1,0.9656096503120896,30
249,Adipose,AGO4,0.9646827105154467,31
1275,Adipose,CASKIN2,0.964278240178587,32
413,Adipose,TMEM198B,0.9608015397039301,33
77,Adipose,HECW2,0.9597887804257652,34
888,Adipose,KLF9,0.9596110418328613,35
234,Adipose,PFKFB3,0.9578854639172213,36
1137,Adipose,RUVBL1,0.9571191223717977,37
16,Adipose,HELZ2,0.9566664205235003,38
742,Adipose,PIK3R3,0.9561269688307027,39
1439,Adipose,RNF144A,0.9555417852527267,40
985,Adipose,HOXB4,0.955297791396763,41
793,Adipose,C5AR2,0.9552336468451698,42
1717,Adipose,CFL1,0.9545111383654261,43
965,Adipose,INF2,0.954416320024055,44
1778,Adipose,KLF16,0.9541599897042823,45
1124,Adipose,NAA50,0.9537523200489447,46
614,Adipose,FBRSL1,0.9536822579118202,47
699,Adipose,KLHL9,0.9520252377638717,48
1598,Adipose,TRIM25,0.9518009286497076,49
1892,Adipose,NEDD9,0.9514548376727046,50
706,Adipose,APLP2,0.9513709261930856,51
1119,Adipose,TBL1XR1,0.9512486132570597,52
1511,Adipose,MYDGF,0.9502550435528777,53
474,Adipose,HADHB,0.9500445567729316,54
1129,Adipose,MAP4,0.9499487446420234,55
1012,Adipose,GLUL,0.9497638402830838,56
804,Adipose,ITGAX,0.9494990010982569,57
1276,Adipose,SMARCC2,0.9494197052810146,58
735,Adipose,CDKN1A,0.9484927759012485,59
641,Adipose,DDX21,0.948460305017314,60
1461,Adipose,UNKL,0.9483401450965976,61
1788,Adipose,SZT2,0.9481384795659041,62
667,Adipose,RILP,0.9480391664188377,63
920,Adipose,SSR3,0.9477717251698179,64
295,Adipose,CAP1,0.9468872780972117,65
606,Adipose,HNRNPM,0.9466812278819613,66
768,Adipose,OLFML3,0.9465918433083363,67
288,Adipose,B2M,0.9461826075088546,68
1469,Adipose,RAD23A,0.946170558589284,69
312,Adipose,DNAJA2,0.9450547003095792,70
1223,Adipose,SLTM,0.9450209086565886,71
90,Adipose,ARHGAP33,0.9448861169151709,72
905,Adipose,ZNF740,0.9446168692515617,73
483,Adipose,PTEN,0.944436741852613,74
310,Adipose,ZNF141,0.9442725124463927,75
764,Adipose,SRGAP2,0.9441877034263375,76
390,Adipose,KANK3,0.9441416743819178,77
80,Adipose,COPZ1,0.944047774312939,78
1004,Adipose,SEPT8,0.9436927211877202,79
1182,Adipose,ZNF638,0.9435955192179453,80
789,Adipose,ZSWIM6,0.9433099789681539,81
806,Adipose,INPPL1,0.9432834070456984,82
671,Adipose,ALKBH2,0.943278516882224,83
1930,Adipose,AAMP,0.9430816437994135,84
740,Adipose,ATP6AP2,0.9428916753071382,85
643,Adipose,USP2,0.9426578807324006,86
1824,Adipose,PDLIM5,0.9424549654333741,87
1674,Adipose,PCF11,0.9420557313482399,88
1985,Adipose,TCOF1,0.9420007066546919,89
1350,Adipose,PVR,0.9418694847955725,90
1009,Adipose,ABCE1,0.9415949169359212,91
744,Adipose,DEK,0.9415611112347242,92
364,Adipose,ANKRD9,0.9414982252059858,93
1526,Adipose,S1PR1,0.9414963225801556,94
410,Adipose,CCL14,0.9414080100014015,95
1016,Adipose,SEMA5A,0.9409705370418684,96
545,Adipose,RBM14,0.9407864700677,97
1827,Adipose,CCT5,0.9406132353141895,98
1333,Adipose,TCF3,0.9403468302420264,99
711,Adipose,JUP,0.9402067710474501,100
1967,Adipose,ITPRIPL2,0.9401794605748708,101
719,Adipose,AIF1L,0.940145824310373,102
149,Adipose,PCGF5,0.9401312461240596,103
829,Adipose,KLC2,0.9395522190637174,104
916,Adipose,ATP6V0A1,0.9395363766304065,105
1342,Adipose,TMEM55A,0.9394397092549579,106
100,Adipose,DDR1,0.9388560767029746,107
1272,Adipose,CDH11,0.9388401109125042,108
1385,Adipose,TPP1,0.9387989058327605,109
1433,Adipose,RHOBTB3,0.9386686929921841,110
1172,Adipose,AGAP1,0.93822546219833,111
534,Adipose,OAS1,0.9381813931988695,112
1869,Adipose,FAM214A,0.9380910926745486,113
1543,Adipose,CCDC71L,0.9378552369628294,114
812,Adipose,GOPC,0.9377006456404754,115
134,Adipose,ARPC5L,0.9376371947094433,116
651,Adipose,TP53INP2,0.9374830467866521,117
1900,Adipose,ACSS3,0.9373707896969737,118
156,Adipose,SFRP2,0.937353221427325,119
73,Adipose,CCDC149,0.9372118132571029,120
139,Adipose,ZBTB2,0.9370844128000911,121
1278,Adipose,LYPLA1,0.9370711362821452,122
1561,Adipose,MPV17,0.9368788874490125,123
826,Adipose,ODF3B,0.9368353111960183,124
505,Adipose,PRRC2A,0.9367255083423762,125
402,Adipose,GGNBP2,0.9366075322982174,126
1110,Adipose,CREB3L1,0.9359587734606662,127
610,Adipose,CCDC47,0.9359093732176083,128
1722,Adipose,LGALS8,0.9358862129562324,129
356,Adipose,PARP2,0.9355966422309152,130
1289,Adipose,RAD21,0.9355375198075947,131
1184,Adipose,FKBP5,0.9353588822552809,132
122,Adipose,FBN1,0.9353282316181617,133
1106,Adipose,HACD3,0.9352532259939297,134
1267,Adipose,HEBP1,0.9351552295551109,135
1736,Adipose,GMPS,0.9351332681228737,136
797,Adipose,NR2F1,0.9351140071673048,137
129,Adipose,PDE4A,0.9350762162043408,138
1274,Adipose,DNMT3A,0.9348923163358124,139
980,Adipose,ACTG1,0.9347137858135125,140
1504,Adipose,OLFM1,0.9346428476817442,141
1161,Adipose,CAPN2,0.9340399987781031,142
1168,Adipose,CLEC14A,0.9340173728639818,143
1320,Adipose,MCF2L,0.9335889809567104,144
586,Adipose,GAB1,0.9334355588326515,145
828,Adipose,TRA2A,0.933323880310062,146
803,Adipose,PPP1R18,0.9332243043778764,147
1979,Adipose,MIR34A,0.9331071238482154,148
603,Adipose,SLC25A42,0.9330816676586751,149
497,Adipose,PIM3,0.933049678846901,150
769,Adipose,GSPT1,0.9329525295239414,151
1052,Adipose,ANG,0.9328918606800531,152
1277,Adipose,TAX1BP1,0.9328784756161874,153
469,Adipose,ZNF398,0.9328090507587717,154
1428,Adipose,SEMA6A,0.9327370018623197,155
1652,Adipose,ABCC10,0.9326019744130891,156
1944,Adipose,ELF2,0.9323448814928101,157
562,Adipose,WHSC1,0.9321264083701325,158
1955,Adipose,STXBP1,0.9319848611933778,159
1416,Adipose,ATOX1,0.931857647349576,160
1646,Adipose,XRCC5,0.9317001085882112,161
557,Adipose,LMO2,0.9313133104941801,162
1021,Adipose,CCNL2,0.9311412209833909,163
38,Adipose,MFSD12,0.9310893039860708,164
1905,Adipose,UBE2E1,0.931038806038552,165
1705,Adipose,ARRB2,0.9307681203643179,166
635,Adipose,RP11-449J21.3,0.930767535817843,167
41,Adipose,C10orf10,0.9304629350024423,168
1975,Adipose,PPP2R5B,0.930456192977295,169
1791,Adipose,VAMP1,0.9303398810520654,170
204,Adipose,TUBA1B,0.9301169671518085,171
1627,Adipose,CDK1,0.9301076643415055,172
217,Adipose,DPY30,0.9301038016153382,173
1237,Adipose,MGLL,0.9298902299546215,174
1118,Adipose,NOS3,0.9296543078760049,175
1446,Adipose,SLC26A11,0.9296331447466556,176
1618,Adipose,RHOJ,0.9293971593262227,177
1925,Adipose,KLHL20,0.9293883912401882,178
1010,Adipose,CALD1,0.9292297992952214,179
350,Adipose,TRAF5,0.9285851200297377,180
1417,Adipose,TEF,0.9282592993774247,181
116,Adipose,GOLGA3,0.9282383517375847,182
624,Adipose,PLXND1,0.9278322739380429,183
1220,Adipose,GPX3,0.927794495440055,184
1727,Adipose,PRNP,0.9276832089187279,185
907,Adipose,B4GALT5,0.9275749700035456,186
1928,Adipose,GNB2,0.9274429833099794,187
783,Adipose,TIMELESS,0.9273873079616032,188
552,Adipose,ATG4B,0.9273521315475944,189
737,Adipose,TMED8,0.9273411398305583,190
66,Adipose,CORO1C,0.9272874533574805,191
1040,Adipose,COPA,0.9272535753563181,192
182,Adipose,TNFRSF1A,0.9272117091930854,193
777,Adipose,TNS2,0.9271751899258058,194
689,Adipose,LYSMD2,0.9271603091571181,195
1753,Adipose,RP11-420L9.5,0.9267471188519978,196
1996,Adipose,GLS,0.9264443221497417,197
809,Adipose,SRRT,0.926212622474836,198
1896,Adipose,ITGA10,0.9261456053564627,199
451,Adipose,RASSF9,0.9260521601603512,200
912,Adipose,LONRF1,0.9257948066276033,201
1335,Adipose,IL6ST,0.9256149421383725,202
289,Adipose,EIF3G,0.9254178837486889,203
503,Adipose,ARSI,0.925395773333237,204
1458,Adipose,ARL8B,0.9253117304674493,205
476,Adipose,IRS2,0.9252281576000339,206
1624,Adipose,DOK2,0.9251427931879516,207
1038,Adipose,TACC1,0.9251317184001348,208
1572,Adipose,DAB2IP,0.9248171927704136,209
1567,Adipose,APEX1,0.9247163106896572,210
332,Adipose,SMAD6,0.9245620244308693,211
1216,Adipose,CALCOCO2,0.9245235523358286,212
996,Adipose,MSL2,0.9243918730305826,213
1065,Adipose,ZYX,0.9243477304324026,214
739,Adipose,FAM3C,0.9241877739571146,215
472,Adipose,FAM214B,0.9240647699878107,216
118,Adipose,WDR37,0.9239653968295073,217
1269,Adipose,NAMPT,0.923481784547738,218
244,Adipose,PRKAA1,0.9233334150515319,219
1378,Adipose,YTHDF3,0.923221932017703,220
1030,Adipose,CPD,0.9230059927541268,221
305,Adipose,SEPP1,0.9229668486197042,222
44,Adipose,TUB,0.9229520594951628,223
1605,Adipose,GNB4,0.9228403528275212,224
1445,Adipose,TRRAP,0.9228297462982308,225
1493,Adipose,COL5A3,0.9226139372685508,226
337,Adipose,UBE2D3,0.9225385688955302,227
1204,Adipose,IFT172,0.9225027059867016,228
1884,Adipose,FBXL3,0.9224878340826075,229
1412,Adipose,KIAA0922,0.9224004497727757,230
543,Adipose,EGR1,0.9223989745113053,231
695,Adipose,ZNF449,0.9223001666482995,232
53,Adipose,MFSD10,0.9222344048179377,233
145,Adipose,SLK,0.9219412739335792,234
1815,Adipose,TROAP,0.9219049133653293,235
1163,Adipose,SCRG1,0.921657173365706,236
98,Adipose,LIX1L,0.9215431834019394,237
570,Adipose,POLB,0.9214250270440522,238
623,Adipose,BATF2,0.9213748700517921,239
684,Adipose,LRRC41,0.9212808168022886,240
558,Adipose,NRARP,0.9212630104567464,241
1532,Adipose,GIT1,0.9212221649285004,242
1514,Adipose,CCDC6,0.9209897573454894,243
1406,Adipose,MEF2A,0.9208988819290393,244
498,Adipose,KIAA0907,0.920826276966488,245
256,Adipose,ARHGEF6,0.920817491343254,246
1628,Adipose,SELK,0.9205490242898343,247
1999,Adipose,NAA20,0.9204442426677177,248
404,Adipose,FMNL1,0.9204269534376446,249
1377,Adipose,NCOA7,0.920376174927596,250
1254,Adipose,ZNF862,0.9201696503945598,251
258,Adipose,TES,0.9201416983613152,252
1217,Adipose,EVC,0.9199857102304385,253
1899,Adipose,TMEM184B,0.9199241873646945,254
1496,Adipose,IQGAP3,0.9198809838344947,255
4,Adipose,PHKA1,0.919846190765872,256
1447,Adipose,GALK1,0.919800074919833,257
1755,Adipose,BMP6,0.9197426750108676,258
1547,Adipose,NOP56,0.9197024671499545,259
111,Adipose,DRG1,0.919465841985642,260
926,Adipose,BBIP1,0.9194378530777145,261
1443,Adipose,HHEX,0.9193113871980642,262
1807,Adipose,FMNL2,0.919310082486489,263
361,Adipose,LDB2,0.9190551629921468,264
629,Adipose,ZNF513,0.9189067573562016,265
668,Adipose,C8orf58,0.9188258322780505,266
1347,Adipose,ADAMTS3,0.9184814229069868,267
731,Adipose,FZD4,0.918475003285631,268
1530,Adipose,PTPDC1,0.9184554836544575,269
50,Adipose,GNG5,0.9183006163709878,270
692,Adipose,HAPLN3,0.9182918002193821,271
416,Adipose,PAICS,0.9181126008303513,272
765,Adipose,NOP14,0.9178165233138897,273
1104,Adipose,ADH1B,0.9178031477353226,274
1792,Adipose,TXNDC15,0.9177892471174388,275
1138,Adipose,RING1,0.9177556626276537,276
1780,Adipose,VPS37B,0.9173790501087713,277
587,Adipose,SLC25A32,0.9172743242480644,278
1962,Adipose,INTU,0.91713323945546,279
1036,Adipose,C6orf1,0.9169525338230821,280
279,Adipose,DHX9,0.9168695432203624,281
1467,Adipose,LIMA1,0.9168424705095451,282
452,Adipose,TAP1,0.9167354278547758,283
904,Adipose,P3H3,0.9163394279849271,284
1127,Adipose,NLE1,0.9162145258264788,285
761,Adipose,TESK1,0.9160752526423873,286
1699,Adipose,HERC5,0.9160668904717824,287
1569,Adipose,PKP4,0.9160200689105491,288
1697,Adipose,SH3D19,0.915936155182863,289
1160,Adipose,SIX5,0.9158468017362529,290
832,Adipose,TIMP2,0.9157664045703028,291
1218,Adipose,PAF1,0.9156075458861542,292
1842,Adipose,EGFL7,0.9155760404758142,293
1426,Adipose,NDUFS2,0.9155704632014828,294
0,Adipose,TMX3,0.9155693036924989,295
1365,Adipose,NR2F1-AS1,0.9155232748799735,296
1227,Adipose,AIM1,0.9151878218634916,297
1336,Adipose,AHDC1,0.9151094346727779,298
1889,Adipose,G0S2,0.9149726414764271,299
1959,Adipose,ZNF532,0.9147196836832563,300
925,Adipose,ACLY,0.9146175636702691,301
419,Adipose,ACTA2,0.9145895290816105,302
168,Adipose,NBL1,0.9145479696100659,303
1656,Adipose,RPS6KA1,0.9143417059756005,304
1134,Adipose,ATXN2,0.9140748856073722,305
840,Adipose,AC013461.1,0.9137806155293738,306
1299,Adipose,NFKBIA,0.9136876116516593,307
779,Adipose,AKT1,0.9135167050574946,308
1376,Adipose,LSM10,0.9134883992703086,309
645,Adipose,SCN1B,0.9132167264426951,310
432,Adipose,FAM53C,0.9131957985812386,311
807,Adipose,WSCD1,0.9131879512350084,312
489,Adipose,ABCG2,0.9131681994430848,313
512,Adipose,PPIF,0.9130675446572707,314
86,Adipose,PPIL4,0.9130597011224758,315
1400,Adipose,DOCK7,0.9130249971551525,316
1888,Adipose,NTAN1,0.9130238310413037,317
1145,Adipose,WNT11,0.9128366883009039,318
1767,Adipose,ASH1L,0.9126416987911022,319
316,Adipose,GNS,0.9125871337292024,320
984,Adipose,ING5,0.9124363496968103,321
577,Adipose,RSAD1,0.9123235954702533,322
31,Adipose,SLC9B2,0.9123011301261902,323
1743,Adipose,UBQLN4,0.912239291455643,324
976,Adipose,RP2,0.9121297270251587,325
1057,Adipose,NEIL1,0.9120913364936382,326
1958,Adipose,MICU1,0.9119030877606781,327
1389,Adipose,TAZ,0.9118912141649206,328
231,Adipose,CDC42,0.9118793022758649,329
877,Adipose,GMPPA,0.911728222123546,330
787,Adipose,AGTRAP,0.9117046908112854,331
741,Adipose,CRISPLD2,0.9116559607874661,332
1425,Adipose,REXO1,0.9116283079941919,333
599,Adipose,BRD8,0.9114434820340381,334
548,Adipose,DHPS,0.9114111374210419,335
1585,Adipose,GLT8D1,0.9113914828544882,336
749,Adipose,MAST4,0.9112956113053189,337
1878,Adipose,PI4KB,0.9112912115589965,338
1448,Adipose,HDLBP,0.9111689026738973,339
1000,Adipose,ZNF512B,0.9111260067369227,340
694,Adipose,RNASEK,0.9111224785201412,341
314,Adipose,NLN,0.9110586585593092,342
1649,Adipose,APOL1,0.9110317169487562,343
1857,Adipose,HRC,0.9110209724359832,344
1392,Adipose,TRAPPC11,0.9110099051244053,345
554,Adipose,LMNB1,0.91098080804814,346
1691,Adipose,SNAI1,0.9109587633046494,347
169,Adipose,HERPUD2,0.9109286756896281,348
334,Adipose,TNRC6A,0.9108074448129065,349
847,Adipose,ANTXR2,0.9107683829364603,350
82,Adipose,CTNNB1,0.9105704891853451,351
1285,Adipose,ZBTB24,0.9104751625036651,352
963,Adipose,UBR2,0.9104008925165405,353
1587,Adipose,RPL22,0.9103466700678332,354
585,Adipose,MZF1,0.91024688625871,355
1987,Adipose,KIF5B,0.9101657421628535,356
750,Adipose,APOL6,0.9100338773158968,357
290,Adipose,TRERF1,0.9100007343484325,358
1332,Adipose,CXCL14,0.9099348342652727,359
1061,Adipose,SIMC1,0.9098851571264465,360
1393,Adipose,BGN,0.909815420126591,361
1730,Adipose,SEC16A,0.9097959006036671,362
1072,Adipose,EIF3I,0.9096038488976265,363
180,Adipose,PLOD3,0.9095866335999381,364
1032,Adipose,TBC1D10B,0.909485669421429,365
