,Tissue Name,Gene Name,Centrality,Rank
0,Adipose,ENG,0.3461790114470523,1
1,Adipose,CLIC4,0.3440303739896685,2
2,Adipose,BCOR,0.34368543142103863,3
3,Adipose,RAPGEF5,0.3428949311657909,4
4,Adipose,TMEM47,0.3416083353874926,5
5,Adipose,WSB1,0.3413911598828481,6
6,Adipose,PHF10,0.3413147717826184,7
7,Adipose,DNM3,0.3409711192606381,8
8,Adipose,BHLHE41,0.34070665550150087,9
9,Adipose,SCUBE2,0.34068369603641724,10
10,Adipose,ARNTL,0.3405945722168748,11
11,Adipose,SEC24D,0.34048401211822654,12
12,Adipose,MARCKSL1,0.34046629165171793,13
13,Adipose,NR5A2,0.34046173331202206,14
14,Adipose,DST,0.3402151233108286,15
15,Adipose,STUM,0.34013270706274745,16
16,Adipose,FILIP1L,0.33993457964104046,17
17,Adipose,UACA,0.3398444595968378,18
18,Adipose,FBN1,0.3396939363242508,19
19,Adipose,PDIA3,0.3395007426577275,20
20,Adipose,CALCRL,0.33943290935282283,21
21,Adipose,ATP6AP2,0.33929431854956643,22
22,Adipose,JUP,0.33927542765643337,23
23,Adipose,SMAD9,0.3392111911433972,24
24,Adipose,RUVBL1,0.33895714648523373,25
25,Adipose,HIPK3,0.3388015125072441,26
26,Adipose,TYROBP,0.33872706223576593,27
27,Adipose,KBTBD11,0.3385266700328694,28
28,Adipose,LIFR,0.33843911876673444,29
29,Adipose,SPRED2,0.33840243116180824,30
30,Adipose,TM4SF18,0.3383441323613394,31
31,Adipose,UBN1,0.33823143575883646,32
32,Adipose,NES,0.33821091493864563,33
33,Adipose,ANGPTL4,0.3382028396457451,34
34,Adipose,SPAG9,0.33818422118766583,35
35,Adipose,PDE7B,0.3381650169917022,36
36,Adipose,TMED10,0.3379254120483426,37
37,Adipose,RELN,0.3377495415731803,38
38,Adipose,CREB3L2,0.33773287159727994,39
39,Adipose,SEMA3G,0.3377250715410109,40
40,Adipose,SYAP1,0.33765107210128414,41
41,Adipose,RSPO3,0.3374963896441941,42
42,Adipose,CORO2B,0.3374729408564774,43
43,Adipose,ANGPTL2,0.33735989040264536,44
44,Adipose,AFAP1,0.33732113245219547,45
45,Adipose,DTX3L,0.33727354714876173,46
46,Adipose,LMO2,0.3372442199593379,47
47,Adipose,ABLIM3,0.3371852986615343,48
48,Adipose,GALNT12,0.3371558368642559,49
49,Adipose,CCDC149,0.33714657125658615,50
50,Adipose,YAP1,0.3368554443249768,51
51,Adipose,PARP1,0.3367934173614324,52
52,Adipose,PER3,0.3367839217723616,53
53,Adipose,ZMIZ1,0.3367800317247913,54
54,Adipose,TMOD3,0.3367508033007629,55
55,Adipose,RREB1,0.33671659117805125,56
56,Adipose,SRSF5,0.33666310320318055,57
57,Adipose,NLGN4X,0.3366622467066535,58
58,Adipose,TMED5,0.33661081088317585,59
59,Adipose,MCM3AP,0.33656023960997195,60
60,Adipose,C15orf39,0.33652061232132935,61
61,Adipose,LILRB5,0.33651471902716223,62
62,Adipose,IGSF21,0.3364969427140261,63
63,Adipose,FAM76A,0.33640493909447844,64
64,Adipose,DPYSL3,0.3363408435788048,65
65,Adipose,CALR,0.3363406714700702,66
66,Adipose,TOR4A,0.33633776934002346,67
67,Adipose,LRRC59,0.3363366350715388,68
68,Adipose,HELZ2,0.3362874472299087,69
69,Adipose,RIN1,0.33627406040647445,70
70,Adipose,HLF,0.33627297240584614,71
71,Adipose,FMNL3,0.3361976648234848,72
72,Adipose,RAB1A,0.33617966408317346,73
73,Adipose,MEF2A,0.33609054036359803,74
74,Adipose,PSPC1,0.3360540529332283,75
75,Adipose,ABLIM1,0.33592070373307303,76
76,Adipose,CDH11,0.33591689058725044,77
77,Adipose,PARP9,0.335877614633672,78
78,Adipose,PLSCR4,0.3358693768980845,79
79,Adipose,SLC25A10,0.33586047704380145,80
80,Adipose,FBLN5,0.33584399998758685,81
81,Adipose,CYYR1,0.3358355710414669,82
82,Adipose,RAB7B,0.3357946389049293,83
83,Adipose,ABCB1,0.33578982279317265,84
84,Adipose,RER1,0.33578223862932877,85
85,Adipose,CAPN2,0.3357111306376126,86
86,Adipose,HID1,0.3357089060494216,87
87,Adipose,NPAS2,0.33557356976077385,88
88,Adipose,MAP4K3,0.3355685608889419,89
89,Adipose,CALCOCO1,0.3355004289573582,90
90,Adipose,CADM3,0.3354938083455349,91
91,Adipose,PAMR1,0.33541740947349225,92
92,Adipose,SSR1,0.3353425504236104,93
93,Adipose,ARHGAP23,0.335198010878573,94
94,Adipose,OSBPL10,0.33518591887306676,95
95,Adipose,TCF19,0.3350959759244354,96
96,Adipose,COL8A2,0.3350808424813859,97
97,Adipose,TJP1,0.3350673814222319,98
98,Adipose,FNBP1L,0.33500471323240893,99
99,Adipose,MSN,0.33492951637405216,100
100,Adipose,DUSP6,0.3349284969617966,101
101,Adipose,OSBPL1A,0.3348710641133717,102
102,Adipose,CREB3L1,0.3348542924332736,103
103,Adipose,MAOA,0.3348288682089296,104
104,Adipose,STX11,0.334782333249049,105
105,Adipose,RFX1,0.33477466824337426,106
106,Adipose,PNRC1,0.3347527374844956,107
107,Adipose,NRXN3,0.33466528911817434,108
108,Adipose,IFNGR2,0.3346515076173485,109
109,Adipose,HNRNPDL,0.33463612944474497,110
110,Adipose,CLU,0.3346189602632391,111
111,Adipose,PLXDC2,0.33461590179233924,112
112,Adipose,CBX4,0.33458935828792313,113
113,Adipose,LRRC32,0.33453075303787905,114
114,Adipose,DDOST,0.33452482569763786,115
115,Adipose,CD276,0.3345007828834035,116
116,Adipose,TIMP2,0.33444846724654026,117
117,Adipose,TRIB2,0.33443650122306884,118
118,Adipose,MCC,0.3343734702637357,119
119,Adipose,SOX13,0.3343623484684222,120
120,Adipose,SLC39A14,0.33434372530825485,121
121,Adipose,PDE4DIP,0.33428625903935655,122
122,Adipose,CLK2,0.334279735434532,123
123,Adipose,SLC35E3,0.33427849607676224,124
124,Adipose,NCF4,0.33427726576871347,125
125,Adipose,FBXO3,0.3342715695685166,126
126,Adipose,ANKRD42,0.33426876247674914,127
127,Adipose,ELOVL7,0.33426172039281155,128
128,Adipose,NEGR1,0.3342516981310631,129
129,Adipose,MYO5C,0.33423318581313183,130
130,Adipose,SLC25A35,0.3342302715984991,131
131,Adipose,ABHD4,0.33418957461084986,132
132,Adipose,SASH1,0.3341413360218769,133
133,Adipose,ENPP2,0.3341256719067921,134
134,Adipose,PLOD3,0.3340595860380706,135
135,Adipose,ACOT9,0.33405739633564036,136
136,Adipose,GABARAPL1,0.3340523420254673,137
137,Adipose,LONRF2,0.3340186763281226,138
138,Adipose,TIFA,0.33396951191163415,139
139,Adipose,RDX,0.33396606741717416,140
140,Adipose,SLC16A2,0.3339344545241792,141
141,Adipose,PHF12,0.33391528269484366,142
142,Adipose,NAA50,0.33389533531145,143
143,Adipose,NCOA7,0.33388164554099303,144
144,Adipose,SPARC,0.33385367056203097,145
145,Adipose,ANGPT1,0.33382444101367764,146
146,Adipose,RBBP7,0.33381485617232903,147
147,Adipose,HOXA4,0.3337759935462336,148
148,Adipose,HOXB4,0.33372484624705434,149
149,Adipose,ACE,0.3336859073584514,150
150,Adipose,STXBP1,0.3336178283749572,151
151,Adipose,NINJ1,0.33361017664892373,152
152,Adipose,ACER2,0.3335837805794644,153
153,Adipose,RP11-81A22.4,0.33356974550091795,154
154,Adipose,FLNB,0.33351609240543856,155
155,Adipose,LMO7,0.3334979077601815,156
156,Adipose,PCF11,0.3334967780012709,157
157,Adipose,PDGFD,0.3334942982332992,158
158,Adipose,TRO,0.3334819816123661,159
159,Adipose,ADGRF5,0.3334761958813968,160
160,Adipose,BCL9L,0.3334394381623493,161
161,Adipose,AKAP12,0.3334392616725859,162
162,Adipose,DYRK2,0.33342936684434693,163
163,Adipose,GATA6-AS1,0.33339764580622355,164
164,Adipose,S100A11,0.33335216871809714,165
165,Adipose,KIAA0355,0.33335063048246283,166
166,Adipose,ILF3,0.3333490176850411,167
167,Adipose,BMX,0.3333471333034371,168
168,Adipose,PSAP,0.3333264053812283,169
169,Adipose,NMI,0.3333230211182227,170
170,Adipose,WTAP,0.33332209031902865,171
171,Adipose,SERP1,0.3332936632194846,172
172,Adipose,AMZ2,0.3332077348359967,173
173,Adipose,IRF1,0.3331662358228818,174
174,Adipose,NMNAT2,0.3331560672439819,175
175,Adipose,BEND7,0.3331458388807323,176
176,Adipose,CLEC3B,0.33312073976191425,177
177,Adipose,TFF3,0.3331137414108092,178
178,Adipose,CNOT11,0.3330629335576585,179
179,Adipose,ARID3A,0.33305338305373594,180
180,Adipose,CIT,0.3330409266320142,181
181,Adipose,PIK3R3,0.33303702499329335,182
182,Adipose,CTSA,0.3330119966824897,183
183,Adipose,ASRGL1,0.3330000247084094,184
184,Adipose,MATN2,0.3329936158227279,185
185,Adipose,CD2AP,0.33296409630699275,186
186,Adipose,ZNF10,0.3329502206448015,187
187,Adipose,NTRK3,0.33291533889459846,188
188,Adipose,PIK3R2,0.33289738273779784,189
189,Adipose,TEF,0.33289005680118927,190
190,Adipose,RGS6,0.33286531432704203,191
191,Adipose,SEPT8,0.3328638002116877,192
192,Adipose,RGL2,0.3328608906922836,193
193,Adipose,NOG,0.3328267916383659,194
194,Adipose,APLNR,0.3328121803643426,195
195,Adipose,CALM3,0.3328110772878177,196
196,Adipose,KMT2E,0.33280452577017977,197
197,Adipose,USP2,0.33277591409062973,198
198,Adipose,CTGF,0.3327730605648772,199
199,Adipose,SH3PXD2A,0.33272959115775624,200
200,Adipose,AKAP1,0.33271881498119427,201
201,Adipose,LGALS3BP,0.3327047315321161,202
202,Adipose,TMX2,0.3326780532987357,203
203,Adipose,CTTNBP2NL,0.332672482050324,204
204,Adipose,ALS2CL,0.332631342418594,205
205,Adipose,SLC17A7,0.3326121439078327,206
206,Adipose,PLEKHG1,0.3326094265264875,207
207,Adipose,OSBP,0.33259881862435786,208
208,Adipose,C16orf45,0.3325891302121801,209
209,Adipose,KDELC2,0.33257492495832636,210
210,Adipose,ELMOD3,0.33255218711002726,211
