Gene Name,Centrality,Rank
GOLGA8A,0.5213182664830281,1
SYCE1,0.5241743278113012,2
RP11-167P11.2,0.5601976890392916,3
FAM157C,0.5326655647266393,4
NPIPB7,0.5234176618973714,5
RP11-262H14.3,0.5414730930283757,6
RP11-415F23.2,0.5308073244785493,7
RP11-284B18.3,0.5284606293227518,8
EFHB,0.5260086281806803,9
RP11-187C18.3,0.5414431633233506,10
RP11-75A9.3,0.5416122658766891,11
SLC5A11,0.5316775348953857,12
RP11-307L14.1,0.5261694626331017,13
AC011330.5,0.5354368813331803,14
RP11-699C17.1,0.5485800385422303,15
PCDHB3,0.5372439341293028,16
FRG1EP,0.5348517808169927,17
LMF1-AS1,0.504268682366252,18
RP11-119B16.2,0.5056065123828007,19
KRT8P46,0.5132190700408953,20
TP53TG5,0.5407502419444087,21
RP11-462G12.1,0.5330716231553635,22
GTF2H2B,0.5321827157560092,23
GSTT2,0.5413416460707902,24
RP5-858B6.3,0.5150259892152622,25
RP4-614C10.2,0.5335215487055642,26
RNF5P1,0.5124810146954715,27
TACR2,0.5543653808219623,28
GTF2H2,0.5402777231992992,29
CYP4F11,0.517363705706192,30
HLA-K,0.5191663149725373,31
RPS14P8,0.5308325030559086,32
GOLGA6L4,0.5367404779652515,33
RP11-91P24.6,0.5405793514433983,34
RP11-958N24.2,0.5401695904399559,35
MRVI1-AS1,0.5464587725251734,36
CHRNA3,0.5469532641253931,37
AC138035.2,0.5472543344108598,38
RP11-996F15.5,0.5438561109779004,39
RP11-15L13.4,0.5362188901113369,40
LINC01001,0.5350145694760716,41
LRRC37A,0.5219025192306759,42
HSF2BP,0.5434031918313418,43
DUXAP8,0.5555232875931143,44
HLA-U,0.5155598732803172,45
RP11-482M8.1,0.5356381921240888,46
RP11-756P10.3,0.5095987563717925,47
POM121B,0.5152447039650376,48
RP11-342M1.3,0.5298808260546691,49
TYW1B,0.5506852319639054,50
RP5-991G20.2,0.533654318386359,51
RP11-91P24.7,0.5361732043377307,52
RP11-290F5.1,0.5443613614916366,53
RP11-287D1.4,0.5289622652714564,54
DBIL5P,0.5234633054559922,55
GAS5-AS1,0.5373627615772577,56
RP11-166B2.1,0.5352462567776316,57
MUC20P1,0.5178763955044052,58
MIF-AS1,0.5356959400184667,59
ESRRB,0.5361015123722287,60
PGA5,0.5333854397613809,61
RP11-111K18.2,0.5390337275189576,62
RP11-425D10.10,0.5558775560951562,63
GNG3,0.5318912258943566,64
SERF1B,0.538527824528801,65
CDH15,0.5450279435198432,66
AL358852.1,0.5292477722172987,67
RAB41,0.5294782444813524,68
S100P,0.5311991230038529,69
LINC00649,0.552650199707362,70
RSL24D1P6,0.5443666504465768,71
RP4-751H13.7,0.5478984598127765,72
AC009961.3,0.5211741545699267,73
NOC2LP1,0.5386275030373736,74
U2AF1L5,0.5363536533795298,75
SIRPAP1,0.5187718558376891,76
RP11-426K3.1,0.5570420207998734,77
ROPN1B,0.5305224615564729,78
NAIP,0.5524719502788528,79
RP11-30K9.1,0.5181876066071043,80
RP11-950C14.10,0.5317813858337311,81
CTC-205M6.1,0.5364576607483406,82
RP11-378J18.9,0.5181581416778471,83
RP11-692D12.1,0.5185206166205851,84
NEXN-AS1,0.5350210738106271,85
RP5-994D16.3,0.526277573464641,86
FRG1DP,0.519349732530904,87
PKD1P5,0.5389427498451005,88
RP11-596C23.6,0.5301654993078212,89
RP11-539L10.3,0.5313682837860385,90
SNRPEP2,0.5265983973189812,91
RP5-1074L1.1,0.5324012842460453,92
GPS2P1,0.531035866305459,93
SETP17,0.5192518011198684,94
CDCA7,0.5396675087052715,95
MAB21L2,0.5486951752660113,96
RP11-108M9.5,0.5345032870772637,97
USP32P1,0.5213459861422188,98
RRH,0.5483449687673372,99
CTC-332L22.1,0.5411690127157268,100
AGAP10P,0.5396932837347973,101
APOA1-AS,0.5188580071342757,102
RP11-343H5.4,0.5308672238494713,103
PRADC1P1,0.5261066438831846,104
AC018738.2,0.5356789213573973,105
RP11-120K19.4,0.5433167091820423,106
BTBD7P1,0.5487986801317208,107
RP11-110I1.14,0.5219522370877454,108
RP11-405L18.4,0.5437777572263798,109
PDPK2P,0.5569253265214371,110
RP11-20D14.6,0.5174410831134807,111
ZNF676,0.5445585949800742,112
RP11-54G14.1,0.5339401125026172,113
CTC-487M23.7,0.5428564069011216,114
ERAP2,0.5316458429567982,115
RP11-111A22.1,0.5204645299814272,116
RP11-443B7.1,0.5293742414904785,117
CYP17A1,0.5460835937001104,118
RP11-356C4.5,0.5270200362601011,119
EIF5AP4,0.5414991228055345,120
MORC2-AS1,0.5552017987288344,121
RP11-1319K7.1,0.5380651460486048,122
MAP1LC3B2,0.5042007069896666,123
CTD-2325M2.1,0.5465785341917746,124
HSD17B6,0.5298141793834277,125
RP11-286N22.14,0.5316180341263039,126
Y_RNA,0.5467565651124867,127
EEF1A1P30,0.5307893992056181,128
UXT-AS1,0.5110509562679844,129
RP11-317N8.5,0.5137124771650614,130
RP11-252K23.2,0.5357034003403263,131
LA16c-358B7.4,0.5468896447653597,132
CTD-2619J13.16,0.555051138189281,133
RP11-156K23.3,0.5381469829203389,134
RP11-756P10.6,0.5366769947662602,135
CTD-2639E6.9,0.5391853541598547,136
XXbac-BPGBPG55C20.1,0.5678578552425295,137
RP11-56B16.2,0.528435563481241,138
LINC01347,0.5153414844738642,139
ERVFRD-3,0.5216085125253074,140
RP11-723O4.7,0.5342550541719135,141
RP11-572M11.4,0.523281995968833,142
AGAP7P,0.5458958544166285,143
SCOC-AS1,0.5210915796907697,144
LINC00664,0.5458935001899191,145
RP11-798G7.6,0.5280120751145057,146
RP11-535M15.1,0.5534115241151797,147
AC010894.3,0.5397511591298771,148
RP11-110I1.13,0.5569091661674479,149
GSTT2B,0.5554778519378886,150
TRPV3,0.5461264034157848,151
ATP5EP2,0.534535841287607,152
IL9RP3,0.5298793213717157,153
NR1I3,0.5264343733343407,154
RP11-279O9.4,0.5464051198297957,155
TIGD3,0.5534884102561521,156
RP11-815J4.7,0.5232555825466826,157
HBE1,0.5180366843379661,158
CTD-2012J19.1,0.5354094125394404,159
RP11-147L13.2,0.5355018613074971,160
CBS,0.5324993659462408,161
MIR646HG,0.5373151476525706,162
WI2-85898F10.2,0.5320074893370482,163
RP11-480D4.6,0.5123251588254272,164
MIS18A-AS1,0.5280523022310702,165
BRD9P2,0.5489357446085276,166
RP11-634H22.1,0.5632098140394314,167
RP11-130F10.1,0.5134676386731704,168
CH17-302M23.1,0.5585196857593677,169
ZSCAN32,0.5419278126615603,170
UBA52P8,0.541520768476216,171
RP11-580I16.2,0.5511554052483735,172
RP1-228P16.8,0.5288091094238457,173
RP11-560J1.2,0.5261357074399585,174
C9orf135,0.5488314368540049,175
RP11-1017G21.4,0.5447359805071614,176
RPL36P4,0.5348267427885123,177
PAICSP1,0.5492667657415906,178
RP11-314C16.1,0.5180881210696048,179
AF011889.2,0.5451335779758646,180
RP11-22B23.1,0.5237925645877818,181
AC005498.3,0.5237905213899594,182
RP1-63M2.7,0.5345080735770023,183
LINC00540,0.5557227877843917,184
AUNIP,0.5180128352672273,185
NPIPA3,0.5243033300427358,186
CTC-559E9.8,0.5422771032370682,187
RP1-197B17.7,0.5306424957674298,188
KCNRG,0.5409497948955185,189
RP11-413H22.3,0.5383476784627069,190
RP11-423H2.1,0.5122852700829289,191
XXbac-BPG181B23.7,0.5363238862502766,192
RP11-234N17.1,0.5212130065996943,193
RP11-755F10.1,0.5226635836973409,194
ARL17B,0.5372683603369874,195
RP11-932O9.8,0.5197095715080166,196
RP11-141C7.3,0.5409875766524145,197
RP11-380B4.3,0.5439538320887749,198
HLA-T,0.5222287388288932,199
LINC01535,0.5476928585884937,200
XXyac-YX65C7_A.2,0.5242656489488776,201
DRICH1,0.5360272856632841,202
SNRK-AS1,0.5344076216061215,203
RP11-539L10.2,0.5274687322228014,204
SCARNA6,0.5179583595682079,205
RP11-386G11.5,0.523849400007686,206
RP11-295K2.3,0.5441385984058599,207
CTC-336P14.1,0.5207056873185043,208
PMS2P11,0.5386656008957632,209
HMGB1P1,0.5340558921302103,210
BEND3P1,0.5377949176517044,211
GAPDHP21,0.5351313498773962,212
SMG1P1,0.5159350238542163,213
YY2,0.5391831802676357,214
PWP2,0.5399187107743469,215
SPC25,0.5222696709356495,216
AC012442.6,0.5452322653049994,217
FTH1P4,0.5301563316910174,218
RP4-569M23.2,0.5491664639460371,219
WASH5P,0.5221046641590663,220
CTD-2201E18.3,0.5382235633761332,221
RHOQP1,0.5274357367239699,222
BMS1P10,0.5276200654199155,223
RP1-266L20.2,0.5359215699490499,224
CH17-472G23.1,0.5238562337171233,225
GTF2A1L,0.5199407132983626,226
RP11-334J6.6,0.5517802738403955,227
EIF3LP3,0.5055824327712841,228
FBXW11P1,0.5148771785348624,229
RP1-257I20.14,0.5180338655131532,230
RP11-120M18.2,0.5279016471376886,231
RP11-402J6.3,0.5260418211276953,232
RP11-578O24.2,0.5082042964732382,233
bP-21264C1.2,0.5173458560718175,234
LA16c-385E7.1,0.5174812273683846,235
RP11-1006G14.1,0.5317329267722658,236
PLA2G12AP1,0.5193203312278154,237
C21orf33,0.554665064374315,238
CHKB-AS1,0.5325725780006499,239
RP11-215P8.3,0.532839298179935,240
RP11-258F22.1,0.5446491671172368,241
KB-226F1.2,0.537004318986406,242
RP11-359I18.5,0.5312948513370003,243
CLEC18A,0.5349210184113372,244
RP13-465B17.4,0.5438134450405371,245
RP11-297N6.4,0.5407847279421593,246
FAM86FP,0.5253512422854846,247
RP11-139H15.7,0.5419263801741776,248
PCP4L1,0.533715106084045,249
ADAM1B,0.5270784474712676,250
CTC-338M12.6,0.5299241272606172,251
RP11-326I19.2,0.5280938068049431,252
XKR9,0.5460053252498339,253
RP11-687F6.5,0.5535893994747964,254
EBAG9P1,0.524934047257704,255
AP001462.6,0.5299056386455642,256
MFSD13B,0.5105640333324595,257
AC027612.6,0.5275440860844184,258
SERPINB9P1,0.5315635005520107,259
RP11-157J24.2,0.533538722262315,260
GOLGA8O,0.5263952049596987,261
bP-2171C21.6,0.5198844865595307,262
GAPDHP2,0.5216755183053586,263
AF001548.5,0.5273472359239753,264
RN7SL689P,0.506422642794729,265
AP000692.10,0.524613956691091,266
C9orf147,0.5171651939786934,267
POLR2J2,0.5214051511977714,268
ARL9,0.5386033449584949,269
ATP5A1P3,0.5413280696196251,270
LINC00310,0.5442871482651476,271
RP11-74E22.3,0.5404387253974031,272
CTB-52I2.4,0.5181210289693581,273
RPL10P15,0.5186948143860329,274
RBM34,0.5530279884122118,275
HEATR4,0.5642747797056534,276
RP11-114H24.2,0.5045137899291386,277
ARF4-AS1,0.5571047146954599,278
RP11-666O2.2,0.5418926766104749,279
MRPL35P2,0.5400288793766246,280
RP11-563E2.2,0.5470310999789696,281
RP11-544L8__B.4,0.5437886697516451,282
RP11-734J24.1,0.5253706340428662,283
RP5-890E16.5,0.5451594486231107,284
C1QL3,0.5151326389501424,285
RP11-122G18.7,0.5240707507058251,286
AC073063.10,0.5088618461616411,287
RP11-179B2.2,0.5238259322952904,288
GNAS-AS1,0.5336659367673862,289
RP11-90M2.5,0.5429753074659802,290
CFAP206,0.5351112534141045,291
CTD-2554C21.1,0.5510217998966481,292
MARK2P9,0.5368360459706996,293
AC007319.1,0.5222209621495859,294
LY6K,0.5370198994310755,295
RP11-109N23.4,0.5369228730998175,296
PHF24,0.5421149762516982,297
CTC-325H20.4,0.5204739844918411,298
GOLGA6L17P,0.5202626977108206,299
PAX8,0.5343613269955186,300
RP11-809O17.1,0.5426647282375977,301
LLPH-AS1,0.5259426961849194,302
GJA9,0.5248137476096043,303
PTPN20,0.5236757030077027,304
RASAL2-AS1,0.5496640998818751,305
RPLP1P6,0.5472201875363474,306
RP11-680F8.3,0.5331715361070667,307
GVQW1,0.5453152883886234,308
AD001527.4,0.5321168564820751,309
RP11-550I24.2,0.5280216249086107,310
RP11-342K6.2,0.5227515141892369,311
CTD-3065B20.3,0.5399423178851762,312
AP000350.5,0.544250602364419,313
ZNF602P,0.5246721566629452,314
RP1-101A2.1,0.5573330453438261,315
CYP11B1,0.5615649983278397,316
