,Tissue Name,Gene Name,Centrality,Rank
2901,STG_AD,PTPN7,1.0,1
1345,IFG_AD,RP11-563J2.3,0.9814087559685505,2
1826,IFG_AD,NPY2R,0.9783684314189837,3
3382,STG_AD,MUC5B,0.9762456570456529,4
2869,STG_AD,C1orf87,0.969707007457369,5
3743,STG_AD,NPR1,0.9690701726913509,6
3266,STG_AD,RP11-407B7.1,0.9614141062088443,7
1413,IFG_AD,KCNV1,0.9579149601506025,8
2991,STG_AD,CCK,0.9573114268404236,9
4428,STG_AD,TMEM155,0.957055833890111,10
3962,STG_AD,RP11-563J2.3,0.956462036138179,11
3322,STG_AD,RBM3,0.9529877030696892,12
4241,STG_AD,ST6GALNAC1,0.9450446256924746,13
4393,STG_AD,LINC00507,0.9450188569982965,14
732,IFG_AD,RP11-386M24.6,0.9436637623571689,15
705,IFG_AD,RBM3,0.9432786293162636,16
640,IFG_AD,LINC00870,0.9423215812504078,17
4954,STG_AD,CCDC188,0.9360967672287955,18
3349,STG_AD,RP11-386M24.6,0.9348887520331511,19
3257,STG_AD,LINC00870,0.9344078183348217,20
2783,STG_AD,AP002530.2,0.9323704961385911,21
765,IFG_AD,MUC5B,0.9312860913540322,22
3383,STG_AD,MSH5,0.9307937803221416,23
546,IFG_AD,RP11-454L9.2,0.9304215031688817,24
766,IFG_AD,MSH5,0.9258318438544844,25
4408,STG_AD,DNAJB1,0.9253458139986294,26
2268,IFG_AD,ENC1,0.9251448612339339,27
3338,STG_AD,PTPRVP,0.9247332683874876,28
3918,STG_AD,FLJ31104,0.9235061019770239,29
3868,STG_AD,LPCAT2BP,0.9234941068779465,30
2337,IFG_AD,CCDC188,0.921927873767824,31
2932,STG_AD,ENTPD2,0.9212033874132779,32
1922,IFG_AD,SLC2A3P2,0.920061054053124,33
315,IFG_AD,ENTPD2,0.9193359995267378,34
3608,STG_AD,RP11-369E15.3,0.9192941123482425,35
3801,STG_AD,CARNS1,0.9184484998186454,36
1184,IFG_AD,CARNS1,0.9180096073137063,37
3677,STG_AD,NEUROD6,0.9172804139610583,38
4221,STG_AD,SELP,0.9152129765102194,39
208,IFG_AD,RGS4,0.9150799936679226,40
2034,IFG_AD,RP11-158J3.2,0.9148001732145743,41
1780,IFG_AD,PSG3,0.9145727448522569,42
5116,STG_AD,SRPX2,0.9144528230154714,43
4885,STG_AD,ENC1,0.9139828177371644,44
4551,STG_AD,ECSCR,0.9138606586288841,45
2664,STG_AD,POU2AF1,0.9135474961711266,46
1791,IFG_AD,DNAJB1,0.9127961660352673,47
2258,IFG_AD,MATN3,0.9127061803175922,48
3813,STG_AD,TNC,0.9098555374969465,49
4730,STG_AD,LILRB3,0.9096485396236702,50
2825,STG_AD,RGS4,0.9087220358471644,51
1947,IFG_AD,RP11-553A10.1,0.9068113676555334,52
4225,STG_AD,CFI,0.9061741047610544,53
1204,IFG_AD,RP11-386M24.3,0.9034676448523368,54
4875,STG_AD,MATN3,0.9030761663137168,55
3165,STG_AD,CCR7,0.9029038822249763,56
1128,IFG_AD,SLC17A6,0.9027560611459515,57
3780,STG_AD,C9orf106,0.9027117665055905,58
1776,IFG_AD,LINC00507,0.9017302341920312,59
2511,IFG_AD,TESPA1,0.9016694540987862,60
4983,STG_AD,RP11-196E1.3,0.8998775602115576,61
3821,STG_AD,RP11-386M24.3,0.8996843433771275,62
4040,STG_AD,CP,0.8996841932517804,63
4539,STG_AD,SLC2A3P2,0.8995973173598075,64
5140,STG_AD,ZNF503-AS1,0.8993483081173408,65
4255,STG_AD,TNFRSF10D,0.8985558511345255,66
5128,STG_AD,TESPA1,0.8980671615679634,67
4859,STG_AD,EMP1,0.8951690276474569,68
1206,IFG_AD,SNORD115-29,0.8951599463974567,69
4135,STG_AD,RP6-27P15.2,0.894564058414039,70
2710,STG_AD,HSPA1A,0.8937360208726653,71
3298,STG_AD,FAM86B3P,0.893528412367231,72
1397,IFG_AD,RP5-1039K5.16,0.8923836897162609,73
3628,STG_AD,C19orf18,0.8908600184347049,74
4314,STG_AD,ADAMTS4,0.8904425997104863,75
1624,IFG_AD,ST6GALNAC1,0.8901628263387622,76
3287,STG_AD,NEAT1,0.8898533486496325,77
1060,IFG_AD,NEUROD6,0.8898311143340498,78
3437,STG_AD,LINC01006,0.8893707733372738,79
