,Tissue Name,Gene Name,Centrality,Rank
19789,Liver,PPP1CB,1.0,1
20444,Muscle,SLK,0.992111339003286,2
20098,Muscle,CHST3,0.9916883797896914,3
26102,Muscle,ARHGAP18,0.9915927612218183,4
22788,Muscle,RP11-613M10.6,0.9903303095416346,5
21232,Muscle,TMEM79,0.9888005499644402,6
21294,Muscle,STX12,0.9873318600607166,7
11629,Hypothalamus,SNAPC1,0.9868924333613084,8
25996,Muscle,GAB1,0.9865602737436113,9
11029,Hypothalamus,SCRN3,0.9858269149350203,10
15257,Liver,SPPL2A,0.9857314353711328,11
10944,Hypothalamus,PCP4,0.9851581117482413,12
17315,Liver,EMSY,0.9851053157099592,13
11592,Hypothalamus,SKI,0.9840467741286021,14
22798,Muscle,AKIRIN2,0.984004153355491,15
8963,Hypothalamus,LTBR,0.9836253204601733,16
22526,Muscle,ARF6,0.9834304821842222,17
25885,Muscle,MDM2,0.9830921992107086,18
24789,Muscle,ATF7IP,0.9830213354518549,19
14927,Liver,BBIP1,0.9825854374895394,20
25897,Muscle,GLCE,0.9823701191855401,21
24374,Muscle,ETS2,0.9817206961767763,22
24169,Muscle,ATP1B2,0.9816812307092664,23
21356,Muscle,C2CD5,0.9813631630485551,24
9931,Hypothalamus,SAMD4B,0.9811411413055625,25
20591,Muscle,PXDC1,0.9810032367649124,26
25572,Muscle,BHLHE41,0.9803697130491024,27
11118,Hypothalamus,GPC1,0.9803213461458185,28
18606,Liver,SLC28A1,0.979909584387626,29
23626,Muscle,CDC37L1,0.9798194836990771,30
8038,Hypothalamus,PARP14,0.9794772511929192,31
13915,Liver,ACADM,0.9791067000062489,32
22766,Muscle,EPB41L1,0.9790136620168961,33
24365,Muscle,SLBP,0.978518670033381,34
22085,Muscle,ANKRD1,0.978157480242333,35
15842,Liver,FCAR,0.9778951473419135,36
22496,Muscle,FAM177A1,0.9777239535682729,37
7469,Hypothalamus,MCCC2,0.9776725155391376,38
11868,Hypothalamus,DVL3,0.977403905530852,39
20604,Muscle,HSP90AB1,0.9771807945296923,40
23306,Muscle,TNFRSF12A,0.9769744156709468,41
22089,Muscle,RMDN3,0.9765716015987147,42
15318,Liver,PERP,0.9763708987079772,43
13899,Liver,WNT5A,0.9761055541829705,44
9457,Hypothalamus,STRN4,0.9760177036121427,45
12496,Hypothalamus,TMEM230,0.975867829620221,46
7681,Hypothalamus,PPRC1,0.9756935353356342,47
7873,Hypothalamus,CCNL1,0.975656080021373,48
12499,Hypothalamus,KIAA1211L,0.9753751817053368,49
25654,Muscle,SLC9B2,0.9751882216456285,50
14889,Liver,ATP13A3,0.975113950164423,51
13696,Liver,ARMT1,0.975107294520109,52
15114,Liver,CTB-63M22.1,0.9750272100309303,53
8026,Hypothalamus,ARID3A,0.9749091979985333,54
16438,Liver,SRP9,0.9746529204887089,55
9934,Hypothalamus,OVGP1,0.9746068577605526,56
12844,Hypothalamus,SBNO2,0.9745880640103128,57
8108,Hypothalamus,FBRSL1,0.9743333551573771,58
21863,Muscle,ZDBF2,0.9742296247100762,59
10879,Hypothalamus,TMEM39A,0.9742094327584013,60
